	signed_agg_ranks
SSPO	69194
DEPDC5	-68026
APBA2	-67455
CYP11B1	-67239
CDK13	66937
PRKD2	66763
DLX2	66669
CIC	66634
SMC3	-66082
NCKAP5	-66030
CX3CR1	65721
BCKDK	65238
ZMYND11	-65167
PREX1	-65116
XPO1	-64722
FXN	64651
CHD8	-64582
CNTNAP2	-64356
BRCA2	64346
DOLK	-64337
CCIN	-64336
CACNA1F	64240
CNTNAP4	-63964
ESR2	-63790
PLXNA4	-63519
TRIP12	-62983
OR1C1	-62698
TBX22	62537
GRIN2B	-62334
DPYSL2	62205
MYLK	62159
JARID2	-62126
CAMK2B	61990
SLC25A27	-61981
WNK3	61969
THRA	61700
TRAF7	61552
KCNJ10	61482
ARHGEF9	-61234
KANK1	-61228
TRIM32	-61203
CAMK2A	-61109
ZNF462	-60978
ACE	60931
HLA-G	-60761
GRIK5	-60760
MUC4	60703
CDK8	-60629
TRIO	-60540
KCNJ15	60511
CASK	-60478
ELAVL3	-60388
TM9SF4	-60368
ATP1A1	-60312
CDH9	60276
GATM	-60261
CHRNB3	60065
ASXL3	-60011
RAB43	-59977
OCRL	-59956
WDFY4	59875
ATP6V0A2	59767
NAV2	59765
UNC5D	-59757
ACHE	59682
PACS1	-59674
NR3C2	-59599
VDR	59521
UPF2	-59489
CADM1	-59361
TBL1X	-59315
HNRNPU	-59234
DLGAP3	59137
PTPRB	-59108
NCKAP1	-59104
CD276	59071
SYAP1	59050
MDGA2	-58956
BCAS1	58900
CORO1A	58897
SCN8A	-58859
CDON	-58770
AGAP5	58697
NDUFA5	-58459
NBEA	58452
PON1	-58335
MSANTD2	-58112
TAOK1	-58108
SSRP1	-58035
HS3ST5	58032
OXT	58019
CHKB	57696
SLITRK5	-57656
SATB2	57556
CSNK1E	57376
TMEM134	57110
MTF1	57095
MET	56910
CHD2	56457
FOXG1	56316
MYOCD	-56300
SLC6A8	-56273
POLR3A	56033
GRIK4	-56025
C12orf57	55940
ADORA3	55827
HERC2	-55803
NUDCD2	-55786
DDHD2	-55775
TCF20	-55570
FGFR1	55539
PTCHD1-AS	-55532
NPAS2	55458
GABRB3	55456
MBD3	55409
ZMIZ1	-55383
NR4A2	55376
DLG2	55184
SETD5	-55099
SOD1	-55080
DST	54989
PCCA	54796
GPR37	54756
ARID2	54692
NTRK1	54567
MEIS2	54553
SNX5	-54540
SHANK1	-54515
SAE1	-54413
BRAF	-54293
MBOAT7	-54274
MTOR	54214
FOXP2	-54087
POGZ	-53944
GABRA4	-53836
KIRREL3	53776
FEZF2	53727
YY1	-53642
SETD1A	53636
TERF2	53601
PCDH19	53525
NIPA2	53335
SETBP1	-53296
ADNP	-53262
NIPBL	53194
ZNF626	53104
LRFN5	52894
PRICKLE1	-52880
MAPK3	52830
PEBP4	52823
CSDE1	-52773
ZC3H11A	-52736
PLXNA3	-52731
LRRC1	52713
TBL1XR1	-52568
ABCA7	-52521
PTCHD1	-52497
DMPK	52445
LRRC4C	-52399
DPP4	52362
VSIG4	-52341
GALNT14	-52280
ABCA13	52221
NFE2L3	52137
TSHZ3	-52132
NLGN4Y	52129
SATB1	-51970
CEP41	-51933
GPC6	-51777
PNPLA7	-51643
CHMP1A	-51585
AGO4	-51566
POMGNT1	51481
TTN	51440
UNC80	51410
NSD1	-51364
AMPD1	51361
MAOA	-51342
SIK1	51250
GTF2I	-51242
CUX1	-51177
FAM47A	-51138
KDM3B	-51119
CDH13	-51116
MEF2C	-51003
PCDH10	-50843
DNAH3	50791
DAGLA	50783
CNR1	-50722
SHOX	50657
