pathway	freq	mean_padj	mean_NES
Purine metabolism  sce00230	0.6756756756756757	0.03992582091365632	2.4094481330862076
Translation factors  sce03012	0.6486486486486487	0.05033800497987074	2.1689250625204846
Meiosis - yeast  sce04113	0.2702702702702703	0.16258896046970356	1.8166170440547493
Transcription machinery  sce03021	0.8378378378378378	0.07614648956663961	2.150295871707173
RNA polymerase  sce03020	0.5135135135135135	0.060309659338545894	2.064706306163684
Tyrosine metabolism  sce00350	0.21621621621621623	0.18824196441117574	1.764495537209429
Cysteine and methionine metabolism  sce00270	0.08108108108108109	0.1658187970110279	1.755951704503481
Pentose phosphate pathway  sce00030	0.24324324324324326	0.13944947275040773	1.938340509971788
Methane metabolism  sce00680	0.08108108108108109	0.09460001240354898	2.120941517551607
Glycolysis - Gluconeogenesis  sce00010	0.05405405405405406	0.19313909774436092	1.7879654223659802
DNA repair and recombination proteins  sce03400	0.05405405405405406	0.16466948621553887	1.783812935345977
Amino acid related enzymes  sce01007	0.13513513513513514	0.2053788919200422	1.7002563777025308
Pyrimidine metabolism  sce00240	0.05405405405405406	0.15020423328670768	1.7835191386796199
Glycine, serine and threonine metabolism  sce00260	0.24324324324324326	0.16033171290537543	1.7453593878171114
Ribosome  sce03010	0.32432432432432434	0.0026640812607033305	3.266686504977612
Ribosome  sce03011	0.24324324324324326	0.0012506881986824	3.310462082007667
Ribosome biogenesis  sce03009	0.16216216216216217	0.14694441068604783	1.7669550611119202
beta-Alanine metabolism  sce00410	0.02702702702702703	0.22761060313185502	1.6340002567381577
Lysine degradation  sce00310	0.02702702702702703	0.2271523961900349	1.6082237703629958
Lysine biosynthesis  sce00300	0.05405405405405406	0.21783341670910658	1.59738315830535
Pyruvate metabolism  sce00620	0.05405405405405406	0.12192808361953969	1.813632304415103
