pathway	freq	mean_padj	mean_NES
Ribosome  sce03011	1.0	0.0	-3.1418416990694165
Ribosome  sce03010	1.0	0.0	2.9763649626844675
Translation factors  sce03012	1.0	0.04467539187994567	2.1688479979266537
Proteasome  sce03051	1.0	0.06230025095986787	-2.0614136941011862
mRNA surveillance pathway  sce03015	1.0	0.07566642949035843	2.0323799760806427
Oxidative phosphorylation  sce00190	1.0	0.07757821427801377	1.9774062720093626
Amino sugar and nucleotide sugar metabolism  sce00520	1.0	0.08572845468854438	1.924684482141944
Ubiquitin system  sce04121	1.0	0.17803850911248864	-1.8091655865765244
Amino acid related enzymes  sce01007	1.0	0.1495216944450434	1.7999717732134508
Proteasome  sce03050	1.0	0.15535381051457497	-1.782041559229486
RNA transport  sce03013	1.0	0.20285042799542896	1.7168560794538543
Protein processing in endoplasmic reticulum  sce04141	1.0	0.19183251040341537	1.70420178210868
Chaperones and folding catalysts  sce03110	1.0	0.1926542424612672	1.6781701891349974
Nicotinate and nicotinamide metabolism  sce00760	1.0	0.24100562754695012	1.609455752510003
