pathway	freq	mean_padj
5-phosphoribose 1-diphosphate biosynthetic process (GO:0006015)	1.0	0.041068734977651095
5-phosphoribose 1-diphosphate metabolic process (GO:0046391)	1.0	0.041068734977651095
calcium ion homeostasis (GO:0055074)	1.0	0.09936247896309403
cellular calcium ion homeostasis (GO:0006874)	1.0	0.09291960373380541
cellular protein catabolic process (GO:0044257)	1.0	0.07478458102048699
cellular response to osmotic stress (GO:0071470)	1.0	0.06823236127806159
cellular response to oxidative stress (GO:0034599)	1.0	0.009078351865197207
ceramide metabolic process (GO:0006672)	1.0	0.07301075876443638
galactose catabolic process (GO:0019388)	1.0	0.07301075876443638
galactose metabolic process (GO:0006012)	1.0	0.07301075876443638
glucan biosynthetic process (GO:0009250)	1.0	0.07301075876443638
glutamate metabolic process (GO:0006536)	1.0	0.09291960373380541
glycogen biosynthetic process (GO:0005978)	1.0	0.07301075876443638
hexose catabolic process (GO:0019320)	1.0	0.04506794603008523
nucleoside phosphate biosynthetic process (GO:1901293)	1.0	0.009078351865197207
nucleotide metabolic process (GO:0009117)	1.0	0.03664890301221718
pentose catabolic process (GO:0019323)	1.0	0.056953082976147214
purine nucleotide biosynthetic process (GO:0006164)	1.0	0.09291960373380541
purine nucleotide metabolic process (GO:0006163)	1.0	0.09936247896309403
purine-containing compound biosynthetic process (GO:0072522)	1.0	0.041068734977651095
ribose phosphate biosynthetic process (GO:0046390)	1.0	0.04506794603008523
tRNA transcription (GO:0009304)	1.0	0.041068734977651095
tRNA transcription from RNA polymerase III promoter (GO:0042797)	1.0	0.041068734977651095
transcription from RNA polymerase I promoter (GO:0006360)	1.0	0.09291960373380541
transcription from RNA polymerase III promoter (GO:0006383)	1.0	0.06651478683721003
trehalose metabolic process (GO:0005991)	1.0	0.07974490178133499
