pathway	freq	mean_padj	mean_NES
cellular protein catabolic process (GO:0044257)	0.7272727272727273	0.1473280960986263	2.06708095642577
tRNA transcription from RNA polymerase III promoter (GO:0042797)	0.5757575757575758	0.1400643282027572	2.0458832026738034
tRNA transcription (GO:0009304)	0.5757575757575758	0.1400643282027572	2.0458832026738034
transcription from RNA polymerase I promoter (GO:0006360)	0.2727272727272727	0.16992673360746952	2.042171465362546
cellular response to oxidative stress (GO:0034599)	0.36363636363636365	0.12409484364693478	2.007531109741352
nucleotide metabolic process (GO:0009117)	0.6363636363636364	0.131917190622936	2.138774017684586
transcription from RNA polymerase III promoter (GO:0006383)	0.18181818181818182	0.15335539595433287	1.8940103610889605
cytoplasmic translational initiation (GO:0002183)	0.45454545454545453	0.11146579144658575	2.0839276861246168
cytoplasmic translation (GO:0002181)	0.2727272727272727	0.017104199617838805	3.6893858707377913
translation (GO:0006412)	0.2727272727272727	0.016978300407182026	3.3515272638573683
ribosomal large subunit biogenesis (GO:0042273)	0.18181818181818182	0.0	2.8924999801877296
cellular response to osmotic stress (GO:0071470)	0.2727272727272727	0.0322303771515345	2.322926650733928
ribosome biogenesis (GO:0042254)	0.18181818181818182	0.006505359083182369	2.45710328791464
cellular response to heat (GO:0034605)	0.2727272727272727	0.10968348921878193	2.032187435154357
ribonucleoprotein complex assembly (GO:0022618)	0.18181818181818182	0.017833095361198908	2.290360950629855
ribosomal large subunit assembly (GO:0000027)	0.18181818181818182	0.013593211650696338	2.4399378281807103
ribosome assembly (GO:0042255)	0.18181818181818182	0.01930909371572219	2.2525109501239586
rRNA 5'-end processing (GO:0000967)	0.18181818181818182	0.1149863077974679	1.9115969683320948
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	0.2727272727272727	0.1758349173687524	1.8545103272660401
ceramide metabolic process (GO:0006672)	0.36363636363636365	0.19072387666704205	1.814096763826905
transmembrane transport (GO:0055085)	0.09090909090909091	0.12812070005749568	1.8529580202176603
cellular response to salt stress (GO:0071472)	0.15151515151515152	0.17863492638530834	1.7486923769478289
rRNA modification (GO:0000154)	0.09090909090909091	0.14472800659490195	1.8129793277305157
ergosterol metabolic process (GO:0008204)	0.18181818181818182	0.16310356523481032	1.7922339090993737
secondary alcohol biosynthetic process (GO:1902653)	0.18181818181818182	0.16486271409139716	1.7712114920792226
translational termination (GO:0006415)	0.18181818181818182	0.18834686196662995	1.745869656840755
'de novo' cotranslational protein folding (GO:0051083)	0.18181818181818182	0.18324374449361094	1.760505318407713
maturation of SSU-rRNA (GO:0030490)	0.18181818181818182	0.18755945950061362	1.759256564215469
rRNA processing (GO:0006364)	0.18181818181818182	0.14748184308435755	1.8280009641980548
ergosterol biosynthetic process (GO:0006696)	0.18181818181818182	0.21313071182625495	1.6604948212848762
phytosteroid biosynthetic process (GO:0016129)	0.18181818181818182	0.21313071182625495	1.6604948212848762
cellular lipid biosynthetic process (GO:0097384)	0.18181818181818182	0.21313071182625495	1.6604948212848762
cellular alcohol biosynthetic process (GO:0044108)	0.18181818181818182	0.21313071182625495	1.6604948212848762
rRNA-containing ribonucleoprotein complex export from nucleus (GO:0071428)	0.18181818181818182	0.22491444352548287	1.6378023486988431
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	0.18181818181818182	0.17620410912110632	1.755228871653445
maturation of LSU-rRNA (GO:0000470)	0.18181818181818182	0.1946799361844583	1.691143811395232
translational elongation (GO:0006414)	0.18181818181818182	0.14969475549117775	1.816571560260502
fungal-type cell wall organization (GO:0031505)	0.18181818181818182	0.21230421436443828	1.6830079111458265
ribosome localization (GO:0033750)	0.09090909090909091	0.23706009630660466	1.5962489940165847
sterol biosynthetic process (GO:0016126)	0.09090909090909091	0.23181238945121221	1.5953149126947401
transcription initiation from RNA polymerase II promoter (GO:0006367)	0.18181818181818182	0.0592151687731196	2.391209190863688
transcription, DNA-templated (GO:0006351)	0.12121212121212122	0.2390515266403049	1.8939047913415719
transcription from RNA polymerase II promoter (GO:0006366)	0.18181818181818182	0.2228591120001189	1.8038742851696108
deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0000290)	0.18181818181818182	0.24244738103418964	1.7626564995716938
assembly of large subunit precursor of preribosome (GO:1902626)	0.09090909090909091	0.18019790197706545	1.7278262526614354
eisosome assembly (GO:0070941)	0.09090909090909091	0.2494050517820705	1.5941441844755648
cellular macromolecule biosynthetic process (GO:0034645)	0.06060606060606061	0.24450859697638117	1.6212596758502544
cellular response to starvation (GO:0009267)	0.06060606060606061	0.2430719611767511	1.611207231932546
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	0.06060606060606061	0.23025699955292278	1.9011416789758742
mitochondrion distribution (GO:0048311)	0.06060606060606061	0.22036608747238007	1.8268854783255937
mitochondrion inheritance (GO:0000001)	0.06060606060606061	0.22036608747238007	1.8268854783255937
