pathway	freq	padj	NES	stability	overlap	Lead_genes
chromatin assembly or disassembly (GO:0006333)	1	0.22405041953850763	-1.87589004444828	1.0	49.84	['HHT1', 'HHF2', 'HHT2', 'RSP5', 'HTB2', 'HHF1', 'HTA1', 'HTA2', 'HTB1']
DNA-templated transcription, elongation (GO:0006354)	1	0.2123070872040755	-1.9057652075580074	1.0	13.32	['ESA1', 'SUB2', 'LEO1', 'DST1', 'RPA34']
rRNA transport (GO:0051029)	1	0.17138201549723875	-1.9603249886583924	1.0	59.41	['RPS10A', 'RPS2', 'RPS28B', 'RPS19A', 'RPS26B', 'RPS19B', 'RPS0A', 'RPS10B', 'RPS15', 'RPS5', 'RPS28A', 'RPS0B', 'RPS18A', 'RPS26A', 'RPS18B', 'RPS3']
rRNA export from nucleus (GO:0006407)	1	0.17138201549723875	-1.9603249886583924	1.0	59.41	['RPS10A', 'RPS2', 'RPS28B', 'RPS19A', 'RPS26B', 'RPS19B', 'RPS0A', 'RPS10B', 'RPS15', 'RPS5', 'RPS28A', 'RPS0B', 'RPS18A', 'RPS26A', 'RPS18B', 'RPS3']
nucleotide metabolic process (GO:0009117)	1	0.12009357941252924	2.2266207267306903	1.0	21.37	['PRS1', 'PHM8', 'HNT1', 'ADK1', 'PRS3']
ribosome assembly (GO:0042255)	1	0.08770415043452202	-2.1050940856140987	1.0	69.62	['RPS28B', 'RPL40B', 'MRT4', 'RPS15', 'RPL40A', 'RPS14B', 'RPL10', 'RPS0B', 'RPS11A', 'RPS14A', 'RPL5', 'RPL6B', 'RPS17A', 'RPL6A', 'NSR1', 'RPS27A', 'RPL24A', 'RPS19A', 'RPS26A', 'RPL11B', 'RPS27B', 'RPS17B', 'RPS26B', 'RPS19B', 'RPL24B', 'RPS28A', 'RPP0', 'BRX1', 'RPL3', 'RPS5', 'RSM7', 'RPS10A', 'MRPS18', 'RPL25', 'RPS0A', 'RPS10B', 'RPL11A', 'RPL12B', 'RPS31', 'RPS11B', 'RPL12A']
ribosomal small subunit biogenesis (GO:0042274)	1	0.04241506218160024	-2.2269449600560085	1.0	55.1	['RPS28B', 'RPS15', 'RPS14B', 'RPS0B', 'RPS11A', 'RPS14A', 'RPS17A', 'NSR1', 'YAR1', 'RPS19A', 'RPS27B', 'RPS17B', 'RPS19B', 'RPS7A', 'RPS28A', 'SNU13', 'RPS5', 'RSM7', 'RPS7B', 'RPS10A', 'MRPS18', 'RPS0A', 'RPS10B', 'RPS31', 'RPS11B']
ribosomal small subunit assembly (GO:0000028)	1	0.022559559484566973	-2.3594176354053746	1.0	55.1	['RPS28B', 'RPS15', 'RPS14B', 'RPS0B', 'RPS11A', 'RPS14A', 'RPS17A', 'NSR1', 'RPS19A', 'RPS27B', 'RPS17B', 'RPS19B', 'RPS28A', 'RPS5', 'RSM7', 'RPS10A', 'MRPS18', 'RPS0A', 'RPS10B', 'RPS31', 'RPS11B']
cytoplasmic translational initiation (GO:0002183)	1	0.016083961528463735	2.5288241794118376	1.0	34.85	['FUN12', 'GCD11', 'SUI3', 'SUI1', 'PRT1', 'SUI2', 'TIF11', 'TIF34', 'TIF5', 'TIF35']
cytoplasmic translation (GO:0002181)	1	0.0	-3.320467436615867	1.0	55.42	['RPL20A', 'RPS28B', 'RPL31B', 'RPL15A', 'RPL35B', 'RPL10', 'RPS0B', 'RPS1A', 'RPL17A', 'RPS11A', 'RPL6B', 'RPL35A', 'RPS22B', 'RPL7A', 'RPS16B', 'RPL37B', 'RPL33A', 'RPS7A', 'RPS25B', 'RPL16A', 'RPS0A', 'RPS29B', 'RPS18A', 'RPP1B', 'RPL4B', 'RPL31A', 'RPS15', 'RPL34B', 'RPL8A', 'RPL21B', 'RPL36A', 'RPL28', 'RPL5', 'RPS17A', 'RPP2B', 'SSA1', 'SSB2', 'RPL8B', 'TMA19', 'RPL6A', 'RPS19A', 'RPS21B', 'RPS12', 'RPS17B', 'RPS6A', 'RPS30B', 'RPS7B', 'RPL1B', 'RPL27B', 'RPS10B', 'RPL1A', 'RPL12B', 'RPS22A', 'RPL41A', 'RPL27A', 'RPL40B', 'RPL17B', 'GIR2', 'RPS16A', 'RPL13B', 'RPS14A', 'RPL19B', 'RPS18B', 'RPL14A', 'RPS1B', 'RPL22A', 'RPS26A', 'RPL30', 'RPS26B', 'RPS19B', 'RPP2A', 'RPS21A', 'RPL13A', 'RPS28A', 'RPP0', 'RPL23B', 'RPS13', 'RPS31', 'RPL16B', 'RPS25A', 'RPL38', 'RPS8A', 'RPS14B', 'RPL20B', 'RPL21A', 'RPL14B', 'RPL37A', 'RPL26A', 'RPL33B', 'RPL32', 'RPL24A', 'RPS27B', 'RPL42A', 'RPS5', 'TMA46', 'RBG2', 'RPS10A', 'RPL18B', 'RPS24B', 'RPL43A', 'RPL26B', 'RPL4A', 'RPS11B', 'RPS24A', 'RPL42B']
