pathway	freq	padj	NES	stability	overlap	Lead_genes
Methane metabolism  sce00680	1	0.24991414650898244	1.5097440909178197	0.1	38.6	['SHM1', 'SER1', 'DAK1', 'SFA1', 'ENO1', 'FBA1', 'YJL068C', 'SER33', 'SHM2', 'PFK1']
Citrate cycle (TCA cycle)  sce00020	1	0.23413425277448552	1.6263255148074791	0.1	26.79	['PDA1', 'SDH3', 'ACO1', 'PYC1', 'IDP1', 'IDP2', 'IDH1', 'MDH1', 'MDH3', 'SDH4', 'MDH2']
Steroid biosynthesis  sce00100	1	0.22787202923924607	1.4950060618291277	0.1	39.39	['ERG9', 'ERG11', 'ERG3', 'TGL4', 'ERG1', 'ERG6']
Ribosome biogenesis in eukaryotes  sce03008	3	0.21940256312949188	1.613432759078165	0.3	35.193333333333335	['TIF6', 'NMD3', 'NOP56', 'NOP1', 'CKB2', 'GSP2', 'FCF1', 'GSP1', 'SNU13', 'CBF5', 'NHP2', 'NOG1']
Cell cycle - yeast  sce04111	2	0.21692545863044582	1.5458837283715419	0.2	24.72	['PHO85', 'TPD3', 'CDC55', 'SIC1', 'PPH21']
Terpenoid backbone biosynthesis  sce00900	2	0.2153534043232911	1.6879113948811806	0.2	30.505	['STE24', 'MVD1', 'ERG20', 'ERG10', 'IDI1']
Glycosyltransferases  sce01003	1	0.2152239702946921	1.4523656620029295	0.1	22.01	['OCH1', 'GSY2', 'ALG6', 'KTR1', 'KRE2', 'TPS1']
Starch and sucrose metabolism  sce00500	1	0.2123666830529848	1.588893975811683	0.1	15.07	['NTH1', 'EMI2', 'GSY2', 'GPH1', 'GLC3', 'TPS1', 'PGM2']
Cysteine and methionine metabolism  sce00270	3	0.2080516235989803	1.647401640460969	0.3	29.080000000000002	['MDH1', 'MET17', 'GSH1', 'SAM1', 'MET6', 'AAT2', 'CYS4', 'ADI1', 'MDH3', 'SAM2', 'SAH1', 'MDH2']
Tryptophan metabolism  sce00380	1	0.20039873946877615	1.6702211080264748	0.1	34.29	['ALD4', 'HFD1', 'ALD6', 'ERG10', 'BNA3', 'CTT1']
mRNA surveillance pathway  sce03015	2	0.19973957860934344	1.7086729435492964	0.2	42.620000000000005	['PAB1', 'YRA1', 'TPD3', 'SUB2', 'GLC7', 'CDC55', 'SUP45', 'HRP1', 'PPH21', 'PPQ1', 'MTR2']
Lysine degradation  sce00310	2	0.19782093510964122	1.7213040519634217	0.2	42.78	['LYS9', 'ALD4', 'HFD1', 'ALD6', 'ERG10', 'UGA2']
Chromosome and associated proteins  sce03036	1	0.19373164127866474	1.727279808890735	0.1	54.39	['TCP1', 'NAP1', 'HTB2', 'SGF11', 'GSP2', 'YNG2', 'IES3', 'HHO1', 'AHC1', 'HHF2', 'TUB1', 'HHT2', 'ACT1', 'SEC4', 'BDF1', 'HTZ1', 'NSR1', 'ELP6', 'EAF6', 'POM33', 'SNF11', 'TPK1', 'HTA2', 'TAF9', 'CDC42', 'TAF10', 'PPH22', 'CMD1', 'OLA1', 'TPD3', 'ESA1', 'HMT1', 'CDC55', 'HST2', 'RTG2', 'ASF1', 'PPH21']
Basal transcription factors  sce03022	1	0.17444908001711595	1.8496547630541043	0.1	32.38	['TAF10', 'TAF13', 'TFA2', 'TAF9', 'TOA2']
Glycine, serine and threonine metabolism  sce00260	3	0.17141743276306728	1.7026137165492796	0.3	30.463333333333335	['HEM1', 'SHM1', 'SER1', 'YMR226C', 'GCV3', 'CHO1', 'GLY1', 'SER33', 'CYS4', 'SHM2']
RNA polymerase  sce03020	6	0.16443228053031997	1.7844929956314244	0.6	34.754999999999995	['RPB11', 'RPB4', 'RPB8', 'RPB5', 'RPA34', 'RPA14', 'RPC11', 'RPB10', 'RPC40']
Autophagy - yeast  sce04138	2	0.15825152045299307	1.947126418554824	0.2	32.055	['YPT7', 'TPK1', 'SCH9', 'LST8', 'PEP4', 'PHO85', 'ATG8', 'ATG5', 'AVT4', 'ARP3', 'YKT6', 'ATG3', 'SUI2', 'RAS1', 'RAS2', 'LCB2', 'SLT2', 'PPH21']
Amino acid related enzymes  sce01007	2	0.14121193567688312	1.6857044116010282	0.2	27.03	['HEM1', 'SER1', 'SES1', 'UGA1', 'DPS1', 'BNA3', 'ARO9', 'LCB2', 'AAT2', 'DED81']
RNA transport  sce03013	2	0.13293460742060403	1.7787802261577392	0.2	34.05	['TEF1', 'NMD3', 'PRT1', 'GSP2', 'TIF34', 'TIF1', 'PAB1', 'SUB2', 'SUI2', 'SEH1', 'SUI3', 'GCD11', 'SUI1', 'FUN12', 'YRA1', 'TIF2', 'TIF11', 'MTR2', 'TIF35', 'CDC33', 'TIF5']
Pyruvate metabolism  sce00620	3	0.12391728652629763	1.8334373568154678	0.3	44.65666666666667	['LAT1', 'DLD3', 'LYS21', 'ALD4', 'GLO1', 'DLD1', 'PDA1', 'MLS1', 'MDH3', 'MDH2', 'HFD1', 'FUM1', 'PYC1', 'CDC19', 'ALD6', 'ERG10', 'MDH1', 'LYS20', 'ACH1', 'GRE2']
Ribosome biogenesis  sce03009	6	0.11150116622730495	1.8747238929509915	0.6	54.613333333333344	['SSA4', 'NMD3', 'NOP56', 'MRT4', 'SSA2', 'CKB2', 'DIM1', 'GSP2', 'BCP1', 'RPL8A', 'GSP1', 'NIP7', 'KRI1', 'PNO1', 'NOP1', 'SSA1', 'PTC3', 'SSB2', 'RPL8B', 'ERP4', 'NSR1', 'TIF6', 'NOG1', 'KRR1', 'FCF1', 'BUD20', 'ARB1', 'SNU13', 'BRX1', 'POP8', 'REH1', 'MTR2', 'RRS1', 'CMS1', 'FPR3', 'CBF5', 'NHP2']
Pyrimidine metabolism  sce00240	1	0.09610225150780193	1.905788989907263	0.1	24.8	['RPB11', 'RPB4', 'RPB8', 'YMR226C', 'RPB5', 'RNR2', 'FCY1', 'URA8', 'RPA14', 'RPC11', 'RPB10', 'RPC40', 'YNK1']
Purine metabolism  sce00230	6	0.05447405566911201	2.1482692463335	0.6	32.07	['RPB5', 'IMD3', 'ADE12', 'ADK1', 'MET14', 'RPC11', 'PRS1', 'RPB11', 'ADO1', 'RPA14', 'HPT1', 'PRS3', 'APT1', 'ADE13', 'RPB10', 'RPB4', 'RPB8', 'RNR2', 'ADE1', 'CDC19', 'RPA34', 'PGM2', 'RPC40', 'YNK1']
Transcription machinery  sce03021	4	0.04463689968495492	2.406704160389993	0.4	26.715	['BUR6', 'RPB5', 'SGF11', 'TFA2', 'RPC11', 'RPB11', 'TAF13', 'ACT1', 'GLC7', 'NCB2', 'RPA14', 'PPQ1', 'DST1', 'RPB10', 'TAF9', 'RPB4', 'TAF10', 'RPB8', 'LEO1', 'RPC40', 'NAB3', 'ROX3', 'TOA2']
Translation factors  sce03012	7	0.028005497404772654	2.4625152535712047	0.7	35.50857142857143	['PRT1', 'TIF34', 'HYP2', 'EFB1', 'TIF1', 'YEF3', 'SUI2', 'TIF6', 'SUI3', 'GCD11', 'SUI1', 'FUN12', 'SUP45', 'EFT2', 'TIF11', 'TIF2', 'TIF35', 'TIF5', 'CDC33', 'CAM1', 'CAF20', 'TEF4', 'TUF1', 'TEF1']
