pathway	freq	padj	NES	stability	overlap
RNA transport  sce03013	1	0.24926574819563987	1.6825966138682722	1.0	22.73
Proteasome  sce03051	1	0.23756284363434096	-1.6531090190853994	1.0	60.37
Tyrosine metabolism  sce00350	1	0.22294247266970457	-1.709146451953455	1.0	9.41
Purine metabolism  sce00230	1	0.1693840932183237	1.8235160856631702	1.0	19.14
Butanoate metabolism  sce00650	1	0.12882374559526125	1.9124937824227823	1.0	20.49
mRNA surveillance pathway  sce03015	1	0.05697155745797033	2.102069962317393	1.0	34.13
Glycine, serine and threonine metabolism  sce00260	1	0.04209092677864972	2.2126074917934395	1.0	39.31
Translation factors  sce03012	1	0.021683204704152886	2.386546098098967	1.0	30.78
Ribosome  sce03011	1	0.0	-3.6111559119974945	1.0	63.64
Ribosome  sce03010	1	0.0	-3.5829113924050686	1.0	63.64
