pathway	freq	mean_padj	mean_NES
translation (GO:0006412)	1.0	0.0	-3.5421499764794855
cytoplasmic translation (GO:0002181)	1.0	0.000552644265629838	-3.3987364399961235
ribosome assembly (GO:0042255)	1.0	0.042000964187867695	-2.322172380387699
mitotic cytokinesis (GO:0000281)	1.0	0.05250120523483462	-2.249570957642947
ribosomal small subunit biogenesis (GO:0042274)	1.0	0.04244307960037156	-2.2485786699612222
ribosomal small subunit assembly (GO:0000028)	1.0	0.052316990479624674	-2.1950839725230002
G2/M transition of mitotic cell cycle (GO:0000086)	1.0	0.04089567565660802	-2.1906695576185022
cell cycle G2/M phase transition (GO:0044839)	1.0	0.04089567565660802	-2.1906695576185022
ATP synthesis coupled proton transport (GO:0015986)	1.0	0.06815945942768004	-2.109248274763491
energy coupled proton transport, down electrochemical gradient (GO:0015985)	1.0	0.06491058101761371	-2.0882024806024977
ATP biosynthetic process (GO:0006754)	1.0	0.06491058101761371	-2.0882024806024977
positive regulation of cellular process (GO:0048522)	1.0	0.11725269169113064	-1.989238750555245
peptide biosynthetic process (GO:0043043)	1.0	0.15533554973934066	-1.9296196537249652
ubiquitin-dependent protein catabolic process (GO:0006511)	1.0	0.19397813723607318	-1.8826503674518524
ribonucleoprotein complex assembly (GO:0022618)	1.0	0.20801530158307105	-1.859798567545476
