pathway	freq	mean_padj	mean_NES
translation (GO:0006412)	1.0	0.0	-4.001033092594265
cytoplasmic translation (GO:0002181)	1.0	0.0	-3.636289553925839
mitotic cytokinesis (GO:0000281)	0.775	0.08790431878323345	-2.1208024380004686
positive regulation of cellular process (GO:0048522)	0.625	0.07348528325887244	-2.1622253637579236
cell cycle G2/M phase transition (GO:0044839)	0.85	0.1056464279143314	-2.0428861795557647
G2/M transition of mitotic cell cycle (GO:0000086)	0.85	0.1056464279143314	-2.0428861795557647
mitotic cell cycle phase transition (GO:0044772)	0.525	0.10889317928998371	-2.012543897539518
positive regulation of cell cycle (GO:0045787)	0.325	0.08613542954303993	-2.0975799501890133
ribosome biogenesis (GO:0042254)	0.425	0.09754435692374339	-0.09038815689358275
ribosomal large subunit biogenesis (GO:0042273)	0.6	0.10973780948372928	-0.7301498739302065
ATP synthesis coupled proton transport (GO:0015986)	1.0	0.05248256890302346	-2.2420603736011295
energy coupled proton transport, down electrochemical gradient (GO:0015985)	1.0	0.07964422824026712	-2.1265080303476354
ATP biosynthetic process (GO:0006754)	1.0	0.07964422824026712	-2.1265080303476354
ribosomal small subunit biogenesis (GO:0042274)	0.8	0.09909635881129768	-2.0970412546449917
ribosome assembly (GO:0042255)	0.8	0.050687986341194646	-2.2340672843566853
ubiquitin-dependent protein catabolic process (GO:0006511)	0.825	0.0910254982064824	-2.114082908236018
small GTPase mediated signal transduction (GO:0007264)	0.675	0.1142714634209115	-2.0350860863834037
negative regulation of transcription, DNA-templated (GO:0045892)	0.2	0.14860038434232856	-1.9263119508708277
ribosomal small subunit assembly (GO:0000028)	0.675	0.1213250677843089	-2.0164203128339886
peptide biosynthetic process (GO:0043043)	0.325	0.12069532209630754	-1.9527389798762838
maturation of SSU-rRNA (GO:0030490)	0.975	0.09865786231715885	-2.138351905254317
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	0.725	0.08842910456125445	-1.9124735222892943
nucleosome organization (GO:0034728)	0.35	0.19411262971746465	-1.8112407393549108
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	0.625	0.1286676077287427	-1.9509705914207423
ribonucleoprotein complex assembly (GO:0022618)	0.575	0.09301591035851509	-1.938093160518009
proteasomal protein catabolic process (GO:0010498)	0.4	0.1486694729487693	-1.9007175823118456
rRNA-containing ribonucleoprotein complex export from nucleus (GO:0071428)	0.4	0.12961255545866604	-1.9235805111636761
purine-containing compound biosynthetic process (GO:0072522)	0.175	0.15982690445439277	2.1512897549967245
IMP biosynthetic process (GO:0006188)	0.1	0.1725247787757998	2.021935147935496
purine nucleotide biosynthetic process (GO:0006164)	0.05	0.10702939749329379	2.067904144756305
purine nucleotide metabolic process (GO:0006163)	0.05	0.10702939749329379	2.067904144756305
rRNA transport (GO:0051029)	0.35	0.13766098428457899	-1.9004818271045665
rRNA export from nucleus (GO:0006407)	0.35	0.13766098428457899	-1.9004818271045665
chronological cell aging (GO:0001300)	0.075	0.17008159794871391	2.0824805946873295
RNA export from nucleus (GO:0006405)	0.2	0.1153938595497999	-1.9289927085767937
protein transport (GO:0015031)	0.075	0.12419673598233368	-1.910004446181718
arginine biosynthetic process (GO:0006526)	0.225	0.1522122660877999	-1.85297003206778
arginine metabolic process (GO:0006525)	0.3	0.19606488795419785	-1.774054111726269
sterol transport (GO:0015918)	0.1	0.2032497579043214	2.041799429746844
fatty acid biosynthetic process (GO:0006633)	0.05	0.1941670623040614	1.9189978885116628
'de novo' IMP biosynthetic process (GO:0006189)	0.05	0.20717091143084712	1.893140888329763
actin polymerization or depolymerization (GO:0008154)	0.35	0.17564723792057096	-1.8372491497942804
energy reserve metabolic process (GO:0006112)	0.05	0.2299929892429219	-1.733230490506469
regulation of nucleic acid-templated transcription (GO:1903506)	0.025	0.21400857736976078	-1.794649893394316
negative regulation of transcription from RNA polymerase II promoter (GO:0000122)	0.175	0.21448977522807006	-1.776825628340855
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	0.05	0.19767385349980018	-1.8171562334209217
mRNA splicing, via spliceosome (GO:0000398)	0.075	0.22835043267104993	-1.7019538310954407
replicative cell aging (GO:0001302)	0.125	0.18415285707063106	2.041367024060412
chromatin remodeling (GO:0006338)	0.05	0.16750859255836187	-1.8685077659542362
proteasome assembly (GO:0043248)	0.025	0.23071304506842893	-1.7733530880024737
regulation of mitotic nuclear division (GO:0007088)	0.05	0.24861512914397552	-1.7572824364239117
gene expression (GO:0010467)	0.075	0.11755075017086324	-1.9361303313787126
mitochondrial genome maintenance (GO:0000002)	0.3	0.12499327734966359	2.288477202327752
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	0.05	0.0828945036628251	-1.9397704359628576
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	0.15	0.10762085295536128	-1.9948069354370004
ribosomal large subunit assembly (GO:0000027)	0.1	0.16221882496230905	-1.8221368743447353
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	0.05	0.17358082875999153	-1.766224339114305
threonine metabolic process (GO:0006566)	0.05	0.21445515254476133	-1.7158063768282985
vesicle-mediated transport to the plasma membrane (GO:0098876)	0.15	0.21089321252793325	-1.739626758069626
proteasomal ubiquitin-independent protein catabolic process (GO:0010499)	0.225	0.19401602149441707	-1.8224999815897722
post-Golgi vesicle-mediated transport (GO:0006892)	0.05	0.18041472192470165	-1.78182550673549
Golgi organization (GO:0007030)	0.05	0.24872939183359738	-1.758654661371049
hydrogen peroxide catabolic process (GO:0042744)	0.2	0.19072472864642614	-1.8449817609336052
mitochondrion distribution (GO:0048311)	0.15	0.08483455782436289	-2.044695885813011
mitochondrion inheritance (GO:0000001)	0.15	0.08483455782436289	-2.044695885813011
actin nucleation (GO:0045010)	0.3	0.15892125531367476	-1.8778425891688961
Arp2/3 complex-mediated actin nucleation (GO:0034314)	0.3	0.15892125531367476	-1.8778425891688961
cortical actin cytoskeleton organization (GO:0030866)	0.1	0.2191611004625661	-1.729199630500298
actin cortical patch assembly (GO:0000147)	0.1	0.2191611004625661	-1.729199630500298
modification-dependent protein catabolic process (GO:0019941)	0.025	0.14663048262684483	-1.9258934249477961
ribosome localization (GO:0033750)	0.1	0.1659865876176458	-1.8821839767536623
chromatin assembly or disassembly (GO:0006333)	0.1	0.21821299337190542	-1.739123888713641
protein catabolic process (GO:0030163)	0.1	0.21398144669295943	-1.732370350186492
fungal-type cell wall organization (GO:0031505)	0.05	0.23764090271739557	-1.675774876721136
rRNA processing (GO:0006364)	0.05	0.132837584098356	-1.9231935723694262
maturation of LSU-rRNA (GO:0000470)	0.05	0.18160362450943807	-1.7985672242178863
response to reactive oxygen species (GO:0000302)	0.1	0.21706975484573693	-1.7721273987507087
cellular macromolecule biosynthetic process (GO:0034645)	0.025	0.246641740505432	-1.6836022613549726
cellular protein complex disassembly (GO:0043624)	0.025	0.2463919539107509	-1.6776555181883832
