pathway	freq	mean_padj	mean_NES
cytoplasmic translation (GO:0002181)	1.0	0.0	-3.9266515591856943
translation (GO:0006412)	1.0	0.0	-3.6897748221606266
ATP synthesis coupled proton transport (GO:0015986)	1.0	0.0523430259044567	-2.29377441196413
ubiquitin-dependent protein catabolic process (GO:0006511)	1.0	0.12044237083117332	-2.1538263808961666
energy coupled proton transport, down electrochemical gradient (GO:0015985)	1.0	0.09934492671662189	-2.1255127466916703
ATP biosynthetic process (GO:0006754)	1.0	0.09934492671662189	-2.1255127466916703
rRNA-containing ribonucleoprotein complex export from nucleus (GO:0071428)	1.0	0.10026054816101472	-2.102478015252213
ribosome assembly (GO:0042255)	1.0	0.11790533641233486	-2.0567373821913297
ribosomal large subunit biogenesis (GO:0042273)	1.0	0.15999636943130982	-1.991094644960988
maturation of SSU-rRNA (GO:0030490)	1.0	0.17508208052531535	-1.9614063237838784
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	1.0	0.16003953003811622	-1.9601933096813673
ribosome biogenesis (GO:0042254)	1.0	0.19245854082557035	-1.9099916999148834
actin polymerization or depolymerization (GO:0008154)	1.0	0.21044032863628512	-1.8830982383321748
actin nucleation (GO:0045010)	1.0	0.1826664781563693	-1.8827065580136833
Arp2/3 complex-mediated actin nucleation (GO:0034314)	1.0	0.1826664781563693	-1.8827065580136833
rRNA export from nucleus (GO:0006407)	1.0	0.17185855444020295	-1.8716758510390787
rRNA transport (GO:0051029)	1.0	0.17185855444020295	-1.8716758510390787
positive regulation of RNA polymerase II transcriptional preinitiation complex assembly (GO:0045899)	1.0	0.1611895330484182	-1.8625358849423386
positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261)	1.0	0.1611895330484182	-1.8625358849423386
proteasomal protein catabolic process (GO:0010498)	1.0	0.15414487016353268	-1.8618279969441236
ribosomal small subunit assembly (GO:0000028)	1.0	0.1655748778610365	-1.8380634166448284
ribosomal small subunit biogenesis (GO:0042274)	1.0	0.1624187584883188	-1.8323981410948658
positive regulation of cytoskeleton organization (GO:0051495)	1.0	0.1704051127271088	-1.8176687632332793
proteasomal ubiquitin-independent protein catabolic process (GO:0010499)	1.0	0.18426881568405673	-1.7948379763239533
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	1.0	0.1844183671866409	-1.7884523011783144
cellular response to starvation (GO:0009267)	1.0	0.2004154476938303	-1.7646811549862425
mitochondrion inheritance (GO:0000001)	1.0	0.19125042919755206	-1.7604194259586048
mitochondrion distribution (GO:0048311)	1.0	0.19125042919755206	-1.7604194259586048
negative regulation of transcription, DNA-templated (GO:0045892)	1.0	0.21066134070906958	-1.7366130926853436
