pathway	freq	mean_padj	mean_NES
Ribosome  sce03011	1.0	0.0	-3.780344783134845
Ribosome  sce03010	1.0	0.0	-3.7535245519145706
Proteasome  sce03050	1.0	0.004678266478500764	-2.7334354225757527
Cytoskeleton proteins  sce04812	1.0	0.05031595446298691	-2.0773830445572017
Proteasome  sce03051	1.0	0.01046901704661096	-2.582368159374797
Butanoate metabolism  sce00650	0.35	0.2046388812085273	1.838736653473784
Valine, leucine and isoleucine degradation  sce00280	0.525	0.1914260618568899	1.8152426376257011
Amino acid related enzymes  sce01007	0.525	0.17748874066471312	1.8674946503508907
Tryptophan metabolism  sce00380	0.35	0.18003519324692377	1.944621371801636
Endocytosis  sce04144	0.475	0.14565924492287846	-1.7544522740307347
Pyruvate metabolism  sce00620	0.3	0.2173572080632414	1.7341625447737774
Aminoacyl-tRNA biosynthesis  sce00970	0.275	0.1896555814274895	1.7607336733200858
Terpenoid backbone biosynthesis  sce00900	0.325	0.19885698632756096	1.750776310554052
Enzymes with EC numbers sce99980	0.4	0.20607512122284644	1.756988237027077
Citrate cycle (TCA cycle)  sce00020	0.1	0.2234146098981428	1.7316909774013687
MAPK signaling pathway - yeast  sce04011	0.05	0.18726653592168765	-1.7208351211890989
Chromosome and associated proteins  sce03036	0.075	0.22294107739004457	1.6158300748986238
Purine metabolism  sce00230	0.225	0.21746405232551982	1.6756647558410642
Mitochondrial biogenesis  sce03029	0.225	0.21183662090493774	1.698526376266583
Oxidative phosphorylation  sce00190	0.15	0.12699375467376853	-1.809929961875297
Membrane trafficking  sce04131	0.25	0.17833980004903488	-1.6962223148249236
beta-Alanine metabolism  sce00410	0.4	0.21399085528576833	1.7468000428581902
Lysine degradation  sce00310	0.2	0.1891522699127951	1.7266177939642358
Glycerolipid metabolism  sce00561	0.075	0.2316331503495944	1.6095263464282439
Amino sugar and nucleotide sugar metabolism  sce00520	0.025	0.2207804709007951	1.6017868533623218
Glycine, serine and threonine metabolism  sce00260	0.125	0.21513286343670468	1.7138092485693222
Spliceosome  sce03040	0.125	0.15321366012543786	-1.7332719913415011
Exosome  sce04147	0.025	0.1113240170840914	-1.7771111214019197
Ubiquitin mediated proteolysis  sce04120	0.15	0.11601615277555488	-1.806496791573722
Ubiquitin system  sce04121	0.1	0.19613813585698425	-1.6506956172567475
Selenocompound metabolism  sce00450	0.05	0.2287287585932954	-1.5818597677275055
Peptidases  sce01002	0.075	0.23238040494387402	-1.570440816219674
Protein processing in endoplasmic reticulum  sce04141	0.075	0.18986383845401014	-1.6436547583692895
