pathway	freq	padj	NES	stability	overlap	Lead_genes
cellular response to nitrogen starvation (GO:0006995)	1	0.24955760068364594	1.5835503021461803	0.1	42.16	['MSN4', 'GAT1', 'ATG8', 'GCN4', 'BCY1']
nuclear-transcribed mRNA catabolic process (GO:0000956)	1	0.2468789539452294	1.9419727272567082	0.1	45.47	['CDC33', 'RPB4', 'NOT5', 'DCS1', 'EDC2', 'PUB1', 'CDC39', 'DCS2', 'HRB1', 'LSM5', 'CSL4', 'STO1', 'NAB3']
ER to Golgi vesicle-mediated transport (GO:0006888)	1	0.24463699763269262	1.9270303723857685	0.1	43.26	['ATG8', 'YIP1', 'SEC13', 'GOT1', 'SOP4', 'ERP5', 'YET2', 'ERV14', 'SED5', 'ERV29', 'ERV25', 'DSL1', 'SHR3', 'EMP47', 'YPT1', 'SEC21', 'YKT6', 'TRX1', 'SEC28', 'CHS7', 'ARF1', 'PHO86', 'GCS1', 'VTI1']
chromatin silencing at silent mating-type cassette (GO:0030466)	1	0.2443550292250596	-1.7971329831802236	0.1	10.37	['MCM7', 'NUP2', 'MGA2', 'MCM3', 'POL30']
regulation of macromolecule metabolic process (GO:0060255)	1	0.23608833900719686	1.8792559305750498	0.1	38.22	['HRP1', 'TCB2', 'SCS2', 'SLT2', 'TCB1', 'HOG1', 'ASF1', 'VPS74']
nuclear import (GO:0051170)	1	0.23530340040123227	1.7735532049217515	0.1	49.9	['CMD1', 'SRP1', 'MOG1', 'RNA1', 'GSP2', 'WTM1', 'MTR2', 'GSP1', 'RTG2', 'FMP52', 'YRB1', 'NTF2', 'NUP85']
replicative cell aging (GO:0001302)	1	0.2339887487453217	1.658067039543161	0.1	26.74	['LAC1', 'SOD2', 'PNC1', 'PHB1', 'MDH1', 'PGA3', 'RAS1', 'GPA2', 'SNF4', 'HXK2', 'ACS2']
regulation of RNA polymerase II transcriptional preinitiation complex assembly (GO:0045898)	1	0.2302485219829994	-1.9684906352348257	0.1	44.51	['RPT2', 'GCN4', 'RPT5', 'RPT4', 'NCB2', 'RPT1', 'RPT6', 'ESS1']
regulation of autophagy (GO:0010506)	2	0.22732265582574307	1.656576181344672	0.2	41.43	['GAT1', 'ATG8', 'GCN4', 'HOG1', 'TPK1']
establishment of protein localization to mitochondrion (GO:0072655)	1	0.2263485625400984	1.670606891646586	0.1	45.4	['HSP10', 'YDJ1', 'SSA1', 'TOM7', 'TOM40', 'HSP60', 'OM14', 'SSC1', 'TIM23', 'TIM21', 'STI1', 'TOM6', 'TOM22', 'HSP82']
'de novo' pyrimidine nucleobase biosynthetic process (GO:0006207)	1	0.22483197576830277	-1.8065869490724948	0.1	35.18	['URA3', 'URA2', 'URA5', 'CPA2', 'URA4']
vacuolar acidification (GO:0007035)	1	0.2187166257198339	1.9093966805298317	0.1	38.36	['VMA1', 'VMA7', 'VMA4', 'VMA3', 'VMA8', 'VMA5', 'VMA11', 'VMA2', 'RAV2', 'VMA16', 'VPH1', 'VMA6']
intracellular pH reduction (GO:0051452)	1	0.2187166257198339	1.9093966805298317	0.1	38.36	['VMA1', 'VMA7', 'VMA4', 'VMA3', 'VMA8', 'VMA5', 'VMA11', 'VMA2', 'RAV2', 'VMA16', 'VPH1', 'VMA6']
positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261)	1	0.2183119672364728	-1.8484052290396926	0.1	44.51	['RPT2', 'GCN4', 'RPT5', 'RPT4', 'RPT1', 'RPT6', 'ESS1']
positive regulation of RNA polymerase II transcriptional preinitiation complex assembly (GO:0045899)	1	0.2183119672364728	-1.8484052290396926	0.1	44.51	['RPT2', 'GCN4', 'RPT5', 'RPT4', 'RPT1', 'RPT6', 'ESS1']
actin nucleation (GO:0045010)	1	0.2178451124679428	1.8840962889505881	0.1	32.83	['ARP3', 'ARC40', 'ARC15', 'ARC35', 'ARP2']
Arp2/3 complex-mediated actin nucleation (GO:0034314)	1	0.2178451124679428	1.8840962889505881	0.1	32.83	['ARP3', 'ARC40', 'ARC15', 'ARC35', 'ARP2']
organonitrogen compound catabolic process (GO:1901565)	2	0.21690329770656772	-1.9200838920918435	0.2	25.744999999999997	['RPT2', 'APA2', 'DAL7', 'DAL3', 'DPL1', 'AAP1', 'DAL4']
rRNA processing (GO:0006364)	4	0.2122348946130589	0.8434802736964131	0.4	46.9775	['RPS28B', 'SSZ1', 'RPL8A', 'SSB1', 'GLC7', 'RPL8B', 'SSB2', 'RPL7A', 'RPL7B', 'RPL30', 'SNF6', 'RPS7A', 'RVB2', 'RPS28A', 'ZUO1', 'SNU13', 'RPL3', 'RPS7B', 'RPL1B', 'LSM6', 'RPL1A']
calcium ion homeostasis (GO:0055074)	1	0.21104451887106565	2.0730647424442648	0.1	32.0	['CSG2', 'PGM2', 'PMR1', 'VMA2', 'FLC2', 'VCX1']
acetyl-CoA biosynthetic process (GO:0006085)	2	0.20945811496913336	1.849416159408617	0.2	30.34	['PDA1', 'ACS1', 'PDB1', 'LAT1', 'ACS2', 'PDX1']
