pathway	freq	padj	NES	stability	overlap	Lead_genes
Glycerolipid metabolism  sce00561	1	0.24145173904599607	1.4538705599124209	0.1	66.9	['ALD4', 'GCY1', 'HFD1', 'SLC1', 'YJU3', 'DAK1', 'GPT2', 'ALD5', 'SCT1', 'ALD6', 'ADH6', 'TGL4', 'DPP1']
Various types of N-glycan biosynthesis  sce00513	1	0.23692985658743426	-1.4545448833067947	0.1	21.42	['ALG14', 'OCH1', 'WBP1', 'MNN1', 'ALG13']
RNA polymerase  sce03020	1	0.23545487788448585	1.4698349379586675	0.1	48.51	['RPB11', 'RPB4', 'RPB8', 'RPA14', 'RPO21']
Membrane trafficking  sce04131	1	0.23084547431628788	1.5119229080944028	0.1	45.68	['TEF1', 'ATG33', 'DNM1', 'LST8', 'ATG8', 'SSA2', 'TPM1', 'RVS161', 'YIP1', 'PEX5', 'SEC13', 'YPT31', 'RAS2', 'ARC35', 'NYV1', 'ERP5', 'ERV14', 'SED5', 'GYP6', 'INH1', 'SEC4', 'ERV29', 'AVT4', 'ERV25', 'ENT3', 'KES1', 'DSK2', 'SSA1', 'DSL1', 'EMP47', 'PDI1', 'VPS74', 'ARP2', 'YPT7', 'GLK1', 'YPT1', 'SEY1', 'SEC21', 'END3', 'ATG34', 'TDH2', 'ARP3', 'VPS60', 'ARC40', 'ARC19', 'YKT6', 'RAS1', 'ARC15', 'SEC28', 'ARF2', 'ARF1', 'CDC42', 'CAP1', 'APE4', 'PAN1', 'CMD1', 'EMI2', 'TOM7', 'GCS1', 'ATG19', 'SFB3', 'VTI1', 'AAT2', 'YNK1']
Ribosome biogenesis in eukaryotes  sce03008	3	0.23042239228050973	1.5770504188207795	0.3	43.376666666666665	['CKB2', 'GSP2', 'FCF1', 'GSP1', 'SNU13', 'MTR2']
Transcription factors  sce03000	2	0.2228781329424095	-1.6360376498668523	0.2	34.760000000000005	['OPI1', 'HAP1', 'RFA1', 'GZF3', 'ASH1', 'MSN4', 'DAL80', 'UGA3', 'GCN4', 'YHP1', 'CUP2', 'YAP1', 'HCM1', 'RLM1', 'INO4', 'YOX1']
Valine, leucine and isoleucine degradation  sce00280	1	0.2174154140764834	1.5507898428423006	0.1	46.23	['ALD4', 'HFD1', 'ALD5', 'UGA1', 'ALD6', 'ERG10', 'LPD1', 'ERG13']
Longevity regulating pathway - multiple species  sce04213	1	0.21336255307492125	1.7352949679588552	0.1	46.58	['SOD2', 'MSN4', 'PNC1', 'SSA2', 'SSA1', 'SSB2', 'RAS1', 'HST3', 'RAS2', 'SNF4', 'HST2', 'TPK1', 'CTT1']
Glycosyltransferases  sce01003	1	0.20844474367606042	-1.6255291873308635	0.1	47.13	['CHS2', 'ALG14', 'FKS1', 'OCH1', 'GSY2', 'MNN1', 'GSY1', 'GSC2', 'KTR1', 'MNN5', 'TPS1', 'CHS1', 'ALG13', 'GAS1', 'GAS3', 'PMT4']
Inositol phosphate metabolism  sce00562	2	0.20078501095876936	-1.665008375371717	0.2	20.939999999999998	['LSB6', 'TPI1', 'MSS4', 'INM2']
Sulfur metabolism  sce00920	1	0.1860921419640281	-1.6244831129878032	0.1	36.01	['MET10', 'MET3', 'MET17', 'MET5', 'MET22', 'MET16']
Endocytosis  sce04144	2	0.18178587794277157	1.618945032184235	0.2	43.985	['YPT7', 'CAP1', 'VPS60', 'SEC4', 'SSA2', 'ARC40', 'ARC19', 'YPT31', 'GCS1', 'ENT3', 'ARC15', 'SSA1', 'ARC35', 'ARF2', 'ARF1', 'CDC42']
Tryptophan metabolism  sce00380	3	0.17640582256909043	1.7856477302110354	0.3	40.66	['ALD4', 'HFD1', 'BNA1', 'ALD5', 'ARO8', 'ALD6', 'ERG10', 'BNA3', 'CTT1']
GTP-binding proteins  sce04031	3	0.17277971792227842	1.6874111681576809	0.3	44.643333333333324	['YPT7', 'YPT1', 'SEC4', 'RHO4', 'SAR1', 'RHO5', 'YPT31', 'RAS1', 'GPA2', 'GSP2', 'RAS2', 'GSP1', 'ARF2', 'ARF1', 'CDC42']
Lysine degradation  sce00310	4	0.1697737513864579	1.7628379116417559	0.4	30.3375	['LYS9', 'ALD4', 'HFD1', 'ALD5', 'ALD6', 'ERG10', 'UGA2', 'LYS1']
Cysteine and methionine metabolism  sce00270	1	0.16360488602481488	-1.7285997501265336	0.1	30.89	['SAM2', 'CYS3', 'GSH2', 'HOM2', 'SAM4', 'MET17', 'GSH1', 'BAT1', 'YKL069W', 'MET6', 'SAM1', 'CYS4', 'IRC7', 'MDH2']
Oxidative phosphorylation  sce00190	1	0.15481199684900188	1.870719230734333	0.1	70.97	['VMA3', 'QCR7', 'ATP7', 'VMA16', 'ATP2', 'COX5B', 'RIP1', 'ATP1', 'COX4', 'PMA1', 'VMA8', 'VMA11', 'VMA5', 'COX9', 'ATP5', 'ATP4', 'VMA6', 'SDH4', 'COX15', 'VMA1', 'VMA7', 'SDH3', 'VMA4', 'QCR6', 'ATP3', 'ACP1', 'VMA2', 'ATP17', 'ATP20', 'COX8', 'COX13', 'COX6', 'QCR2', 'QCR8', 'ATP16', 'COX12', 'ATP14', 'VMA13', 'IPP1', 'QCR9', 'CYT1', 'COX5A', 'COR1', 'COX7']
SNARE interactions in vesicular transport  sce04130	1	0.14927675988428157	-1.7328804820198374	0.1	52.66	['SED5', 'YKT6', 'SSO2', 'SSO1', 'SNC2', 'VTI1', 'UFE1', 'SNC1', 'TLG1']
mRNA surveillance pathway  sce03015	1	0.14807858679818692	1.6717410728213524	0.1	36.97	['PPH22', 'PAB1', 'HRP1', 'TPD3', 'GLC7', 'YTH1', 'STO1', 'MTR2']
Translation factors  sce03012	1	0.1453032332121676	1.8280069145270532	0.1	29.85	['CDC33', 'GCD11', 'SUI3', 'SUI1', 'CAM1', 'YEF3', 'TEF4', 'TIF1', 'EFT2', 'EFT1', 'TIF34', 'TUF1', 'EFB1', 'TEF1']
Transfer RNA biogenesis  sce03016	8	0.13260805169289103	1.8433244795276345	0.8	53.2025	['GUS1', 'GSP2', 'GSP1', 'KRS1', 'VAS1', 'ARC1', 'TRM5', 'DPS1', 'TEF2', 'MET22', 'SES1', 'GRS1', 'FRS1', 'FRS2', 'CDC60', 'TYS1', 'DED81', 'YDR341C', 'TEF1']
Meiosis - yeast  sce04113	2	0.12812936525434016	-1.8275070345440052	0.2	16.34	['MCM7', 'CLN2', 'CLB1', 'CLB3', 'HXT3', 'HXT7', 'HXT2', 'CDC6', 'SIC1', 'CDC5']
Citrate cycle (TCA cycle)  sce00020	9	0.12735005872273117	1.9049298870317035	0.9	35.497777777777785	['PDA1', 'SDH3', 'LPD1', 'CIT2', 'FUM1', 'PYC1', 'IDP1', 'PDB1', 'IDH1', 'LAT1', 'IDH2', 'MDH1', 'LSC1', 'ACO1', 'SDH4', 'MDH2']
Pyruvate metabolism  sce00620	2	0.11529312268367639	1.9143629245120304	0.2	35.94	['LAT1', 'DLD3', 'LYS20', 'ALD4', 'GLO1', 'PDB1', 'DLD1', 'LPD1', 'PDA1', 'ALD5', 'MDH2', 'GLO2', 'HFD1', 'PYC1', 'CDC19', 'ALD6', 'ERG10', 'MDH1', 'ACS2', 'ACH1', 'GRE2']
Butanoate metabolism  sce00650	4	0.11332851914138042	1.897314692598548	0.4	23.482499999999998	['UGA1', 'ILV6', 'ERG10', 'GAD1', 'BDH1', 'UGA2', 'ERG13']
Ribosome biogenesis  sce03009	1	0.10424565522816066	1.807666141052603	0.1	53.9	['SSA2', 'SSA1', 'SSB2', 'RPL8B', 'CKB2', 'PTC2', 'GSP2', 'FCF1', 'FPR3', 'RPL8A', 'GSP1', 'ERP2', 'ARB1', 'SNU13', 'MTR2', 'REH1']
Messenger RNA biogenesis  sce03019	1	0.09912142266017437	1.7571744552037305	0.1	45.47	['CAF40', 'SEC13', 'GSP2', 'YTH1', 'STO1', 'HRP1', 'PAB1', 'ASC1', 'TUB1', 'ACT1', 'CDC39', 'GLC7', 'NUP60', 'RNA1', 'LSM5', 'MOT2', 'SEH1', 'NOT5', 'DCS1', 'EDC2', 'PUB1', 'GFD1', 'THO1', 'TPK1', 'UBC9', 'MTR2', 'CDC33', 'CAM1', 'NDC1', 'TEF4', 'LSM6', 'CSL4', 'PFK1', 'TEF1', 'NUP85']
beta-Alanine metabolism  sce00410	3	0.08795167234488309	1.9160663347055735	0.3	41.18666666666667	['ALD4', 'HFD1', 'SPE3', 'ALD5', 'UGA1', 'ALD6', 'GAD1', 'PAN6', 'ALD2', 'ALD3']
Phagosome  sce04145	2	0.08349202017709757	1.8871308638686093	0.2	42.78	['VMA1', 'YPT7', 'VMA7', 'VMA4', 'VMA3', 'VMA8', 'TUB1', 'SSS1', 'ACT1', 'VMA2', 'VMA5', 'VMA11', 'SSH1', 'VMA16', 'VPH1', 'VMA6']
DNA replication proteins  sce03032	8	0.07218331991627373	-2.008074655949544	0.8	13.600000000000001	['MCM7', 'PRI2', 'MCM3', 'POL30', 'CDC6', 'RAD27', 'HST3', 'SMB1']
Amino acid related enzymes  sce01007	10	0.06670360082901092	2.1015880384607053	1.0	39.75	['GUS1', 'ALT1', 'UGA1', 'ARO9', 'KRS1', 'VAS1', 'SER1', 'DPS1', 'CAR2', 'HEM1', 'SES1', 'BNA3', 'GRS1', 'FRS1', 'FRS2', 'CDC60', 'ARO8', 'AAT2', 'DED81', 'YDR341C']
Aminoacyl-tRNA biosynthesis  sce00970	8	0.06664635701873502	2.1099443517501655	0.8	40.832499999999996	['GUS1', 'SES1', 'CDC60', 'YDR341C', 'DED81', 'DPS1', 'GRS1', 'VAS1', 'FRS1', 'KRS1', 'FRS2']
Arginine and proline metabolism  sce00330	1	0.060139725552839744	1.8896595326505485	0.1	49.9	['PUT2', 'PRO2', 'ALD4', 'HFD1', 'SPE3', 'ALD5', 'PRO3', 'PUT1', 'ALD6', 'FCY1', 'AAT2', 'CAR2']
Autophagy - yeast  sce04138	2	0.054319670542390994	1.948780065767013	0.2	50.415000000000006	['MSN4', 'LST8', 'PRB1', 'ATG8', 'RAS2', 'SLT2', 'AVT4', 'SUI2', 'ARP2', 'YPT7', 'SCH9', 'PEP4', 'ARP3', 'YKT6', 'RAS1', 'TPK1', 'PPH22', 'GCN4', 'VTI1']
Mitochondrial biogenesis  sce03029	2	0.05379226823236824	1.9865309670769031	0.2	56.67	['TIM23', 'DNM1', 'PAM17', 'CBP3', 'ATG8', 'SSA2', 'YDJ1', 'TPM1', 'CDC37', 'ISU2', 'NFU1', 'ISU1', 'NUM1', 'HSC82', 'PHB1', 'MDM31', 'ACT1', 'SSA1', 'MZM1', 'ISA1', 'SSB2', 'TIM13', 'MAS2', 'TOM22', 'HSP82', 'COX15', 'HSP10', 'YDR341C', 'GRS1', 'RSP5', 'TIM21', 'SAM35', 'MRS4', 'PET9', 'GRX5', 'OXA1', 'CDC60', 'TOM7', 'TYS1', 'TOM40', 'ABF2', 'COX20', 'TIM17', 'MAS1', 'SSC1', 'POR1', 'TUF1', 'PHB2', 'TOM6']
DNA replication  sce03030	5	0.04732377936478367	-1.9744525220011084	0.5	11.282	['MCM7', 'PRI2', 'MCM3', 'POL30', 'RAD27']
