pathway	freq	padj	NES	stability	overlap
regulation of exit from mitosis (GO:0007096)	1	0.24863387978142074	-1.5532023122746972	0.037037037037037035	32.27
cellular protein complex assembly (GO:0043623)	2	0.24835836465789185	-1.6263072867157091	0.07407407407407407	41.05
serine family amino acid metabolic process (GO:0009069)	2	0.24833777648138838	1.8189732503732445	0.07407407407407407	35.525
organelle inheritance (GO:0048308)	1	0.247545816831212	1.7289238003857583	0.037037037037037035	24.33
cytosolic transport (GO:0016482)	1	0.2466682485494064	1.7737624466689055	0.037037037037037035	23.15
mitochondrial gene expression (GO:0140053)	1	0.24473965449072027	2.0553615484962022	0.037037037037037035	22.39
'de novo' IMP biosynthetic process (GO:0006189)	2	0.24409635074428768	1.6353618665393526	0.07407407407407407	40.84
regulation of Arp2/3 complex-mediated actin nucleation (GO:0034315)	2	0.24341234929512592	-1.518131729044698	0.07407407407407407	45.2
purine nucleotide biosynthetic process (GO:0006164)	3	0.24327865079435088	1.62866832034166	0.1111111111111111	40.63333333333333
purine nucleotide metabolic process (GO:0006163)	3	0.24327865079435088	1.62866832034166	0.1111111111111111	40.63333333333333
pyrimidine nucleobase biosynthetic process (GO:0019856)	1	0.24274848034414634	-1.5858556533182	0.037037037037037035	49.48
'de novo' pyrimidine nucleobase biosynthetic process (GO:0006207)	6	0.23930823944462778	-1.6633347300095433	0.2222222222222222	33.656666666666666
regulation of macromolecule metabolic process (GO:0060255)	2	0.23799135549306377	1.9327286784651283	0.07407407407407407	42.155
amino acid catabolic process to alcohol via Ehrlich pathway (GO:0000947)	1	0.23753350345868043	1.788719601544895	0.037037037037037035	41.47
cellular response to nitrogen starvation (GO:0006995)	4	0.2374933518837211	1.661196173211235	0.14814814814814814	41.29
cellular glucan metabolic process (GO:0006073)	1	0.23704076129823937	-1.6409717045792853	0.037037037037037035	33.72
proteasome regulatory particle assembly (GO:0070682)	4	0.2364544141295184	-1.5772291966858771	0.14814814814814814	29.75
mRNA export from nucleus (GO:0006406)	1	0.2363596460287974	1.7983760078605229	0.037037037037037035	40.7
organic hydroxy compound biosynthetic process (GO:1901617)	6	0.23533486721708397	1.7244999400166199	0.2222222222222222	38.906666666666666
sphingolipid biosynthetic process (GO:0030148)	5	0.23503841519488597	1.6864038309331086	0.18518518518518517	38.506
aerobic respiration (GO:0009060)	1	0.23373755939229218	1.9101434515625306	0.037037037037037035	49.76
positive regulation of protein phosphorylation (GO:0001934)	1	0.23341001272607884	-1.6180627736007924	0.037037037037037035	41.47
protein targeting to peroxisome (GO:0006625)	4	0.2316016117538116	1.6727986282318064	0.14814814814814814	39.46
protein import into peroxisome matrix (GO:0016558)	4	0.2316016117538116	1.6727986282318064	0.14814814814814814	39.46
chromatin remodeling (GO:0006338)	5	0.23157126962573452	-1.7442632489890038	0.18518518518518517	23.276
mitochondrial transport (GO:0006839)	1	0.2309657359811259	1.731178395385209	0.037037037037037035	71.39
regulation of nuclear division (GO:0051783)	2	0.23050946382635185	-1.5419350883876053	0.07407407407407407	9.4
