pathway	freq	padj	NES	stability	overlap
establishment of protein localization to membrane (GO:0090150)	1	0.2417392119049664	1.7502838337794193	0.037037037037037035	48.51
regulation of phospholipid metabolic process (GO:1903725)	1	0.24022688767264466	1.8512878496827367	0.037037037037037035	38.36
cell morphogenesis (GO:0000902)	1	0.2394471080354413	1.894899259822448	0.037037037037037035	32.69
coenzyme biosynthetic process (GO:0009108)	1	0.23749754512318827	1.8657519775376539	0.037037037037037035	11.96
iron-sulfur cluster assembly (GO:0016226)	1	0.23683800348777911	1.8867157332157398	0.037037037037037035	20.18
metallo-sulfur cluster assembly (GO:0031163)	1	0.23683800348777911	1.8867157332157398	0.037037037037037035	20.18
cellular protein complex disassembly (GO:0043624)	1	0.2342208705320645	1.7329735640193413	0.037037037037037035	43.95
nuclear transport (GO:0051169)	3	0.23090533962844337	1.7765766835892116	0.1111111111111111	49.11333333333334
organelle inheritance (GO:0048308)	1	0.22816707135848932	1.8491303183503878	0.037037037037037035	25.36
glutamate metabolic process (GO:0006536)	1	0.22718331918995086	2.1127394891834532	0.037037037037037035	49.97
cytosolic transport (GO:0016482)	1	0.2263639155430288	1.7699412590272434	0.037037037037037035	24.19
'de novo' cotranslational protein folding (GO:0051083)	4	0.2251716574231765	1.8209821362710998	0.14814814814814814	28.005
sterol transport (GO:0015918)	4	0.2245233407052955	1.8599168825602144	0.14814814814814814	29.405
endoplasmic reticulum organization (GO:0007029)	1	0.2221371632014116	1.8076110040847564	0.037037037037037035	41.12
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	1	0.22142831987916686	2.265569082336477	0.037037037037037035	35.59
intra-Golgi vesicle-mediated transport (GO:0006891)	1	0.21967478913083646	1.82639329600174	0.037037037037037035	15.34
retrograde transport, endosome to Golgi (GO:0042147)	1	0.21687726628350143	1.802711238096471	0.037037037037037035	43.33
mitochondrion inheritance (GO:0000001)	1	0.21008304946731776	1.8429467814816332	0.037037037037037035	9.88
mitochondrion distribution (GO:0048311)	1	0.21008304946731776	1.8429467814816332	0.037037037037037035	9.88
peroxisome organization (GO:0007031)	1	0.20841909663251748	1.8262769757156712	0.037037037037037035	45.54
maturation of SSU-rRNA (GO:0030490)	3	0.20338104491528888	1.8107597210855164	0.1111111111111111	50.93333333333334
nucleocytoplasmic transport (GO:0006913)	5	0.20277667102247268	1.8232127059538843	0.18518518518518517	50.144
cellular protein metabolic process (GO:0044267)	1	0.20078213555305677	1.8723580655707996	0.037037037037037035	56.12
chronological cell aging (GO:0001300)	11	0.20067400814649797	1.9049802753756895	0.4074074074074074	21.64272727272727
regulation of transcription from RNA polymerase I promoter (GO:0006356)	1	0.20005947745921687	1.9974364561671096	0.037037037037037035	28.2
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	1	0.18767719849019193	1.8171609407448364	0.037037037037037035	51.0
aerobic respiration (GO:0009060)	1	0.18538732738819605	2.059756095708204	0.037037037037037035	52.52
macromolecule biosynthetic process (GO:0009059)	11	0.18538280082073078	1.86853409876272	0.4074074074074074	20.732727272727274
maintenance of translational fidelity (GO:1990145)	11	0.18538280082073078	1.86853409876272	0.4074074074074074	20.732727272727274
protein transmembrane import into intracellular organelle (GO:0044743)	5	0.18402389114951878	1.9544657403312695	0.18518518518518517	45.556
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	1	0.18256058287910032	2.195202069631718	0.037037037037037035	36.35
ribosomal large subunit assembly (GO:0000027)	5	0.1798584343820822	1.9105936466637015	0.18518518518518517	55.688
cellular macromolecule biosynthetic process (GO:0034645)	5	0.17413667805274322	1.8957994849923772	0.18518518518518517	57.970000000000006
cellular respiration (GO:0045333)	2	0.17223603512385566	2.2032801759506064	0.07407407407407407	53.870000000000005
cellular response to oxidative stress (GO:0034599)	14	0.17194730483132337	2.0072341824715974	0.5185185185185185	34.72285714285714
tRNA aminoacylation for protein translation (GO:0006418)	12	0.1707319260073543	1.9684892965966434	0.4444444444444444	39.55916666666667
purine-containing compound biosynthetic process (GO:0072522)	5	0.1697160789402699	1.9459737561422727	0.18518518518518517	41.019999999999996
cellular protein catabolic process (GO:0044257)	14	0.16963371656138929	1.9585190886797377	0.5185185185185185	18.916428571428575
regulation of macromolecule metabolic process (GO:0060255)	1	0.16862316203564215	2.0487901916444073	0.037037037037037035	33.45
organelle fission (GO:0048285)	1	0.16629557806028394	1.9846076729761326	0.037037037037037035	34.28
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	9	0.14995778194369166	1.9709162132793518	0.3333333333333333	55.77777777777778
intracellular pH reduction (GO:0051452)	2	0.1491189279087674	1.9733901984089832	0.07407407407407407	31.445
vacuolar acidification (GO:0007035)	2	0.1491189279087674	1.9733901984089832	0.07407407407407407	31.445
respiratory electron transport chain (GO:0022904)	1	0.14761887991944458	2.170346557877504	0.037037037037037035	36.35
ribosome assembly (GO:0042255)	11	0.14279322035970543	2.0053538764243966	0.4074074074074074	60.53272727272727
acetyl-CoA biosynthetic process (GO:0006085)	2	0.14032341349010025	2.130733701980221	0.07407407407407407	30.615
ribonucleoprotein complex assembly (GO:0022618)	10	0.139114157213436	2.026863371103786	0.37037037037037035	62.44599999999999
isoleucine metabolic process (GO:0006549)	2	0.13561102754908697	2.10730951599354	0.07407407407407407	24.119999999999997
translational elongation (GO:0006414)	14	0.12140694164548031	2.1125343099024367	0.5185185185185185	36.62214285714286
mRNA export from nucleus (GO:0006406)	1	0.12097510332804451	2.048764224361058	0.037037037037037035	25.78
mitochondrial gene expression (GO:0140053)	1	0.11417210240739653	2.2529325534105484	0.037037037037037035	23.77
small GTPase mediated signal transduction (GO:0007264)	2	0.11357629217398751	2.1998395253841667	0.07407407407407407	32.62
transcription, DNA-templated (GO:0006351)	1	0.08952354834707776	2.132209155552784	0.037037037037037035	21.15
Golgi vesicle transport (GO:0048193)	1	0.08540754158175946	2.037885465265632	0.037037037037037035	27.99
ER to Golgi vesicle-mediated transport (GO:0006888)	1	0.08434115911025054	2.0657297650622857	0.037037037037037035	35.66
mitochondrial translation (GO:0032543)	1	0.08112895507853492	2.1248405418484424	0.037037037037037035	23.77
Ras protein signal transduction (GO:0007265)	1	0.0786076221855143	2.131404841223824	0.037037037037037035	41.33
acetyl-CoA metabolic process (GO:0006084)	3	0.07471642948842765	2.3279732905411135	0.1111111111111111	15.920000000000002
actin filament organization (GO:0007015)	4	0.07225511410176498	2.3037942441034565	0.14814814814814814	28.6475
sterol biosynthetic process (GO:0016126)	1	0.07052665891115778	2.1281051811781415	0.037037037037037035	24.4
fungal-type cell wall organization (GO:0031505)	13	0.06498926889651034	2.1935586962644273	0.48148148148148145	32.686923076923065
outer mitochondrial membrane organization (GO:0007008)	3	0.06482453660603983	2.2553027058208186	0.1111111111111111	18.72666666666667
ribosome biogenesis (GO:0042254)	15	0.06144915108863567	2.2831557426520113	0.5555555555555556	61.810666666666656
ribosomal large subunit biogenesis (GO:0042273)	15	0.04392115365935401	2.41800926384404	0.5555555555555556	61.24666666666667
