pathway	freq	mean_padj
GOBP_ANIMAL_ORGAN_MORPHOGENESIS	1.0	0.08972381147905534
GOBP_BEHAVIOR	1.0	0.08959567970399189
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS	1.0	0.0228299858607033
GOBP_BRAIN_MORPHOGENESIS	1.0	0.08959567970399189
GOBP_CELL_CELL_SIGNALING	1.0	0.00806093538719452
GOBP_CELL_JUNCTION_ASSEMBLY	1.0	0.08972381147905534
GOBP_CELL_JUNCTION_ORGANIZATION	1.0	0.021576125950299688
GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	1.0	0.08959567970399189
GOBP_CHROMATIN_ORGANIZATION	1.0	0.08959567970399189
GOBP_DENDRITE_EXTENSION	1.0	0.08959567970399189
GOBP_DENSE_CORE_GRANULE_EXOCYTOSIS	1.0	0.01687914619927546
GOBP_DEVELOPMENTAL_GROWTH	1.0	0.04462255276407417
GOBP_GLOMERULUS_MORPHOGENESIS	1.0	0.018333597744243795
GOBP_HEAD_DEVELOPMENT	1.0	0.04084692396432114
GOBP_HISTONE_H3_K4_METHYLATION	1.0	0.04084692396432114
GOBP_HISTONE_H3_K9_METHYLATION	1.0	0.01687914619927546
GOBP_HISTONE_H3_K9_MODIFICATION	1.0	0.0228299858607033
GOBP_HISTONE_METHYLATION	1.0	0.010005781942390265
GOBP_HISTONE_MODIFICATION	1.0	0.05318593073358695
GOBP_METHYLATION	1.0	0.07196930898475233
GOBP_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	1.0	0.05318593073358695
GOBP_NEGATIVE_REGULATION_OF_ORGAN_GROWTH	1.0	0.08972381147905534
GOBP_NEURON_DEVELOPMENT	1.0	0.05318593073358695
GOBP_NEURON_DIFFERENTIATION	1.0	0.055763496700732725
GOBP_NEURON_MIGRATION	1.0	0.010005781942390265
GOBP_NEUROTRANSMITTER_SECRETION	1.0	0.029453838002922807
GOBP_NEUROTRANSMITTER_TRANSPORT	1.0	0.01687914619927546
GOBP_PEPTIDYL_LYSINE_METHYLATION	1.0	0.00806093538719452
GOBP_PEPTIDYL_LYSINE_MODIFICATION	1.0	0.08504968813222229
GOBP_PROTEIN_METHYLATION	1.0	0.01687914619927546
GOBP_REGULATION_OF_DEVELOPMENTAL_GROWTH	1.0	0.05318593073358695
GOBP_REGULATION_OF_HISTONE_H3_K9_METHYLATION	1.0	0.056937816991722213
GOBP_REGULATION_OF_HISTONE_METHYLATION	1.0	0.04462255276407417
GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS	1.0	0.017493271195316337
GOBP_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	1.0	0.029453838002922807
GOBP_REGULATION_OF_ORGAN_GROWTH	1.0	0.06277605061328574
GOBP_REGULATION_OF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	1.0	0.04232914983314597
GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY	1.0	0.06151760063038952
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	1.0	0.0008716334820931702
GOBP_SYNAPSE_ASSEMBLY	1.0	0.04462255276407417
GOBP_SYNAPSE_ORGANIZATION	1.0	0.011830823358765242
GOBP_SYNAPTIC_SIGNALING	1.0	0.0008716334820931702
GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	1.0	0.055763496700732725
GOBP_SYNAPTIC_VESICLE_EXOCYTOSIS	1.0	0.07196930898475233
GOBP_SYNAPTIC_VESICLE_PRIMING	1.0	0.04462255276407417
GOBP_TELENCEPHALON_DEVELOPMENT	1.0	0.08959567970399189
GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	1.0	0.05318593073358695
GOBP_VOCALIZATION_BEHAVIOR	1.0	0.04462255276407417
