pathway	freq	mean_padj
GOBP_ADULT_BEHAVIOR	1.0	0.03327847630038557
GOBP_ANATOMICAL_STRUCTURE_MATURATION	1.0	0.09385559120854739
GOBP_BEHAVIOR	1.0	3.6016178140776936e-07
GOBP_BIOLOGICAL_ADHESION	1.0	0.06494000030238992
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS	1.0	0.0001522520274594961
GOBP_CELLULAR_COMPONENT_MORPHOGENESIS	1.0	0.042371407611434354
GOBP_CELL_CELL_SIGNALING	1.0	0.04465849702921489
GOBP_CELL_CELL_SIGNALING_BY_WNT	1.0	0.054089772872377116
GOBP_CELL_JUNCTION_ORGANIZATION	1.0	0.03159223232311085
GOBP_CELL_MORPHOGENESIS	1.0	0.0020358120358239273
GOBP_CELL_PART_MORPHOGENESIS	1.0	0.028080891231618037
GOBP_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_CELL_CELL_SIGNALING	1.0	0.016414497202813585
GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	1.0	0.0006134690139563148
GOBP_COGNITION	1.0	6.811998464515339e-05
GOBP_DEVELOPMENTAL_MATURATION	1.0	0.05324148494518171
GOBP_HEAD_DEVELOPMENT	1.0	0.007466589205100439
GOBP_LEARNING	1.0	0.03869780808339982
GOBP_LOCOMOTORY_BEHAVIOR	1.0	0.06602648122587462
GOBP_MACROPHAGE_ACTIVATION	1.0	0.078857718018847
GOBP_MEMORY	1.0	0.09790766077187359
GOBP_MITOTIC_RECOMBINATION	1.0	0.06929497610096699
GOBP_MYELOID_LEUKOCYTE_ACTIVATION	1.0	0.0891962926423655
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	1.0	0.028379251559087
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION	1.0	0.03327847630038557
GOBP_NEGATIVE_REGULATION_OF_CELL_KILLING	1.0	0.0756010647063912
GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	1.0	0.04240564246112873
GOBP_NEGATIVE_REGULATION_OF_GLIAL_CELL_DIFFERENTIATION	1.0	0.07318868277307107
GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_ACTIVATION	1.0	0.05365774316587918
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1.0	0.06155016420182621
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	1.0	0.027123398627019436
GOBP_NEGATIVE_REGULATION_OF_SIGNALING	1.0	0.078857718018847
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1.0	0.04059344430088872
GOBP_NERVOUS_SYSTEM_PROCESS	1.0	0.0013126370400140318
GOBP_NEUROGENESIS	1.0	0.026332157858089334
GOBP_NEURON_DEVELOPMENT	1.0	0.06768724800053476
GOBP_NEURON_DIFFERENTIATION	1.0	0.07466104671163774
GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	1.0	0.05755428238189842
GOBP_POSITIVE_REGULATION_OF_MONOOXYGENASE_ACTIVITY	1.0	0.08816737945648465
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1.0	0.05365774316587918
GOBP_POSITIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY	1.0	0.03575610886987568
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	1.0	0.06266021806840864
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1.0	0.026332157858089334
GOBP_PRESYNAPSE_ORGANIZATION	1.0	0.0300943549956827
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME	1.0	0.06768724800053476
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME_TELOMERIC_REGION	1.0	0.07896864385896683
GOBP_PROXIMAL_DISTAL_PATTERN_FORMATION	1.0	0.0930195940478638
GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS	1.0	0.026285936119669263
GOBP_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS	1.0	0.0930195940478638
GOBP_REGULATION_OF_CELL_DEVELOPMENT	1.0	0.06768724800053476
GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	1.0	0.06768724800053476
GOBP_REGULATION_OF_CELL_MORPHOGENESIS	1.0	0.0220623161492179
GOBP_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	1.0	0.06872565850186935
GOBP_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY	1.0	0.078857718018847
GOBP_REGULATION_OF_PRESYNAPSE_ORGANIZATION	1.0	0.016846851229226984
GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	1.0	0.0930195940478638
GOBP_REGULATION_OF_SYNAPSE_ASSEMBLY	1.0	0.07590569664836685
GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY	1.0	0.026332157858089334
GOBP_SPLEEN_DEVELOPMENT	1.0	0.0930195940478638
GOBP_SUBPALLIUM_DEVELOPMENT	1.0	0.06768724800053476
GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	1.0	0.0930195940478638
GOBP_SYNAPSE_MATURATION	1.0	0.06768724800053476
GOBP_SYNAPSE_ORGANIZATION	1.0	0.04240564246112873
GOBP_SYNAPTIC_MEMBRANE_ADHESION	1.0	0.06768724800053476
GOBP_TELOMERE_MAINTENANCE_VIA_RECOMBINATION	1.0	0.042371407611434354
GOBP_VOCALIZATION_BEHAVIOR	1.0	0.05365774316587918
