pathway	freq	mean_padj
KEGG_VIRAL_MYOCARDITIS	0.16	0.04375595078908971
KEGG_ADHERENS_JUNCTION	0.08	0.05840876186725674
KEGG_CALCIUM_SIGNALING_PATHWAY	0.48	0.04633914265457852
KEGG_DILATED_CARDIOMYOPATHY	0.56	0.05176221013690101
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.32	0.04751658372372549
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.12	0.05295790902739705
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.2	0.047984067759723595
KEGG_MTOR_SIGNALING_PATHWAY	0.04	0.08442534859699778
KEGG_TYPE_II_DIABETES_MELLITUS	0.12	0.0709038914706131
KEGG_GNRH_SIGNALING_PATHWAY	0.36	0.05758522889147234
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.16	0.04607739524164431
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.24	0.04322540290271049
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.04	0.06287452339516042
