pathway	freq	padj	stability	overlap
GOBP_SYNAPTIC_SIGNALING	1	0.0008716334820931702	1.0	0.014844804318488529
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	1	0.0008716334820931702	1.0	0.02097902097902098
GOBP_CELL_CELL_SIGNALING	1	0.00806093538719452	1.0	0.008573178199632579
GOBP_PEPTIDYL_LYSINE_METHYLATION	1	0.00806093538719452	1.0	0.034722222222222224
GOBP_NEURON_MIGRATION	1	0.010005781942390265	1.0	0.03048780487804878
GOBP_HISTONE_METHYLATION	1	0.010005781942390265	1.0	0.031446540880503145
GOBP_SYNAPSE_ORGANIZATION	1	0.011830823358765242	1.0	0.01674641148325359
GOBP_HISTONE_H3_K9_METHYLATION	1	0.01687914619927546	1.0	0.07692307692307693
GOBP_NEUROTRANSMITTER_TRANSPORT	1	0.01687914619927546	1.0	0.02403846153846154
GOBP_DENSE_CORE_GRANULE_EXOCYTOSIS	1	0.01687914619927546	1.0	0.25
GOBP_PROTEIN_METHYLATION	1	0.01687914619927546	1.0	0.025
GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS	1	0.017493271195316337	1.0	0.02336448598130841
GOBP_GLOMERULUS_MORPHOGENESIS	1	0.018333597744243795	1.0	0.2222222222222222
GOBP_CELL_JUNCTION_ORGANIZATION	1	0.021576125950299688	1.0	0.011644832605531296
GOBP_HISTONE_H3_K9_MODIFICATION	1	0.0228299858607033	1.0	0.05660377358490566
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS	1	0.0228299858607033	1.0	0.05555555555555555
GOBP_NEUROTRANSMITTER_SECRETION	1	0.029453838002922807	1.0	0.0273972602739726
GOBP_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	1	0.029453838002922807	1.0	0.04918032786885246
GOBP_HEAD_DEVELOPMENT	1	0.04084692396432114	1.0	0.010062893081761006
GOBP_HISTONE_H3_K4_METHYLATION	1	0.04084692396432114	1.0	0.04225352112676056
GOBP_REGULATION_OF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	1	0.04232914983314597	1.0	0.11764705882352941
GOBP_VOCALIZATION_BEHAVIOR	1	0.04462255276407417	1.0	0.10526315789473684
GOBP_DEVELOPMENTAL_GROWTH	1	0.04462255276407417	1.0	0.010954616588419406
GOBP_SYNAPSE_ASSEMBLY	1	0.04462255276407417	1.0	0.022222222222222223
GOBP_SYNAPTIC_VESICLE_PRIMING	1	0.04462255276407417	1.0	0.10526315789473684
GOBP_REGULATION_OF_HISTONE_METHYLATION	1	0.04462255276407417	1.0	0.0375
GOBP_NEURON_DEVELOPMENT	1	0.05318593073358695	1.0	0.00819672131147541
GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	1	0.05318593073358695	1.0	0.020202020202020204
GOBP_HISTONE_MODIFICATION	1	0.05318593073358695	1.0	0.012048192771084338
GOBP_REGULATION_OF_DEVELOPMENTAL_GROWTH	1	0.05318593073358695	1.0	0.015197568389057751
GOBP_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	1	0.05318593073358695	1.0	0.08695652173913043
GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	1	0.055763496700732725	1.0	0.031914893617021274
GOBP_NEURON_DIFFERENTIATION	1	0.055763496700732725	1.0	0.007374631268436578
GOBP_REGULATION_OF_HISTONE_H3_K9_METHYLATION	1	0.056937816991722213	1.0	0.08
GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY	1	0.06151760063038952	1.0	0.018779342723004695
GOBP_REGULATION_OF_ORGAN_GROWTH	1	0.06277605061328574	1.0	0.0297029702970297
GOBP_METHYLATION	1	0.07196930898475233	1.0	0.013262599469496022
GOBP_SYNAPTIC_VESICLE_EXOCYTOSIS	1	0.07196930898475233	1.0	0.027777777777777776
GOBP_PEPTIDYL_LYSINE_MODIFICATION	1	0.08504968813222229	1.0	0.012626262626262626
GOBP_DENDRITE_EXTENSION	1	0.08959567970399189	1.0	0.05555555555555555
GOBP_CHROMATIN_ORGANIZATION	1	0.08959567970399189	1.0	0.01015228426395939
GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	1	0.08959567970399189	1.0	0.007789678675754625
GOBP_BRAIN_MORPHOGENESIS	1	0.08959567970399189	1.0	0.05555555555555555
GOBP_BEHAVIOR	1	0.08959567970399189	1.0	0.010050251256281407
GOBP_TELENCEPHALON_DEVELOPMENT	1	0.08959567970399189	1.0	0.01606425702811245
GOBP_NEGATIVE_REGULATION_OF_ORGAN_GROWTH	1	0.08972381147905534	1.0	0.05405405405405406
GOBP_CELL_JUNCTION_ASSEMBLY	1	0.08972381147905534	1.0	0.011876484560570071
GOBP_ANIMAL_ORGAN_MORPHOGENESIS	1	0.08972381147905534	1.0	0.007714561234329798
