pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION	1	0.21744587419896022	2.1228687634869625	1.0	44.8	['IL1R2', 'RAC1', 'ANXA1', 'EPHB2', 'VSIG4', 'IGF1', 'CHRNA7', 'PTPRC', 'DLL1', 'CX3CR1', 'HLA-DRB1', 'THBS1']
GOBP_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION	1	0.21029718980043408	2.1390265253567433	1.0	44.8	['HLA-A', 'HLA-DPB1', 'CORO1A', 'IGF1', 'CD276', 'PTPRC', 'ANXA1', 'LILRB2', 'CARD11', 'LEP']
GOBP_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS	1	0.20438137106341453	2.157045983665011	1.0	37.9	['BST1', 'RAC1', 'SERPINE1', 'MAPK3', 'CX3CR1', 'STK39', 'DPP4', 'THBS1']
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1	0.1889826086394361	-2.2568149210903856	1.0	42.89	['TRIP12', 'SGSM3', 'HUWE1', 'WWP1', 'TAF1', 'SMG6', 'HNRNPU', 'CECR2', 'AGAP2', 'SND1', 'UPF2', 'WDR26', 'AGO1', 'CHMP1A', 'PHB', 'UBR1', 'NR1D1', 'HECW2', 'PJA1', 'CSDE1', 'OPHN1', 'HERC2', 'BTRC', 'TBL1X', 'SMURF1', 'FHIT', 'XPO1', 'UBE3C', 'SMAD4', 'EXT1', 'USP9X', 'AGO4', 'OTUD7A', 'LRP1', 'USP45', 'UBE2H', 'PTEN', 'BRSK2', 'MIB1', 'USP7', 'PRKCA', 'UBE3A', 'USP15', 'TBL1XR1', 'AGO3', 'GRIN2A', 'RLIM', 'TLK2', 'FBXO33', 'FBXO11', 'SNX5', 'KCTD13']
GOBP_T_CELL_PROLIFERATION	1	0.1425971583182297	2.223672445626298	1.0	57.11	['HLA-G', 'PIK3CG', 'CADM1', 'CTNNB1', 'DOCK8', 'HLA-A', 'CORO1A', 'HLA-DPB1', 'DLG1', 'VSIG4', 'IGF1', 'CD276', 'PTPRC', 'ANXA1', 'LILRB2', 'CARD11', 'HLA-DRB1', 'LEP']
GOBP_CHROMOSOME_ORGANIZATION	1	0.1285119124031774	-2.336021706479145	1.0	41.83	['JARID2', 'ACTL6B', 'SMC3', 'XRCC6', 'APBB1', 'EP300', 'NSD1', 'ZNF827', 'SETD5', 'UIMC1', 'SMG6', 'CTCF', 'KDM5B', 'CECR2', 'HNRNPU', 'ZMYND11', 'SETD2', 'ASH1L', 'HDAC8', 'SSRP1', 'KAT2B', 'KDM3B', 'MCPH1', 'CHMP1A', 'HDAC4', 'KDM5C', 'PHF2', 'CHD8', 'BAZ2B', 'RAD21', 'ZNF462', 'POGZ', 'HECW2', 'NCOR1', 'TET3', 'BRD4', 'SYCE1', 'RERE', 'CCT4', 'YEATS2', 'CHD1', 'KDM4B', 'KDM6A', 'YY1', 'KMT2C', 'PPM1D', 'CHD3', 'AGO4', 'SET', 'POT1', 'KMT2E', 'SETDB2', 'DNMT3A', 'TRRAP', 'USP7', 'STAG1', 'HMGN1', 'PRKDC', 'TET2', 'TBL1XR1', 'SUPT16H', 'ARID1B', 'SMC1A', 'RLIM', 'TLK2', 'EPC2', 'SMARCA2', 'PHF21A', 'PHF8', 'SMARCA4', 'HCFC1', 'TCF7L2']
GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	1	0.10543906063198559	2.4610008374396743	1.0	46.18	['VDR', 'CSNK2A1', 'NUAK1', 'DPP4', 'DRD3', 'ARX', 'PHIP', 'HLA-A', 'ARID2', 'PPP1R9B', 'VSIG4', 'ASPM', 'FXN', 'PAX6', 'PTGS2', 'HLA-G', 'TEK', 'KIF14', 'MEIS2', 'MAPK3', 'ACE', 'WNT1', 'NTRK3', 'TNS2', 'RASSF5', 'LEP', 'IGF1', 'CHRNA7', 'BST1', 'CD276', 'PTPRC', 'PRKD2', 'DLL1', 'AGBL4', 'GFAP', 'AVPR1B', 'AR', 'LAMB1', 'SLC6A4', 'EPHB2', 'CDK13', 'PLXNB1', 'MECP2', 'TSC1', 'BRCA2', 'FOXG1', 'ADA', 'FRK', 'THBS1', 'PBX1', 'SHANK2', 'DUSP15', 'KDM4C', 'AZGP1', 'EPPK1', 'DLX6', 'FGFR1', 'DRD2', 'NTRK1', 'ADORA2A', 'SKI', 'ADORA3', 'NLGN2', 'MNT', 'CX3CR1', 'CARD11', 'HLA-DRB1', 'CUL3', 'TBX1', 'AVPR1A', 'DISC1', 'CORO1A', 'HTR1B', 'ANXA1', 'CD38', 'NRP2', 'MSX2', 'LRP2', 'HLA-DPB1', 'FEZF2', 'LILRB2', 'IQGAP3']
GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION	1	0.09980955811628074	2.30704405280292	1.0	44.8	['BST1', 'HLA-G', 'CD38', 'HLA-A', 'HLA-DPB1', 'CORO1A', 'MAPK3', 'EPHB2', 'VSIG4', 'ADA', 'IGF1', 'CD276', 'PTPRC', 'ANXA1', 'LILRB2', 'CARD11', 'HLA-DRB1', 'LEP']
GOBP_REGULATION_OF_DNA_METHYLATION	1	0.0943892600859568	2.294990007181749	1.0	19.96	['MAPT-AS1', 'MECP2', 'KMT2A', 'MBD3', 'KDM1B']
GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	1	0.07721547369514097	2.414126055287571	1.0	50.53	['IL1R2', 'ADRB2', 'PIK3CG', 'SYNGAP1', 'PDCD1', 'DLX2', 'LEP', 'PTPRC', 'DLL1', 'AVPR1A', 'EPPK1', 'DRD3', 'DCC', 'PLXNA3', 'PLN', 'PRICKLE1', 'RAC1', 'LDLR', 'OXTR', 'ROBO2', 'RAB11FIP5', 'PON1', 'MYOCD', 'VSIG4', 'FXN', 'STK39', 'ANXA1', 'DRD2', 'PAX6', 'PTGS2', 'RAI1', 'HLA-G', 'TEK', 'SLC6A4', 'AGTR2', 'CD38', 'ACE', 'EPHB2', 'OXT', 'NFIB', 'NOVA2', 'MSX2', 'MECP2', 'NTRK3', 'KCNMA1', 'SERPINE1', 'HS3ST5', 'KNG1', 'BRCA2', 'SKI', 'ENPP1', 'ADA', 'IGF1', 'CHRNA7', 'ATP1A1', 'CX3CR1', 'HLA-DRB1', 'THBS1']
GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	1	0.07313281646528294	2.456386161560829	1.0	47.24	['CUL3', 'PBX1', 'SHANK2', 'BST1', 'TBX1', 'KDM4C', 'CSNK2A1', 'LEP', 'CD276', 'CX3CR1', 'PRKD2', 'DLL1', 'DPP4', 'DRD3', 'DLX6', 'AVPR1A', 'DISC1', 'PTPRC', 'GFAP', 'PHIP', 'HLA-A', 'CORO1A', 'HTR1B', 'MYOCD', 'IGF1', 'ASPM', 'FXN', 'FGFR1', 'ANXA1', 'LAMB1', 'DRD2', 'THBS1', 'PAX6', 'AR', 'TEK', 'KIF14', 'PTGS2', 'CD38', 'MEIS2', 'NRP2', 'MAPK3', 'EPHB2', 'CDK13', 'WNT1', 'LRP2', 'MECP2', 'NTRK3', 'HLA-DPB1', 'FOXG1', 'ADA', 'NLGN2', 'CHRNA7', 'LILRB2', 'CARD11', 'IQGAP3']
GOBP_LEUKOCYTE_PROLIFERATION	1	0.07135774810447511	2.3947037894285814	1.0	44.8	['BST1', 'PIK3CG', 'LEP', 'CD276', 'PTPRC', 'HLA-A', 'DOCK8', 'CORO1A', 'VSIG4', 'ANXA1', 'HLA-G', 'CD38', 'MAPK3', 'EPHB2', 'ACE', 'HLA-DPB1', 'ADA', 'IGF1', 'LILRB2', 'CARD11', 'HLA-DRB1']
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION	1	0.06976018657974806	2.374341339247128	1.0	44.8	['BST1', 'CD38', 'HLA-A', 'HLA-DPB1', 'CORO1A', 'MAPK3', 'EPHB2', 'ADA', 'IGF1', 'CD276', 'PTPRC', 'ANXA1', 'LILRB2', 'CARD11', 'LEP']
GOBP_ADULT_LOCOMOTORY_BEHAVIOR	1	0.0362113945604799	2.670957223087778	1.0	33.76	['NR4A2', 'SHANK2', 'KCNJ10', 'MECP2', 'TSC1', 'GIGYF2', 'CHD7', 'CLN8', 'NLGN2', 'FXN', 'DRD1', 'DRD2']
GOBP_CHROMATIN_ORGANIZATION	1	0.016511833593620368	-2.6154149193351497	1.0	43.95	['JARID2', 'ACTL6B', 'APBB1', 'EP300', 'NSD1', 'ZNF827', 'SETD5', 'UIMC1', 'SETD2', 'CTCF', 'KDM5B', 'CECR2', 'HNRNPU', 'ZMYND11', 'PAK1', 'ASH1L', 'HDAC8', 'SSRP1', 'KAT2B', 'KDM3B', 'PHF2', 'HDAC4', 'KDM5C', 'CHD8', 'BAZ2B', 'ZNF462', 'NCOR1', 'TET3', 'BRD4', 'RERE', 'YEATS2', 'CHD1', 'KDM4B', 'KDM6A', 'YY1', 'UBN2', 'KMT2C', 'PPM1D', 'CHD3', 'SET', 'KMT2E', 'SETDB2', 'DNMT3A', 'TRRAP', 'HMGN1', 'TET2', 'SUPT16H', 'TBL1XR1', 'ARID1B', 'RLIM', 'TLK2', 'EPC2', 'SMARCA2', 'PHF21A', 'PHF8', 'SMARCA4', 'HCFC1']
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	1	0.005607792541229558	-2.772813277874378	1.0	48.73	['HECTD4', 'TRIP12', 'DDX3X', 'HUWE1', 'LZTR1', 'WWP1', 'BIRC6', 'TAF1', 'IRF2BPL', 'TRIM33', 'HDAC8', 'TRIM23', 'KIAA1586', 'HDAC4', 'STX1A', 'UBR1', 'RNF38', 'BCL11A', 'CTNNB1', 'HECW2', 'PJA1', 'RNF25', 'ZBTB16', 'HERC2', 'BTRC', 'SAE1', 'SMURF1', 'UBE3C', 'TRIM32', 'PTEN', 'USP9X', 'UBE2H', 'MIB1', 'USP7', 'UBE3A', 'UBR5', 'ZMIZ1', 'RLIM', 'PER2', 'FBXO33', 'FBXO11', 'SASH1', 'TSPAN17', 'KCTD13']
