pathway	freq	padj	stability	overlap
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	1	0.009561749505882278	0.037037037037037035	0.3333333333333333
GOBP_SYNAPTIC_SIGNALING	9	0.013890068829465967	0.3333333333333333	0.21486387049300956
GOBP_CELL_JUNCTION_ASSEMBLY	2	0.026953740537397786	0.07407407407407407	0.26119402985074625
GOBP_CELL_JUNCTION_ORGANIZATION	2	0.02940919660916811	0.07407407407407407	0.21171171171171171
GOBP_REGULATED_EXOCYTOSIS	1	0.02999056401659992	0.037037037037037035	0.32432432432432434
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	8	0.03079729712096857	0.2962962962962963	0.2284090909090909
GOBP_CELL_CELL_SIGNALING	7	0.030879748316096144	0.25925925925925924	0.1815754339118825
GOBP_REGULATION_OF_REPRODUCTIVE_PROCESS	2	0.03286014068334462	0.07407407407407407	0.5357142857142857
GOBP_SYNAPSE_ASSEMBLY	2	0.03660822408057711	0.07407407407407407	0.29545454545454547
GOBP_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CONTRACTION	1	0.036980580671563054	0.037037037037037035	0.7142857142857143
GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	4	0.037339552035201076	0.14814814814814814	0.3068181818181818
GOBP_NERVOUS_SYSTEM_PROCESS	4	0.04333057910429061	0.14814814814814814	0.1867283950617284
GOBP_NEUROTRANSMITTER_SECRETION	3	0.04353703708078823	0.1111111111111111	0.3235294117647059
GOBP_SYNAPSE_ORGANIZATION	3	0.04371020399177341	0.1111111111111111	0.21985815602836878
GOBP_LOCALIZATION_WITHIN_MEMBRANE	2	0.04409314316171052	0.07407407407407407	0.25862068965517243
GOBP_BIOLOGICAL_ADHESION	2	0.04449590041945015	0.07407407407407407	0.19285714285714287
GOBP_CELL_CELL_ADHESION	5	0.05908490420598237	0.18518518518518517	0.225
GOBP_NEUROTRANSMITTER_TRANSPORT	1	0.05912839657272474	0.037037037037037035	0.2708333333333333
GOBP_POSITIVE_REGULATION_OF_REPRODUCTIVE_PROCESS	1	0.05912839657272474	0.037037037037037035	0.625
GOBP_POSITIVE_REGULATION_OF_MUSCLE_CONTRACTION	1	0.05912839657272474	0.037037037037037035	0.625
GOBP_POSITIVE_REGULATION_OF_CATECHOLAMINE_SECRETION	1	0.05912839657272474	0.037037037037037035	0.8
GOBP_SECRETION	1	0.05912839657272474	0.037037037037037035	0.21505376344086022
GOBP_CALCIUM_ION_REGULATED_EXOCYTOSIS	4	0.05926284452851166	0.14814814814814814	0.4411764705882353
GOBP_VESICLE_FUSION_TO_PLASMA_MEMBRANE	3	0.060716466135349145	0.1111111111111111	0.8000000000000002
GOBP_LEARNING	2	0.0613600780348517	0.07407407407407407	0.2777777777777778
GOBP_REGULATION_OF_EXOCYTOSIS	2	0.06553336817894667	0.07407407407407407	0.328125
GOBP_EXOCYTOSIS	2	0.06553336817894667	0.07407407407407407	0.27
GOBP_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	1	0.06835763737613065	0.037037037037037035	0.36363636363636365
GOBP_SYNAPTIC_VESICLE_EXOCYTOSIS	1	0.06835763737613065	0.037037037037037035	0.3333333333333333
GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY	1	0.06835763737613065	0.037037037037037035	0.26
