pathway	freq	padj	NES	stability	overlap
KEGG_LEISHMANIA_INFECTION	1	0.24259815923654376	1.4999224314901702	0.1111111111111111	46.18
KEGG_MTOR_SIGNALING_PATHWAY	1	0.23815739665052407	1.4848928736067977	0.1111111111111111	56.69
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	1	0.233029036400781	1.609264263498699	0.1111111111111111	41.61
KEGG_GRAFT_VERSUS_HOST_DISEASE	1	0.233029036400781	1.609264263498699	0.1111111111111111	41.61
KEGG_ALLOGRAFT_REJECTION	1	0.233029036400781	1.609264263498699	0.1111111111111111	41.61
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.23247678844149233	1.5520110794450122	0.1111111111111111	43.84
KEGG_TYROSINE_METABOLISM	1	0.22970486910755025	1.5777449058482513	0.1111111111111111	45.01
KEGG_TYPE_I_DIABETES_MELLITUS	1	0.22928188012116194	1.7721574858757065	0.1111111111111111	41.61
KEGG_PHENYLALANINE_METABOLISM	1	0.21423392490760554	1.548620514968777	0.1111111111111111	45.01
KEGG_CALCIUM_SIGNALING_PATHWAY	1	0.1714740881990876	-1.6940252099836104	0.1111111111111111	12.74
KEGG_O_GLYCAN_BIOSYNTHESIS	3	0.15389833201614325	-1.8095584980109223	0.3333333333333333	35.38333333333333
KEGG_CELL_CYCLE	3	0.15098271876041455	-1.8619539112212917	0.3333333333333333	31.459999999999997
KEGG_NOTCH_SIGNALING_PATHWAY	1	0.15050862027795026	-1.8940052651905726	0.1111111111111111	12.95
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1	0.14084169680710915	-1.7342940948758498	0.1111111111111111	33.33
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	8	0.08407274368436235	-2.045172787476578	0.8888888888888888	46.565
KEGG_LONG_TERM_POTENTIATION	6	0.07379413660194739	-2.2287115732631966	0.6666666666666666	21.356666666666666
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	3	0.04899735313884226	-2.215385733092262	0.3333333333333333	21.763333333333332
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	1	0.04741987257429114	2.2038941911841423	0.1111111111111111	59.98
KEGG_ALZHEIMERS_DISEASE	2	0.034811824834681836	-2.0839441034885375	0.2222222222222222	18.365000000000002
