pathway	freq	padj	stability	overlap	genes
GSE18804_SPLEEN_MACROPHAGE_VS_COLON_TUMORAL_MACROPHAGE_DN	1	6.050682879850897e-07	1.0	0.18604651162790697	['UQCRC2', 'GGACT', 'FEZ2', 'FERMT2', 'ST3GAL6', 'ABCC9', 'ASB14', 'STRADB', 'MLYCD', 'IPO5', 'PINK1', 'PPM1L', 'CAMK2G', 'CMYA5', 'RAPGEF1', 'CSDE1', 'AIFM1', 'RNF123', 'LPIN1', 'UCP3', 'BTBD1', 'USP13', 'NNT', 'KIF1B', 'METTL7A', 'SYNPO2', 'MAP3K20', 'SVIL', 'FSD2', 'PDZRN4', 'IMMT', 'TEAD1']
GSE19888_CTRL_VS_TCELL_MEMBRANES_ACT_MAST_CELL_PRETREAT_A3R_INH_UP	1	1.1893218638564924e-05	1.0	0.17058823529411765	['RFTN2', 'AGL', 'UQCRC2', 'NDUFB5', 'DCAF6', 'RHOBTB3', 'FERMT2', 'ST3GAL6', 'ABCC9', 'BNIP3L', 'STRADB', 'ADGRL4', 'MAN2A2', 'VLDLR', 'LRRC39', 'SPINT2', 'PAM', 'CHST9', 'RHOQ', 'SLC39A6', 'KLHL13', 'PRKACA', 'CACNA2D1', 'ANTXR2', 'ASPH', 'GPR34', 'RPS3', 'CSF1R', 'CD163']
GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_DN	1	1.1893218638564924e-05	1.0	0.175	['SBDS', 'LIN7A', 'HADH', 'MTURN', 'ETFDH', 'CFL2', 'ACADM', 'TSPYL5', 'ZYG11B', 'LIMCH1', 'SPTBN1', 'PPARA', 'PFKM', 'CMYA5', 'KLHL13', 'ACAT1', 'ABLIM3', 'BVES', 'TXLNB', 'ALDH6A1', 'NDUFS1', 'PDHA1', 'INPP5A', 'METTL7A', 'EHBP1', 'SYNPO2', 'PPARGC1A', 'MYLK4']
GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_DN	1	9.941386577511376e-05	1.0	0.15343915343915343	['SERPINI1', 'GFOD1', 'SLC2A1', 'CAPN2', 'GYG1', 'CMC1', 'IL15', 'KAT2B', 'JAZF1', 'GALNT3', 'CAST', 'GAB3', 'RGS3', 'PAM', 'ATP2B4', 'WSB2', 'MAN1A1', 'PRR5L', 'OPTN', 'PHLDB2', 'KATNAL1', 'FYCO1', 'KLRG1', 'MAF', 'EPS15', 'ZEB2', 'AHNAK', 'SNTB2', 'MDFIC']
GSE31622_WT_VS_KLF3_KO_BCELL_UP	1	0.00010532970490309166	1.0	0.1588235294117647	['SGSM1', 'HADH', 'PDZRN3', 'ASB14', 'ETFDH', 'ACADM', 'MFSD2A', 'OGDH', 'SULT1A1', 'PPARA', 'PFKM', 'CMYA5', 'SMARCA1', 'KLHL13', 'ACAT1', 'KLHL41', 'ALDH6A1', 'NDUFS1', 'FYCO1', 'SLC25A12', 'PRKAB2', 'PDHA1', 'PFDN1', 'SUCLA2', 'FSD2', 'MTFR1L', 'CD163']
GSE22886_DAY1_VS_DAY7_MONOCYTE_IN_CULTURE_DN	1	0.00010532970490309166	1.0	0.15025906735751296	['AGL', 'ITGAE', 'DLAT', 'UQCRC2', 'NDUFB5', 'ESYT1', 'MPP1', 'FEZ2', 'ACADM', 'FBP1', 'MTHFD1', 'MPC1', 'SUCLG1', 'ABHD2', 'HADHB', 'MAN1A1', 'BSCL2', 'MAPKAP1', 'AIFM1', 'ACAT1', 'METTL5', 'NNT', 'SNX5', 'AHCY', 'MDH1', 'ABHD6', 'TM6SF1', 'ADH5', 'SUCLG2']
GSE7852_LN_VS_FAT_TREG_DN	1	0.00015516425070168902	1.0	0.14814814814814814	['COBLL1', 'ATP2A2', 'PARD3B', 'RNF125', 'GLRX', 'SQLE', 'CAPN2', 'PLCL2', 'ARHGAP21', 'PRKAR2B', 'RHOBTB1', 'SOX6', 'RBPJ', 'ABLIM3', 'EYA2', 'DUSP3', 'SHROOM4', 'EPM2A', 'PCYT1A', 'ACSS2', 'ADIPOR2', 'DNASE1L1', 'YPEL2', 'DNAJB4', 'AHNAK', 'MITF', 'TOB1', 'HS6ST2']
GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN	1	0.00015516425070168902	1.0	0.14646464646464646	['IRAK3', 'FEZ2', 'STX7', 'FGR', 'FPR1', 'GLRX', 'ZFAND5', 'FBP1', 'VNN2', 'BID', 'TNS3', 'BCL6', 'RHOQ', 'RTN1', 'GNS', 'SEMA4A', 'DUSP3', 'VAMP3', 'STX12', 'USP15', 'GLUL', 'NLRP3', 'UBE2D1', 'AP1S2', 'BCL2L2', 'SDCBP', 'ABHD5', 'RNF130', 'PICALM']
GSE22935_WT_VS_MYD88_KO_MACROPHAGE_48H_MBOVIS_BCG_STIM_UP	1	0.00015516425070168902	1.0	0.15254237288135594	['MSRA', 'PCNT', 'CTNNAL1', 'NDUFB5', 'IDH3A', 'ST3GAL6', 'TLN2', 'ZFHX4', 'ACACB', 'SULT1A1', 'COQ5', 'ADIPOR1', 'BVES', 'EZH1', 'RASGRF2', 'AOX1', 'TCAIM', 'SLC25A20', 'AKTIP', 'YPEL2', 'GID4', 'MFN2', 'FITM2', 'ITGB4', 'MAP4', 'SDHA', 'PPM1L']
GSE35685_CD34POS_CD10NEG_CD62LPOS_VS_CD34POS_CD10POS_BONE_MARROW_UP	1	0.00017423652337682406	1.0	0.14659685863874344	['CLN6', 'DRG1', 'HADH', 'MBNL1', 'HHEX', 'MYCBP2', 'CAPN2', 'STX2', 'MAGED1', 'RTN4', 'FUT8', 'RPS6KA2', 'RRAGC', 'PMP22', 'PCYT1A', 'CAB39', 'GNA12', 'NRP1', 'PDCL3', 'SERPINB6', 'DNASE1L1', 'TNIP1', 'ALDH9A1', 'DNAJB4', 'AHNAK', 'ST3GAL5', 'SUCLG2', 'PJA1']
