pathway	freq	padj	stability	overlap	genes
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	1	1.2343525738790351e-08	1.0	0.38095238095238093	['OXCT1', 'DLD', 'ACAT1', 'ACADM', 'HADHA', 'BCKDHB', 'PCCA', 'HADH', 'MCCC1', 'HADHB', 'ALDH9A1', 'ALDH6A1', 'HIBADH', 'AOX1', 'ACAA2', 'HMGCL']
KEGG_CITRATE_CYCLE_TCA_CYCLE	1	3.32772518072537e-08	1.0	0.4482758620689655	['DLAT', 'DLST', 'PDHA1', 'DLD', 'OGDH', 'IDH3A', 'CS', 'SUCLA2', 'SUCLG1', 'MDH1', 'SDHA', 'SUCLG2', 'SDHB']
KEGG_PROPANOATE_METABOLISM	1	3.734719648766175e-08	1.0	0.43333333333333335	['MLYCD', 'ACAT1', 'ACADM', 'PCCA', 'SUCLA2', 'SUCLG1', 'ACACB', 'ALDH9A1', 'ALDH6A1', 'SUCLG2', 'ACACA', 'HADHA', 'ACSS2']
KEGG_INSULIN_SIGNALING_PATHWAY	1	1.1162396608129543e-05	1.0	0.176	['PIK3CA', 'SHC3', 'PDE3A', 'SOS1', 'ACACA', 'PHKA2', 'PYGL', 'FBP1', 'SHC4', 'ACACB', 'PRKAR2B', 'MAP2K1', 'RAPGEF1', 'RHOQ', 'AKT2', 'CALM1', 'PRKACA', 'CBLC', 'PRKAB2', 'INPP5K', 'SORBS1', 'PPARGC1A']
KEGG_LONG_TERM_POTENTIATION	1	0.00015854275261935411	1.0	0.22413793103448276	['CALM1', 'RPS6KA2', 'PRKACA', 'PLCB4', 'PPP3R1', 'RAP1A', 'RAPGEF3', 'PPP3CC', 'CHP1', 'RAP1B', 'CAMK2G', 'MAP2K1', 'PPP3CB']
KEGG_FATTY_ACID_METABOLISM	1	0.00021514384475438314	1.0	0.2777777777777778	['ACAT1', 'ACADM', 'HADHA', 'ACOX1', 'CPT1B', 'HADH', 'ACAA2', 'HADHB', 'ALDH9A1', 'ADH5']
KEGG_PYRUVATE_METABOLISM	1	0.0009470142407215085	1.0	0.2571428571428571	['DLAT', 'PDHA1', 'ACAT1', 'DLD', 'ACACB', 'MDH1', 'ALDH9A1', 'ACACA', 'ACSS2']
KEGG_APOPTOSIS	1	0.0009470142407215085	1.0	0.1728395061728395	['IRAK3', 'CAPN2', 'AIFM1', 'CFLAR', 'PIK3CA', 'AKT2', 'PRKACA', 'BID', 'PPP3R1', 'PPP3CC', 'PRKAR2B', 'CHP1', 'PPP3CB', 'IRAK2']
KEGG_BUTANOATE_METABOLISM	1	0.0009470142407215085	1.0	0.2857142857142857	['PDHA1', 'OXCT1', 'ACAT1', 'L2HGDH', 'HADH', 'ALDH9A1', 'HADHA', 'HMGCL']
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1	0.0022047729951421378	1.0	0.13934426229508196	['IRAK3', 'RAPGEF1', 'SORT1', 'AKT2', 'PIK3CA', 'SHC3', 'CALM1', 'RPS6KA2', 'RAP1A', 'SHC4', 'SOS1', 'PTPN11', 'MAGED1', 'RAP1B', 'CAMK2G', 'MAP2K1', 'IRAK2']
KEGG_ERBB_SIGNALING_PATHWAY	1	0.004256475938635091	1.0	0.15476190476190477	['BTC', 'STAT5B', 'AKT2', 'PIK3CA', 'AREG', 'SHC3', 'CBLC', 'TGFA', 'SHC4', 'SOS1', 'STAT5A', 'CAMK2G', 'MAP2K1']
KEGG_AXON_GUIDANCE	1	0.004345986676919706	1.0	0.13445378151260504	['NRP1', 'ROCK2', 'SEMA3C', 'ABLIM3', 'NFATC4', 'PPP3CB', 'PPP3CC', 'PPP3R1', 'SEMA4A', 'CHP1', 'ROBO1', 'NFATC1', 'RGS3', 'PLXNA2', 'ITGB1', 'CFL2']
KEGG_JAK_STAT_SIGNALING_PATHWAY	1	0.007440316345920225	1.0	0.13157894736842105	['IL20RB', 'CSF2RA', 'TPO', 'STAT5B', 'GHR', 'IL20RA', 'AKT2', 'PIK3CA', 'IL10', 'CBLC', 'IL15', 'SOS1', 'JAK1', 'PTPN11', 'STAT5A']
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1	0.007440316345920225	1.0	0.1694915254237288	['ADIPOR1', 'ADIPOR2', 'PRKAB2', 'AKT2', 'PPARGC1A', 'CPT1B', 'ACACB', 'PTPN11', 'PPARA', 'SLC2A1']
KEGG_CALCIUM_SIGNALING_PATHWAY	1	0.007440316345920225	1.0	0.12598425196850394	['PDE1A', 'F2R', 'CALM1', 'PRKACA', 'PPP3CC', 'PLCB4', 'PPP3R1', 'ATP2A2', 'P2RX4', 'CYSLTR2', 'CHP1', 'CAMK2G', 'ADCY2', 'ATP2B4', 'PHKA2', 'PPP3CB']
KEGG_TRYPTOPHAN_METABOLISM	1	0.007676571712789936	1.0	0.22580645161290322	['AOX1', 'ACAT1', 'OGDH', 'HADH', 'ALDH9A1', 'CAT', 'HADHA']
