pathway	freq	padj	stability	overlap	genes
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	1	2.594437175785613e-07	1.0	0.4423076923076923	['SUCLG2', 'SDHA', 'PDP2', 'PDK4', 'PDK1', 'SDHD', 'CS', 'PDHX', 'SDHB', 'LDHB', 'NNT', 'DLST', 'IDH3A', 'OGDH', 'DLAT', 'SLC16A1', 'L2HGDH', 'DLD', 'PDHA1', 'MPC1', 'SUCLG1', 'SUCLA2', 'FH']
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	1	1.4175285498112878e-05	1.0	0.5909090909090909	['NNT', 'CS', 'SUCLG2', 'SDHA', 'DLST', 'DLD', 'SDHB', 'IDH3A', 'FH', 'OGDH', 'SUCLA2', 'SUCLG1', 'SDHD']
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	1	3.823919629473904e-05	1.0	0.2468354430379747	['TIMMDC1', 'NDUFB5', 'SUCLG2', 'SDHA', 'PDP2', 'NDUFS4', 'PDK4', 'PDK1', 'UQCRC2', 'SDHD', 'NDUFAF1', 'CS', 'PDHX', 'SDHB', 'LDHB', 'COQ10A', 'NDUFAF5', 'NNT', 'NDUFS1', 'DLST', 'IDH3A', 'TMEM126B', 'OGDH', 'SLC16A1', 'ETFDH', 'DLAT', 'COX20', 'L2HGDH', 'DLD', 'PDHA1', 'MPC1', 'ETFA', 'NDUFV2', 'SUCLG1', 'SUCLA2', 'FH', 'NDUFA9', 'UCP3', 'NDUFAF4']
REACTOME_HEMOSTASIS	1	8.306508966639942e-05	1.0	0.1681260945709282	['JAK2', 'IGHV3-33', 'PPP2R1B', 'SLC7A8', 'F2R', 'FGR', 'IGKV1-5', 'IGHV3-23', 'GNG2', 'IGHV2-5', 'CALM1', 'AK3', 'ZFPM2', 'ATP2B4', 'F11R', 'SLC16A1', 'CAPZA2', 'IGKV2-30', 'IGKV1-33', 'KIF1B', 'IGKV4-1', 'SOS1', 'F8', 'THPO', 'PPP2R5A', 'KIF11', 'RAP1A', 'PRKACB', 'SLC3A2', 'LRP8', 'GNAI1', 'ITGB1', 'PDE11A', 'TLN1', 'LCK', 'DOCK11', 'PRKCZ', 'PLAU', 'SERPINE2', 'IGKV1-12', 'KIFC1', 'APBB1IP', 'PDPN', 'PIK3CA', 'JCHAIN', 'PECAM1', 'KIF3C', 'EPCAM', 'PLEK', 'PRKACA', 'PPIA', 'GRB7', 'PDE1A', 'STXBP2', 'IGKV1-17', 'RAPGEF3', 'OLA1', 'IGKV3-15', 'PRKAR2B', 'IGHV3-11', 'CXADR', 'ITGAM', 'PRKAR2A', 'ANXA2', 'IGHV3-48', 'ABHD6', 'SRC', 'FYN', 'IGKV3-11', 'ATP2A2', 'ITGA3', 'GATA3', 'GNA12', 'ANXA5', 'IGLV2-23', 'PLAT', 'SLC7A6', 'TUBB8', 'DGKI', 'ATP2A3', 'RHOA', 'SDC2', 'GNG10', 'PTPN11', 'MFN2', 'MAFF', 'SERPINB6', 'CABLES1', 'RAF1', 'P2RX4', 'RAP1B', 'KIF2C', 'PTPN1', 'VTI1B', 'IGKV2D-30', 'CD99L2']
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	1	8.306508966639942e-05	1.0	0.2903225806451613	['IL10', 'PRKX', 'PRKACA', 'IGHV3-33', 'PRKACB', 'IGKV1-17', 'IGKV3-15', 'PRKAR2B', 'IGHV3-11', 'ADCY6', 'FGR', 'IGKV1-5', 'IGHV3-23', 'IGHV2-5', 'CALM1', 'PRKAR2A', 'IGHV3-48', 'SRC', 'FYN', 'ADCY2', 'IGKV1-12', 'IGKV3-11', 'IGKV2-30', 'IGKV1-33', 'IGLV2-23', 'IGKV2D-30', 'IGKV4-1']
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	1	0.00014584977322267255	1.0	0.17255717255717257	['JAK2', 'FGFBP3', 'SH2D2A', 'EPS15', 'GALNT3', 'AKT2', 'WASF1', 'PPP2R1B', 'KIT', 'NTF3', 'CALM1', 'EREG', 'SHC3', 'KITLG', 'PTPRO', 'ATP6V1B1', 'PCSK5', 'TNS3', 'ARHGEF7', 'COL9A2', 'SOS1', 'LAMB3', 'RAP1A', 'PRKACB', 'STMN1', 'ATP6V1E1', 'TNS4', 'ITGB1', 'SPINT2', 'DUSP3', 'LCK', 'BRK1', 'PRKCZ', 'MAP2K1', 'SPINT1', 'MAPK13', 'PIK3CA', 'WWOX', 'ERBB3', 'STAT5B', 'TRIB3', 'TGFA', 'PRKACA', 'GRB7', 'GAB2', 'SPHK1', 'MAPKAP1', 'NCF2', 'IL2RG', 'AREG', 'SH3KBP1', 'LAMA4', 'RNF41', 'NRP1', 'STAT5A', 'SRC', 'PTPRZ1', 'FYN', 'ATP6AP1', 'LAMC1', 'JUP', 'ITGA3', 'LAMC3', 'MEF2C', 'ATP6V0A4', 'PLAT', 'MUC20', 'BAIAP2', 'LAMA2', 'ESRP2', 'BTC', 'RPS6KA2', 'RHOA', 'PTPN11', 'ADORA2A', 'POLR2H', 'PDE3B', 'RAP1B', 'PTPN1', 'MKNK1', 'ROCK2', 'WASF3', 'RAPGEF1']
REACTOME_FATTY_ACID_METABOLISM	1	0.0001758793676169891	1.0	0.23529411764705882	['ACSBG1', 'ACOX1', 'HACL1', 'ALDH3A2', 'ACAD11', 'CPT2', 'HADHB', 'ACACA', 'MECR', 'PCCA', 'SCP2', 'ALOX5AP', 'ACADM', 'HADH', 'ACSL1', 'CPT1B', 'PRKAB2', 'ACADL', 'ALOX15B', 'HACD2', 'PECR', 'SLC25A20', 'ACACB', 'EHHADH', 'PHYH', 'GGT1', 'NUDT7', 'ELOVL6', 'THEM5', 'MLYCD', 'HADHA', 'PCCB', 'ACOT8', 'CYP4F22', 'SLC25A17', 'ACAA2']
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	1	0.0006320372921523196	1.0	0.21764705882352942	['SLC7A6', 'IGHV3-33', 'PPIA', 'GRB7', 'IGKV1-17', 'SLC3A2', 'IGKV3-15', 'SLC7A8', 'IGHV3-11', 'IGKV1-5', 'ITGB1', 'IGHV3-23', 'CXADR', 'ITGAM', 'IGHV2-5', 'LCK', 'IGHV3-48', 'SDC2', 'SRC', 'PTPN11', 'FYN', 'IGKV1-12', 'IGKV3-11', 'F11R', 'SLC16A1', 'ITGA3', 'IGKV2-30', 'IGKV1-33', 'IGLV2-23', 'PIK3CA', 'IGKV2D-30', 'JCHAIN', 'PECAM1', 'CD99L2', 'IGKV4-1', 'EPCAM', 'SOS1']
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	1	0.0006320372921523196	1.0	0.21893491124260356	['IL10', 'CD163', 'PRKX', 'PRKACA', 'IGHV3-33', 'PRKACB', 'IGKV1-17', 'IGKV3-15', 'PRKAR2B', 'IGHV3-11', 'GNAI1', 'RHBDF2', 'ADCY6', 'FGR', 'IGKV1-5', 'IGHV3-23', 'GNG2', 'IGHV2-5', 'CALM1', 'PRKAR2A', 'IGHV3-48', 'SRC', 'CYSLTR2', 'GNG10', 'FYN', 'ADCY2', 'ADORA2A', 'IGKV1-12', 'IGKV3-11', 'GGT1', 'IGKV2-30', 'IGKV1-33', 'GPR39', 'IGLV2-23', 'IGKV2D-30', 'IGKV4-1', 'CALCRL']
REACTOME_SIGNALING_BY_MET	1	0.0006320372921523196	1.0	0.2857142857142857	['EPS15', 'RAP1A', 'SH3KBP1', 'TNS4', 'LAMA4', 'ITGB1', 'SPINT2', 'SRC', 'PTPN11', 'LAMC1', 'SPINT1', 'TNS3', 'ITGA3', 'RAP1B', 'PTPN1', 'LAMC3', 'PIK3CA', 'MUC20', 'SOS1', 'LAMB3', 'LAMA2', 'RAPGEF1']
