pathway	freq	padj	NES	stability	overlap	Lead_genes
GSE12366_GC_VS_NAIVE_BCELL_UP	1	0.24940380387096955	1.3743893340865907	1.0	50.66	['MPHOSPH9', 'MRPS27', 'AP3S2', 'RNFT2', 'SLCO3A1', 'SOX9', 'RAD21', 'TNFSF8', 'MCM3', 'MCM4', 'MASTL', 'CHEK1', 'KIF22', 'CDCA7', 'LMCD1', 'AK3', 'POU2AF1', 'GINS1', 'ZNF141', 'MND1', 'TMEM106C', 'SERPINA9', 'ACTR2', 'ARL2BP', 'RABGAP1', 'MAP2', 'GABPB1', 'AZIN1', 'ZW10', 'PCNA', 'RFX7', 'PLEK', 'SLBP', 'PFKM', 'SYVN1', 'PABPC4', 'PRDX3', 'PLK1', 'SAMHD1', 'CCNB2', 'LIMS1', 'DENND1B', 'ASPH', 'CTTN', 'LMO2', 'NDUFA12', 'HNRNPD', 'UBE2G1', 'MYH10', 'CENPM', 'DTL', 'UBE2C', 'ARHGEF9', 'ZFAND4', 'HRK', 'CDCA4', 'BAIAP2L1', 'DHFR', 'TYMS', 'ASB13', 'EIF2D', 'CHAMP1', 'IGHV5-78', 'BTF3', 'ESPL1', 'CKAP5', 'KANK2', 'HMGN3', 'DAAM1', 'SEMA4A', 'HSBP1', 'GMCL1', 'UHRF1', 'PMS2P11', 'BUB1B', 'RAD54L', 'EDRF1', 'NPR2', 'MCM2', 'CUL3', 'ROCK2', 'PEG10', 'GSTA4', 'KPNA2', 'ENPP3', 'VEZT', 'KCNN3', 'PSIP1', 'CDCA5', 'PRPF38A', 'HELLS', 'USP32P2', 'ANP32B', 'HNRNPC', 'GRPEL2', 'GCSAM', 'ITGB1', 'BCL6', 'TEC', 'CEP152', 'BIK', 'SMARCB1', 'PRELID3B', 'SYNE2', 'EED', 'MBD2', 'RPA1', 'PITPNC1', 'EXOSC1', 'PXMP4']
GSE24972_MARGINAL_ZONE_BCELL_VS_FOLLICULAR_BCELL_IRF8_KO_UP	1	0.24808297375835647	1.375819754930355	1.0	49.97	['RMND1', 'TRIP10', 'FAM83D', 'SOCS2', 'SLC9A9', 'RUVBL2', 'UBXN2A', 'PTPRG', 'PIGB', 'PRC1', 'SEC14L1', 'IPO11', 'NUAK1', 'LMNB2', 'SUMF2', 'HS3ST1', 'HR', 'FAM171B', 'FST', 'LUZP1', 'TCERG1', 'TMEM63A', 'GINS1', 'F2R', 'EXOC3', 'GRK2', 'ZNF569', 'USP2', 'AP1S2', 'ADAMTSL4', 'BUD31', 'COL4A2', 'ANKRD37', 'UBE2B', 'DZIP1', 'PPM1L', 'SPOCK2', 'C5orf24', 'CDH2', 'TNRC6B', 'RPS6KB1', 'UBE2V1', 'MAP4K2', 'KANSL2', 'RBAK', 'CREBRF', 'EMILIN2', 'ZMYND8', 'ANKRD22', 'APOBR', 'CLEC4E', 'UBE2C', 'EZR', 'HDLBP', 'LTBR', 'CCND1', 'SLC46A3', 'KDSR', 'FRMD5', 'HNMT', 'PLEKHG3', 'CPE', 'ADGRL4', 'PTCHD1', 'PDXDC1', 'PROCA1', 'ARHGAP42', 'ICOS', 'ANAPC16', 'SCAMP3', 'UHRF1', 'PRKCSH', 'NGDN', 'UBLCP1', 'MTHFD1L', 'HLA-DMB', 'TM4SF1', 'HLA-A', 'RTCB', 'CSK', 'AMOTL2', 'DDHD1', 'CCPG1', 'TPH1', 'YPEL5', 'IL18BP', 'PAPSS2', 'SLC7A11', 'CDR2L', 'PDXP', 'NAA16', 'EIF2B5', 'LDLRAD3', 'LRRC8C', 'HLA-DQA1', 'SYNE2', 'FOLR2', 'NLRP3', 'HPRT1', 'ST6GALNAC3', 'ECE1', 'YPEL2', 'DDX24', 'AXL', 'SQSTM1', 'PXDN']
GSE7460_WT_VS_FOXP3_HET_ACT_TCONV_UP	1	0.24787342139991456	1.3761375548661823	1.0	80.48	['WDSUB1', 'DGKZ', 'IL18R1', 'FGF13', 'ADGRL1', 'CYP39A1', 'GOLM1', 'S100A6', 'CDON', 'TBC1D32', 'CTNND2', 'MOB3B', 'SRPK2', 'MED1', 'USP6NL', 'KIZ', 'BPHL', 'BTD', 'GCH1', 'TWF2', 'TOX', 'TSPO', 'FOXD2', 'SHISA4', 'NEIL1', 'STAMBPL1', 'ARHGAP15', 'SPRN', 'ACSS2', 'TANC1', 'NRP1', 'CAMK2B', 'DUSP11', 'AP5S1', 'PDLIM4', 'KDM5A', 'BRK1', 'PTTG1IP', 'C12orf57', 'RABGAP1L', 'ANKRD50', 'ARL4C', 'PPM1L', 'SLC2A9', 'SPOCK2', 'FRY', 'DHX34', 'SLC39A3', 'ARHGAP29', 'CCR7', 'CYTH2', 'BCL2L11', 'SPOPL', 'ITPRIP', 'SSH2', 'LEF1', 'CREG1', 'URI1', 'SMAD4', 'AFF1', 'SFT2D2', 'SLC12A7', 'ANKRD16', 'RHOG', 'NECTIN2', 'EMP1', 'SENP7', 'ARIH2', 'PDE5A', 'AEBP1', 'ADAMTSL3', 'METTL8', 'ETHE1', 'ATP2C2', 'WIPI2', 'CACNA2D2', 'ZER1', 'CCDC88C', 'EML3', 'CAMTA1', 'CTBP1', 'CLN3', 'VPS39', 'ACAA2', 'CD151', 'HMBOX1', 'GRPR', 'FSCN3', 'EEF2', 'TRAT1', 'LRCH1', 'POLL', 'SLC30A7', 'KANSL1', 'ERBB3', 'P2RX4', 'FAM81A', 'MYSM1', 'KCTD21', 'ERCC4', 'ELOVL7', 'SYTL1', 'TSPAN17', 'PEA15', 'RPS6KA2', 'HSBP1', 'IFT80', 'EPHX1', 'ATP2B1', 'SHE', 'PLOD1', 'BTLA', 'GRAMD4', 'ESR1', 'CTXN1', 'QPRT', 'ACAP1', 'PHKG2', 'PLEKHG2', 'MKNK1', 'SRCAP', 'SLC17A9', 'SLC30A4', 'CHST6', 'ELF2', 'RBM33', 'FOS', 'SEC16A', 'NAAA', 'SFT2D1', 'RFX3', 'CACNB1', 'AGAP2', 'NR1D2', 'SLC22A4', 'ZFAND2B', 'PRKAB1', 'E4F1', 'SFSWAP', 'MID1IP1', 'TMC8', 'ATPAF1', 'GPR146', 'GNAL', 'ZBTB20', 'ALDH6A1', 'SYNE2', 'RFLNB', 'PIAS1', 'DAPL1', 'TPRA1', 'SLPI', 'ECE1', 'GDAP1', 'NUDT14', 'PXMP4', 'SNN', 'CEP164', 'OAZ2']
GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_BCELL_UP	1	0.24725756150456263	1.3768559175610369	1.0	64.88	['MSX2', 'DHX29', 'SOCS2', 'SNPH', 'LRP6', 'HAPLN1', 'HOXB3', 'WNT2B', 'CYHR1', 'EDNRA', 'HIF3A', 'CTNND2', 'RNF144A', 'MRPS18C', 'GPR35', 'IGFBP4', 'HR', 'YIPF5', 'ALOX15', 'RAB11FIP4', 'ASIC1', 'CDO1', 'RUNDC3A', 'DKKL1', 'S100B', 'NLRP2', 'ISLR', 'CFH', 'AKR1C3', 'NDRG4', 'TMEM120B', 'NPY1R', 'KIF2C', 'ID4', 'SLC6A14', 'ZNF180', 'IRF6', 'RPS6KB1', 'SLC19A1', 'TMEM50B', 'IL11', 'OLFML2A', 'SFT2D2', 'BSPRY', 'PCDH1', 'MLH1', 'AP1M2', 'BBC3', 'ZNF14', 'CPA3', 'CTTN', 'NRG1', 'MYCT1', 'EPCAM', 'NUBPL', 'PARVA', 'RBP1', 'GAS6', 'THAP7', 'OLFM1', 'AVPR2', 'PEG3', 'NEIL3', 'KIAA0895', 'TTC39A', 'GRIK5', 'CCR4', 'GABRP', 'EBP', 'SLC24A2', 'ZNF124', 'CPNE7', 'KRT23', 'SERPINA6', 'CRABP2', 'TAC1', 'RPL13P5', 'LGR5', 'CPZ', 'KRT6B', 'ARHGAP44', 'TUSC3', 'PTPN4', 'NAT8B', 'KRT17', 'TEAD3', 'SH3BP1', 'SV2A', 'GRIA2', 'NELL1', 'KCNN3', 'MYOZ3', 'RARB', 'PPP1R13L', 'DNM1', 'PHEX', 'STARD13', 'PREX2', 'NECAP1', 'B3GNTL1', 'ECE2', 'CDH6', 'NF1', 'PDCD1', 'PNLIPRP2', 'PCLO', 'ADCY2']
GSE10273_LOW_IL7_VS_HIGH_IL7_AND_IRF4_IN_IRF4_8_NULL_PRE_BCELL_DN	1	0.24634929658896776	1.3779000580410776	1.0	79.21	['RABAC1', 'FLI1', 'USP24', 'SMAD7', 'ATG13', 'S100PBP', 'GID8', 'TTC39C', 'ZNF585A', 'TSHZ3', 'FLT1', 'TTF1', 'FAAP24', 'HPS3', 'NIPAL3', 'NMT2', 'KIN', 'VPS13D', 'FASTKD5', 'MXRA7', 'TRNT1', 'EYA2', 'MOB4', 'C10orf88', 'CIRBP', 'NAGA', 'TMEM18', 'GXYLT1', 'VASP', 'USP49', 'RFNG', 'USP37', 'MIER2', 'ZNF652', 'SLC22A15', 'GGNBP2', 'ANAPC2', 'ING3', 'MBNL2', 'SPPL2A', 'NFKBIE', 'CYTH4', 'STX5', 'IKBKG', 'SLC35F5', 'ZFP3', 'IL3RA', 'MMP9', 'TACC1', 'NANS', 'VAV1', 'SSBP4', 'FAM78A', 'CD300LB', 'FHL2', 'SLC11A1', 'MAT2A', 'TTC9C', 'GINM1', 'NUDT16', 'LRIG2', 'GCN1', 'TRAPPC2', 'ZBTB48', 'WSB2', 'HCLS1', 'BCAS3', 'EHD3', 'PARP3', 'STK38', 'CDC14B', 'ITCH', 'COMMD4', 'FGD1', 'ALDH18A1', 'SCAMP2', 'FOXL1', 'ZNF324B', 'AGPAT3', 'ITPR3', 'TMEM80', 'FAM89B', 'RUFY3', 'PPP1R21', 'PDLIM7', 'ZNF281', 'FHOD1', 'TSTD1', 'SLC37A3', 'CCDC82', 'GMIP', 'RIDA', 'DDX31', 'RNF125', 'COL6A3', 'PHF1', 'TMEM120A', 'VSIG10', 'SLC44A2', 'ERCC4', 'C2orf68', 'PSME2', 'GALNT2', 'ARL5A', 'SLC39A4', 'FAM149B1', 'KLHL28', 'MYO1E', 'CEPT1', 'TRAF3', 'SSR2', 'PKD2L2', 'GSK3B', 'GOSR1', 'G6PD', 'BORCS7', 'SMURF2', 'DIAPH2', 'MROH1', 'TBRG1', 'ZNF251', 'PFN1', 'NABP1', 'ZBTB33', 'CISD3', 'CREBBP', 'AP5Z1', 'VCPIP1', 'EXOC2', 'STX7', 'KIDINS220', 'PIGC', 'GBP6', 'FBXO11', 'PLAUR', 'L1CAM', 'ZDHHC24', 'GPS2', 'BET1L', 'FLOT1', 'DNAJA4', 'DBR1', 'RAPGEF1', 'PLEKHJ1', 'ATP9B', 'PRR14L', 'EML2', 'PRR14', 'LMNA', 'BCL2A1', 'ZC3H10', 'ADAR', 'DZANK1', 'EPC2', 'ANKLE2', 'KANSL3', 'ELK3', 'TECPR1', 'SELP', 'TACC2', 'ZNF2']
GSE16522_MEMORY_VS_NAIVE_ANTI_CD3CD28_STIM_CD8_TCELL_UP	1	0.2463122283554544	1.3781816170004124	1.0	9.32	['NDUFB5', 'SLC9A9', 'SLC25A16', 'PECAM1', 'RBMS2', 'CRMP1', 'SLC16A6', 'VPS37B', 'LRP8', 'NAT9', 'EIF1B', 'ZYG11B', 'ADD1', 'SERPINE2', 'STARD10', 'MKNK1', 'MAPKAP1', 'ZC2HC1A', 'AREG', 'HECTD3', 'LPIN1', 'SEMA4A', 'SMOX', 'ANXA2', 'ACSS2', 'KLRG1', 'EPAS1', 'LAMB3', 'GIMAP8', 'TBC1D9B', 'DNAJB4', 'TM6SF1', 'CHRNA5']
GSE40273_EOS_KO_VS_WT_TREG_DN	1	0.24627348904657423	1.378099018811524	1.0	81.68	['ITGA3', 'PARP8', 'GAR1', 'REV3L', 'DCUN1D1', 'BTG1', 'CKS2', 'CDC14A', 'JDP2', 'WDPCP', 'TAMM41', 'KIF1C', 'TSGA10', 'MCUR1', 'DCP2', 'NCOA1', 'GOPC', 'BMP2K', 'APOE', 'CDK5RAP1', 'MTA3', 'EPC1', 'OPTN', 'GGA3', 'TMEM63A', 'STK10', 'PLEKHA2', 'METTL14', 'FBXO34', 'FGD6', 'BLVRB', 'HPF1', 'FYCO1', 'STARD9', 'MXD3', 'GXYLT1', 'OTUD1', 'TNRC6C', 'PTPRJ', 'RCSD1', 'CARD11', 'USP25', 'ARHGAP17', 'OXLD1', 'USP7', 'HPSE', 'FCMR', 'ATP8A1', 'MCTP2', 'NFATC2IP', 'NCF1', 'VEZF1', 'CDKL1', 'ZBTB25', 'VOPP1', 'FH', 'PITPNM2', 'CECR2', 'LPGAT1', 'ITPRIP', 'ICAM1', 'BBS4', 'SLC25A40', 'OXA1L', 'COLCA1', 'CDK13', 'CORO1C', 'ANP32A', 'SCAF4', 'ARIH2', 'ZBTB9', 'ADHFE1', 'PRKCB', 'HSPA8', 'CAMTA1', 'PANK2', 'INVS', 'ANO3', 'MAP7', 'ABHD6', 'TRIP13', 'INPP5F', 'FKBP5', 'BACH2', 'GSN', 'ATE1', 'IKZF3', 'S1PR2', 'ZNF148', 'ZNF18', 'SIPA1L1', 'GMIP', 'CDC42EP3', 'GKAP1', 'LRCH1', 'TMEM131', 'GCNT1', 'ZBTB14', 'CD22', 'ASB13', 'TGFBR2', 'TBC1D5', 'ZBTB43', 'TRNAU1AP', 'PHF13', 'SLC44A2', 'SIGIRR', 'LRRCC1', 'CELSR1', 'HMGN3', 'ETS1', 'ACKR2', 'RASSF4', 'EXO5', 'PTK2', 'PAN3', 'BORCS7', 'BTLA', 'STAU2', 'RP9', 'LTB', 'GRAMD4', 'OTUB2', 'VAV2', 'IFNGR1', 'ZC3H12D', 'ZBED3', 'MIF4GD', 'DTX1', 'IFT57', 'MPRIP', 'MRPL41', 'CEP162', 'CNN2', 'CASP9', 'OXSR1', 'HAAO', 'DMPK', 'LMO7', 'CDCA5', 'ZNF839', 'SPIB', 'CISD2', 'CPNE5', 'B9D2', 'LRRC75A', 'SH3BGRL2', 'STXBP1', 'GPR137B', 'GIT2', 'MCM6', 'BCL2A1', 'FOXO1', 'LYN', 'EIF2AK4', 'RNF157', 'SMAGP', 'ELK3', 'ANKFY1', 'PITPNC1', 'MARVELD2', 'IRAK1BP1', 'CNTLN', 'C8orf58', 'BLK']
GSE7568_IL4_VS_IL4_AND_DEXAMETHASONE_TREATED_MACROPHAGE_UP	1	0.24625029798066397	1.3783785166330738	1.0	48.37	['TIMELESS', 'CKS2', 'CXCR4', 'RFC2', 'IPO5', 'ELOF1', 'ADD1', 'PSMC3IP', 'CCDC18', 'CDK4', 'TK1', 'NELFCD', 'CCDC50', 'UBE2S', 'IL1RL1', 'DEPDC1', 'TAF5', 'UQCRC1', 'PLPP3', 'PSMA6', 'LANCL2', 'EIF3C', 'DSCC1', 'WDHD1', 'UGDH', 'PMM1', 'DPY30', 'MRPS21', 'HAUS8', 'CBFB', 'CENPC', 'PPIA', 'GLA', 'LSM2', 'PSMG1', 'IFT27', 'MAGOH', 'CENPI', 'UBE2T', 'PRPF40A', 'BSPRY', 'SF3A3', 'ME2', 'DLD', 'LRR1', 'CWC15', 'PPP4C', 'DNAJB11', 'NEK2', 'MED23', 'SGO1', 'RANGAP1', 'DSN1', 'API5', 'GTF2H5', 'BARD1', 'RACGAP1', 'MAD2L1', 'DEK', 'GNAI2', 'ESPL1', 'PGD', 'BUB1', 'RBM34', 'UHRF1', 'BCAT1', 'CIT', 'EIF1AX', 'SPDL1', 'TAF6', 'NUP155', 'FIGNL1', 'CCDC34', 'EEF1G', 'BLMH', 'CDCA5', 'ALG8', 'NMRAL1', 'GINS4', 'TMEM218', 'CHEK2', 'PABPC1', 'HSPA5', 'IPO8', 'WDR1', 'SPATA24', 'ORC6', 'POC1A', 'VDAC3', 'TRPC4AP', 'GLTP', 'MNS1', 'PGK1']
GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_2H_CD4_TCELL_DN	1	0.24596523963132197	1.3788099490933798	1.0	52.71	['GAR1', 'ORMDL2', 'MED18', 'PIGM', 'CTSL', 'COPS8', 'EOMES', 'DNAJC17', 'JMJD4', 'FLT1', 'PLPP1', 'CD200', 'EIF2B2', 'RING1', 'NAA30', 'FBXW11', 'NT5E', 'CDK4', 'CCT3', 'ADIPOR2', 'ZNF230', 'HCP5', 'IMP3', 'PJA1', 'GFI1', 'SRSF1', 'ERLIN1', 'ARG2', 'MFSD14B', 'MRPL17', 'SDHAF2', 'NMI', 'GBP2', 'RCC1L', 'SH2D2A', 'SPINT2', 'FAM102B', 'PHLDA1', 'PER2', 'EMP1', 'MTHFD2', 'STX6', 'TTLL4', 'PIGV', 'CEP19', 'TEX30', 'BCOR', 'PRDX1', 'GON7', 'SLC30A5', 'LEO1', 'SDF2', 'VPS35', 'CCT4', 'TP53BP1', 'MRPL35', 'FADD', 'IMMT', 'CTNNAL1', 'LINC01128', 'EIF3J', 'CCNH', 'TMBIM1', 'ZNF780A', 'GFOD1', 'NLE1', 'AMMECR1L', 'ATG101', 'GLB1', 'DSE', 'EIF2B4', 'KCTD12', 'KCTD21', 'DHRS7B', 'APOL6', 'TRAF3', 'GPATCH4', 'SERAC1', 'KLF10', 'COPS5', 'EZH2', 'UTP18', 'RPGR', 'RRAGA', 'COPB2', 'TUBD1', 'DLAT', 'MIR3142HG', 'LAMP3', 'NABP1', 'RASGRP3', 'ZPR1', 'ST8SIA4', 'FAM98A', 'SHMT2', 'DLC1', 'SNRNP35', 'SEC24A', 'PPIL1', 'BYSL', 'SLC7A1', 'MRPS28', 'MED21', 'SLC39A8', 'RABIF', 'ZNF234', 'LARP4', 'TP53RK', 'TBL2', 'EED', 'EPC2', 'MED20', 'CHAC2', 'C1orf216', 'NCBP1', 'CYCS', 'SMIM15']
GSE30971_WBP7_HET_VS_KO_MACROPHAGE_4H_LPS_STIM_UP	1	0.2459007438180765	1.3789996368802062	1.0	33.67	['MSC-AS1', 'C1QBP', 'METTL1', 'CXCL5', 'MAMLD1', 'NIP7', 'KCNN4', 'NME1', 'ARNTL2', 'FNDC3B', 'ASAP1', 'IDI2', 'MAPK13', 'CXCL3', 'TMEM38B', 'UBE2Z', 'UBE2V2', 'PSMD14', 'IL1B', 'LAMB3', 'AIFM2', 'SLC1A3', 'SP2-AS1', 'CD58', 'BBIP1', 'KANK1', 'AZIN1', 'CNIH4', 'PTPN12', 'IRAK2', 'SLC16A6', 'GSR', 'HMGN2P46', 'ALOX5AP', 'POLR1A', 'ZNF697', 'SLC25A33', 'SELENOS', 'SERF1A', 'SPHK1', 'SLC7A5', 'TUBB', 'TMEM45B', 'BID', 'MFSD2A', 'BTG3', 'GFM2', 'TNFAIP6', 'SNHG15', 'TNS3', 'CYP27B1', 'TPST1', 'PSMD1', 'MAML2', 'PSMD7', 'FKBP4', 'PLAA', 'TNFRSF9', 'TUBB6', 'C15orf48', 'TMEM68', 'AMPD3', 'LRP8', 'GFM1', 'SLC7A11', 'PPIL1', 'SLC7A1', 'RCN1', 'GPR68', 'TNFAIP3', 'TXN', 'SLC39A8', 'LARP4', 'CHUK', 'DESI1', 'PLEKHA3', 'BEND3', 'NF1', 'CMSS1']
