pathway	freq	padj	stability	overlap	genes
REACTOME_CELL_CYCLE	5	3.178277183113236e-23	0.5	0.16508972267536706	['TPR', 'TUBGCP5', 'STAG2', 'TUBGCP4', 'XPO1', 'ZWILCH', 'PDS5A', 'RBL2', 'WEE1', 'NUP98', 'RAD21', 'KNTC1', 'ANKRD28', 'OFD1', 'AKAP9', 'PAFAH1B1', 'HERC2', 'ANAPC4', 'CEP76', 'SMARCA5', 'NCAPD3', 'NBN', 'ATRX', 'CEP78', 'PCNT', 'TFDP2', 'CENPC', 'RFC1', 'CEP135', 'SMC3', 'MCPH1', 'RSF1', 'POLA1', 'CDC27', 'CCP110', 'PPP2R2A', 'CLIP1', 'ITGB3BP', 'PDS5B', 'CLASP1', 'CLASP2', 'DYRK1A', 'SPAST', 'PCM1', 'PPP1R12B', 'NUP214', 'TNPO1', 'MRE11', 'TP53BP1', 'PSME4', 'UIMC1', 'SDCCAG8', 'CCNH', 'ORC2', 'TOPBP1', 'CEP57', 'NIPBL', 'CEP290', 'EML4', 'POT1', 'DYNC1I2', 'POLR2B', 'SYNE1', 'HDAC8', 'POLD3', 'ALMS1', 'SMC4', 'ATR', 'CDC23', 'PSMD1', 'ATM', 'GSK3B', 'TAOK1', 'PPP2CB', 'UBE2D1', 'CEP192', 'SPDL1', 'NUP155', 'PPP1R12A', 'NUP205', 'MLH3', 'NUP160', 'ANAPC1', 'EP300', 'TUBGCP3', 'NEK9', 'RAD1', 'HAUS6', 'LEMD3', 'PPP2R5C', 'NEK7', 'RAD17', 'WAPL', 'NUP188', 'NUP54', 'ORC4', 'CEP63', 'KIF2A', 'SYNE2', 'PPP2R1B', 'ANKLE2', 'RAD50', 'NUP107', 'CNTRL', 'WRN', 'STAG1', 'CEP164']
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	5	4.0489563603222294e-23	0.5	0.16049766718506997	['ARAP2', 'SENP1', 'SWAP70', 'XPO1', 'SOS1', 'DOCK10', 'ZWILCH', 'TRA2B', 'RBBP6', 'NUP98', 'CYFIP1', 'FAM13B', 'MFN1', 'KNTC1', 'TIAM2', 'ADD3', 'ROCK1', 'KDM1A', 'PIK3R1', 'PAFAH1B1', 'SLK', 'MFN2', 'SCAI', 'OSBPL11', 'OPHN1', 'PIK3C3', 'CENPC', 'UHRF1BP1L', 'ARHGEF7', 'NCK1', 'KTN1', 'CCP110', 'RHOT1', 'PLD1', 'SLC4A7', 'CLIP1', 'ITGB3BP', 'TAOK3', 'SNAP23', 'CLASP1', 'CLASP2', 'ARHGEF12', 'FARP2', 'FNBP1', 'PPP1R12B', 'DST', 'AKAP13', 'MYO6', 'ERBIN', 'CTNNB1', 'ABI2', 'PICALM', 'ARHGEF9', 'PIK3CA', 'IQGAP1', 'STAM', 'ARL13B', 'DOCK7', 'ALS2', 'FAM13A', 'DYNC1I2', 'CDC42SE2', 'CCDC88A', 'ARHGAP21', 'ANKRD26', 'TMOD3', 'MYO9A', 'CDC42BPA', 'DAAM1', 'USP9X', 'CTNNA1', 'PTK2', 'TAOK1', 'PPP2CB', 'SPDL1', 'ITSN2', 'SPEN', 'UACA', 'PPP1R12A', 'CUL3', 'ROCK2', 'SCFD1', 'NUP160', 'KIDINS220', 'DOCK5', 'WDR11', 'LEMD3', 'PPP2R5C', 'ITSN1', 'PIK3R4', 'SRRM1', 'ITGB1', 'TRIO', 'TJP2', 'PKN2', 'DOCK4', 'RALGAPA1', 'GIT2', 'KIF2A', 'FAM135A', 'NCKAP1', 'KDM4C', 'ARHGAP12', 'PPP2R1B', 'ANKLE2', 'NUP107', 'ANKFY1', 'DOCK9', 'ARHGAP19']
REACTOME_CD22_MEDIATED_BCR_REGULATION	5	5.035685946389341e-22	0.5	0.5311475409836065	['IGKV1D-39', 'IGKV1-39', 'IGKV1-5', 'IGLV2-14', 'IGKV2D-28', 'IGHV4-34', 'IGKV1-17', 'IGLV1-47', 'IGHV4-39', 'IGLV2-23', 'IGHV3-13', 'IGKV1-16', 'IGHV3-23', 'IGKV1D-33', 'IGKV2-30', 'IGKV3-15', 'IGLV3-1', 'IGLV3-21', 'IGKV3-20', 'IGHV2-5', 'IGLV3-19', 'IGLV3-27', 'IGLV1-40', 'IGLV2-11', 'IGLC2', 'IGLV3-25', 'IGHV4-59', 'IGKV1-12', 'IGKV3D-20', 'IGLV1-44', 'IGHV3-7', 'IGKV1D-16', 'IGLC3', 'IGHV1-2', 'IGKV4-1', 'IGLV6-57', 'IGKV2D-30', 'IGHV2-70', 'IGKV2-28', 'IGKV2D-40', 'IGKV1-33']
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	5	5.775724188311245e-21	0.5	0.488235294117647	['IGKV1D-39', 'IGKV1-39', 'IGKV1-5', 'IGLV2-14', 'IGKV2D-28', 'IGHV4-34', 'IGKV1-17', 'IGLV1-47', 'IGHV4-39', 'IGLV2-23', 'IGHV3-13', 'IGKV1-16', 'IGHV3-23', 'IGKV1D-33', 'IGKV2-30', 'IGKV3-15', 'IGLV3-1', 'IGLV3-21', 'IGKV3-20', 'IGHV2-5', 'IGLV3-19', 'IGLV3-27', 'IGLV1-40', 'IGLV2-11', 'IGLC2', 'IGLV3-25', 'IGHV4-59', 'IGKV1-12', 'IGKV3D-20', 'IGLV1-44', 'IGHA1', 'IGHV3-7', 'IGKV1D-16', 'IGLC3', 'IGHV1-2', 'IGKV4-1', 'IGLV6-57', 'IGKV2D-30', 'IGHV2-70', 'IGKV2-28', 'IGKV2D-40', 'IGKV1-33']
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	5	7.958763021621303e-21	0.5	0.4835820895522388	['IGKV1D-39', 'IGKV1-39', 'IGLV2-14', 'IGKV1-5', 'IGKV2D-28', 'IGHV4-34', 'IGKV1-17', 'IGLV1-47', 'IGHV4-39', 'IGLV2-23', 'IGHV3-13', 'IGKV1-16', 'IGHV3-23', 'IGKV1D-33', 'IGKV2-30', 'IGKV3-15', 'IGLV3-1', 'IGLV3-21', 'IGKV3-20', 'IGHV2-5', 'IGLV3-19', 'IGLV3-27', 'IGLV1-40', 'IGLV2-11', 'IGLC2', 'IGLV3-25', 'IGHV4-59', 'IGKV1-12', 'IGKV3D-20', 'IGLV1-44', 'IGHV3-7', 'IGKV1D-16', 'IGLC3', 'IGHV1-2', 'IGKV4-1', 'IGLV6-57', 'IGKV2D-30', 'IGHV2-70', 'IGKV2-28', 'IGKV2D-40', 'IGKV1-33']
REACTOME_FCGR_ACTIVATION	5	1.470828974551424e-20	0.5	0.4695652173913044	['IGKV1D-39', 'IGKV1-39', 'IGLV2-14', 'IGKV1-5', 'IGKV2D-28', 'IGHV4-34', 'IGKV1-17', 'IGLV1-47', 'IGHV4-39', 'IGLV2-23', 'IGHV3-13', 'IGKV1-16', 'IGHV3-23', 'IGKV1D-33', 'IGKV2-30', 'IGKV3-15', 'IGLV3-1', 'IGLV3-21', 'IGKV3-20', 'IGHV2-5', 'IGLV3-19', 'IGLV3-27', 'IGLV1-40', 'IGLV2-11', 'IGLC2', 'IGLV3-25', 'IGHV4-59', 'IGKV1-12', 'IGKV3D-20', 'IGLV1-44', 'IGHV3-7', 'IGKV1D-16', 'IGLC3', 'IGHV1-2', 'IGKV4-1', 'IGLV6-57', 'IGKV2D-30', 'IGHV2-70', 'IGKV2-28', 'IGKV2D-40', 'IGKV1-33']
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	5	3.408336500680927e-20	0.5	0.45633802816901403	['IGKV1D-39', 'IGKV1-39', 'IGKV1-5', 'IGLV2-14', 'IGKV2D-28', 'IGHV4-34', 'IGKV1-17', 'IGLV1-47', 'IGHV4-39', 'IGLV2-23', 'IGHV3-13', 'IGKV1-16', 'IGHV3-23', 'IGKV1D-33', 'IGKV2-30', 'IGKV3-15', 'IGLV3-1', 'IGLV3-21', 'IGKV3-20', 'IGHV2-5', 'IGLV3-19', 'IGLV3-27', 'IGLV1-40', 'IGLV2-11', 'IGLC2', 'IGLV3-25', 'IGHV4-59', 'IGKV1-12', 'IGKV3D-20', 'IGLV1-44', 'IGHV3-7', 'IGKV1D-16', 'IGLC3', 'IGHV1-2', 'IGKV4-1', 'IGLV6-57', 'IGKV2D-30', 'IGHV2-70', 'IGKV2-28', 'IGKV2D-40', 'IGKV1-33']
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	5	2.1022133468888232e-19	0.5	0.43200000000000005	['IGKV1D-39', 'IGKV1-39', 'IGLV2-14', 'IGKV1-5', 'IGKV2D-28', 'IGHV4-34', 'IGKV1-17', 'IGLV1-47', 'IGHV4-39', 'IGLV2-23', 'IGHV3-13', 'IGKV1-16', 'IGHV3-23', 'IGKV1D-33', 'IGKV2-30', 'IGKV3-15', 'IGLV3-1', 'IGLV3-21', 'IGKV3-20', 'IGHV2-5', 'IGLV3-19', 'IGLV3-27', 'IGLV1-40', 'IGLV2-11', 'IGLC2', 'IGLV3-25', 'IGHV4-59', 'IGKV1-12', 'IGKV3D-20', 'IGLV1-44', 'IGHV3-7', 'IGKV1D-16', 'IGLC3', 'IGHV1-2', 'IGKV4-1', 'IGLV6-57', 'IGKV2D-30', 'IGHV2-70', 'IGKV2-28', 'IGKV2D-40', 'IGKV1-33']
REACTOME_M_PHASE	5	8.000937312544972e-19	0.5	0.19314285714285712	['CEP78', 'PCNT', 'TPR', 'TUBGCP5', 'SDCCAG8', 'NUP160', 'ANAPC1', 'STAG2', 'TUBGCP4', 'CEP57', 'NIPBL', 'TUBGCP3', 'NEK9', 'CEP290', 'CEP135', 'XPO1', 'EML4', 'CENPC', 'ZWILCH', 'SMC3', 'MCPH1', 'DYNC1I2', 'PDS5A', 'LEMD3', 'PPP2R5C', 'CCP110', 'CDC27', 'HAUS6', 'NEK7', 'NUP98', 'HDAC8', 'PPP2R2A', 'RAD21', 'KNTC1', 'WAPL', 'CLIP1', 'ITGB3BP', 'ALMS1', 'PDS5B', 'SMC4', 'OFD1', 'NUP188', 'AKAP9', 'CLASP1', 'CLASP2', 'SPAST', 'CDC23', 'PSMD1', 'NUP54', 'CEP63', 'PAFAH1B1', 'PCM1', 'KIF2A', 'ANAPC4', 'CEP76', 'PPP2R1B', 'NUP214', 'TAOK1', 'TNPO1', 'PPP2CB', 'ANKLE2', 'UBE2D1', 'CEP192', 'SPDL1', 'NUP107', 'NCAPD3', 'CNTRL', 'NUP155', 'STAG1', 'CEP164', 'PSME4', 'NUP205']
REACTOME_CELL_CYCLE_MITOTIC	5	3.4555732073581075e-18	0.5	0.16348884381338744	['TPR', 'TUBGCP5', 'STAG2', 'TUBGCP4', 'XPO1', 'ZWILCH', 'PDS5A', 'RBL2', 'WEE1', 'NUP98', 'RAD21', 'KNTC1', 'OFD1', 'AKAP9', 'PAFAH1B1', 'ANAPC4', 'CEP76', 'NCAPD3', 'CEP78', 'PCNT', 'TFDP2', 'CENPC', 'RFC1', 'CEP135', 'SMC3', 'MCPH1', 'POLA1', 'CDC27', 'CCP110', 'PPP2R2A', 'CLIP1', 'ITGB3BP', 'PDS5B', 'CLASP1', 'CLASP2', 'DYRK1A', 'SPAST', 'PCM1', 'PPP1R12B', 'NUP214', 'TNPO1', 'PSME4', 'SDCCAG8', 'CCNH', 'ORC2', 'CEP57', 'NIPBL', 'CEP290', 'EML4', 'DYNC1I2', 'HDAC8', 'POLD3', 'ALMS1', 'SMC4', 'CDC23', 'PSMD1', 'GSK3B', 'TAOK1', 'PPP2CB', 'UBE2D1', 'CEP192', 'SPDL1', 'NUP155', 'PPP1R12A', 'NUP205', 'NUP160', 'ANAPC1', 'EP300', 'TUBGCP3', 'NEK9', 'HAUS6', 'LEMD3', 'PPP2R5C', 'NEK7', 'WAPL', 'NUP188', 'NUP54', 'ORC4', 'CEP63', 'KIF2A', 'PPP2R1B', 'ANKLE2', 'NUP107', 'CNTRL', 'STAG1', 'CEP164']
