pathway	freq	padj	NES	stability	overlap	Lead_genes
GSE3982_EOSINOPHIL_VS_MAST_CELL_DN	1	0.2497262173253721	1.3586169075693437	1.0	59.84	['LAX1', 'IARS2', 'CCDC68', 'FBL', 'ATP8B4', 'TTC37', 'MCUR1', 'MCM3', 'UBE4B', 'OPTN', 'CHI3L1', 'DPAGT1', 'FAM171A1', 'CCNG1', 'GIMAP6', 'EGLN3', 'TRIAP1', 'LSM5', 'GNPDA1', 'PSMD6', 'IPO7', 'ABCF2', 'AKR1B1', 'VDAC2', 'SORBS1', 'RPS4X', 'DHRS3', 'PJA1', 'RRM1', 'SPARC', 'MAP2', 'AGPAT5', 'INTS7', 'LMAN2L', 'PPIA', 'PFAS', 'CLNS1A', 'CTSH', 'CHN2', 'CSE1L', 'RERE', 'ALDH1A1', 'ELAVL1', 'ASNS', 'HSD17B12', 'CANX', 'TTC27', 'CLASP1', 'BSCL2', 'DNMT1', 'SMARCC1', 'DPH2', 'APC', 'DERA', 'ZMYND8', 'MANF', 'TMEM268', 'TRAM1', 'HSPA8', 'AIMP1', 'MDH1', 'DPYD', 'TCEAL9', 'KCTD7', 'MGST3', 'RPF1', 'DCAF6', 'DAP3', 'MRPL16', 'CRTAP', 'RABGGTB', 'ZNHIT6', 'TMEM185B', 'CAMLG', 'N6AMT1', 'CEBPG', 'GORASP2', 'SSBP1', 'YBX3', 'RPL36', 'GALNT2', 'ENO1', 'CBLB', 'PSMD1', 'C11orf49', 'RYBP', 'ANKRD17', 'PRMT5', 'RC3H2', 'UTP3', 'HMG20A', 'UMPS', 'CYP1B1', 'UQCRC2', 'PDHX', 'SOX4', 'NIPSNAP1', 'VANGL1', 'PCCA', 'SYNE3', 'WDR11', 'HTATSF1', 'SQLE', 'ITFG1', 'SLC39A14', 'SIGLEC6', 'SETMAR', 'CAST', 'GATB', 'GRSF1', 'AP2A2', 'CSNK2A2', 'EIF2B5', 'BST1', 'GBAP1', 'MAST4', 'CBX5', 'RPA1', 'BTN2A2', 'APIP', 'BEX4', 'SEMA4C', 'CCT8', 'NDUFA9', 'E2F8', 'VDAC3', 'PARN', 'CDK18', 'ABCD4']
GSE15330_WT_VS_IKAROS_KO_HSC_UP	1	0.24864663142671511	1.3600614768317887	1.0	74.15	['PARP8', 'TUBGCP5', 'DGAT1', 'PDE1B', 'RBMX', 'TBCEL', 'PHF8', 'CAPZA1', 'STX1A', 'CAPN2', 'ZNF830', 'MED1', 'ACTR10', 'SPPL3', 'VPS37C', 'FASLG', 'MED14', 'MORF4L2', 'TOX', 'PHIP', 'RNF7', 'WSB1', 'SLAIN2', 'TMUB2', 'GATAD2B', 'KLF3', 'SYK', 'RDH5', 'RAB6A', 'RAB10', 'IL16', 'FNDC3A', 'USP7', 'SMC5', 'CSNK1G1', 'LMBRD1', 'KDM4B', 'IRF9', 'HERPUD1', 'CARD14', 'CHD7', 'SHF', 'CHIC2', 'DNAJA1', 'ARL4A', 'LIPA', 'ARRDC1', 'LONP2', 'MYO9B', 'ZRSR2', 'ACVRL1', 'DPM1', 'CD3E', 'ACBD3', 'GLIPR1', 'DLG1', 'NECAP2', 'SYVN1', 'ARHGAP1', 'BCAS3', 'SAMHD1', 'TSPAN13', 'PSTPIP2', 'NCOR1', 'DOK2', 'SGIP1', 'MR1', 'MAP2K6', 'ARF4', 'TRPV4', 'IGF2R', 'KIAA0319L', 'ABCB1', 'PRDX6', 'BEX3', 'SEC11A', 'XIAP', 'ZNF148', 'PARP12', 'GSTK1', 'NFYC', 'LY75', 'SPOP', 'ATP6AP2', 'GBA', 'HS3ST3B1', 'TDP2', 'PTEN', 'SMC4', 'ZFP1', 'HOXD8', 'IVNS1ABP', 'ANO10', 'ALKBH4', 'HIF1A', 'TMLHE', 'HBS1L', 'SELPLG', 'ETS1', 'QPCT', 'TAF13', 'ZNF764', 'RPS16', 'SHE', 'RBM18', 'ZNF264', 'RALGPS2', 'NFIA', 'JCHAIN', 'QPRT', 'SGK3', 'LAIR1', 'RBM7', 'ANGEL2', 'MDM2', 'DNAJC3', 'SH3GL1', 'IDH1', 'GUCA1B', 'DENND6A', 'PDK2', 'ARHGDIB', 'QKI', 'SPG11', 'ACOX1', 'MPP1', 'DAPP1', 'DDHD1', 'SLC41A1', 'RHOB', 'ZKSCAN5', 'RCAN3', 'MARK2', 'VCL', 'SEC16A', 'MAN1A2', 'PKD1', 'ABL1', 'QRICH1', 'SEMA4F', 'SLC52A3', 'CLTA', 'E4F1', 'FAM53C', 'UPF2', 'SAMD8', 'SRI', 'CRIPT', 'PPP1CC', 'SLC23A3', 'GRIPAP1', 'MAN2C1', 'TRPC4AP', 'TTLL3', 'OAZ2', 'ATAD2B']
GSE32423_CTRL_VS_IL7_MEMORY_CD8_TCELL_DN	1	0.2486028250509103	1.3599398986234996	1.0	36.29	['MYO6', 'SH3KBP1', 'UQCRC2', 'CWC22', 'RUNX3', 'GOLGA4', 'KDM5C', 'B9D1', 'TBCEL', 'CNOT6', 'ST3GAL6', 'USP27X', 'CHORDC1', 'DHFR', 'SMARCD2', 'THRAP3', 'LRP2BP', 'RGS10', 'LYRM7', 'TET3', 'DHODH', 'ZNF23', 'CRY1', 'DIO3OS', 'ACTR3B', 'CLEC1A', 'STXBP4', 'KDM8', 'PAFAH2', 'SMARCA1', 'STK40', 'PHTF2', 'NSF', 'DONSON', 'N4BP1', 'IER3', 'TXN', 'ARHGAP10', 'TOP3B', 'GPR137B', 'TIAM1', 'SMARCC1', 'MTMR6', 'ZNF627', 'PIK3CD', 'TXNRD3', 'DMRTA1', 'ATG2B', 'ST6GALNAC5', 'INHA', 'CHMP4C', 'ASPH', 'BCAT1', 'FKBP1A', 'SORBS1', 'UBE2G1', 'RAB11FIP5', 'TMOD4', 'CMTR2', 'RHOA', 'CFAP53', 'GPR34', 'SET', 'SCAI', 'VWA8']
GSE3982_EOSINOPHIL_VS_MAC_UP	1	0.24856750818476267	1.360279901781635	1.0	51.86	['PARP8', 'TCAP', 'GLMN', 'CDC14A', 'HHEX', 'PIGR', 'MTMR3', 'FAM13B', 'GPR35', 'FBXL5', 'TOX4', 'ACSBG1', 'ADD3', 'RASSF1', 'ISG20', 'ZSCAN32', 'LZTR1', 'KLF3', 'DBT', 'UBR5', 'SLC44A1', 'INPP5A', 'MTMR14', 'ANKMY1', 'ADIRF', 'HMGN1', 'ALOXE3', 'HNRNPA3P1', 'BBIP1', 'RBM14', 'RBM6', 'NUP133', 'RSRP1', 'NDST1', 'TACC1', 'EIF1', 'INPP4A', 'MAGOH', 'ACACB', 'CDK13', 'PIGH', 'FOXN2', 'ZNF184', 'PIM2', 'CTDSP2', 'RANBP6', 'ZNF14', 'TNFRSF11B', 'DLGAP1', 'PNPLA6', 'NOL10', 'PTBP2', 'ARGLU1', 'POU2F1', 'PTPN2', 'RHOBTB3', 'ZNF117', 'VN1R1', 'KDM6A', 'FPR1', 'JARID2', 'NLRX1', 'CLK1', 'SYNE1', 'ASTE1', 'ZDHHC13', 'RAPGEFL1', 'ATXN7L3B', 'RPIA', 'KLHL28', 'GAB1', 'PRDM5', 'SENP6', 'USP15', 'POGZ', 'ZNF250', 'PPP1R10', 'ITGA10', 'CUTC', 'NFX1', 'PMS2P3', 'ITGAL', 'JAK1', 'LUC7L2', 'DDX18', 'MMP25', 'ELF2', 'FBXO11', 'TAX1BP1', 'RNF39', 'KIF21B', 'YY1AP1', 'PDPR', 'KIT', 'DSC3', 'FUS', 'RANBP2', 'RUBCN', 'ZDHHC7', 'CAMKK2', 'METTL3', 'SYNE2', 'SKP2', 'ZNF34']
GSE21033_1H_VS_24H_POLYIC_STIM_DC_UP	1	0.24856070556816273	1.3604447161817395	1.0	60.33	['H6PD', 'CD2AP', 'PLXDC2', 'HDAC9', 'CEP120', 'DAB2IP', 'MAPKBP1', 'ARNTL', 'NRIP1', 'QSER1', 'PRRT1', 'ITGAV', 'HS6ST1', 'CSNK1E', 'MED14', 'GZF1', 'RAB11FIP4', 'RALGDS', 'VAMP1', 'EGLN3', 'PTPN7', 'SLC37A2', 'MIER1', 'CAB39', 'BACH1', 'CEP85', 'RMND5A', 'SMC5', 'MEF2A', 'ATP13A3', 'ANKRD6', 'SEC24B', 'MBNL2', 'OSBPL11', 'VEZF1', 'NFKBIE', 'ENTPD5', 'TUBE1', 'ARID2', 'TRPM7', 'TACC1', 'MAP3K1', 'MYO10', 'HSF2', 'WLS', 'CBFA2T2', 'BRD4', 'DCLRE1C', 'LIG4', 'MTSS1', 'BTBD7', 'FOXI1', 'USP42', 'TBC1D2B', 'BACH2', 'PLXDC1', 'PARP11', 'DNAJC6', 'TCF12', 'FAM161B', 'TMEM131', 'TTPAL', 'STRN3', 'ZC3H12C', 'TCOF1', 'NHSL1', 'PPT2', 'KMT2E', 'MYLIP', 'SEMA4D', 'PAN3', 'PPP1R16B', 'AFTPH', 'PPTC7', 'ITGA6', 'TTC13', 'HIVEP3', 'TPP2', 'RRAGD', 'AGFG2', 'SLC38A1', 'TLK2', 'CNOT6', 'CHD6', 'PCF11', 'ATAD1', 'WAPL', 'EIF2AK3', 'PFKFB3', 'MAGI3', 'RAB5A', 'ANXA5', 'PSAP', 'CYFIP2', 'MYOF', 'LCA5', 'CBLN4', 'RNF157', 'CBL', 'CD6', 'XRRA1', 'DUSP16', 'PYCARD', 'SLC16A5']
GSE29614_DAY3_VS_DAY7_TIV_FLU_VACCINE_PBMC_DN	1	0.24773269736730474	1.3614635412958263	1.0	80.46	['GMPPB', 'LAX1', 'FKBP3', 'SSPN', 'COL4A4', 'NOC3L', 'SDC1', 'POLR3G', 'ACADM', 'SHCBP1', 'TNFRSF17', 'SLC2A5', 'GEN1', 'CXCR3', 'CHEK1', 'OIP5', 'PHB', 'POU2AF1', 'CLPTM1L', 'STIL', 'GINS1', 'FCRL5', 'GPT2', 'SLC44A1', 'CDK1', 'MCEE', 'SPAG5', 'IGLV6-57', 'MRPS14', 'FGD5-AS1', 'CDKN3', 'SUCLA2', 'SLAMF7', 'SEL1L3', 'ALG5', 'B4GALT3', 'BLNK', 'TXNDC11', 'SLC35F5', 'IGKV1D-13', 'VOPP1', 'SRPRB', 'GALK2', 'RRM2', 'ERLEC1', 'CAV1', 'CD180', 'NARS2', 'TIGD6', 'MZB1', 'MOXD1', 'OSTC', 'MAN1A1', 'COL24A1', 'HSP90B1', 'GADD45GIP1', 'SNRPG', 'PRDM15', 'CCNB2', 'EFHC1', 'TMEM19', 'PHGDH', 'FASTKD1', 'LIG4', 'SELENOS', 'DNAJB11', 'MANF', 'CENPS', 'SUB1', 'HMMR', 'EAF2', 'PERP', 'DLGAP5', 'GGH', 'TRIP13', 'CENPM', 'RPN2', 'PGM3', 'FICD', 'RNASEH2C', 'DENND5B', 'STK19', 'TXNDC15', 'PDIA5', 'ZCCHC9', 'C3orf52', 'GPRC5D', 'BHLHE41', 'PRDX4', 'GPLD1', 'DERL2', 'NCAPG', 'IGKV3-20', 'UQCRH', 'PBK', 'ARL1', 'OSBPL10', 'CDC6', 'ARHGAP42', 'UMAD1', 'GUSBP11', 'SP140', 'IGLV1-44', 'EFCAB11', 'KDELR2', 'BUB1', 'PARM1', 'GLDC', 'CCNB1', 'GNG7', 'IGLJ3', 'PPIB', 'SDF2L1', 'CBWD1', 'ALG14', 'CRELD2', 'JCHAIN', 'BUB1B', 'DCPS', 'SEC11C', 'RNF121', 'RASGRP3', 'PTTG1', 'COBLL1', 'PCLAF', 'RAB30', 'MIR155HG', 'SSR3', 'GLCCI1', 'IGKC', 'IGLV3-19', 'UBE2J1', 'TPD52', 'CCDC113', 'SEC24A', 'SLC7A11', 'IGHM', 'SLC35F2', 'CEP128', 'LMAN1', 'SPATS2', 'UGT2B15', 'C11orf80', 'CD38', 'MKI67', 'HSPD1', 'XBP1', 'SRP54', 'IGKV4-1', 'CHAC2', 'E2F8', 'TEX9', 'TLR10', 'HIBCH', 'SLC25A4', 'CENPI']
GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_PRO_BCELL_DN	1	0.2475579253957135	1.3618027950288185	1.0	69.7	['MYL12B', 'P2RY10', 'FLI1', 'PIGB', 'BNIP3L', 'SERINC3', 'TBXAS1', 'NFATC3', 'SRPK2', 'INPP5D', 'IL15', 'YTHDC2', 'ADD3', 'SGSH', 'OARD1', 'CPNE1', 'CCNG1', 'RAD52', 'ANXA4', 'EXOC3', 'HERC2', 'ZBTB38', 'USP2', 'GLO1', 'CIZ1', 'NSD2', 'RAB6A', 'ZNF652', 'GGNBP2', 'RBBP7', 'SCAI', 'PTGDR', 'UGDH', 'BPGM', 'PPP2R1A', 'VPS41', 'SCAPER', 'COQ3', 'RRM1', 'CEP135', 'SMIM8', 'LINC01260', 'SYCP2', 'NMI', 'CRYL1', 'WSB2', 'ARHGEF6', 'DNMT1', 'CDK13', 'KNL1', 'RTN3', 'FDFT1', 'ZNF446', 'TDRD3', 'NDUFS4', 'ANKZF1', 'TCFL5', 'NVL', 'MYOC', 'CCNA2', 'MANF', 'DENND1B', 'MRE11', 'HMOX2', 'TROAP', 'SMAD2', 'PCTP', 'BARD1', 'STMN1', 'ATP11B', 'SPTLC1', 'DEK', 'GCC2', 'ATP6V1H', 'TOPBP1', 'IQGAP1', 'RIBC2', 'RAD54B', 'CCDC92', 'RBMX2', 'HAUS4', 'NXT2', 'FBXL14', 'ACOT8', 'ARAP3', 'RAD51', 'UPF3A', 'KIF26B', 'BIRC5', 'TAPBPL', 'LAMP2', 'CHFR', 'KIF14', 'EFCAB14', 'SUMO2', 'ELMO1', 'TSPAN14', 'TMEM41B', 'VPS26A', 'IP6K1', 'KYAT3', 'STAU2', 'NMRK1', 'SLC33A1', 'PHF20', 'NHLRC2', 'UBE2K', 'CDT1', 'WDR41', 'MCM2', 'VAMP8', 'COX5B', 'MKNK1', 'FAN1', 'IDH1', 'ZCCHC4', 'APPL1', 'SPG11', 'CNN2', 'STX7', 'RAP1GAP2', 'KIDINS220', 'MRPL40', 'WWC3', 'DOK1', 'LXN', 'LEMD3', 'RCHY1', 'MMP25', 'GMNN', 'ZNF43', 'ACTA2', 'FBXO5', 'RCOR3', 'ARPP19', 'GSTP1', 'CRLF3', 'NKTR', 'ATP9B', 'VBP1', 'DHCR24', 'ORC5', 'IQGAP2', 'ZNF45', 'SKP2', 'DENND4C', 'MAGT1', 'PIP4K2C', 'FLT3LG']
GSE22935_UNSTIM_VS_48H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_UP	1	0.2475035083936382	1.362019723087518	1.0	68.11	['MSX2', 'TSPAN12', 'SHC3', 'TF', 'GCFC2', 'RPL37A', 'PJA2', 'MBOAT1', 'CDON', 'LINS1', 'PDS5A', 'S100A1', 'CAMK2N1', 'ZKSCAN8', 'RPP30', 'RGS3', 'PSMC3IP', 'SMARCA1', 'CDO1', 'ANGPTL2', 'MXRA7', 'PXMP2', 'PPARG', 'S100B', 'TNRC6C', 'BANK1', 'BCL7A', 'RGS18', 'MBD4', 'ARHGAP17', 'TXNIP', 'RDM1', 'ZBED6', 'CDRT4', 'ZSCAN29', 'SMIM5', 'USP28', 'RRM1', 'TRAF5', 'PIK3IP1', 'SYNRG', 'LGALS12', 'SERTAD4', 'CCSAP', 'PHF20L1', 'FYTTD1', 'ADCY9', 'GTF3C5', 'SENP7', 'ANP32A', 'FAM178B', 'DAG1', 'PLA1A', 'RAB22A', 'CES1', 'C11orf52', 'PIGO', 'CSNK1G3', 'AAK1', 'FILIP1', 'ZFP82', 'GID4', 'ZNF385B', 'ZNF287', 'MDH1', 'TSNAX', 'GAS1', 'ZKSCAN3', 'HEMK1', 'RGS2', 'POT1', 'PC', 'SOX5', 'MZF1', 'SNRNP48', 'CCDC51', 'IMPDH2', 'LRRC39', 'WDR89', 'ANKRD26', 'PSTK', 'KLHL28', 'ACAT1', 'OASL', 'GPIHBP1', 'PPP4R3B', 'KLHL8', 'MYLIP', 'NDUFAF2', 'ATM', 'SCRG1', 'TAF3', 'MTF2', 'HUNK', 'TBC1D19', 'KYAT3', 'JCHAIN', 'ID1', 'LYPD6', 'LPL', 'INCA1', 'GPR19', 'DUSP19', 'USP36', 'NPR2', 'PRDM2', 'APPL1', 'ZFP2', 'CSPG4', 'TDRKH', 'LEPR', 'KCNE5', 'ZMIZ1', 'ZSCAN26', 'SNX6', 'PAQR6', 'PHKA2', 'CFD', 'POLR3H', 'UBA6', 'FCER2', 'SENP8', 'FBXO31', 'TFCP2', 'ZNF526', 'BEND7', 'LRRC34', 'DIXDC1', 'L1TD1', 'PIWIL4', 'RPL37', 'GPD1', 'FFAR2', 'KRT8', 'CYP4B1', 'MBD5', 'KDM5B']
GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_24H_CD8_T_CELL_DN	1	0.247014390767544	1.3626445198622508	1.0	48.49	['SWAP70', 'MSH3', 'MORC4', 'METTL17', 'S100PBP', 'TANK', 'CCDC6', 'DVL2', 'SMAP1', 'RBBP4', 'UBE2N', 'RNASEH1', 'SEPHS2', 'NAB1', 'TSR1', 'IKBKB', 'LITAF', 'TM9SF2', 'COQ9', 'MBD4', 'MRPS14', 'SYT7', 'INTS8', 'WDHD1', 'KPNA6', 'HLA-DOB', 'INPP1', 'TSPAN5', 'IMPA1', 'CDV3', 'SLU7', 'SON', 'KTN1', 'SYNRG', 'GALK2', 'PRPF8', 'NFU1', 'SPATA5', 'SPICE1', 'POLR3D', 'FZD6', 'POLR3A', 'TIMM8A', 'SLMAP', 'SP3', 'S1PR1', 'RUNX1T1', 'PTPN18', 'SEC23A', 'POLR2H', 'FKBP1A', 'FBXO38', 'SMAD2', 'COASY', 'PSMC1', 'UBA7', 'OGT', 'DEK', 'SEC11A', 'RNF34', 'TPRG1L', 'IREB2', 'CPSF7', 'PDCD2', 'SPIN1', 'LY75', 'LRPPRC', 'UBE2A', 'KIF3B', 'ENO1', 'DCUN1D5', 'KMT2E', 'SNX2', 'TCEA1', 'MLLT1', 'SPATA13', 'METTL7A', 'DDX39B', 'PGM1', 'SRSF9', 'DDX19A', 'FIP1L1', 'KLF4', 'ROCK2', 'DIAPH1', 'MAPKAPK5', 'ZSCAN26', 'SELENOK', 'COX7A1', 'ZNF274', 'ZNF638', 'MTHFR', 'FKBP10', 'RAB5A', 'RACK1', 'RBM26', 'GNB1', 'FOLR2', 'MFSD14A', 'PIP4K2C', 'CD70', 'SLC20A1', 'NCOA2']
GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_UP	1	0.24651149938226302	1.3634723162048976	1.0	36.35	['RPS6KA1', 'TRAF3IP3', 'MADD', 'NFATC3', 'SESN2', 'ACP5', 'NOD1', 'KCNN4', 'ZYG11B', 'CNP', 'RGS3', 'TBC1D10B', 'TBC1D10C', 'GIMAP6', 'PRKD2', 'IL16', 'TXNIP', 'ANKRD50', 'DNAJB4', 'ZNF654', 'BMT2', 'TRAF5', 'GATA3', 'NCK1', 'IRF6', 'FAM78A', 'RAB19', 'SPICE1', 'SH2D2A', 'ZNF260', 'UBE2T', 'CD27', 'TMEM154', 'RANBP10', 'EHD3', 'IL12RB1', 'SNRK', 'CITED2', 'RHOH', 'CBX4', 'HSDL1', 'PARP11', 'NATD1', 'WDR12', 'ZADH2', 'GPR132', 'RNF125', 'LDLRAP1', 'AMMECR1L', 'GBA2', 'GLRX', 'MMD', 'FAM111A', 'MSL1', 'B3GNT2', 'NIPAL1', 'RFX1', 'HAUS3', 'RBM4B', 'MEN1', 'TNIP1', 'CEP57L1', 'FAM117B', 'TOB1', 'TTLL1', 'TRAF3IP2', 'SOX4', 'IRF2', 'TDRP', 'ST8SIA4', 'JADE2', 'ALS2CL', 'KIF21B', 'MTHFR', 'SUPT4H1', 'STARD5', 'PSD4', 'RFX5', 'CRLF3', 'MID1IP1', 'PRMT2', 'ITPKB', 'CREB1', 'UGCG', 'MDC1', 'IRF2BP2']
