pathway	freq	padj	stability	overlap
GOBP_ORGANELLE_FISSION	1	5.429107692736145e-08	1.0	0.13580246913580246
GOBP_CELL_DIVISION	1	3.541296280329192e-07	1.0	0.11819887429643527
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	1	1.310956778833274e-06	1.0	0.18012422360248448
GOBP_NUCLEAR_CHROMOSOME_SEGREGATION	1	1.310956778833274e-06	1.0	0.15163934426229508
GOBP_CHROMOSOME_SEGREGATION	1	1.310956778833274e-06	1.0	0.14
GOBP_MITOTIC_NUCLEAR_DIVISION	1	4.104614513273416e-06	1.0	0.1417910447761194
GOBP_SISTER_CHROMATID_SEGREGATION	1	1.1951851083013677e-05	1.0	0.15789473684210525
GOBP_MITOTIC_CELL_CYCLE	1	4.1038805656168694e-05	1.0	0.09475032010243278
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	1	4.6755244067449365e-05	1.0	0.10714285714285714
GOBP_MITOTIC_SPINDLE_ORGANIZATION	1	9.194218339534108e-05	1.0	0.1826086956521739
GOBP_MITOTIC_CELL_CYCLE_PROCESS	1	0.00011812859163939888	1.0	0.09692307692307692
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS	1	0.00011812859163939888	1.0	0.16666666666666666
GOBP_MEIOTIC_CELL_CYCLE	1	0.00011952334938597736	1.0	0.14835164835164835
GOBP_CELL_CYCLE	1	0.00014368681551949036	1.0	0.07864406779661016
GOBP_MEIOTIC_CELL_CYCLE_PROCESS	1	0.00014368681551949036	1.0	0.16312056737588654
GOBP_CYTOSKELETON_ORGANIZATION	1	0.00026156179966106073	1.0	0.08203799654576857
GOBP_CELL_CYCLE_PROCESS	1	0.000335495322105449	1.0	0.08450704225352113
GOBP_MICROTUBULE_BASED_PROCESS	1	0.0003437396377912564	1.0	0.09278350515463918
GOBP_SPINDLE_ORGANIZATION	1	0.0003437396377912564	1.0	0.14450867052023122
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	1	0.0003437396377912564	1.0	0.07734428473648186
GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	1	0.0008060743382471132	1.0	0.29411764705882354
GOBP_CHROMOSOME_LOCALIZATION	1	0.0009752656525586127	1.0	0.19480519480519481
GOBP_PHOSPHORYLATION	1	0.0012644657801068025	1.0	0.07498341074983411
GOBP_NITROGEN_COMPOUND_TRANSPORT	1	0.0016318485040125149	1.0	0.07289829512051735
GOBP_INTRACELLULAR_PROTEIN_TRANSPORT	1	0.002177128446597378	1.0	0.08549222797927461
GOBP_METAPHASE_PLATE_CONGRESSION	1	0.002177128446597378	1.0	0.203125
