pathway	freq	padj	NES	stability	overlap
GOBP_REGULATION_OF_HISTONE_H4_K16_ACETYLATION	1	0.24865568043206407	1.4200834192458844	1.0	56.0
GOBP_TRNA_CATABOLIC_PROCESS	1	0.24804542552666628	1.421072537777707	1.0	40.92
GOBP_NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY	1	0.24797973455547184	1.4210016415015532	1.0	39.95
GOBP_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL	1	0.24792209045106559	1.4209276353471625	1.0	67.83
GOBP_NEGATIVE_REGULATION_OF_VIRAL_INDUCED_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	1	0.2473785311723466	1.4218900861622343	1.0	33.35
GOBP_ALDEHYDE_BIOSYNTHETIC_PROCESS	1	0.24716860780730765	1.4222095327436732	1.0	32.63
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	1	0.2469241737765488	1.423079727863552	1.0	35.76
GOBP_CELLULAR_SODIUM_ION_HOMEOSTASIS	1	0.24689956986977082	1.4225840023681122	1.0	28.57
GOBP_MALE_SEX_DIFFERENTIATION	1	0.2468818904004996	1.4227316967162957	1.0	68.6
GOBP_REELIN_MEDIATED_SIGNALING_PATHWAY	1	0.24686200804993833	1.4228831657535734	1.0	56.46
GOBP_PROTEIN_K29_LINKED_UBIQUITINATION	1	0.2468137059744056	1.423054436521592	1.0	30.19
GOBP_AUTOPHAGY_OF_NUCLEUS	1	0.24671183768430463	1.4234164400535025	1.0	70.65
GOBP_REGULATION_OF_LAMELLIPODIUM_MORPHOGENESIS	1	0.24512952466513174	1.4250720861888029	1.0	63.89
GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_SYNTHASE_ACTIVITY	1	0.24512466442708147	1.4252214979471811	1.0	16.52
GOBP_POST_EMBRYONIC_DEVELOPMENT	1	0.24485649327823206	1.4260142441431118	1.0	47.54
GOBP_SECRETION_OF_LYSOSOMAL_ENZYMES	1	0.24482365801793568	1.4261516933050944	1.0	42.32
GOBP_TUBULIN_DEACETYLATION	1	0.24476136842768467	1.4259700832838251	1.0	38.21
GOBP_AMINO_SUGAR_METABOLIC_PROCESS	1	0.24462616774612106	1.4259689633789303	1.0	68.56
GOBP_NUCLEOLAR_CHROMATIN_ORGANIZATION	1	0.24459991405592907	1.425849632264992	1.0	60.69
GOBP_PROTEIN_LOCALIZATION_TO_NON_MOTILE_CILIUM	1	0.244494757380211	1.4268765364621543	1.0	28.41
GOBP_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS	1	0.24441735474080376	1.4266811813491602	1.0	34.35
GOBP_IMMATURE_B_CELL_DIFFERENTIATION	1	0.24438463353601714	1.427109911907733	1.0	27.03
GOBP_PLACENTA_BLOOD_VESSEL_DEVELOPMENT	1	0.24438423683265853	1.426855004275499	1.0	47.73
GOBP_ATRIAL_SEPTUM_DEVELOPMENT	1	0.2436426814742508	1.428114995759645	1.0	38.88
GOBP_NEGATIVE_REGULATION_OF_CHROMATIN_BINDING	1	0.24362345160229942	1.4280008050237634	1.0	46.05
GOBP_PIGMENT_GRANULE_ORGANIZATION	1	0.24319530647025758	1.4287879369872107	1.0	55.91
GOBP_I_KAPPAB_PHOSPHORYLATION	1	0.24308079715511968	1.4287635148319855	1.0	65.56
