pathway	freq	padj	NES	stability	overlap
KEGG_HOMOLOGOUS_RECOMBINATION	1	0.2497128899554337	1.5151091420687186	1.0	60.13
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	1	0.24785049176346013	-1.2772109869398145	1.0	52.45
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	1	0.2459846587965652	-1.2878800718809347	1.0	13.09
KEGG_LONG_TERM_POTENTIATION	1	0.24472476254814576	1.4912720569682256	1.0	67.07
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.24472253535610275	-1.2863155840834324	1.0	13.04
KEGG_RENIN_ANGIOTENSIN_SYSTEM	1	0.24265311114948485	-1.2856289423880094	1.0	71.41
KEGG_GLIOMA	1	0.2390023312035918	-1.2978056312965571	1.0	55.82
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1	0.23853300694206375	1.510146338269433	1.0	54.98
KEGG_NON_HOMOLOGOUS_END_JOINING	1	0.23570877613986976	1.638604426323469	1.0	61.57
KEGG_TYPE_II_DIABETES_MELLITUS	1	0.21837225867725785	-1.3242946010106964	1.0	41.48
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	1	0.21396983201919784	1.6369616088415282	1.0	36.35
KEGG_WNT_SIGNALING_PATHWAY	1	0.20511887106768112	-1.343424602888973	1.0	85.62
KEGG_RIBOFLAVIN_METABOLISM	1	0.2040107753919033	1.6272343668400695	1.0	16.89
KEGG_NUCLEOTIDE_EXCISION_REPAIR	1	0.19929909796023312	1.6960278659993806	1.0	64.31
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	1	0.1944951711525778	-1.3629985228951254	1.0	52.73
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	1	0.19307476811308186	-1.3616766103975952	1.0	69.59
KEGG_PROSTATE_CANCER	1	0.17659459485071452	-1.389760980564528	1.0	80.21
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	1	0.1600224166490787	-1.417240346063398	1.0	36.45
KEGG_BUTANOATE_METABOLISM	1	0.14032105314280782	-1.451036264402019	1.0	34.51
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1	0.13888981483707805	-1.4563438264992448	1.0	44.46
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	1	0.13113891914509254	-1.4721575074774296	1.0	52.19
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	1	0.1264774661532562	-1.4825030721569425	1.0	55.82
KEGG_CALCIUM_SIGNALING_PATHWAY	1	0.12583344504630598	-1.4869488452801747	1.0	72.88
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	1	0.12524575062888826	-1.494014296429291	1.0	49.0
KEGG_PYRUVATE_METABOLISM	1	0.12429977551372819	-1.4923133325335096	1.0	44.31
KEGG_NITROGEN_METABOLISM	1	0.10347099306394981	-1.5437495265036796	1.0	46.87
KEGG_CIRCADIAN_RHYTHM_MAMMAL	1	0.10285460078582022	-1.5420597690440327	1.0	56.95
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	1	0.10209145348693786	-1.5525568360341513	1.0	36.5
KEGG_BETA_ALANINE_METABOLISM	1	0.1017348884701148	-1.5564809105588793	1.0	56.02
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	1	0.10151634639472129	-1.5504836396618482	1.0	56.61
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1	0.10053267164436838	-1.5665635330315733	1.0	55.82
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	1	0.09929994057716333	-1.5658100882416275	1.0	33.32
KEGG_JAK_STAT_SIGNALING_PATHWAY	1	0.09676113797271628	-1.5778098758004289	1.0	74.33
KEGG_LIMONENE_AND_PINENE_DEGRADATION	1	0.09506433744171991	-1.5882475335819735	1.0	56.02
KEGG_PRION_DISEASES	1	0.09425288419633093	-1.5926287881631878	1.0	40.05
KEGG_GLYCEROLIPID_METABOLISM	1	0.09381600095639121	-1.5877406796576992	1.0	74.41
KEGG_ETHER_LIPID_METABOLISM	1	0.08825046930442677	-1.6101765105697923	1.0	58.13
KEGG_AXON_GUIDANCE	1	0.0859769328324619	-1.6192701152435083	1.0	76.04
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.08302430495596615	-1.6294569813543274	1.0	61.26
KEGG_HUNTINGTONS_DISEASE	1	0.07850854920990784	-1.6431293944967043	1.0	64.83
KEGG_MISMATCH_REPAIR	1	0.07824973064302855	1.896643532432555	1.0	53.27
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	1	0.06690111243399467	-1.6797386223659674	1.0	55.34
KEGG_TRYPTOPHAN_METABOLISM	1	0.06644376827300388	-1.6778625007092038	1.0	36.45
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1	0.06635670209118959	1.9476123022337344	1.0	29.36
KEGG_CARDIAC_MUSCLE_CONTRACTION	1	0.06434710601089465	-1.6943780525318501	1.0	57.41
KEGG_PHENYLALANINE_METABOLISM	1	0.06362069683252337	-1.693163553220374	1.0	40.12
KEGG_ABC_TRANSPORTERS	1	0.060459597267791015	-1.7100918702841967	1.0	43.96
KEGG_VEGF_SIGNALING_PATHWAY	1	0.05858145265199314	-1.7235973427624336	1.0	58.74
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	1	0.058369281546185856	-1.7201140680523732	1.0	63.73
KEGG_ECM_RECEPTOR_INTERACTION	1	0.05645423425802716	-1.7340308308246335	1.0	59.72
KEGG_OOCYTE_MEIOSIS	1	0.04564567620843333	2.077391924464602	1.0	66.38
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1	0.04457973579692626	-1.780498766032065	1.0	21.54
KEGG_PEROXISOME	1	0.04091500181492041	-1.7995878949363457	1.0	50.33
KEGG_BASAL_TRANSCRIPTION_FACTORS	1	0.040302536852931094	2.0622085439871314	1.0	58.19
KEGG_MAPK_SIGNALING_PATHWAY	1	0.03634343701433258	-1.8276857985394452	1.0	52.91
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	1	0.03418409711327555	-1.8420348968872609	1.0	49.14
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	1	0.030134403960168074	-1.8747379386476763	1.0	40.95
KEGG_LEISHMANIA_INFECTION	1	0.03005436659584212	-1.8712672064303155	1.0	19.56
KEGG_PPAR_SIGNALING_PATHWAY	1	0.025535068130798574	-1.9101997166021238	1.0	41.87
KEGG_MTOR_SIGNALING_PATHWAY	1	0.021563633223968228	-1.9446009989574533	1.0	65.62
KEGG_PRIMARY_IMMUNODEFICIENCY	1	0.02081042270674095	-1.9739998811782704	1.0	29.37
KEGG_ARGININE_AND_PROLINE_METABOLISM	1	0.020705205690527743	-1.9694425474244597	1.0	34.72
KEGG_PATHWAYS_IN_CANCER	1	0.020545044267199334	-1.9797406925992673	1.0	79.84
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	1	0.02029199404247971	-1.968198994030665	1.0	57.93
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	1	0.019988683178330906	-1.9624367871054527	1.0	31.85
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	1	0.0198310245924079	-1.9679154638159002	1.0	38.51
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	1	0.01647491797616992	-2.0203965477031955	1.0	55.82
KEGG_TIGHT_JUNCTION	1	0.014718035375089426	-2.0441130397565472	1.0	60.4
KEGG_MELANOMA	1	0.014331950186394708	-2.053169020990234	1.0	57.37
KEGG_TYROSINE_METABOLISM	1	0.01430216951068272	-2.058387430683962	1.0	62.71
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1	0.013637727116900925	2.3244672656002634	1.0	64.41
KEGG_SPLICEOSOME	1	0.011907567706547825	2.3943871186391776	1.0	69.2
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	1	0.011529542069590743	-2.0926757164592478	1.0	42.21
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1	0.009296614323672438	-2.13195715869588	1.0	50.55
KEGG_OXIDATIVE_PHOSPHORYLATION	1	0.008817561733724744	-2.150494031139418	1.0	57.41
KEGG_FOCAL_ADHESION	1	0.007297292469289444	-2.1857753779075906	1.0	54.0
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	1	0.00691150985519402	-2.1968090507219338	1.0	49.0
KEGG_PROPANOATE_METABOLISM	1	0.005620551046643258	-2.2328067992375864	1.0	56.02
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	1	0.003675530996373683	-2.2867531340690976	1.0	18.35
KEGG_HISTIDINE_METABOLISM	1	0.003587712365341445	-2.285151058553702	1.0	62.71
KEGG_PARKINSONS_DISEASE	1	0.0026104623553790366	-2.331267336361096	1.0	56.35
KEGG_ALZHEIMERS_DISEASE	1	0.0019618020125272756	-2.3857036086229186	1.0	64.42
KEGG_FATTY_ACID_METABOLISM	1	0.0019226262426918616	-2.407805355255965	1.0	56.17
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	1	0.0018765062728521766	-2.38435160667196	1.0	52.61
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	1	8.701541184596789e-05	-2.7078461365791116	1.0	34.36
KEGG_LINOLEIC_ACID_METABOLISM	1	8.189685820796977e-05	-2.68888604584945	1.0	42.9
KEGG_VIRAL_MYOCARDITIS	1	7.734703275197145e-05	-2.680332943632136	1.0	42.55
KEGG_ASTHMA	1	7.327613629134137e-05	-2.672788569492648	1.0	25.37
KEGG_HEMATOPOIETIC_CELL_LINEAGE	1	6.961232947677431e-05	-2.6540875903322654	1.0	46.39
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	1	0.0	-4.378367261209966	1.0	43.22
KEGG_RIBOSOME	1	0.0	-4.056012344849268	1.0	46.11
KEGG_CELL_ADHESION_MOLECULES_CAMS	1	0.0	-3.9454630971609763	1.0	42.42
KEGG_GRAFT_VERSUS_HOST_DISEASE	1	0.0	-3.790783781404987	1.0	18.35
KEGG_AUTOIMMUNE_THYROID_DISEASE	1	0.0	-3.7113166278059904	1.0	18.35
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	1	0.0	-3.641320932248593	1.0	43.54
KEGG_TYPE_I_DIABETES_MELLITUS	1	0.0	-3.6054744675143677	1.0	18.35
KEGG_ALLOGRAFT_REJECTION	1	0.0	-3.5998153557667996	1.0	18.35
