pathway	freq	padj	NES	stability	overlap
GOBP_REGULATION_OF_AMYLOID_BETA_CLEARANCE	1	0.24999739598443102	-1.3839509318336736	0.03125	52.55
GOBP_NEGATIVE_REGULATION_OF_FIBROBLAST_APOPTOTIC_PROCESS	1	0.24996848015012693	1.325533568205542	0.03125	2.35
GOBP_ISOLEUCINE_METABOLIC_PROCESS	1	0.24994885564693675	-1.3220547526073083	0.03125	31.19
GOBP_POSITIVE_REGULATION_OF_GLYCOLYTIC_PROCESS	1	0.24969964015410714	-1.3356558893259451	0.03125	35.12
GOBP_MESENCHYMAL_EPITHELIAL_CELL_SIGNALING	1	0.2495888211041849	1.3444353038849297	0.03125	51.03
GOBP_PYRIMIDINE_NUCLEOTIDE_METABOLIC_PROCESS	1	0.24957626845506467	-1.2992157983760377	0.03125	65.63
GOBP_POSITIVE_REGULATION_OF_ALKALINE_PHOSPHATASE_ACTIVITY	1	0.2495177487931257	1.3437768100595895	0.03125	39.38
GOBP_PYRIMIDINE_RIBONUCLEOTIDE_BIOSYNTHETIC_PROCESS	1	0.24951359713275628	-1.3555288751302919	0.03125	55.74
GOBP_ER_OVERLOAD_RESPONSE	1	0.2495042600123477	1.3328546931195653	0.03125	18.32
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_POLYUBIQUITINATION	1	0.24943776343577514	1.3440972417812675	0.03125	5.44
GOBP_NEGATIVE_REGULATION_OF_VIRAL_LIFE_CYCLE	1	0.24932419047682725	-1.4311264775109218	0.03125	38.95
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_DIFFERENTIATION	1	0.24906256625872564	-1.3223962977567152	0.03125	70.94
GOBP_NEGATIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS	1	0.24863766904336695	1.547969258184697	0.03125	55.5
GOBP_KERATAN_SULFATE_METABOLIC_PROCESS	1	0.24835848700085497	-1.2890789666012517	0.03125	36.14
GOBP_REGULATION_OF_SKELETAL_MUSCLE_CONTRACTION	1	0.24810556039217235	-1.3241732286584282	0.03125	31.18
GOBP_MONOACYLGLYCEROL_METABOLIC_PROCESS	1	0.24782639760317815	-1.4622814055694142	0.03125	63.96
GOBP_PROSTHETIC_GROUP_METABOLIC_PROCESS	1	0.24778136372653042	1.4273273336912404	0.03125	20.3
GOBP_POSITIVE_REGULATION_OF_CELLULAR_EXTRAVASATION	1	0.24776989728701232	-1.3386767335058305	0.03125	51.83
GOBP_PHOSPHATIDYLCHOLINE_CATABOLIC_PROCESS	1	0.247246852472868	-1.3585694465266822	0.03125	23.19
GOBP_RAL_PROTEIN_SIGNAL_TRANSDUCTION	1	0.2471801720418006	1.3331385468093302	0.03125	52.75
GOBP_NEGATIVE_REGULATION_OF_CYTOPLASMIC_TRANSLATION	2	0.247065157515739	1.334921692421998	0.0625	22.575
GOBP_DERMATAN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS	1	0.24704524006348433	-1.2914164472942955	0.03125	64.98
GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_OXIDATION	1	0.2468331941168387	-1.3587376904033166	0.03125	51.21
GOBP_REGULATION_OF_DEOXYRIBONUCLEASE_ACTIVITY	1	0.24673398286165119	1.330090043573335	0.03125	45.89
GOBP_CYTOPLASMIC_TRANSLATIONAL_ELONGATION	1	0.2464605346279237	-1.354312757463434	0.03125	59.62
GOBP_TRIPARTITE_REGIONAL_SUBDIVISION	1	0.24632259782638943	1.4300796203673456	0.03125	24.43
GOBP_PLANAR_CELL_POLARITY_PATHWAY_INVOLVED_IN_NEURAL_TUBE_CLOSURE	1	0.2461705238826425	1.4260985720132935	0.03125	33.1
GOBP_AXIAL_MESODERM_DEVELOPMENT	2	0.24611977327201767	-1.3006086073217267	0.0625	56.56
GOBP_POSITIVE_REGULATION_OF_PROTEIN_MONOUBIQUITINATION	1	0.24600114016966548	1.4728130731373956	0.03125	47.97
GOBP_POSITIVE_REGULATION_OF_GOLGI_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT	1	0.245860830469818	-1.3408909936716813	0.03125	32.47
GOBP_NEGATIVE_REGULATION_OF_ATP_BIOSYNTHETIC_PROCESS	1	0.245836192473758	-1.3607692784851755	0.03125	51.99
GOBP_FIBROBLAST_ACTIVATION	2	0.245550358324659	-1.3204311871407444	0.0625	30.67
GOBP_MULTINUCLEAR_OSTEOCLAST_DIFFERENTIATION	2	0.24545681131180175	-1.366011093690513	0.0625	55.845
GOBP_MESENCHYMAL_STEM_CELL_DIFFERENTIATION	1	0.24539323564185694	1.3326421008066687	0.03125	21.37
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	1	0.24534721033311616	1.5156244341655496	0.03125	40.98
GOBP_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_MIGRATION	1	0.244833695975533	1.3338612329969801	0.03125	42.77
GOBP_CELL_FATE_COMMITMENT_INVOLVED_IN_PATTERN_SPECIFICATION	1	0.24455586140102975	-1.3296295165958592	0.03125	32.32
GOBP_CANONICAL_WNT_SIGNALING_PATHWAY_INVOLVED_IN_REGULATION_OF_CELL_PROLIFERATION	3	0.2442524272979847	1.3389272340430916	0.09375	12.216666666666669
GOBP_TRYPTOPHAN_CATABOLIC_PROCESS_TO_KYNURENINE	1	0.24387314227844598	-1.445301684360503	0.03125	6.22
GOBP_MACROPHAGE_CYTOKINE_PRODUCTION	2	0.2438683952323163	-1.2948944437584342	0.0625	56.245
GOBP_L_ASPARTATE_TRANSMEMBRANE_TRANSPORT	1	0.24380310774153444	-1.296374728917872	0.03125	56.31
GOBP_NEGATIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_INITIATION	2	0.24354933194325756	1.3454400629839156	0.0625	52.305
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_INITIATION_FROM_RNA_POLYMERASE_II_PROMOTER	2	0.24354933194325756	1.3454400629839156	0.0625	52.305
GOBP_NEUTROPHIL_CLEARANCE	1	0.24320552881588242	1.4774513285063122	0.03125	50.34
GOBP_CHONDROCYTE_HYPERTROPHY	3	0.24306473333656195	-1.3005266660406098	0.09375	40.03333333333333
GOBP_REGULATION_OF_CELL_GROWTH_INVOLVED_IN_CARDIAC_MUSCLE_CELL_DEVELOPMENT	1	0.24299749839555232	1.3422453829614491	0.03125	59.25
GOBP_OSTEOBLAST_PROLIFERATION	1	0.24297737462193666	-1.3448049148606045	0.03125	57.62
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	1	0.24290259943631234	-1.2959495813405646	0.03125	52.4
GOBP_RNA_SURVEILLANCE	1	0.2427661963908547	-1.3600912601376298	0.03125	50.72
GOBP_ELASTIN_METABOLIC_PROCESS	2	0.24260868546781816	-1.299972306777033	0.0625	24.055
GOBP_NEGATIVE_REGULATION_OF_SYNAPSE_ORGANIZATION	2	0.24256814381281014	-1.458532092158804	0.0625	55.675
GOBP_REGULATION_OF_CELLULAR_AMINE_METABOLIC_PROCESS	1	0.2422337633660091	-1.47208682022948	0.03125	44.08
GOBP_COPPER_ION_TRANSMEMBRANE_TRANSPORT	2	0.24213737328747162	1.3450635363289483	0.0625	56.265
GOBP_LUNG_CELL_DIFFERENTIATION	1	0.24183997961800385	1.3464996299026681	0.03125	9.83
GOBP_GLYCOSIDE_TRANSPORT	2	0.24145706842014314	-1.307279612705337	0.0625	53.16
GOBP_NEGATIVE_REGULATION_OF_HYPOXIA_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	1	0.24138092182174817	-1.2983229008378532	0.03125	57.36
GOBP_ASTROCYTE_CELL_MIGRATION	1	0.24128824013126476	-1.3517422320781638	0.03125	36.1
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPIRATION	1	0.24099254667394915	1.4360805041070095	0.03125	27.13
GOBP_SODIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE	2	0.24095990051411237	-1.308019616466527	0.0625	42.03
GOBP_POSITIVE_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION	1	0.24059369070805198	-1.3011179457894748	0.03125	66.02
GOBP_POSITIVE_REGULATION_OF_GROWTH_HORMONE_SECRETION	1	0.24052051179556536	-1.3480407756137867	0.03125	31.41
GOBP_NEUROTRANSMITTER_RECEPTOR_TRANSPORT_ENDOSOME_TO_POSTSYNAPTIC_MEMBRANE	2	0.24018239952504516	1.3429302079242733	0.0625	5.46
GOBP_PYRIMIDINE_CONTAINING_COMPOUND_SALVAGE	1	0.23951722972653977	-1.3695284835979527	0.03125	43.4
GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS_IN_THE_VACUOLE	1	0.2394456781820431	-1.3029677863661433	0.03125	64.96
GOBP_NEGATIVE_REGULATION_OF_ANION_TRANSMEMBRANE_TRANSPORT	1	0.2394341298677048	-1.4525813799198177	0.03125	59.06
GOBP_STEM_CELL_FATE_COMMITMENT	1	0.23925041096092936	1.4691867615765295	0.03125	34.45
GOBP_FRUCTOSE_2_6_BISPHOSPHATE_METABOLIC_PROCESS	1	0.23912925412816904	1.347871252667897	0.03125	51.86
GOBP_REGULATION_OF_RECEPTOR_CLUSTERING	1	0.23910059553811477	-1.3525837677424202	0.03125	52.86
GOBP_NEGATIVE_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	1	0.2390171898089912	1.5295209789932285	0.03125	23.74
GOBP_OTIC_VESICLE_FORMATION	7	0.23890175086267681	-1.3797176688176311	0.21875	19.054285714285715
GOBP_DENDRITIC_CELL_ANTIGEN_PROCESSING_AND_PRESENTATION	1	0.23865394703317241	-1.3512627467204696	0.03125	27.36
GOBP_FEVER_GENERATION	2	0.23829197862751425	-1.4512222440239126	0.0625	56.115
GOBP_NEGATIVE_REGULATION_OF_VIRAL_TRANSCRIPTION	3	0.23816538053261094	1.3486943343224418	0.09375	44.80666666666667
GOBP_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	2	0.23784026009699047	1.356737866900807	0.0625	21.725
GOBP_REGULATION_OF_INCLUSION_BODY_ASSEMBLY	3	0.23782169583090032	-1.3235481100452857	0.09375	64.00999999999999
GOBP_PIGMENT_METABOLIC_PROCESS	1	0.23780913599440018	-1.3090616554326224	0.03125	72.54
GOBP_POSITIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_DIFFERENTIATION	1	0.2376904171347091	1.3502485193279374	0.03125	60.86
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_2_PRODUCTION	1	0.23759012101066532	-1.3757465632929706	0.03125	58.13
GOBP_UBIQUITIN_DEPENDENT_GLYCOPROTEIN_ERAD_PATHWAY	6	0.2373756556455702	1.35099155026817	0.1875	52.13999999999999
GOBP_NEGATIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS	1	0.23694130735717206	-1.3071708151838353	0.03125	70.13
GOBP_ERYTHROCYTE_MATURATION	1	0.23670605650001952	-1.3046087739703511	0.03125	59.17
GOBP_RIBOSOME_DISASSEMBLY	2	0.23654742057165096	-1.3059710293889504	0.0625	55.985
GOBP_CELL_AGGREGATION	1	0.236523602149654	-1.3048665403522595	0.03125	61.28
GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_ACTIVATION	1	0.23650943841030564	-1.3078160716691711	0.03125	50.06
GOBP_POSITIVE_REGULATION_OF_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	2	0.2365046570829536	-1.3240194597410362	0.0625	67.935
GOBP_PROTEIN_LOCALIZATION_TO_AXON	2	0.2363447050627977	-1.3145766849155454	0.0625	23.64
GOBP_UDP_GLUCOSE_METABOLIC_PROCESS	1	0.23628714420194655	-1.3417920795653038	0.03125	50.87
GOBP_REFLEX	1	0.23626391610434366	-1.311096418017784	0.03125	54.7
GOBP_RESPONSE_TO_POTASSIUM_ION	1	0.23626120364233233	-1.341564675290099	0.03125	41.57
GOBP_RESPONSE_TO_PEPTIDOGLYCAN	4	0.23614264564474413	-1.3109811579601742	0.125	16.07
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM	1	0.2358348811978565	1.3571827507855565	0.03125	35.63
GOBP_PURINE_NUCLEOSIDE_BIOSYNTHETIC_PROCESS	1	0.23566652212063788	1.3534547701518536	0.03125	54.71
GOBP_PEROXISOME_ORGANIZATION	1	0.2356534960889577	1.353366752103863	0.03125	47.17
GOBP_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_1_SIGNALING_PATHWAY	4	0.2356115046427084	-1.3115168578637568	0.125	32.917500000000004
GOBP_DEPYRIMIDINATION	1	0.23530374828992626	-1.3096209138471007	0.03125	60.97
GOBP_TERPENOID_CATABOLIC_PROCESS	4	0.23522146582395556	-1.4569026831793774	0.125	52.32
GOBP_REGULATION_OF_NECROTIC_CELL_DEATH	1	0.23516556093901386	1.3545213558436167	0.03125	73.04
GOBP_EMBRYONIC_FORELIMB_MORPHOGENESIS	1	0.23477535713618852	-1.4525288803747323	0.03125	50.01
