pathway	freq	mean_padj	mean_NES
GOBP_INTRACELLULAR_TRANSPORT	1.0	0.0	7.719963751569652
GOBP_NEUROGENESIS	1.0	0.0	7.217170294649693
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1.0	0.0	6.628726423745526
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1.0	0.0	6.500579923766578
GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS	1.0	0.0	6.480383150986179
GOBP_NEURON_DIFFERENTIATION	1.0	0.0	6.46536733184591
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	1.0	0.0	6.405335384189105
GOBP_REGULATION_OF_CATABOLIC_PROCESS	1.0	0.0	6.3849342387262995
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1.0	0.0	6.363233394620588
GOBP_CHROMOSOME_ORGANIZATION	1.0	0.0	6.339726005598462
GOBP_EPITHELIUM_DEVELOPMENT	1.0	0.0	6.267398529238649
GOBP_EMBRYO_DEVELOPMENT	1.0	0.0	6.241591495699999
GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION	1.0	0.0	6.227784947535532
GOBP_REGULATION_OF_CELL_DEATH	1.0	0.0	6.201517619650507
GOBP_CYTOSKELETON_ORGANIZATION	1.0	0.0	6.13728843965304
GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS	1.0	0.0	6.1240434473779555
GOBP_INTRACELLULAR_PROTEIN_TRANSPORT	1.0	0.0	6.033688418098929
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1.0	0.0	6.004243243830586
GOBP_REGULATION_OF_CELL_CYCLE	1.0	0.0	5.987833077791238
GOBP_HISTONE_MODIFICATION	1.0	0.0	5.898129300719323
GOBP_CELL_CYCLE_PROCESS	1.0	0.0	5.822141867939744
GOBP_MITOTIC_CELL_CYCLE	1.0	0.0	5.815462940264249
GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	1.0	0.0	5.691611905648122
GOBP_TUBE_DEVELOPMENT	1.0	0.0	5.679713326040183
GOBP_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1.0	0.0	5.624515609105141
GOBP_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	1.0	0.0	5.609330508498151
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	1.0	0.0	5.567278113306837
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	1.0	0.0	5.529596630758176
GOBP_ACTIN_FILAMENT_BASED_PROCESS	1.0	0.0	5.523986852450304
GOBP_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS	1.0	0.0	5.495728236916609
GOBP_REGULATION_OF_CELL_DIFFERENTIATION	1.0	0.0	5.491131845556427
GOBP_MITOTIC_CELL_CYCLE_PROCESS	1.0	0.0	5.452407244453158
GOBP_MRNA_METABOLIC_PROCESS	1.0	0.0	5.4472300068724895
GOBP_RESPONSE_TO_GROWTH_FACTOR	1.0	0.0	5.442749381616483
GOBP_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	5.441336571772444
GOBP_RESPONSE_TO_HORMONE	1.0	0.0	5.4200879010930505
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	1.0	0.0	5.406687203491951
GOBP_CELL_MORPHOGENESIS	1.0	0.0	5.391377437961729
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	1.0	0.0	5.3901980423681275
GOBP_CHROMATIN_ORGANIZATION	1.0	0.0	5.35697937731317
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE	1.0	0.0	5.353538160672062
GOBP_NEGATIVE_REGULATION_OF_SIGNALING	1.0	0.0	5.344310742271123
GOBP_ANIMAL_ORGAN_MORPHOGENESIS	1.0	0.0	5.278970829513585
GOBP_HEAD_DEVELOPMENT	1.0	0.0	5.277995772495171
GOBP_NEGATIVE_REGULATION_OF_CELL_DEATH	1.0	0.0	5.2387594586911606
GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS	1.0	0.0	5.218656631993769
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	5.213229452863786
