pathway	freq	mean_padj	mean_NES
GOBP_INTRACELLULAR_TRANSPORT	1.0	0.0	7.278965839559908
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1.0	0.0	6.759647354296667
GOBP_NEUROGENESIS	1.0	0.0	6.737860769301177
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1.0	0.0	6.510427581367172
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	1.0	0.0	6.476445504965478
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1.0	0.0	6.470105363238602
GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	1.0	0.0	6.391558344691252
GOBP_CHROMOSOME_ORGANIZATION	1.0	0.0	6.36404393400682
GOBP_REGULATION_OF_CATABOLIC_PROCESS	1.0	0.0	6.235786724754057
GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS	1.0	0.0	6.183020103777905
GOBP_NEURON_DIFFERENTIATION	1.0	0.0	6.172426994300363
GOBP_CELL_CYCLE_PROCESS	1.0	0.0	6.141569672567996
GOBP_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1.0	0.0	6.134128171246656
GOBP_MITOTIC_CELL_CYCLE	1.0	0.0	6.131158443687843
GOBP_REGULATION_OF_CELL_CYCLE	1.0	0.0	6.080862729248822
GOBP_AMIDE_BIOSYNTHETIC_PROCESS	1.0	0.0	5.948244058529523
GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION	1.0	0.0	5.911777269477053
GOBP_CYTOSKELETON_ORGANIZATION	1.0	0.0	5.855899766928628
GOBP_HISTONE_MODIFICATION	1.0	0.0	5.853761737807941
GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS	1.0	0.0	5.788538852624185
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1.0	0.0	5.700677683833361
GOBP_EMBRYO_DEVELOPMENT	1.0	0.0	5.691068244282859
GOBP_MITOTIC_CELL_CYCLE_PROCESS	1.0	0.0	5.6218022740908005
GOBP_INTRACELLULAR_PROTEIN_TRANSPORT	1.0	0.0	5.56873453445492
GOBP_CELLULAR_AMIDE_METABOLIC_PROCESS	1.0	0.0	5.567109167208767
GOBP_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	1.0	0.0	5.531118879143197
GOBP_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	5.484901395705059
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS	1.0	0.0	5.471881081413482
GOBP_EPITHELIUM_DEVELOPMENT	1.0	0.0	5.471477591986492
