pathway	freq	padj	NES	stability	overlap
GOBP_NEGATIVE_REGULATION_OF_DNA_DAMAGE_CHECKPOINT	1	0.24971221725330967	1.3853620819292367	1.0	50.62
GOBP_ADENOHYPOPHYSIS_DEVELOPMENT	1	0.24964212190763038	1.3855209479292363	1.0	62.11
GOBP_REGULATION_OF_TRANSLATIONAL_INITIATION_BY_EIF2_ALPHA_PHOSPHORYLATION	1	0.24952605611322604	1.3857307328118327	1.0	54.5
GOBP_DORSAL_ROOT_GANGLION_DEVELOPMENT	1	0.24940636457096882	1.385950824257802	1.0	54.0
GOBP_AMINOGLYCOSIDE_ANTIBIOTIC_METABOLIC_PROCESS	1	0.24934195477511562	1.3860894577518221	1.0	51.34
GOBP_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS	1	0.24933207788302558	1.3863016741534206	1.0	53.36
GOBP_PLATELET_MORPHOGENESIS	1	0.24929988905330905	1.3862328523189895	1.0	52.65
GOBP_CADMIUM_ION_TRANSMEMBRANE_TRANSPORT	1	0.2490894347591641	1.3866354575670166	1.0	50.95
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS_IN_THE_VACUOLE	1	0.24894985824242616	1.386858246516463	1.0	49.93
GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_CONSTITUENT_SECRETION	1	0.24842293731643203	1.3874851198207947	1.0	63.57
GOBP_PIGMENT_GRANULE_LOCALIZATION	1	0.24821211955533704	1.3877963081329583	1.0	53.02
GOBP_C21_STEROID_HORMONE_METABOLIC_PROCESS	1	0.2482108552126472	1.387884028780979	1.0	53.14
GOBP_TONGUE_MORPHOGENESIS	1	0.24807543241669777	1.388092694922497	1.0	34.02
GOBP_CELLULAR_RESPONSE_TO_MANGANESE_ION	1	0.24734215944900287	1.3888935556752195	1.0	43.32
GOBP_ODONTOGENESIS	1	0.2472110126345217	1.3891153245201553	1.0	37.33
GOBP_ARTERY_MORPHOGENESIS	1	0.24688743332527516	1.3896485735193798	1.0	51.29
GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS	1	0.24687207014660875	1.389550806807899	1.0	53.99
GOBP_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS	1	0.2468495121256124	1.3897797064944395	1.0	38.57
GOBP_CALCIUM_IMPORT_INTO_THE_MITOCHONDRION	1	0.246796749974685	1.3899221730418327	1.0	32.74
GOBP_LENS_FIBER_CELL_DIFFERENTIATION	1	0.24666867770037343	1.3901440331957622	1.0	53.64
GOBP_REGULATION_OF_CYTOPLASMIC_TRANSLATION	1	0.24642548056682545	1.3904915390642016	1.0	61.73
GOBP_PURINE_NUCLEOTIDE_TRANSPORT	1	0.24619039222671066	1.3908185493197587	1.0	73.28
GOBP_REGULATION_OF_NODAL_SIGNALING_PATHWAY	1	0.24610049173109785	1.3909931379533995	1.0	43.46
GOBP_VIRAL_RELEASE_FROM_HOST_CELL	1	0.24538007047392416	1.391903740131518	1.0	46.04
GOBP_XENOBIOTIC_TRANSMEMBRANE_TRANSPORT	1	0.2453664503025554	1.3918163623734374	1.0	38.45
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_CONDENSATION	1	0.24411705860937746	1.3933418688847066	1.0	50.29
GOBP_PURINE_RIBONUCLEOSIDE_CATABOLIC_PROCESS	1	0.24407482458284033	1.3932801660053262	1.0	49.99
GOBP_RESPONSE_TO_INTERFERON_ALPHA	1	0.24403387306886	1.3935050278778973	1.0	73.01
GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	1	0.24400474792047566	1.3936418905518022	1.0	72.93
GOBP_DNA_DEALKYLATION_INVOLVED_IN_DNA_REPAIR	1	0.24397083897115646	1.3937686636909339	1.0	56.01
GOBP_ENDOSOME_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT	1	0.24396904808686487	1.3938853517260623	1.0	53.02
GOBP_UDP_N_ACETYLGLUCOSAMINE_BIOSYNTHETIC_PROCESS	1	0.2439219959119901	1.3940419328771168	1.0	28.35
GOBP_ACTIN_FILAMENT_BASED_TRANSPORT	1	0.24390946014911802	1.394156460390221	1.0	50.67
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_IMPORT_INTO_NUCLEUS	1	0.2437519919695206	1.394494921379783	1.0	11.39
GOBP_REGULATION_OF_MICROVILLUS_LENGTH	1	0.24371491656435698	1.3946310397133794	1.0	42.89
GOBP_INSEMINATION	1	0.2436853327242886	1.394469511983274	1.0	53.55
GOBP_VOLUNTARY_MUSCULOSKELETAL_MOVEMENT	1	0.24352367044495654	1.3950045458614508	1.0	29.87
GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION	1	0.24346597352698973	1.3949708189401253	1.0	77.82
GOBP_POSITIVE_REGULATION_OF_MUSCLE_CONTRACTION	1	0.24306960675676337	1.3955568044886602	1.0	49.99
GOBP_NEGATIVE_REGULATION_OF_OLIGODENDROCYTE_DIFFERENTIATION	1	0.24296427221350586	1.3958573118144773	1.0	50.66
