pathway	freq	padj	stability	overlap
GOBP_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	9	5.860834828144248e-06	0.32142857142857145	0.9721795528247141
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	20	8.909468948056577e-06	0.7142857142857143	0.950626174076393
GOBP_TISSUE_DEVELOPMENT	20	4.6394528814531176e-05	0.7142857142857143	0.9459491425192195
GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	20	8.10292850552209e-05	0.7142857142857143	0.9479620323841429
GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	9	0.00015882422451354438	0.32142857142857145	0.9750623441396509
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	4	0.00021739666370784098	0.14285714285714285	0.9609756097560975
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	9	0.00024773295318509294	0.32142857142857145	0.9555074555074555
GOBP_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	16	0.00025389457581310814	0.5714285714285714	0.9489140773620799
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS	4	0.00033249532595157225	0.14285714285714285	0.9916666666666667
GOBP_PROTEIN_PROCESSING	4	0.0003363575885956451	0.14285714285714285	0.975
GOBP_NEUROGENESIS	21	0.00036617934001896606	0.75	0.9512533024035056
GOBP_INTRACELLULAR_TRANSPORT	18	0.00041848108828542786	0.6428571428571429	0.9502020895294745
GOBP_TUBE_DEVELOPMENT	17	0.0004500915396097912	0.6071428571428571	0.9493431175287015
GOBP_NEURON_DIFFERENTIATION	21	0.0004887269859772719	0.75	0.9521088435374151
GOBP_DNA_DEPENDENT_DNA_REPLICATION	4	0.0005531141839254012	0.14285714285714285	0.9903225806451613
GOBP_ANIMAL_ORGAN_MORPHOGENESIS	18	0.0005632899976293154	0.6428571428571429	0.9489856098136352
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	18	0.0005721362452698786	0.6428571428571429	0.9535179879019419
