pathway	freq	padj	NES	stability	overlap
GOBP_PEPTIDYL_GLUTAMIC_ACID_MODIFICATION	1	0.2499061531255778	1.7924937369896778	0.025	61.1
GOBP_REGULATION_OF_CALCINEURIN_MEDIATED_SIGNALING	1	0.24960550349627073	1.6117715565706918	0.025	65.02
GOBP_CALCIUM_ION_IMPORT_INTO_CYTOSOL	1	0.24950801477767398	1.3547259393948012	0.025	44.64
GOBP_POSITIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_DEPRESSION	1	0.2494413414946693	1.3930552911218572	0.025	22.17
GOBP_RESPONSE_TO_SELENIUM_ION	1	0.24939172503858922	1.3893249868441733	0.025	44.27
GOBP_SENSORY_PERCEPTION_OF_PAIN	1	0.249262079436955	1.504686466135837	0.025	56.44
GOBP_REGULATION_OF_ASPARTIC_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS	1	0.24924157603146363	1.3895598510784486	0.025	13.6
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE	1	0.24917135269063542	1.3936214456389686	0.025	63.74
GOBP_VENTRICULAR_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION	1	0.24900435790654052	1.4054766305821011	0.025	69.96
GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_POTENTIAL	1	0.24882727253775377	1.505818441446056	0.025	62.07
GOBP_REGULATION_OF_APOPTOTIC_PROCESS_INVOLVED_IN_DEVELOPMENT	1	0.2486551875459513	1.5061393391091764	0.025	53.66
GOBP_POSITIVE_REGULATION_OF_CHONDROCYTE_PROLIFERATION	3	0.24854741608649866	1.3722566807984993	0.075	43.843333333333334
GOBP_CRANIAL_NERVE_DEVELOPMENT	1	0.2481858487189759	1.3955616129536017	0.025	82.62
GOBP_FOREBRAIN_GENERATION_OF_NEURONS	1	0.2480994461115543	1.3954356695638022	0.025	25.0
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_PLASTICITY	1	0.2480684308121431	1.5068114594490327	0.025	57.23
GOBP_DECIDUALIZATION	1	0.24798176935824273	1.391828967280343	0.025	29.28
GOBP_REGULATION_OF_BILE_ACID_BIOSYNTHETIC_PROCESS	1	0.24755930151804928	1.7194616563462708	0.025	14.98
GOBP_POSITIVE_REGULATION_OF_DEPHOSPHORYLATION	1	0.24752341851639043	1.3575165291790783	0.025	29.73
GOBP_SEQUESTERING_OF_TRIGLYCERIDE	1	0.247515277742694	1.7211572986380264	0.025	39.38
GOBP_MUSCULAR_SEPTUM_MORPHOGENESIS	1	0.24728668808742574	1.357975286989737	0.025	51.77
GOBP_OLIGOSACCHARIDE_CATABOLIC_PROCESS	1	0.24717502465429683	1.5079242355261133	0.025	54.56
GOBP_N_ACETYLNEURAMINATE_METABOLIC_PROCESS	1	0.24712288235124014	1.6653925331077666	0.025	50.87
GOBP_COPII_COATED_VESICLE_CARGO_LOADING	1	0.24703029262817836	1.7210872053295856	0.025	37.04
GOBP_BASEMENT_MEMBRANE_ASSEMBLY	1	0.24689537905084724	1.4089133688617297	0.025	70.31
