pathway	freq	mean_padj	mean_NES
GOBP_INTRACELLULAR_TRANSPORT	1.0	0.0	7.659736452195642
GOBP_NEUROGENESIS	1.0	0.0	7.6997304855805595
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1.0	0.0	6.781575081606448
GOBP_CHROMOSOME_ORGANIZATION	1.0	0.0	6.717667731568775
GOBP_CYTOSKELETON_ORGANIZATION	1.0	0.0	6.811322167643493
GOBP_CELL_CYCLE_PROCESS	1.0	0.0	6.383785511658182
GOBP_NEURON_DIFFERENTIATION	1.0	0.0	7.027492234212086
GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION	1.0	0.0	6.512897171384626
GOBP_REGULATION_OF_CATABOLIC_PROCESS	1.0	0.0	6.649136241134602
GOBP_REGULATION_OF_CELL_CYCLE	1.0	0.0	6.2877483283178
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1.0	0.0	6.879125793257535
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	1.0	0.0	6.794784123707192
GOBP_MITOTIC_CELL_CYCLE	1.0	0.0	6.073818132054673
GOBP_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1.0	0.0	6.06857383500449
GOBP_HISTONE_MODIFICATION	1.0	0.0	6.265571118756888
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1.0	0.0	6.268628883521264
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1.0	0.0	6.281992595740903
GOBP_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	5.858472769564347
GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS	1.0	0.0	6.3960720424568995
GOBP_INTRACELLULAR_PROTEIN_TRANSPORT	1.0	0.0	5.976370871301424
GOBP_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	1.0	0.0	6.111539127119188
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE	1.0	0.0	5.795359233490102
GOBP_HEAD_DEVELOPMENT	1.0	0.0	5.766062034397257
GOBP_EMBRYO_DEVELOPMENT	1.0	0.0	6.195182450077174
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	1.0	0.0	5.737652765362607
