pathway	freq	mean_padj	mean_NES
KEGG_PATHWAYS_IN_CANCER	1.0	0.0	4.631004266535063
KEGG_PROSTATE_CANCER	1.0	0.0	3.7351829783727517
KEGG_WNT_SIGNALING_PATHWAY	1.0	0.0	3.763651637429706
KEGG_TIGHT_JUNCTION	1.0	2.8296251431908244e-05	3.2428306486170904
KEGG_GLIOMA	1.0	9.165462924686012e-05	3.095835082624815
KEGG_SPLICEOSOME	1.0	2.1585389308062666e-05	3.356821888959418
KEGG_MAPK_SIGNALING_PATHWAY	1.0	4.879842858786594e-06	3.8830982439095796
KEGG_INSULIN_SIGNALING_PATHWAY	1.0	4.8021430876788946e-05	3.148757142634656
KEGG_ENDOCYTOSIS	1.0	3.526238774482115e-05	3.3827470724939386
KEGG_ERBB_SIGNALING_PATHWAY	1.0	0.00034314879438394853	2.9120541991783475
KEGG_CHRONIC_MYELOID_LEUKEMIA	1.0	0.00044335663420391313	2.8479999617861957
KEGG_ACUTE_MYELOID_LEUKEMIA	1.0	0.00029026523061597407	2.9091210721749547
KEGG_FOCAL_ADHESION	1.0	0.00015754364631881846	3.1967528499964657
KEGG_AXON_GUIDANCE	1.0	0.0005372590993292193	2.781707357662496
KEGG_AUTOIMMUNE_THYROID_DISEASE	1.0	2.118796345686146e-05	-3.1286650113757566
KEGG_GAP_JUNCTION	1.0	7.552304589876777e-05	3.026335103420777
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1.0	0.00044095526608136965	2.9077294439091084
KEGG_ADHERENS_JUNCTION	1.0	5.908835505728733e-05	3.1820761980451153
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1.0	0.00036278954150995333	2.8305740882913493
KEGG_ENDOMETRIAL_CANCER	1.0	0.00021297481832913506	2.91667414268164
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	1.0	9.374816219802741e-05	3.081354589530557
KEGG_GNRH_SIGNALING_PATHWAY	1.0	0.00012164559508792112	3.060115948099495
KEGG_LONG_TERM_POTENTIATION	1.0	0.000633912296231618	2.71979480230427
KEGG_OOCYTE_MEIOSIS	1.0	0.001291496558085596	2.5684721856607715
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	1.0	0.0009252069438753525	-2.630537788919914
KEGG_ALLOGRAFT_REJECTION	1.0	0.0007843982379278938	-2.665106896211227
KEGG_SMALL_CELL_LUNG_CANCER	1.0	0.0006229158526822805	2.8680939092557582
KEGG_NON_SMALL_CELL_LUNG_CANCER	1.0	0.0011828283389968143	2.6290551223019962
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1.0	0.003422141389556672	2.3822047389510836
KEGG_COLORECTAL_CANCER	1.0	0.0008358261593221064	2.6943199061603305
KEGG_RNA_DEGRADATION	1.0	0.0073548633932000685	2.1841473715067163
