pathway	freq	padj	NES	stability	overlap
GOBP_HEART_DEVELOPMENT	1	0.24850931146371832	1.743878955445504	1.0	77.93
GOBP_MAPK_CASCADE	1	0.24845717207375614	1.747383319418027	1.0	75.12
GOBP_REGULATION_OF_RECEPTOR_CLUSTERING	1	0.2481318518457114	1.7456435765922609	1.0	15.16
GOBP_STEROID_METABOLIC_PROCESS	1	0.24806525938200336	1.7466332773502735	1.0	80.65
GOBP_NCRNA_EXPORT_FROM_NUCLEUS	1	0.2479880384021676	1.7438197336073127	1.0	30.63
GOBP_POSITIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY	1	0.24788977869516693	1.7462937453482186	1.0	48.82
GOBP_PROTEIN_ACYLATION	1	0.2478281461975223	1.7473819687563323	1.0	75.41
GOBP_RESPONSE_TO_ABIOTIC_STIMULUS	1	0.24775926608503546	1.7435258296609883	1.0	82.05
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY	1	0.24771149498061074	1.74549694505254	1.0	86.0
GOBP_PROTEIN_INSERTION_INTO_MEMBRANE	1	0.24758046079094082	1.7485554801549719	1.0	50.87
GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION	1	0.24725242122719357	1.74536197069937	1.0	72.78
GOBP_RESPONSE_TO_XENOBIOTIC_STIMULUS	1	0.24713835707026097	1.7494241589281556	1.0	83.98
GOBP_GOLGI_VESICLE_TRANSPORT	1	0.2467903815603121	1.7501479474304809	1.0	36.21
GOBP_STEROID_HORMONE_MEDIATED_SIGNALING_PATHWAY	1	0.24547856912961663	1.752123525901922	1.0	51.93
GOBP_LEUKOCYTE_CHEMOTAXIS	1	0.24544858483685966	1.7531187980191307	1.0	42.79
GOBP_SULFUR_COMPOUND_BIOSYNTHETIC_PROCESS	1	0.2452563614870193	1.7527893811371897	1.0	74.93
GOBP_VACUOLAR_TRANSPORT	1	0.24523816264029738	1.7538169001042614	1.0	37.8
GOBP_GLYCINE_BIOSYNTHETIC_PROCESS	1	0.2449715370077373	1.7520501914698439	1.0	38.2
GOBP_NEUROENDOCRINE_CELL_DIFFERENTIATION	1	0.24484387361248408	1.7546350018102608	1.0	47.74
GOBP_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	1	0.2421438503212906	1.757230422637853	1.0	35.77
GOBP_POSITIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	1	0.2401361033655611	1.760745282696671	1.0	56.52
GOBP_ASPARTATE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS	1	0.23982946805766997	1.7600080133695346	1.0	58.53
GOBP_BMP_SIGNALING_PATHWAY_INVOLVED_IN_HEART_DEVELOPMENT	1	0.23963112711879297	1.7606583195653251	1.0	45.99
GOBP_CELLULAR_POTASSIUM_ION_HOMEOSTASIS	1	0.23943293452650516	1.7598271472833351	1.0	16.73
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE	1	0.23916607775961302	1.7625011754720634	1.0	54.72
GOBP_REGULATION_OF_CYTOSKELETON_ORGANIZATION	1	0.23904892748269566	1.7621108824084226	1.0	84.61
GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_METABOLIC_PROCESS	1	0.2376138492122938	1.7642290458816439	1.0	72.08
GOBP_VESICLE_CARGO_LOADING	1	0.23584166484641775	1.7667222996473249	1.0	40.7
GOBP_REGULATION_OF_PROTEIN_KINASE_ACTIVITY	1	0.2356622763478197	1.766377715982357	1.0	77.97
GOBP_POSITIVE_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS	1	0.23498029452787625	1.7684479669885216	1.0	81.08
GOBP_PIGMENT_METABOLIC_PROCESS	1	0.23482913886538628	1.767989887126442	1.0	63.04
GOBP_IMMUNE_EFFECTOR_PROCESS	1	0.23480010216139152	1.7701196693178503	1.0	83.19
GOBP_POSITIVE_REGULATION_OF_PRODUCTION_OF_MIRNAS_INVOLVED_IN_GENE_SILENCING_BY_MIRNA	1	0.23476740159098353	1.7691284791411208	1.0	19.69
GOBP_ORGANOPHOSPHATE_BIOSYNTHETIC_PROCESS	1	0.23447544131454462	1.7698445874178623	1.0	74.34
GOBP_ORGANIC_HYDROXY_COMPOUND_BIOSYNTHETIC_PROCESS	1	0.2329739390478456	1.772101804963912	1.0	12.09
GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	1	0.23270200794719476	1.772827216922691	1.0	87.04
GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	1	0.23181025602614125	1.7745093930248144	1.0	70.62
GOBP_POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY	1	0.2317265304943738	1.7740732366893928	1.0	89.56
GOBP_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION	1	0.23162446409435566	1.7761644106061918	1.0	58.48
GOBP_NEGATIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY	1	0.23117453504785787	1.7760275982427292	1.0	43.97
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	1	0.2311644137224424	1.7755226783802591	1.0	74.07
GOBP_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE	1	0.23000049934975975	1.7808658031890696	1.0	39.02
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CHROMOSOME_TELOMERIC_REGION	1	0.22967746494056068	1.7805846097578573	1.0	42.91
GOBP_GLUTAMATE_CATABOLIC_PROCESS	1	0.22951380361523266	1.7801133501115318	1.0	31.31
GOBP_CIRCULATORY_SYSTEM_PROCESS	1	0.22946577596660964	1.7784454535221266	1.0	80.66
GOBP_REGULATION_OF_MITOTIC_CENTROSOME_SEPARATION	1	0.22925329102359923	1.7797641586513637	1.0	51.97
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT	1	0.22876790614445192	1.7796560120342901	1.0	68.02
GOBP_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	1	0.2286975304192135	1.7823762508402965	1.0	21.7
GOBP_RESPIRATORY_CHAIN_COMPLEX_IV_ASSEMBLY	1	0.22725546498097637	1.7844669552101788	1.0	62.17
GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_BIOSYNTHETIC_PROCESS	1	0.22723676502576873	1.7876668389247206	1.0	32.62
GOBP_SPROUTING_ANGIOGENESIS	1	0.22681706467622495	1.7843102429892554	1.0	66.43
GOBP_B_CELL_ACTIVATION	1	0.22674761044309338	1.787528721341042	1.0	84.74
GOBP_RESPONSE_TO_INSULIN	1	0.22643008929925904	1.7872453225644416	1.0	77.58
GOBP_CELLULAR_METABOLIC_COMPOUND_SALVAGE	1	0.22583143585712365	1.7872000133621866	1.0	38.05
GOBP_HYALURONAN_BIOSYNTHETIC_PROCESS	1	0.22569453069882658	1.7899527885561657	1.0	38.65
GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	1	0.2254540609076442	1.7869880742954385	1.0	84.31
GOBP_NEURAL_PRECURSOR_CELL_PROLIFERATION	1	0.2254099096730719	1.7896869756319713	1.0	56.51
GOBP_FOREBRAIN_DEVELOPMENT	1	0.2251465002073449	1.786667629389369	1.0	55.82
GOBP_OSTEOBLAST_DIFFERENTIATION	1	0.22420238180530755	1.7917194980911038	1.0	58.8
GOBP_ERYTHROCYTE_HOMEOSTASIS	1	0.22244165940949273	1.7948429815976121	1.0	70.28
GOBP_REGULATION_OF_VIRAL_PROCESS	1	0.2223171982112111	1.7943893413875056	1.0	56.27
GOBP_SINGLE_FERTILIZATION	1	0.2218279669866454	1.7942527986686105	1.0	44.63
GOBP_FOLIC_ACID_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	1	0.22041345788654676	1.7971090295617245	1.0	15.01
GOBP_NEGATIVE_REGULATION_OF_MRNA_CATABOLIC_PROCESS	1	0.22036290446126164	1.7976851036578045	1.0	58.25
GOBP_METANEPHROS_DEVELOPMENT	1	0.22027949610181527	1.7988473261733133	1.0	57.91
GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	1	0.21983727253679466	1.7986805066299707	1.0	56.69
GOBP_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION	1	0.21956108274554473	1.8027676077488486	1.0	21.14
