pathway	freq	padj	NES	stability	overlap
GOBP_REGULATION_OF_SPINDLE_ORGANIZATION	1	0.2499144252822671	1.5036649475140862	1.0	64.81
GOBP_DIGESTIVE_SYSTEM_PROCESS	1	0.2498595315528967	1.5040208069320282	1.0	65.86
GOBP_CELLULAR_EXTRAVASATION	1	0.24982512692567949	1.5042074973683361	1.0	73.6
GOBP_REGULATION_OF_DNA_REPAIR	1	0.24981632700042425	1.5043658683668988	1.0	47.34
GOBP_NEGATIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY	1	0.24975525276036592	1.5048458295046865	1.0	64.06
GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION	1	0.24971075620712516	1.504000759186584	1.0	66.66
GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY	1	0.24962881735284936	1.504675708983731	1.0	74.5
GOBP_POSITIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION	1	0.24960702758944509	1.5048298829890172	1.0	42.14
GOBP_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY	1	0.24818722814583682	1.5064345274236837	1.0	73.81
GOBP_REGULATION_OF_MIRNA_TRANSCRIPTION	1	0.2472489581908524	1.5075275057443347	1.0	66.44
GOBP_IRON_ION_TRANSPORT	1	0.2472417354187704	1.5073886683153177	1.0	40.02
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME	1	0.2470608952329008	1.5078462780739497	1.0	34.21
GOBP_UMP_BIOSYNTHETIC_PROCESS	1	0.24676245845875114	1.5082406458146178	1.0	60.67
GOBP_ACTIN_FILAMENT_BASED_TRANSPORT	1	0.24644968171776357	1.5093010416956938	1.0	43.9
GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_CATABOLIC_PROCESS	1	0.24644245181970745	1.5094708042197253	1.0	38.13
GOBP_PURINE_DEOXYRIBONUCLEOSIDE_METABOLIC_PROCESS	1	0.24634051419555225	1.5092310100565935	1.0	25.71
GOBP_CARBOHYDRATE_PHOSPHORYLATION	1	0.24620664505503015	1.509197901631608	1.0	64.72
GOBP_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION	1	0.2461027620398205	1.5091390493840489	1.0	52.05
GOBP_NEGATIVE_REGULATION_OF_DNA_METABOLIC_PROCESS	1	0.24598115309954327	1.5091006235250874	1.0	45.1
GOBP_CELLULAR_HYPEROSMOTIC_RESPONSE	1	0.2456706467404154	1.5103056423294845	1.0	63.77
GOBP_BLOOD_VESSEL_REMODELING	1	0.24448718043015247	1.5116924994225824	1.0	53.65
GOBP_CELLULAR_RESPONSE_TO_NITROGEN_STARVATION	1	0.24446295531180443	1.5120517820064463	1.0	60.76
GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION	1	0.24440465415010237	1.5119362714188733	1.0	69.23
GOBP_MODULATION_BY_HOST_OF_SYMBIONT_PROCESS	1	0.2443790673870004	1.5116336265165193	1.0	45.66
GOBP_MHC_CLASS_I_BIOSYNTHETIC_PROCESS	1	0.2435986130590427	1.5133500468625216	1.0	44.6
GOBP_NEGATIVE_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS	1	0.2435477968228056	1.5132461825891386	1.0	25.65
GOBP_RESPONSE_TO_MINERALOCORTICOID	1	0.2434110269764866	1.5132223715235338	1.0	61.41
GOBP_DE_NOVO_PROTEIN_FOLDING	1	0.24322650249008188	1.5138792436149877	1.0	59.97
GOBP_MITOTIC_G2_DNA_DAMAGE_CHECKPOINT_SIGNALING	1	0.24245967214718725	1.5147300675398427	1.0	65.37
GOBP_POSITIVE_REGULATION_OF_PEPTIDE_SECRETION	1	0.24204810922009445	1.5152764900354794	1.0	66.68
GOBP_EPITHELIAL_TUBE_FORMATION	1	0.24141122783455635	1.516147245810482	1.0	66.69
GOBP_PEPTIDYL_PROLINE_HYDROXYLATION_TO_4_HYDROXY_L_PROLINE	1	0.24139892184855868	1.516009277336316	1.0	51.6
GOBP_CHROMOSOME_SEPARATION	1	0.24060277245683864	1.5170362888773734	1.0	81.04
GOBP_REGULATION_OF_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS	1	0.2401052223379469	1.5176080926588786	1.0	46.65
GOBP_REGULATION_OF_HEART_CONTRACTION	1	0.23924790553985176	1.5195029543181	1.0	71.52
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	1	0.23917788509709542	1.5186260299994123	1.0	54.23
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	1	0.23916851518876853	1.5187926121268303	1.0	75.52
GOBP_LYMPH_VESSEL_DEVELOPMENT	1	0.23911776409728236	1.519469591358457	1.0	62.4
GOBP_RESPONSE_TO_INTERFERON_ALPHA	1	0.23905687374160406	1.5192107515024498	1.0	45.02
GOBP_EXECUTION_PHASE_OF_APOPTOSIS	1	0.23905423075024168	1.519051357170523	1.0	44.25
GOBP_PROTEIN_K63_LINKED_UBIQUITINATION	1	0.2390150769405795	1.5193998687300854	1.0	68.37
GOBP_ANOIKIS	1	0.23886350974930362	1.5201749728840235	1.0	49.4
GOBP_PROTEIN_HOMOOLIGOMERIZATION	1	0.23884778467596693	1.5203293416269048	1.0	78.04
GOBP_TRANSCRIPTION_FACTOR_CATABOLIC_PROCESS	1	0.23882556593765464	1.5200570235407207	1.0	16.87
GOBP_PYRIMIDINE_NUCLEOSIDE_DIPHOSPHATE_BIOSYNTHETIC_PROCESS	1	0.2385013632172818	1.5208356984146139	1.0	49.79
GOBP_GLUCOSE_METABOLIC_PROCESS	1	0.23847666908006665	1.5213231095143769	1.0	64.61
GOBP_FATTY_ACID_ELONGATION	1	0.23844394281843684	1.521191861616116	1.0	49.92
GOBP_COLLECTING_DUCT_DEVELOPMENT	1	0.23834122402402788	1.5211337359750194	1.0	66.14
GOBP_POSITIVE_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE	1	0.238159525493381	1.521754022520743	1.0	39.27
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS	1	0.2379028560087056	1.5240450102165204	1.0	64.16
GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	1	0.23787637961758498	1.524736494390467	1.0	79.07
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_DNA_DAMAGE_STIMULUS	1	0.23785497812721612	1.5245865705816266	1.0	82.06
GOBP_TORC1_SIGNALING	1	0.23779351258459894	1.5244972138065886	1.0	60.87
GOBP_POSITIVE_REGULATION_OF_DEPHOSPHORYLATION	1	0.23774491791619748	1.5235737206521414	1.0	49.15
GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_SPINDLE_ASSEMBLY_CHECKPOINT	1	0.23774197780766607	1.524039547206796	1.0	69.23
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	1	0.23773920037293675	1.5238783355655627	1.0	77.2
GOBP_RESPONSE_TO_STARVATION	1	0.2377292610881665	1.5253729320334974	1.0	62.28
GOBP_RENIN_SECRETION_INTO_BLOOD_STREAM	1	0.23771965956503358	1.5255503671869761	1.0	4.99
GOBP_POSITIVE_REGULATION_OF_EMBRYONIC_DEVELOPMENT	1	0.23769381888890637	1.5250707343701444	1.0	57.4
GOBP_PLASMA_MEMBRANE_ORGANIZATION	1	0.23766874073002206	1.525256216193683	1.0	69.59
GOBP_POSITIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION	1	0.23765626662148903	1.5229959123601347	1.0	55.98
GOBP_CELL_CELL_ADHESION_MEDIATED_BY_INTEGRIN	1	0.23765314636168194	1.5235045046126767	1.0	28.75
GOBP_POSITIVE_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS	1	0.23764649492596185	1.5223638610072745	1.0	16.39
GOBP_REGULATION_OF_CATION_TRANSMEMBRANE_TRANSPORT	1	0.23763556520007315	1.5244859302914573	1.0	75.13
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	1	0.2376279504188316	1.5233549663411752	1.0	76.02
GOBP_BASE_EXCISION_REPAIR	1	0.23762575877012002	1.5225699006562645	1.0	51.68
GOBP_REGULATION_OF_DNA_METHYLATION	1	0.2376196433555512	1.523846338539205	1.0	65.73
GOBP_FRUCTOSE_6_PHOSPHATE_METABOLIC_PROCESS	1	0.2375784901562721	1.5227752507535508	1.0	43.81
GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	1	0.2375291145855237	1.5229599269448617	1.0	77.76
GOBP_NEGATIVE_REGULATION_OF_PEPTIDYL_LYSINE_ACETYLATION	1	0.2374679499069613	1.5233493207696698	1.0	71.04
GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS	1	0.23737471892706508	1.5261676839616247	1.0	85.93
GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	1	0.23722856542607582	1.5261428175424971	1.0	59.16
GOBP_REGULATION_OF_MACROPHAGE_DIFFERENTIATION	1	0.23661882550911217	1.5270446348910378	1.0	65.79
GOBP_SPINDLE_ELONGATION	1	0.23512979149871044	1.5285256830379286	1.0	59.81
GOBP_CELL_VOLUME_HOMEOSTASIS	1	0.23499996725491396	1.5289689544948741	1.0	63.77
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	1	0.2349400658830818	1.5288687067159084	1.0	75.4
GOBP_REGULATION_OF_AXON_DIAMETER	1	0.2349300442108748	1.5299940723050056	1.0	45.44
GOBP_PYRIMIDINE_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS	1	0.2348455770031181	1.5296138685593228	1.0	56.5
GOBP_CELLULAR_RESPONSE_TO_VITAMIN	1	0.23484422788244647	1.5297626768982602	1.0	51.95
GOBP_POSITIVE_REGULATION_OF_MIRNA_TRANSCRIPTION	1	0.2348241448329211	1.529950095867689	1.0	66.44
GOBP_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING	1	0.2347600672048125	1.5293749142250377	1.0	64.38
GOBP_POSITIVE_REGULATION_OF_PROTEIN_DEUBIQUITINATION	1	0.2346921996462086	1.5295898491509772	1.0	16.62
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_OSMOTIC_STRESS	1	0.23394703041395115	1.5310298752121148	1.0	60.78
GOBP_MALONYL_COA_METABOLIC_PROCESS	1	0.23352279608486462	1.532198386313769	1.0	16.11
GOBP_CRISTAE_FORMATION	1	0.23344881122802333	1.5321251210566729	1.0	51.5
GOBP_REGULATION_OF_GENE_EXPRESSION_BY_GENOMIC_IMPRINTING	1	0.23339404962073373	1.5318676880494637	1.0	22.78
GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	1	0.23336870699680534	1.5325358509806455	1.0	63.63
GOBP_REGULATION_OF_MITOTIC_CENTROSOME_SEPARATION	1	0.23335786333556308	1.5317532977601365	1.0	24.24
GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION	1	0.23328302352827784	1.5321194458342733	1.0	60.21
GOBP_CELL_PROLIFERATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	1	0.23292634206598573	1.5330725885857726	1.0	60.17
GOBP_DNA_PACKAGING	1	0.2324162483428418	1.5337316997365047	1.0	70.23
GOBP_THYMOCYTE_APOPTOTIC_PROCESS	1	0.23199772388653	1.5342776883138165	1.0	43.71
GOBP_NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION	1	0.23197899954204895	1.5347796580383102	1.0	52.05
GOBP_BRADYKININ_CATABOLIC_PROCESS	1	0.2319530343760678	1.5346503045254347	1.0	44.85
GOBP_REGULATION_OF_NECROTIC_CELL_DEATH	1	0.23189561453992955	1.5345503183844844	1.0	74.88
GOBP_NEGATIVE_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION	1	0.231792489813637	1.535117737280065	1.0	55.44
GOBP_LEUKOCYTE_APOPTOTIC_PROCESS	1	0.23140988522701644	1.5356246685606287	1.0	75.52
GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS	1	0.23138388541495306	1.5358113544207674	1.0	83.5
GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_MORPHOGENESIS	1	0.23126717362959176	1.5361116572231677	1.0	39.01
GOBP_RESPONSE_TO_REDOX_STATE	1	0.23073879463155228	1.5367988348596024	1.0	57.58
GOBP_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION	1	0.2305147951672782	1.5371555142545539	1.0	60.37
GOBP_REGULATION_OF_LAMELLIPODIUM_MORPHOGENESIS	1	0.22976530559657596	1.538015451084113	1.0	53.39
GOBP_WATER_SOLUBLE_VITAMIN_BIOSYNTHETIC_PROCESS	1	0.22853887060015196	1.5393927599598831	1.0	38.46
GOBP_REGULATION_OF_TRANSCRIPTION_OF_NUCLEOLAR_LARGE_RRNA_BY_RNA_POLYMERASE_I	1	0.22834874488437254	1.5397605944309138	1.0	52.3
GOBP_ENDOSOME_TO_LYSOSOME_TRANSPORT_VIA_MULTIVESICULAR_BODY_SORTING_PATHWAY	1	0.22772521327037112	1.5404714508980062	1.0	39.23
GOBP_TRACHEA_MORPHOGENESIS	1	0.22730950128848706	1.541360391168263	1.0	19.93
GOBP_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE	1	0.22726550811606247	1.5412331198879636	1.0	80.76
GOBP_ORGANELLE_DISASSEMBLY	1	0.22721628070676456	1.5411357039127282	1.0	66.6
GOBP_INTRA_GOLGI_VESICLE_MEDIATED_TRANSPORT	1	0.22706924927583688	1.5419370799520253	1.0	41.59
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION	1	0.22704129975062848	1.5418066339976162	1.0	55.0
GOBP_DIVALENT_INORGANIC_CATION_HOMEOSTASIS	1	0.22683680420942232	1.542498331865218	1.0	79.18
GOBP_CELLULAR_RESPONSE_TO_REACTIVE_NITROGEN_SPECIES	1	0.22676962890710653	1.5423947804736724	1.0	63.77
GOBP_POSITIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS	1	0.22656529540414283	1.5430880532148559	1.0	64.49
GOBP_REGULATION_OF_DNA_BINDING	1	0.22655787489756385	1.5429292492821185	1.0	75.5
GOBP_L_SERINE_BIOSYNTHETIC_PROCESS	1	0.22597222656974122	1.5441527680933576	1.0	15.52
GOBP_POSITIVE_REGULATION_OF_ISOTYPE_SWITCHING_TO_IGA_ISOTYPES	1	0.22586115994450304	1.5439160167893042	1.0	45.32
GOBP_CELL_FATE_COMMITMENT	1	0.2258157634095067	1.5441362542516113	1.0	79.23
GOBP_NEGATIVE_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	1	0.22519979741706758	1.5450615850662277	1.0	49.03
GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT	1	0.22480793695282505	1.545777625871833	1.0	66.94
GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	1	0.2247873076604209	1.5459568074206627	1.0	33.33
GOBP_RESPIRATORY_CHAIN_COMPLEX_III_ASSEMBLY	1	0.22476968674544098	1.545656188977029	1.0	35.09
GOBP_MITOTIC_SPINDLE_MIDZONE_ASSEMBLY	1	0.22446586166936996	1.5466194164265474	1.0	55.22
GOBP_REGULATION_OF_RESPONSE_TO_DNA_DAMAGE_STIMULUS	1	0.22441383960503852	1.5465121661633818	1.0	45.45
GOBP_FLAVIN_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	0.22387251067177946	1.5473590751916872	1.0	49.13
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	1	0.2236823860136321	1.5476982006827582	1.0	67.11
GOBP_POSITIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS	1	0.2229999042603032	1.5486327748291717	1.0	24.24
GOBP_INNATE_IMMUNE_RESPONSE_IN_MUCOSA	1	0.2229606506806794	1.5485265800620713	1.0	37.65
