pathway	freq	padj	NES	stability	overlap
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	1	0.24881882999742289	1.6122354770622973	0.03125	29.15
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	1	0.24278204698231237	1.291671104691475	0.03125	71.76
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	1	0.23389114071419373	1.3004121365513734	0.03125	71.75
KEGG_GLYCEROLIPID_METABOLISM	2	0.22655854556664817	1.312603427438845	0.0625	42.22
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	1	0.21694201787287515	1.3202524131633577	0.03125	26.74
KEGG_MISMATCH_REPAIR	3	0.21629171881243883	1.3823606737217162	0.09375	62.626666666666665
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	2	0.2025829143171041	1.6702808845775095	0.0625	19.665
KEGG_P53_SIGNALING_PATHWAY	4	0.1996589036724891	1.3544375141613854	0.125	27.0525
KEGG_NITROGEN_METABOLISM	2	0.19750012786291943	1.559382174986819	0.0625	30.685000000000002
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	1	0.19319098893036704	1.6385510047904637	0.03125	24.47
KEGG_GRAFT_VERSUS_HOST_DISEASE	3	0.18752931821480598	1.5761533960923202	0.09375	53.846666666666664
KEGG_OTHER_GLYCAN_DEGRADATION	1	0.1790631680749262	1.6531772860187763	0.03125	44.21
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	5	0.17900709749779242	1.5246993421536308	0.15625	64.77799999999999
KEGG_NON_HOMOLOGOUS_END_JOINING	1	0.1771584864212952	1.5337014738200232	0.03125	30.12
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	1	0.17634256430049425	1.603179538429475	0.03125	83.35
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	4	0.17574541776463748	1.3857009148335786	0.125	34.115
KEGG_BETA_ALANINE_METABOLISM	1	0.17517030446267207	1.9988322936372007	0.03125	53.56
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	2	0.1733214630892553	1.6640138286575632	0.0625	44.825
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	3	0.17112691185438014	1.698686209245376	0.09375	64.69
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	4	0.15992004851654282	1.419295147824767	0.125	20.919999999999998
KEGG_TASTE_TRANSDUCTION	6	0.1564480080870184	1.540943060854539	0.1875	42.61333333333333
KEGG_CHEMOKINE_SIGNALING_PATHWAY	4	0.15643213972861728	1.4281289868824725	0.125	20.215
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	6	0.1562655614449789	1.4734643618602716	0.1875	53.51
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	2	0.15579114912261524	1.4283533898948875	0.0625	54.75
KEGG_RNA_DEGRADATION	5	0.1514275598713854	1.4866693343155384	0.15625	28.096000000000004
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1	0.15085670175567573	1.6631825139560852	0.03125	40.45
KEGG_HOMOLOGOUS_RECOMBINATION	5	0.14413521648994862	1.4892749887419325	0.15625	34.926
KEGG_ALLOGRAFT_REJECTION	7	0.1439374376401284	1.8309252371799043	0.21875	43.80571428571428
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	4	0.14129931745594473	1.447783289890329	0.125	74.3325
KEGG_ASTHMA	7	0.13766678524127124	1.8076552682964795	0.21875	44.99142857142858
KEGG_AUTOIMMUNE_THYROID_DISEASE	3	0.13705133366444275	1.737877939554726	0.09375	47.06
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	2	0.1337452508974597	2.07336644608036	0.0625	45.650000000000006
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	5	0.1315387995084573	1.801929439441663	0.15625	42.965999999999994
KEGG_O_GLYCAN_BIOSYNTHESIS	5	0.12671413094425552	1.5668493804593073	0.15625	60.164
KEGG_RETINOL_METABOLISM	10	0.12074175633002746	1.7491796332804206	0.3125	36.184000000000005
KEGG_CIRCADIAN_RHYTHM_MAMMAL	6	0.11810753218834769	1.5643673102462845	0.1875	43.725
KEGG_GALACTOSE_METABOLISM	4	0.11768455804907477	1.5014085339363281	0.125	55.3025
KEGG_OLFACTORY_TRANSDUCTION	4	0.11575792572098915	1.5120751508659147	0.125	41.260000000000005
KEGG_TYPE_I_DIABETES_MELLITUS	3	0.10863770516661146	2.075834586846725	0.09375	39.65
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	4	0.10197339493381088	1.572333944075475	0.125	43.4825
KEGG_STEROID_BIOSYNTHESIS	11	0.09952793344263121	1.932828984917933	0.34375	53.02181818181819
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	11	0.09783838408294812	1.8193909793207113	0.34375	37.64181818181818
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	14	0.09766225108210425	1.9271778167599185	0.4375	28.942142857142862
KEGG_GLIOMA	7	0.0949913785447183	2.1415711397211776	0.21875	32.49
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	10	0.09393767937042212	1.849787600173253	0.3125	64.72099999999999
KEGG_JAK_STAT_SIGNALING_PATHWAY	8	0.09391700467750208	1.8755104486558876	0.25	29.278749999999995
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	2	0.09009902780985682	1.8031451521600061	0.0625	68.37
KEGG_RENIN_ANGIOTENSIN_SYSTEM	5	0.08872482028072719	1.6318306194918688	0.15625	39.838
KEGG_LINOLEIC_ACID_METABOLISM	8	0.0871313114941846	1.9229096138254236	0.25	43.28875
KEGG_COLORECTAL_CANCER	10	0.08215765698864887	2.348000752610625	0.3125	40.838
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	10	0.08040001616305298	2.193602758134363	0.3125	58.985
KEGG_MELANOMA	7	0.07987353583268975	2.291710329214325	0.21875	48.51857142857143
KEGG_ACUTE_MYELOID_LEUKEMIA	7	0.07965304755219561	2.4840556057631376	0.21875	37.95
KEGG_ENDOCYTOSIS	10	0.07948889312994337	2.5147511467289547	0.3125	44.409
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	7	0.07738099338034395	1.8835995104130903	0.21875	49.26571428571429
KEGG_HEDGEHOG_SIGNALING_PATHWAY	7	0.07737053729346743	1.8354924766847571	0.21875	63.24285714285714
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	8	0.07629799005613495	1.8594242330736002	0.25	35.62625
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	10	0.07546319215562299	2.365793760312189	0.3125	39.66199999999999
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	10	0.07534909243755049	2.4326304986154677	0.3125	43.033
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	8	0.07451686453933234	1.9331066748600716	0.25	61.0275
KEGG_NUCLEOTIDE_EXCISION_REPAIR	6	0.0734614108168917	1.7503389457779621	0.1875	18.01
KEGG_SPHINGOLIPID_METABOLISM	7	0.07346109855659357	1.9054632327696674	0.21875	59.23857142857143
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	6	0.07339187379382282	1.883431193387697	0.1875	33.745
KEGG_PANCREATIC_CANCER	7	0.07252942231112615	2.2681277703809504	0.21875	39.09428571428572
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	10	0.07236730712881645	2.1644800198106906	0.3125	54.26500000000001
KEGG_CHRONIC_MYELOID_LEUKEMIA	6	0.07136900254723204	2.8294227525079076	0.1875	36.845
KEGG_ENDOMETRIAL_CANCER	10	0.06576912220254745	2.486421068590693	0.3125	46.772
KEGG_LYSINE_DEGRADATION	6	0.06570982299572824	2.114147609437921	0.1875	47.86000000000001
KEGG_INSULIN_SIGNALING_PATHWAY	8	0.06483222524866183	2.5580673400576304	0.25	51.64125
KEGG_TGF_BETA_SIGNALING_PATHWAY	6	0.06440261402015794	1.8217127214936875	0.1875	33.915
KEGG_REGULATION_OF_AUTOPHAGY	5	0.06354389243276758	1.7783913420224902	0.15625	26.1
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	9	0.0621567408883457	2.3930626818629857	0.28125	42.08333333333333
KEGG_RENAL_CELL_CARCINOMA	8	0.06196262964036	2.4784730957050027	0.25	50.81999999999999
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	9	0.06119286549545798	1.964695770153095	0.28125	51.33777777777779
KEGG_VIBRIO_CHOLERAE_INFECTION	5	0.06070214923340418	1.7775008523332763	0.15625	40.392
KEGG_STEROID_HORMONE_BIOSYNTHESIS	13	0.06066823753694823	2.0849819397846727	0.40625	42.86538461538461
KEGG_ECM_RECEPTOR_INTERACTION	6	0.06059226735228978	2.211302984207773	0.1875	37.693333333333335
KEGG_GAP_JUNCTION	6	0.05952852391691272	1.992829547905422	0.1875	63.748333333333335
KEGG_DILATED_CARDIOMYOPATHY	6	0.05940573561893506	2.4716837484641	0.1875	53.688333333333325
