pathway	freq	padj	NES	stability	overlap
GOBP_CELL_CELL_JUNCTION_MAINTENANCE	1	0.24799649350176745	1.744864965390608	1.0	25.97
GOBP_GLUTAMATE_CATABOLIC_PROCESS	1	0.24759000626855562	1.746207858270426	1.0	31.31
GOBP_RESPONSE_TO_STEROID_HORMONE	1	0.24736508691391731	1.7459135977984008	1.0	83.09
GOBP_RESPONSE_TO_GROWTH_FACTOR	1	0.24711593246541894	1.747056791792781	1.0	86.86
GOBP_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION	1	0.24599152324765058	1.7484778251494821	1.0	58.48
GOBP_PIGMENT_METABOLIC_PROCESS	1	0.2454716594883538	1.7498168935085405	1.0	63.04
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY	1	0.24529465749516366	1.751358650327385	1.0	86.0
GOBP_PROTEIN_ACYLATION	1	0.24529134148858758	1.750424440416997	1.0	75.41
GOBP_RESPONSE_TO_INSULIN	1	0.24494003258363292	1.7511776817001836	1.0	77.58
GOBP_POSITIVE_REGULATION_OF_ACTIN_NUCLEATION	1	0.24490914016651577	1.7497556426743026	1.0	50.42
GOBP_FOLIC_ACID_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	1	0.24243223173993425	1.7541153076712919	1.0	15.01
GOBP_POSITIVE_REGULATION_OF_PRODUCTION_OF_MIRNAS_INVOLVED_IN_GENE_SILENCING_BY_MIRNA	1	0.24210312233290812	1.7548407482195254	1.0	19.69
GOBP_PROTEIN_INSERTION_INTO_MEMBRANE	1	0.238624234844114	1.7581312264387992	1.0	50.87
GOBP_ERYTHROCYTE_HOMEOSTASIS	1	0.23754237338383974	1.759397881767361	1.0	70.28
GOBP_RETINA_LAYER_FORMATION	1	0.2371457745385905	1.760169731332619	1.0	15.55
GOBP_VESICLE_CARGO_LOADING	1	0.23643014686734512	1.7611308982115068	1.0	40.7
GOBP_IMMUNE_EFFECTOR_PROCESS	1	0.23554174387358665	1.7633178612528067	1.0	83.19
