pathway	freq	padj	NES	stability	overlap
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	1	0.24709268211355068	1.457078416892703	1.0	38.76
KEGG_OTHER_GLYCAN_DEGRADATION	1	0.2446352975725	1.4635451399731336	1.0	49.22
KEGG_DORSO_VENTRAL_AXIS_FORMATION	1	0.23625487925191954	1.4811647598690203	1.0	47.23
KEGG_PROSTATE_CANCER	1	0.23460546231103432	1.4875522960784002	1.0	68.14
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	1	0.23239957845618409	1.4802870237367411	1.0	57.41
KEGG_APOPTOSIS	1	0.21988223666337808	1.5078525595748826	1.0	36.69
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	1	0.2130723439950052	1.5283648424903946	1.0	60.69
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1	0.21210222324174421	1.5248403324990292	1.0	75.29
KEGG_TYPE_I_DIABETES_MELLITUS	1	0.21173557626052855	1.5204737296277626	1.0	50.46
KEGG_RNA_POLYMERASE	1	0.20357740316561576	1.5432924620853206	1.0	64.66
KEGG_CELL_CYCLE	1	0.19955529353320187	1.5527078523681563	1.0	70.65
KEGG_VIBRIO_CHOLERAE_INFECTION	1	0.18755629906060997	1.5718090419803867	1.0	60.05
KEGG_AXON_GUIDANCE	1	0.18044993215342015	1.5848107517205638	1.0	62.95
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	1	0.17436444616022534	1.6214559536744175	1.0	55.0
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	1	0.1741209647528011	1.6038465474529118	1.0	25.95
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	1	0.17023212892470388	1.6204204690605284	1.0	51.5
KEGG_MELANOGENESIS	1	0.16989179856732298	1.6035622018909117	1.0	65.82
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1	0.16731685732153057	1.6180579337349061	1.0	75.77
KEGG_SMALL_CELL_LUNG_CANCER	1	0.1665122463861365	1.6371773859570564	1.0	75.29
KEGG_THYROID_CANCER	1	0.12528918057164098	1.7232512544816412	1.0	58.99
KEGG_TIGHT_JUNCTION	1	0.12419961039940716	1.7325177940429608	1.0	65.12
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1	0.12311212213039105	1.720403416021982	1.0	66.36
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	1	0.12220649423068673	1.7152155072638495	1.0	46.81
KEGG_O_GLYCAN_BIOSYNTHESIS	1	0.1196542701497019	1.7130568718458992	1.0	19.56
KEGG_ONE_CARBON_POOL_BY_FOLATE	1	0.11878565607171963	1.7479253079673887	1.0	29.72
KEGG_WNT_SIGNALING_PATHWAY	1	0.11829197189296704	1.7557439864243143	1.0	77.84
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	1	0.11783503775979573	1.7103029344782292	1.0	53.05
KEGG_NOTCH_SIGNALING_PATHWAY	1	0.10181757289594119	1.7864704541694596	1.0	75.96
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	1	0.08188385593159754	1.846842469854196	1.0	11.02
KEGG_RNA_DEGRADATION	1	0.0818213014198087	1.8636986595091358	1.0	44.36
KEGG_PENTOSE_PHOSPHATE_PATHWAY	1	0.08111868914339639	1.842565327608048	1.0	49.25
KEGG_PYRUVATE_METABOLISM	1	0.07905367223735964	1.861164957188028	1.0	46.06
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1	0.07486523970888918	1.8840572662104984	1.0	76.95
KEGG_CARDIAC_MUSCLE_CONTRACTION	1	0.05978209582636298	1.935024460769286	1.0	52.41
KEGG_OOCYTE_MEIOSIS	1	0.059191054460240165	1.943635293192053	1.0	64.5
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1	0.04642378834889451	1.9893923629314774	1.0	50.63
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	1	0.027880177936571618	2.0815203437578593	1.0	49.72
KEGG_PROTEASOME	1	0.026629455668511128	2.102331201091934	1.0	53.46
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	1	0.02653312172035631	2.1146982600204542	1.0	51.1
KEGG_ADHERENS_JUNCTION	1	0.02276626774760863	2.1436250239721666	1.0	51.51
KEGG_ARGININE_AND_PROLINE_METABOLISM	1	0.018292864001267038	2.185903216103245	1.0	42.91
KEGG_PURINE_METABOLISM	1	0.006192896667095612	2.3584948289442775	1.0	63.02
KEGG_CITRATE_CYCLE_TCA_CYCLE	1	0.0033028782224509934	2.4415214971682104	1.0	45.77
KEGG_PYRIMIDINE_METABOLISM	1	0.0011560073778578476	2.5740283913530515	1.0	64.66
KEGG_LYSOSOME	1	0.0009436794921288551	2.6688377961649548	1.0	65.1
KEGG_ENDOCYTOSIS	1	0.0008257195556127482	2.649117617785231	1.0	69.9
KEGG_PATHWAYS_IN_CANCER	1	0.0007339729383224429	2.636661657662782	1.0	75.29
KEGG_SPLICEOSOME	1	0.0005504797037418322	2.731620127824943	1.0	68.63
KEGG_ALZHEIMERS_DISEASE	1	0.00033028782224509934	2.894484231437163	1.0	55.56
KEGG_RIBOSOME	1	0.0	3.517472244738132	1.0	55.72
KEGG_HUNTINGTONS_DISEASE	1	0.0	3.3759866409843164	1.0	51.67
KEGG_OXIDATIVE_PHOSPHORYLATION	1	0.0	3.1428537210046175	1.0	56.67
KEGG_PARKINSONS_DISEASE	1	0.0	2.943268933957491	1.0	56.67
