pathway	freq	padj	NES	stability	overlap
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	1	0.2496960517709613	1.7366774471295634	1.0	42.34
GOBP_CELL_CELL_RECOGNITION	1	0.249398846484136	1.7362549393875775	1.0	41.39
GOBP_EPHRIN_RECEPTOR_SIGNALING_PATHWAY	1	0.2490444985496309	1.7358708422411522	1.0	19.44
GOBP_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	1	0.24893924195590908	-1.5440663986472798	1.0	14.07
GOBP_POLY_A_PLUS_MRNA_EXPORT_FROM_NUCLEUS	1	0.2488736474437888	-1.5443373876789834	1.0	51.13
GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_BACTERIUM	1	0.24885024835906217	-1.544610346160988	1.0	25.44
GOBP_HYDROGEN_SULFIDE_BIOSYNTHETIC_PROCESS	1	0.2485592008248977	-1.54509418649353	1.0	49.79
GOBP_CELLULAR_RESPONSE_TO_TESTOSTERONE_STIMULUS	1	0.24833707055655177	-1.5459322272988827	1.0	16.3
GOBP_MACROPHAGE_ACTIVATION	1	0.248288139815548	-1.5455190329726103	1.0	18.62
GOBP_CEREBRAL_CORTEX_CELL_MIGRATION	1	0.24825312076595088	-1.5457685940983974	1.0	22.34
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_SYNTHESIS_DEPENDENT_STRAND_ANNEALING	1	0.24803888862789053	1.740692033816088	1.0	18.34
GOBP_PHAGOSOME_ACIDIFICATION	1	0.2480353041213892	1.7428832723197232	1.0	28.07
GOBP_CELLULAR_RESPONSE_TO_ESTROGEN_STIMULUS	1	0.24787690596952058	1.7401271958769366	1.0	15.64
GOBP_CARDIAC_MUSCLE_CELL_CARDIAC_MUSCLE_CELL_ADHESION	1	0.24779878328977048	1.7437575081364554	1.0	9.58
GOBP_REGULATION_OF_CONNECTIVE_TISSUE_REPLACEMENT	1	0.2476538858872037	-1.5467946961991632	1.0	15.3
GOBP_CYTIDINE_METABOLIC_PROCESS	1	0.2476047580779909	1.742431620587963	1.0	42.22
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	1	0.24738355264699538	-1.5474809734403607	1.0	19.09
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	1	0.24731710343751032	1.7398631640028865	1.0	25.85
GOBP_SYNAPTIC_VESICLE_ENDOSOMAL_PROCESSING	1	0.2471688817895966	-1.5474406631332247	1.0	24.35
GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	1	0.2468155791758547	1.742302636773059	1.0	42.34
GOBP_POSITIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_NEURON_DEATH	1	0.24584685223427882	-1.5490658203455165	1.0	24.97
GOBP_POSITIVE_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE	1	0.24487857499461413	-1.5503649928000012	1.0	18.12
GOBP_REGULATION_OF_NEUTROPHIL_CHEMOTAXIS	1	0.2446597946444746	-1.5503330540922082	1.0	18.54
GOBP_OSTEOCLAST_DIFFERENTIATION	1	0.2434307545207556	-1.552130788677454	1.0	17.69
GOBP_RESPONSE_TO_INTERLEUKIN_4	1	0.24326669444765722	1.7478744775129524	1.0	22.75
GOBP_UBIQUITIN_RECYCLING	1	0.24319756158918976	-1.5525655187906144	1.0	16.69
GOBP_HISTIDINE_METABOLIC_PROCESS	1	0.24318735912551134	-1.5521155509519087	1.0	30.17
GOBP_ENSHEATHMENT_OF_NEURONS	1	0.2422676834555413	-1.5536434021016017	1.0	19.68
GOBP_POSITIVE_REGULATION_OF_AUTOPHAGOSOME_MATURATION	1	0.2418581900848168	-1.55425610487276	1.0	45.19
GOBP_METANEPHROS_MORPHOGENESIS	1	0.24158777488463815	1.7498562368759538	1.0	59.29
GOBP_PROTEIN_STABILIZATION	1	0.24134819496987292	-1.5552179154762111	1.0	12.52
GOBP_NEGATIVE_REGULATION_OF_ORGAN_GROWTH	1	0.24118571713426487	-1.5551151743590252	1.0	51.61
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	1	0.24101437152025454	-1.556456314614355	1.0	21.87
GOBP_POSITIVE_REGULATION_OF_GTPASE_ACTIVITY	1	0.24100479381223333	-1.5562135922109093	1.0	27.45
GOBP_POSITIVE_REGULATION_OF_CARTILAGE_DEVELOPMENT	1	0.24097548499359342	-1.5559983560288675	1.0	56.55
GOBP_INTEGRIN_ACTIVATION	1	0.2408636182688025	-1.5558570996411174	1.0	22.0
GOBP_POSITIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_APOPTOTIC_PROCESS	1	0.2400789771675783	-1.5574587791450147	1.0	13.08
GOBP_NEGATIVE_REGULATION_OF_TOR_SIGNALING	1	0.2399968780971718	-1.5580125654321861	1.0	57.76
GOBP_PROTEIN_AUTOPHOSPHORYLATION	1	0.23985562163870788	-1.558909396790261	1.0	24.39
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	1	0.2397630943585232	-1.5584998574191917	1.0	47.32
GOBP_GLYCINE_BIOSYNTHETIC_PROCESS	1	0.23975900115675572	-1.5579808393394183	1.0	4.27
GOBP_REGULATION_OF_TRANSFERASE_ACTIVITY	1	0.23967185238572902	-1.5588400801522586	1.0	16.95
GOBP_SYNAPTIC_VESICLE_LOCALIZATION	1	0.23896879305440144	-1.560370427654059	1.0	24.87
GOBP_SMOOTH_MUSCLE_CELL_MIGRATION	1	0.2388041121323096	-1.5602885710337226	1.0	17.34
GOBP_COMMISSURAL_NEURON_AXON_GUIDANCE	1	0.23865973855003228	-1.560192684166389	1.0	19.68
GOBP_C_TERMINAL_PROTEIN_LIPIDATION	1	0.23863727945349403	-1.5609091807833566	1.0	31.57
GOBP_PEPTIDYL_PROLINE_HYDROXYLATION_TO_4_HYDROXY_L_PROLINE	1	0.23785241215665007	1.753483936010973	1.0	35.13
GOBP_PROLINE_METABOLIC_PROCESS	1	0.2372064728996775	1.7554483131486138	1.0	46.12
GOBP_RESPONSE_TO_INTERLEUKIN_7	1	0.23661671637555118	1.7551858607092201	1.0	21.46
GOBP_ENDOSOME_TO_LYSOSOME_TRANSPORT_VIA_MULTIVESICULAR_BODY_SORTING_PATHWAY	1	0.23654827291236846	-1.5630259315545232	1.0	38.58
GOBP_MYOTUBE_DIFFERENTIATION	1	0.23649415336911192	-1.5632831240293126	1.0	64.64
GOBP_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	1	0.23630766564025926	-1.563896568149153	1.0	27.77
GOBP_REGULATION_OF_VESICLE_MEDIATED_TRANSPORT	1	0.23627928613639737	-1.563679994702665	1.0	33.03
GOBP_CELLULAR_RESPONSE_TO_STEROID_HORMONE_STIMULUS	1	0.2360490735667653	-1.5648771761468958	1.0	35.84
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_STRESS	1	0.23598394566839967	-1.5651444125812082	1.0	38.36
GOBP_TORC1_SIGNALING	1	0.23596415076988744	-1.5654046349512627	1.0	78.05
GOBP_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	1	0.23581165435072454	-1.5646095934697068	1.0	47.61
GOBP_MITOCHONDRIAL_GENE_EXPRESSION	1	0.23578795733494365	-1.564871077487986	1.0	62.78
GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	1	0.23435588711225694	-1.567074494674611	1.0	21.87
GOBP_NEGATIVE_REGULATION_OF_MUSCLE_HYPERTROPHY	1	0.23415318831991971	-1.567485492642216	1.0	46.57
GOBP_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING	1	0.23374343785827478	-1.5680405817018563	1.0	27.73
GOBP_PHOSPHATIDYLINOSITOL_PHOSPHATE_BIOSYNTHETIC_PROCESS	1	0.23194840491284696	-1.5699310383877387	1.0	34.1
GOBP_CORTICAL_CYTOSKELETON_ORGANIZATION	1	0.23187501315340034	-1.5707386206030154	1.0	18.5
GOBP_ERROR_PRONE_TRANSLESION_SYNTHESIS	1	0.2316757064523983	-1.5706687478975219	1.0	29.2
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME	1	0.23160133552680554	-1.5704961691512547	1.0	39.29
GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY	1	0.23156918004324753	1.7607976934249	1.0	37.5
GOBP_MAINTENANCE_OF_SISTER_CHROMATID_COHESION	1	0.22994496976497894	-1.5730303966278236	1.0	33.38
GOBP_ISOCITRATE_METABOLIC_PROCESS	1	0.2297384559113969	-1.5729755452475065	1.0	14.42
GOBP_LEUKOCYTE_CELL_CELL_ADHESION	1	0.22799685126662725	1.7643818146466244	1.0	25.05
GOBP_OXYGEN_METABOLIC_PROCESS	1	0.2275702331698236	-1.5754411131533943	1.0	42.83
GOBP_HYPOTHALAMUS_DEVELOPMENT	1	0.22739366890095591	-1.5758243483063317	1.0	28.95
GOBP_PRIMARY_MIRNA_PROCESSING	1	0.22600808747402226	-1.5773668287366809	1.0	36.36
