pathway	freq	padj	NES	stability	overlap
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY	1	0.24952862801427556	-1.5401126456199976	1.0	38.7
GOBP_NEGATIVE_REGULATION_OF_ORGAN_GROWTH	1	0.24909628316955545	-1.5411526637187072	1.0	48.46
GOBP_INTERLEUKIN_4_MEDIATED_SIGNALING_PATHWAY	1	0.24896545458363883	1.8240803747599301	1.0	16.69
GOBP_NEGATIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_CELL_DEATH	1	0.24887959033647925	-1.5411110573473277	1.0	58.88
GOBP_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION	1	0.2488702778679089	-1.5408801009405395	1.0	58.13
GOBP_NUCLEOSOME_ASSEMBLY	1	0.24793792181005703	-1.5423901685142973	1.0	17.83
GOBP_NEGATIVE_REGULATION_OF_BINDING	1	0.24762502896504002	-1.5429034776039117	1.0	66.16
GOBP_NUCLEAR_NCRNA_SURVEILLANCE	1	0.24690421927990572	-1.544727349408157	1.0	32.56
GOBP_NEGATIVE_REGULATION_OF_MUSCLE_ADAPTATION	1	0.24683692356623488	-1.5443526932823375	1.0	52.13
GOBP_NEURON_DEATH_IN_RESPONSE_TO_HYDROGEN_PEROXIDE	1	0.24667504938243814	-1.5446937126436362	1.0	4.23
GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE	1	0.24661070284388567	-1.5443228129608064	1.0	51.35
GOBP_REGULATION_OF_ENDOTHELIAL_CELL_DIFFERENTIATION	1	0.24645429910347155	-1.5442154576880702	1.0	40.8
GOBP_NUCLEAR_MIGRATION	1	0.24544647926668023	-1.5462238128326236	1.0	31.49
GOBP_GLYCOPROTEIN_METABOLIC_PROCESS	1	0.2449526875809808	1.8290955436538534	1.0	50.95
GOBP_SUCCINATE_METABOLIC_PROCESS	1	0.24392548464786415	-1.5478432340707449	1.0	4.01
GOBP_TRANSPORT_OF_VIRUS	1	0.2434250147569366	-1.5486628115532863	1.0	30.39
GOBP_NUCLEOTIDE_EXCISION_REPAIR_DNA_INCISION	1	0.24327685737001978	-1.5485676531793995	1.0	24.61
GOBP_EYE_PHOTORECEPTOR_CELL_DEVELOPMENT	1	0.2432524328286884	-1.5490653615173684	1.0	69.62
GOBP_VESICLE_FUSION_WITH_GOLGI_APPARATUS	1	0.2424149380871701	-1.5500564012632196	1.0	30.3
GOBP_PERICARDIUM_DEVELOPMENT	1	0.2421731732563357	-1.5504937989753973	1.0	51.88
GOBP_RESPONSE_TO_CELL_CYCLE_CHECKPOINT_SIGNALING	1	0.2405528888342134	-1.5526231280530858	1.0	10.1
GOBP_STEROID_METABOLIC_PROCESS	1	0.24044443121815154	-1.5524888023707641	1.0	62.42
GOBP_GLUTAMATE_SECRETION_NEUROTRANSMISSION	1	0.24037253101121558	-1.5523180812579032	1.0	23.75
GOBP_PROTEIN_LOCALIZATION_TO_CILIUM	1	0.2393314337263058	-1.5539704640206176	1.0	27.15
GOBP_RESPONSE_TO_CGMP	1	0.23924679302832236	-1.5542802878543729	1.0	44.27
GOBP_REGULATION_OF_COLLAGEN_FIBRIL_ORGANIZATION	1	0.23914979673661543	-1.554598814706553	1.0	53.04
GOBP_CELLULAR_RESPONSE_TO_ARSENIC_CONTAINING_SUBSTANCE	1	0.23883927885682718	-1.555342270701088	1.0	57.7
GOBP_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	1	0.23866947254832294	-1.5557321947560891	1.0	17.18
GOBP_PIGMENT_BIOSYNTHETIC_PROCESS	1	0.23863580735254017	-1.5552797297992098	1.0	21.44
GOBP_RNA_STABILIZATION	1	0.23859466350695105	-1.556041164036576	1.0	27.33
GOBP_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	1	0.23740835757507747	-1.557352122676603	1.0	82.68
GOBP_IRON_SULFUR_CLUSTER_ASSEMBLY	1	0.23711269987052064	-1.5578627487974042	1.0	25.86
GOBP_BONE_DEVELOPMENT	1	0.23653305935434552	-1.5586248006895544	1.0	68.28
GOBP_DNA_REPLICATION_INITIATION	1	0.23584981462057517	1.8381257307154064	1.0	32.8
GOBP_POSITIVE_REGULATION_OF_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE	1	0.2358256857417159	-1.5595107665512287	1.0	69.49
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	1	0.23551382477137123	-1.5600412991519512	1.0	23.04
GOBP_WOUND_HEALING_SPREADING_OF_EPIDERMAL_CELLS	1	0.2353130819935054	-1.5607208133283592	1.0	47.52
GOBP_GLUCOCORTICOID_METABOLIC_PROCESS	1	0.23518774936104375	-1.5605828203330827	1.0	58.09
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	1	0.2347520515136048	1.8379323609474716	1.0	55.33
GOBP_SNRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	1	0.23457909832729004	-1.5615956752496725	1.0	30.85
GOBP_ALKANESULFONATE_METABOLIC_PROCESS	1	0.23362375233066832	-1.5627064620452034	1.0	31.34
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS	1	0.23342193192916197	-1.5635079739500126	1.0	46.59
GOBP_MAINTENANCE_OF_CELL_NUMBER	1	0.2333190155832639	-1.5633925769620747	1.0	23.86
GOBP_SMAD_PROTEIN_COMPLEX_ASSEMBLY	1	0.23311373901938204	-1.5633369083375277	1.0	33.89
GOBP_POSITIVE_REGULATION_OF_LIPID_STORAGE	1	0.23287654107526246	-1.564237818521987	1.0	58.76
GOBP_HEART_FORMATION	1	0.2325906447985519	-1.5647669426999384	1.0	41.15
GOBP_TROPHECTODERMAL_CELL_DIFFERENTIATION	1	0.2310677096273593	-1.5667732916348078	1.0	59.59
