pathway	freq	padj	stability	overlap
GOBP_MRNA_METABOLIC_PROCESS	10	1.6585039432248303e-28	0.5555555555555556	0.18890625
GOBP_CHROMOSOME_ORGANIZATION	10	1.1860552015925457e-25	0.5555555555555556	0.16834862385321103
GOBP_MRNA_PROCESSING	10	1.0115872196176728e-22	0.5555555555555556	0.20944700460829496
GOBP_RNA_SPLICING	10	2.945496935326436e-20	0.5555555555555556	0.2073107049608355
GOBP_CHROMATIN_ORGANIZATION	10	6.781420647194453e-19	0.5555555555555556	0.1834394904458599
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	10	6.8945283107644335e-18	0.5555555555555556	0.11855855855855857
GOBP_RNA_PROCESSING	10	3.3196120550354713e-16	0.5555555555555556	0.12790917691579945
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	10	9.235325592602064e-16	0.5555555555555556	0.11868787276341948
GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	10	5.089756311147468e-15	0.5555555555555556	0.21058823529411766
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	10	1.3615169182264239e-14	0.5555555555555556	0.2113879003558719
GOBP_HISTONE_MODIFICATION	10	1.8425885417461846e-14	0.5555555555555556	0.17139689578713968
GOBP_DNA_METABOLIC_PROCESS	10	1.091644397777415e-12	0.5555555555555556	0.14180024660912455
GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	10	1.4008775230999372e-12	0.5555555555555556	0.10683559222156747
GOBP_REGULATION_OF_MRNA_PROCESSING	10	1.8454763701172997e-12	0.5555555555555556	0.2690476190476191
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	10	3.960373359662652e-12	0.5555555555555556	0.11072555205047319
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	10	3.505458318926961e-11	0.5555555555555556	0.10587392550143264
GOBP_CELL_CYCLE	10	7.369824123860528e-11	0.5555555555555556	0.12925566343042072
GOBP_REGULATION_OF_RNA_SPLICING	10	7.470386623218893e-11	0.5555555555555556	0.2347826086956522
GOBP_ADAPTIVE_IMMUNE_RESPONSE	7	1.083946038667654e-10	0.3888888888888889	0.1394120349104272
GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	10	1.827570536265269e-10	0.5555555555555556	0.20248756218905473
GOBP_CELLULAR_MACROMOLECULE_LOCALIZATION	10	2.3544152803109824e-10	0.5555555555555556	0.11937172774869109
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	10	7.731002590241352e-10	0.5555555555555556	0.14223107569721116
GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	10	9.614202693234977e-10	0.5555555555555556	0.2802197802197802
GOBP_DNA_CONFORMATION_CHANGE	10	1.3439314407864392e-09	0.5555555555555556	0.18266129032258066
GOBP_INTRACELLULAR_TRANSPORT	10	1.6427881133409454e-09	0.5555555555555556	0.11916252661462028
GOBP_IMMUNOGLOBULIN_PRODUCTION	7	3.1968360717744806e-09	0.3888888888888889	0.23930384336475705
GOBP_RNA_LOCALIZATION	10	3.2216181545254614e-09	0.5555555555555556	0.1938888888888889
GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	7	3.3688112852008278e-09	0.3888888888888889	0.28704939919893185
GOBP_PHAGOCYTOSIS_RECOGNITION	7	5.265437011390772e-09	0.3888888888888889	0.3306581059390048
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE	10	5.926477157328979e-09	0.5555555555555556	0.1414481897627965
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	10	1.297162805555154e-08	0.5555555555555556	0.11702544031311155
GOBP_DNA_REPAIR	10	1.323658182434137e-08	0.5555555555555556	0.16818181818181818
GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION	10	1.644119362191544e-08	0.5555555555555556	0.21164383561643835
GOBP_COMPLEMENT_ACTIVATION	7	1.799651863841655e-08	0.3888888888888889	0.26898326898326896
GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION	10	2.9170380183780773e-08	0.5555555555555556	0.1290353390639924
GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION	10	3.035429243630294e-08	0.5555555555555556	0.10197547683923706
GOBP_REGULATION_OF_DNA_METABOLIC_PROCESS	10	4.125620973570792e-08	0.5555555555555556	0.14558011049723757
GOBP_CELLULAR_RESPONSE_TO_STRESS	10	5.5065397744893944e-08	0.5555555555555556	0.10609828300769686
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	10	6.628755483183379e-08	0.5555555555555556	0.12468407750631845
GOBP_SPINDLE_ASSEMBLY	8	7.032606983618476e-08	0.4444444444444444	0.20934959349593496
GOBP_MRNA_TRANSPORT	10	8.948194116909302e-08	0.5555555555555556	0.2217391304347826
GOBP_NUCLEAR_TRANSPORT	10	9.145775134519215e-08	0.5555555555555556	0.17197231833910034
GOBP_NITROGEN_COMPOUND_TRANSPORT	10	1.0358719632304268e-07	0.5555555555555556	0.09675398633257402
GOBP_MEMBRANE_INVAGINATION	7	1.2469682188583437e-07	0.3888888888888889	0.2366412213740458
GOBP_NUCLEAR_EXPORT	10	1.356931989125908e-07	0.5555555555555556	0.1917808219178082
GOBP_CHROMATIN_REMODELING	10	1.694633121074418e-07	0.5555555555555556	0.17696629213483145
GOBP_CELL_CYCLE_PROCESS	10	2.1569176293669894e-07	0.5555555555555556	0.13774131274131274
GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS	8	2.6672249633530503e-07	0.4444444444444444	0.17816742081447962
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	10	2.694617992737744e-07	0.5555555555555556	0.291044776119403
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	10	2.7914272492872714e-07	0.5555555555555556	0.1033977348434377
GOBP_TELOMERE_MAINTENANCE	10	2.987421170051125e-07	0.5555555555555556	0.20157480314960635
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	7	2.9951509188457345e-07	0.3888888888888889	0.2472989195678271
GOBP_REGULATION_OF_CELL_CYCLE	10	3.2239815019841767e-07	0.5555555555555556	0.12873806998939555
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	10	3.447250603709698e-07	0.5555555555555556	0.16769230769230767
GOBP_TELOMERE_ORGANIZATION	10	5.166908820777787e-07	0.5555555555555556	0.19618320610687026
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	10	5.653472775550336e-07	0.5555555555555556	0.09599109131403118
GOBP_RNA_EXPORT_FROM_NUCLEUS	10	6.840165299568955e-07	0.5555555555555556	0.2473684210526316
GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	7	7.153181141437492e-07	0.3888888888888889	0.1762589928057554
GOBP_HISTONE_METHYLATION	10	1.1936811907540241e-06	0.5555555555555556	0.2035714285714286
GOBP_REGULATION_OF_CATABOLIC_PROCESS	10	1.3101062908148335e-06	0.5555555555555556	0.11963882618510158
GOBP_POSITIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS	10	1.6873767333614653e-06	0.5555555555555556	0.21545454545454548
GOBP_CYTOSKELETON_ORGANIZATION	10	1.9001654282659071e-06	0.5555555555555556	0.12392156862745099
GOBP_REGULATION_OF_CELL_CYCLE_PROCESS	10	1.9242256737541977e-06	0.5555555555555556	0.14114671163575043
GOBP_PEPTIDYL_LYSINE_MODIFICATION	10	2.5245558076800648e-06	0.5555555555555556	0.14189944134078214
GOBP_PROTEIN_METHYLATION	10	3.1284678864722242e-06	0.5555555555555556	0.18588235294117647
GOBP_RNA_DESTABILIZATION	10	3.2912946899634753e-06	0.5555555555555556	0.2270588235294118
GOBP_PEPTIDYL_SERINE_MODIFICATION	8	3.313330696447347e-06	0.4444444444444444	0.13624567474048443
GOBP_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	10	3.3555288610711066e-06	0.5555555555555556	0.121996879875195
GOBP_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION	7	3.4830846470888864e-06	0.3888888888888889	0.217989417989418
GOBP_DOUBLE_STRAND_BREAK_REPAIR	10	3.4902303122553354e-06	0.5555555555555556	0.16693877551020408
GOBP_REGULATION_OF_HISTONE_METHYLATION	10	4.081186871632249e-06	0.5555555555555556	0.2541666666666667
GOBP_INTRACELLULAR_PROTEIN_TRANSPORT	10	4.11623765356135e-06	0.5555555555555556	0.10966122961104141
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	10	4.467430202971915e-06	0.5555555555555556	0.11987012987012986
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	10	4.506570708858435e-06	0.5555555555555556	0.13127109111361082
