pathway	freq	padj	NES	stability	overlap
GOBP_CELLULAR_RESPONSE_TO_STARVATION	1	0.2489662712403684	1.5491947193011302	1.0	55.53
GOBP_POSITIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE	1	0.24815978908786646	1.550829663540846	1.0	61.72
GOBP_POSITIVE_REGULATION_OF_PROTEIN_NEDDYLATION	1	0.24815318018108337	1.5505024498161668	1.0	43.8
GOBP_RESCUE_OF_STALLED_RIBOSOME	1	0.24804207001756726	1.5502955045995839	1.0	38.44
GOBP_CYTOPLASMIC_MICROTUBULE_ORGANIZATION	1	0.24756653777683998	1.5517371919521212	1.0	45.03
GOBP_MULTICELLULAR_ORGANISM_REPRODUCTION	1	0.24630570933040102	1.5531444225114988	1.0	35.63
GOBP_ORGANELLE_MEMBRANE_FUSION	1	0.24594417237699306	1.5544187618976288	1.0	38.79
GOBP_GOLGI_RIBBON_FORMATION	1	0.24590436048588318	1.5551446437529661	1.0	56.8
GOBP_POSITIVE_REGULATION_OF_PROTEIN_POLYUBIQUITINATION	1	0.24585243197525591	1.5561142406429302	1.0	39.47
GOBP_TRNA_THREONYLCARBAMOYLADENOSINE_METABOLIC_PROCESS	1	0.24583783754903932	1.5541842849874947	1.0	29.72
GOBP_GANGLIOSIDE_METABOLIC_PROCESS	1	0.2457751099465603	1.5549142359441512	1.0	23.64
GOBP_HISTAMINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE	1	0.24574919869892267	1.5565388990307079	1.0	29.62
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEOPLASM	1	0.24568980664282344	1.5559320192357382	1.0	33.37
GOBP_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY	1	0.24565535629947122	1.5540348228162038	1.0	44.51
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_TELOMERE	1	0.24563246344260156	1.5556779329897212	1.0	36.68
GOBP_PRO_B_CELL_DIFFERENTIATION	1	0.2448822829509784	1.557604594121349	1.0	42.32
GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING	1	0.2420794894462271	1.5607830983334992	1.0	44.76
GOBP_MICROTUBULE_ANCHORING_AT_MICROTUBULE_ORGANIZING_CENTER	1	0.24207161439088265	1.5604859263029773	1.0	40.86
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	1	0.24169569800520027	1.5614462518697805	1.0	32.31
GOBP_COHESIN_LOADING	1	0.2413016133630531	1.5630305460809732	1.0	48.41
GOBP_NEGATIVE_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE	1	0.24094240503221642	1.5630281166759268	1.0	39.47
GOBP_RESPONSE_TO_CELL_CYCLE_CHECKPOINT_SIGNALING	1	0.24090163359784567	1.5627417414381253	1.0	24.25
GOBP_RAS_PROTEIN_SIGNAL_TRANSDUCTION	1	0.2408290397930436	1.5625083699078692	1.0	45.53
GOBP_MEMBRANE_LIPID_BIOSYNTHETIC_PROCESS	1	0.24044107100502723	1.5645025947174376	1.0	47.08
GOBP_ESTABLISHMENT_OF_PIGMENT_GRANULE_LOCALIZATION	1	0.24037130403341103	1.5642279429757262	1.0	29.37
GOBP_NEGATIVE_REGULATION_OF_B_CELL_DIFFERENTIATION	1	0.2403699601474239	1.5658621052785935	1.0	48.36
GOBP_ALKANESULFONATE_METABOLIC_PROCESS	1	0.24035632837218554	1.5649178874578678	1.0	32.32
GOBP_POSITIVE_REGULATION_OF_CHROMATIN_BINDING	1	0.24030361175659695	1.565268572235187	1.0	44.61
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	1	0.24004252479732144	1.5658251826672316	1.0	32.02
GOBP_HISTONE_H3_K9_ACETYLATION	1	0.23846982719397003	1.5682009702309145	1.0	39.1
GOBP_POSITIVE_REGULATION_OF_STORE_OPERATED_CALCIUM_CHANNEL_ACTIVITY	1	0.23836609580391926	1.5679774378162636	1.0	43.29
GOBP_REPLICATION_FORK_PROTECTION	1	0.23834097591823591	1.5686828026526523	1.0	30.55
GOBP_ER_NUCLEUS_SIGNALING_PATHWAY	1	0.23800063090036028	1.5693159872295426	1.0	57.07
GOBP_LIPID_DROPLET_ORGANIZATION	1	0.23783282249344717	1.5698126293530865	1.0	68.15
GOBP_NEGATIVE_REGULATION_OF_NUCLEASE_ACTIVITY	1	0.23688563315225197	1.5713718996597066	1.0	36.73
GOBP_CELLULAR_PIGMENTATION	1	0.23679529471666433	1.571126250238339	1.0	33.86
GOBP_PYRIMIDINE_DIMER_REPAIR	1	0.23566647336349686	1.572857377315313	1.0	29.19
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	1	0.23524718550882234	1.5735892926545283	1.0	35.73
GOBP_TRANSCRIPTION_DEPENDENT_TETHERING_OF_RNA_POLYMERASE_II_GENE_DNA_AT_NUCLEAR_PERIPHERY	1	0.23516853887666794	1.5739443377505062	1.0	48.7
GOBP_REGULATION_OF_PEPTIDYL_LYSINE_ACETYLATION	1	0.23322016239661036	1.576765123750236	1.0	41.56
GOBP_EXONUCLEOLYTIC_CATABOLISM_OF_DEADENYLATED_MRNA	1	0.2331465167006362	1.5765320954201345	1.0	32.95
GOBP_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING	1	0.232878160212618	1.5764448551055812	1.0	48.39
GOBP_REGULATION_OF_HISTONE_H3_K36_METHYLATION	1	0.23170619351944746	1.578817884296681	1.0	49.12
GOBP_POSITIVE_REGULATION_OF_RIG_I_SIGNALING_PATHWAY	1	0.23161878425894591	1.5786004835371357	1.0	41.54
GOBP_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	1	0.23104921786625182	1.5797406256586928	1.0	71.36
GOBP_PROGRAMMED_CELL_DEATH_INVOLVED_IN_CELL_DEVELOPMENT	1	0.23008197630778224	1.5813081656672368	1.0	61.02
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION	1	0.22990628347309855	1.581128538826416	1.0	55.14
GOBP_INTRACILIARY_RETROGRADE_TRANSPORT	1	0.22942739351872654	1.582243633990645	1.0	46.29
GOBP_EOSINOPHIL_MEDIATED_IMMUNITY	1	0.22940034406252227	1.5828992750631679	1.0	42.79
GOBP_AXONEME_ASSEMBLY	1	0.22934376728513203	1.5826283781000832	1.0	33.72
GOBP_POSITIVE_REGULATION_OF_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	1	0.22884344399101647	1.5837628788505687	1.0	43.86
GOBP_PYRIMIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	0.22745154391880745	1.585821209645818	1.0	25.43
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	1	0.22723940878161766	1.5856869232455413	1.0	32.95
GOBP_DORSAL_VENTRAL_NEURAL_TUBE_PATTERNING	1	0.22705452477073954	1.5865361846697508	1.0	45.9
GOBP_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	1	0.2259429973669643	1.5879148595865566	1.0	63.55
GOBP_TOR_SIGNALING	1	0.22523579082596074	1.5889264693196876	1.0	57.68
GOBP_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	1	0.22469136062247583	1.5897840225383733	1.0	57.47
GOBP_REGULATION_OF_MICROTUBULE_BASED_MOVEMENT	1	0.22366244494480544	1.5914490991160994	1.0	46.02
GOBP_POSITIVE_REGULATION_OF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	1	0.22357215822977497	1.59115542340706	1.0	51.98
GOBP_REGULATION_OF_SECONDARY_METABOLIC_PROCESS	1	0.22320668965306173	1.5922292885412235	1.0	40.83
GOBP_MRNA_TRANSCRIPTION	1	0.2217381175256992	1.5940149041035414	1.0	43.88
GOBP_STRAND_INVASION	1	0.22124598903471257	1.5955072804114574	1.0	13.95
GOBP_ERBB_SIGNALING_PATHWAY	1	0.22114382038759348	1.595275348660184	1.0	39.32
GOBP_MITOTIC_G2_M_TRANSITION_CHECKPOINT	1	0.22100789357238348	1.5950507082433378	1.0	67.96
GOBP_MITOTIC_NUCLEAR_DIVISION	1	0.21943197094970912	1.5976742988954213	1.0	50.57
GOBP_CYTOPLASM_ORGANIZATION	1	0.219096759021711	1.598323061109667	1.0	39.27
GOBP_MEMBRANE_FUSION	1	0.21783944548632053	1.6002580031672746	1.0	31.68
GOBP_RNA_SURVEILLANCE	1	0.21765963723809295	1.6000816649918121	1.0	32.95
GOBP_HISTONE_DEPHOSPHORYLATION	1	0.2168272103408667	1.601584555763777	1.0	21.28
GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY	1	0.21626880994941655	1.602465859237443	1.0	47.44
GOBP_PROTEIN_RETENTION_IN_GOLGI_APPARATUS	1	0.21542090669257694	1.6042404229264473	1.0	41.0
GOBP_PREASSEMBLY_OF_GPI_ANCHOR_IN_ER_MEMBRANE	1	0.21518297982846943	1.6037910485274443	1.0	40.9
GOBP_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING	1	0.2151645899868869	1.6041408681873424	1.0	47.41
GOBP_RESPONSE_TO_VIRUS	1	0.21465226293154124	1.6053644490404928	1.0	42.93
GOBP_REELIN_MEDIATED_SIGNALING_PATHWAY	1	0.21340726942601818	1.6072668770470004	1.0	53.85
GOBP_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS	1	0.21328245715594063	1.607051416096358	1.0	47.44
GOBP_POSITIVE_REGULATION_OF_NUCLEAR_CELL_CYCLE_DNA_REPLICATION	1	0.2123927184493444	1.6085925170983935	1.0	30.36
GOBP_MITOTIC_SPINDLE_ORGANIZATION	1	0.21199462746165415	1.6096298294140003	1.0	52.7
GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR	1	0.21182114806333519	1.6094528459006723	1.0	40.38
GOBP_REGULATION_OF_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE	1	0.21093626395307705	1.6109877355511324	1.0	57.47
GOBP_NEGATIVE_REGULATION_OF_RIBOSOME_BIOGENESIS	1	0.21047317499501964	1.613179505774626	1.0	42.88
GOBP_ESTABLISHMENT_OF_MITOTIC_SPINDLE_LOCALIZATION	1	0.21038102748411172	1.6129255938898486	1.0	59.36
GOBP_HISTONE_H2A_MONOUBIQUITINATION	1	0.21026661436505517	1.6127062622863468	1.0	20.41
GOBP_REGULATION_OF_INSULIN_RECEPTOR_SIGNALING_PATHWAY	1	0.21021876756983746	1.6123993138059303	1.0	51.29
GOBP_NEGATIVE_REGULATION_OF_RNA_SPLICING	1	0.2101526508652436	1.6144633595703495	1.0	18.42
GOBP_NEURAL_TUBE_FORMATION	1	0.21007335640537292	1.6141881325715162	1.0	52.04
GOBP_GOLGI_TO_ENDOSOME_TRANSPORT	1	0.21007087673768177	1.613888457516176	1.0	39.6
GOBP_CELLULAR_RESPONSE_TO_INSULIN_LIKE_GROWTH_FACTOR_STIMULUS	1	0.2100346993007446	1.6122554018717843	1.0	46.2
GOBP_METAPHASE_PLATE_CONGRESSION	1	0.20807234334865546	1.6169513460573794	1.0	52.7
GOBP_POSITIVE_REGULATION_OF_HISTONE_H3_K9_METHYLATION	1	0.20481630122167066	1.6205792163734554	1.0	40.65
GOBP_NEGATIVE_REGULATION_OF_HISTONE_H3_K9_METHYLATION	1	0.20280874018144981	1.6230274895937602	1.0	44.61
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	1	0.20061117386391042	1.62566934129706	1.0	50.04
GOBP_POSTSYNAPTIC_MODULATION_OF_CHEMICAL_SYNAPTIC_TRANSMISSION	1	0.19996230905666576	1.6269322536708066	1.0	50.4
GOBP_NEGATIVE_REGULATION_OF_JNK_CASCADE	1	0.1997616237472822	1.6268125196447216	1.0	35.54
GOBP_AMINO_ACID_BETAINE_TRANSPORT	1	0.19775173015767447	1.6295928960518287	1.0	46.83
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	1	0.19773635624547392	1.6300007319586864	1.0	51.93
GOBP_PIGMENT_BIOSYNTHETIC_PROCESS	1	0.19740181373087515	1.6307413563563915	1.0	37.13
GOBP_TELOMERE_MAINTENANCE_VIA_RECOMBINATION	1	0.19690414116560284	1.631626653368821	1.0	31.15
GOBP_VIRAL_PROCESS	1	0.196694696568149	1.6325319603920132	1.0	42.07
