pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_HYDROGEN_SULFIDE_BIOSYNTHETIC_PROCESS	1	0.24999834753810782	-1.54509418649353	1.0	49.79	['CTH', 'MIR21', 'CBS', 'SP1', 'CBSL', 'MPST']
GOBP_LEUKOCYTE_CELL_CELL_ADHESION	1	0.24967449437858727	1.7362821065496892	1.0	25.05	['CCR7', 'ICOS', 'FOXP3', 'CRTAM', 'EZR', 'CORO1A', 'IL7R', 'SDC4', 'SLC7A1', 'HFE', 'CD5', 'PODXL2', 'HLA-DOA', 'CD276', 'ERBB2', 'XBP1', 'CD44', 'HLA-DQB2', 'TNFRSF21', 'RARA', 'TNFRSF14', 'IL1RL2', 'LGALS7B', 'SRC', 'MDK', 'RASAL3', 'VTCN1', 'GCNT1', 'SOX13', 'NCK2', 'ZBTB7B', 'LGALS9B', 'KLRK1', 'HES1', 'PRNP', 'SIRPG', 'EFNB3', 'CTLA4', 'RHOH', 'FLOT2', 'ZMIZ1', 'SKAP1', 'GATA3', 'IGFBP2', 'SOX12', 'CD6', 'FADD', 'XCL1', 'CD24', 'SYK', 'ZP3', 'TMIGD2', 'PYCARD', 'CCDC88B', 'ITGB7', 'CSK', 'LAX1', 'IL23A', 'LAG3', 'BMP7', 'RAC2', 'GLI2', 'CD27', 'SLAMF1', 'PDE5A', 'IL7', 'MIA3', 'CHST4', 'CD3E', 'ZAP70', 'CCL5', 'ADTRP', 'TIGIT', 'LCK', 'LGALS9', 'IL27RA', 'HLA-A', 'PRKCZ', 'IL18', 'RPS3', 'CD300A', 'F11R', 'MYB', 'ADAM8', 'FUT9', 'LYN', 'SLC39A8', 'IL4I1', 'HLA-DQA1', 'HLA-DPB1', 'CCL28', 'ADORA2A', 'GLI3', 'RUNX3', 'EPO', 'CEACAM1', 'IL12A', 'CARD11', 'CD55', 'FCHO1', 'VCAM1', 'EFNB2', 'RIPK2', 'CERCAM', 'ICOSLG', 'RELA', 'RASGRP1', 'JAK3', 'ITGAL', 'HLA-DOB']
GOBP_CELLULAR_RESPONSE_TO_TESTOSTERONE_STIMULUS	1	0.24930845084921172	-1.5459322272988827	1.0	16.3	['MSN', 'SIRT1', 'RWDD1', 'ROCK2', 'SRD5A1', 'NCOA4']
GOBP_REGULATION_OF_CELLULAR_COMPONENT_SIZE	1	0.24917740741282657	-1.5462956087499262	1.0	28.36	['CLN8', 'VEGFA', 'BMPR2', 'ARPC1A', 'RDX', 'GSK3B', 'RICTOR', 'VAV1', 'PLEK', 'ARHGAP18', 'DMTN', 'SLC12A2', 'PRR16', 'DIP2B', 'EIF4G2', 'TSC1', 'PIK3CA', 'TTL', 'SPTBN1', 'ABL1', 'DNM2', 'GOLGA4', 'NCKAP1', 'RB1CC1', 'SEMA3A', 'FCHSD2', 'PTEN', 'FLII', 'RUFY3', 'SNX9', 'NCKAP1L', 'SLC12A6', 'SPTAN1', 'CXCL12', 'COTL1', 'NRCAM', 'TMOD3', 'RHOA', 'PAFAH1B1', 'SLC12A4', 'ARPC5', 'PRKCD', 'SEMA6C', 'LIMA1', 'LATS1', 'KDM1A', 'NRP1', 'PLXNA4', 'SEMA3B', 'HCLS1', 'RET', 'ANO6', 'OLFM1', 'CDKL3', 'FGF13', 'PICALM', 'TMOD4', 'ATP7A', 'CAPZA1', 'SEMA4D', 'NCK1', 'RAB21', 'FER', 'KANK4', 'CYFIP1', 'TWF2', 'ELN', 'MSN', 'VIL1', 'ALS2', 'PTPRS', 'CREB1', 'SSH1', 'CCL24', 'MKKS', 'SVIL', 'SSH2', 'BRK1', 'MIR214', 'CAPZA2', 'SPTB', 'ACTN2', 'PLEKHH2', 'MEGF8', 'WDTC1', 'MACF1', 'DLG1', 'CFL2', 'DBNL', 'ADNP', 'RYK', 'FN1', 'DAAM2', 'EPS8', 'MTOR', 'SLIT2', 'ADD1', 'TMOD1', 'TRPV2', 'ARPC2', 'KANK1', 'WNT5A', 'CDKL5', 'ULK2', 'KCNMA1', 'RTN4', 'SWAP70', 'CLCN6', 'SEMA6B', 'ARHGAP28']
GOBP_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY	1	0.24910528693477385	1.7360437047134138	1.0	32.54	['SEMA4F', 'EDN1', 'SEMA3F', 'PLXNB3', 'PLXNA3', 'SEMA4B', 'SEMA6A', 'ECE1', 'PLXNC1', 'EDNRA', 'SEMA5A', 'FLNA', 'RAC1', 'SEMA4A', 'SEMA3C', 'SEMA3D', 'SEMA4C', 'SEMA4G', 'SH3BP1', 'PLXNA1', 'PLXNB2', 'SEMA7A', 'MET']
GOBP_EPIGENETIC_MAINTENANCE_OF_CHROMATIN_IN_TRANSCRIPTION_COMPETENT_CONFORMATION	1	0.2489034664623243	-1.5469864001024638	1.0	44.05	['SMARCD1', 'PHF2', 'ARID1B', 'ARID1A', 'EP300', 'FAM47E', 'KAT2B', 'WBP2', 'SPHK2']
GOBP_REGULATION_OF_CONNECTIVE_TISSUE_REPLACEMENT	1	0.24885910603008868	-1.5467946961991632	1.0	15.3	['ROCK1', 'PPARG', 'ROCK2', 'MIR214']
GOBP_OSTEOCLAST_DIFFERENTIATION	1	0.24844457154410193	-1.5476365763385345	1.0	17.69	['GPC3', 'FBXW7', 'GAB2', 'TLR3', 'OSTM1', 'CTNNB1', 'RASSF2', 'SNX10', 'CCL3', 'ANXA2', 'MTOR', 'IREB2', 'PAFAH1B1', 'TLR4', 'CREB1', 'TNFAIP6', 'MAPK14', 'TFE3', 'PPARGC1B', 'KLF10', 'PIK3R1', 'FBN1', 'DCSTAMP', 'NOTCH2', 'CSF1R', 'NF1', 'MITF']
GOBP_POSITIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION	1	0.24742440649705724	-1.5492279388919485	1.0	13.2	['CFL2', 'WASF3', 'FERMT2', 'TEK', 'SNX9', 'LIMCH1', 'ROCK2', 'SLAIN2', 'NCK1', 'SYNPO', 'GPR65', 'LPAR1', 'FER', 'WHAMM', 'ABI2', 'MTOR', 'RICTOR', 'RHOA', 'KATNBL1', 'PLEK', 'TPM1', 'SPAST', 'CCL24', 'NTRK3', 'CLASP1', 'ARPC2', 'DRG1', 'RAPGEF3', 'NRP1', 'DYNC1H1', 'HCLS1', 'BRK1', 'CEP295', 'ITGB1BP1', 'FHOD1', 'CLIP1', 'NCKAP1', 'SYNPO2', 'NIN', 'ARHGEF15', 'FCHSD2', 'DLG1']
GOBP_REGULATION_OF_PROTEIN_BINDING	1	0.24720716572856574	-1.5491773730165104	1.0	20.65	['PPP2CA', 'LRP1', 'DTNBP1', 'CFHR1', 'CAPRIN2', 'CTHRC1', 'SPON1', 'LOX', 'STYX', 'STK4', 'PPP2CB', 'CRK', 'PLCL1', 'GSK3B', 'ATP2A2', 'FKBP1A', 'ANXA2', 'TTC36', 'BLK', 'USP33', 'TAF1', 'HDAC4', 'GNL3L', 'PARK7', 'PRKCD', 'IDE', 'ROCK1', 'ANGPT1', 'ADD1', 'RAPGEF2', 'BTBD1', 'IL10', 'SNAPIN', 'BAG2', 'KDM1A', 'NRP1', 'TFIP11', 'TTBK2', 'RALB', 'MAPRE3', 'BMP2', 'ITGB1BP1', 'PLCL2', 'DAB2', 'AKTIP', 'MAPK8', 'MFNG', 'PRKACA', 'SPAG8', 'LRRK2', 'CAMK1', 'PKD1', 'UBASH3B', 'PPARA']
