pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_ONE_CARBON_POOL_BY_FOLATE	1	0.24983028110396316	-1.3041014298471945	1.0	16.61	['GART', 'MTHFR', 'AMT', 'MTFMT', 'MTHFD1', 'SHMT1', 'MTR']
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	1	0.23060165771517913	-1.3283725024069615	1.0	31.24	['PDHA1', 'LARS2', 'IARS2', 'PDHB', 'BCAT1']
KEGG_OTHER_GLYCAN_DEGRADATION	1	0.2230959807902987	-1.341098537140212	1.0	31.28	['MAN2C1', 'GLB1', 'HEXA', 'NEU3', 'ENGASE', 'MAN2B2', 'FUCA1', 'AGA', 'HEXB']
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1	0.22175460008979306	1.433368838712203	1.0	19.74	['LIMK2', 'VAV3', 'SPHK1', 'PTPRC', 'LYN', 'VASP', 'PLD2', 'PIK3R2', 'LAT', 'LIMK1', 'PIK3CD', 'ARF6', 'PLD1', 'WASF1', 'PAK1', 'RAC1', 'PLA2G4B', 'SYK', 'PLPP2', 'PIK3R3', 'PRKCB', 'MARCKS', 'PIP5K1B', 'INPP5D', 'PLCG2', 'ASAP3', 'RPS6KB1', 'VAV2', 'PRKCE', 'PIP5K1A']
KEGG_MAPK_SIGNALING_PATHWAY	1	0.20861573930770955	-1.3616451366816118	1.0	21.11	['MAP3K4', 'MAPK9', 'SOS2', 'HSPA8', 'RPS6KA5', 'RAP1A', 'MECOM', 'PPP5C', 'CACNA1D', 'TGFB3', 'MAP3K2', 'ELK4', 'STK4', 'MAP3K12', 'CRK', 'RAF1', 'TAB2', 'MAP4K4', 'NFKB1', 'MAPK10', 'CRKL', 'PPP3CB', 'SOS1', 'RASA2', 'RASA1', 'MAP2K1', 'PAK2', 'MKNK1', 'RAP1B', 'CHP1', 'CACNA2D3', 'TAOK1', 'RAPGEF2', 'AKT2', 'IL1B', 'MAP3K7', 'PPP3CC', 'DUSP3', 'GNA12', 'BRAF', 'MAP2K5', 'RASGRP3', 'MAP3K20', 'PPM1B', 'RRAS2', 'KRAS', 'MAPK1', 'MAPK14', 'RPS6KA3', 'RPS6KA2', 'PPM1A', 'PPP3R1', 'MEF2C', 'MAP4K3', 'MAPK8', 'CHUK', 'PRKACA', 'MAP2K6', 'TRAF6', 'TAOK3', 'ATF2', 'CACNA2D1', 'MAP3K14', 'RASGRF2', 'AKT3', 'NF1']
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	1	0.2056443467638488	1.465051527366697	1.0	69.63	['UCK2', 'CES2', 'TK1', 'UMPS', 'GMPS', 'GUSB', 'HPRT1', 'ITPA', 'UPP1', 'IMPDH1', 'UCKL1', 'CES1', 'TYMP', 'UGT1A8', 'UGT2B15', 'UGT2B7', 'UGT2B17', 'CYP2A6', 'TPMT', 'DPYD', 'CDA', 'UCK1', 'CYP2A7', 'UGT2B28', 'UGT1A9', 'UGT1A10', 'UGT1A4', 'IMPDH2', 'NAT1', 'NAT2']
KEGG_CARDIAC_MUSCLE_CONTRACTION	1	0.20376150806977036	1.4607169346712472	1.0	70.79	['ATP1A2', 'COX6A1', 'COX4I1', 'MT-CO3', 'CACNB3', 'COX6A2', 'UQCRQ', 'SLC9A1', 'COX7B', 'CACNG4', 'COX5A', 'TNNI3', 'UQCRC1', 'ATP1B2', 'TPM4', 'CACNA2D4', 'MT-CYB', 'CACNG1', 'ATP1B3', 'COX7A1', 'UQCRFS1', 'MT-CO2', 'UQCR11', 'UQCRH', 'TPM2', 'UQCRB', 'CACNG6', 'TNNC1', 'COX7C', 'COX4I2', 'CACNA2D2', 'ATP1A3', 'CACNA1F', 'CACNA1C', 'COX5B', 'MT-CO1', 'ATP1A4', 'COX8A', 'MYL3', 'COX6B1', 'CYC1', 'COX7A2', 'UQCRHL', 'ATP1B1', 'CACNB1', 'UQCR10', 'COX6B2', 'TPM3', 'SLC9A6', 'COX7A2L', 'COX6C', 'CACNB2']
KEGG_LEISHMANIA_INFECTION	1	0.18944756099833365	-1.3891943973472325	1.0	66.02	['HLA-DPA1', 'TLR2', 'FCGR3A', 'CYBA', 'C3', 'MAPK12', 'HLA-DQA2', 'ITGA4', 'TGFB3', 'HLA-DMB', 'HLA-DRB1', 'IRAK4', 'ITGB2', 'ITGAM', 'TAB2', 'IFNGR1', 'NFKB1', 'FCGR3B', 'NFKBIA', 'MAPK11', 'TNF', 'HLA-DQB1', 'JAK1', 'JAK2', 'HLA-DPB1', 'TLR4', 'MAPK3', 'NCF1', 'MARCKSL1', 'IL12A', 'PTGS2', 'IL10', 'IL1B', 'HLA-DRA', 'MAP3K7', 'IFNG', 'JUN', 'NCF4', 'HLA-DRB5', 'ITGB1', 'HLA-DMA', 'NCF2', 'CR1', 'NFKBIB', 'MAPK1', 'MAPK14', 'FCGR2C', 'FCGR1A', 'FCGR2A', 'FOS', 'TRAF6', 'ELK1', 'IFNGR2']
KEGG_FOCAL_ADHESION	1	0.17898542536734707	-1.4073950783176004	1.0	21.04	['CTNNB1', 'MAPK9', 'SOS2', 'PPP1CC', 'VCL', 'ROCK2', 'RAP1A', 'ITGA4', 'TLN1', 'SHC3', 'FN1', 'PPP1R12A', 'LAMA2', 'DIAPH1', 'CRK', 'RAF1', 'GSK3B', 'PPP1CB', 'PIK3CB', 'MAPK10', 'CRKL', 'PARVA', 'SOS1', 'ITGAV', 'XIAP', 'MAP2K1', 'PDGFC', 'PAK2', 'VAV1', 'COL1A2', 'ROCK1', 'LAMB2', 'ITGB8', 'RAP1B', 'RAPGEF1', 'LAMC1', 'ITGA8', 'AKT2', 'TLN2', 'ITGA10', 'FYN', 'BRAF', 'ITGB1', 'ITGA1', 'HGF', 'MAPK1', 'PIK3CA', 'PIK3CG', 'ARHGAP5', 'PIK3R1', 'BIRC2', 'CAPN2', 'MAPK8', 'LAMA4', 'AKT3', 'PTEN']
KEGG_O_GLYCAN_BIOSYNTHESIS	1	0.17028509603405878	1.5230036834216198	1.0	16.66	['GALNT6', 'GALNT10', 'GCNT1', 'GALNT11', 'GALNT3', 'B4GALT5', 'GALNT7', 'GCNT4', 'GALNT5', 'GALNT4']
