pathway	freq	padj	stability	overlap	genes
GOBP_TRICARBOXYLIC_ACID_CYCLE	1	2.398158735250872e-10	1.0	0.5517241379310345	['SDHB', 'OGDH', 'SUCLG2', 'PDHA1', 'MDH1', 'DLAT', 'DLST', 'MRPS36', 'SUCLG1', 'SDHD', 'CS', 'ACO1', 'FH', 'SDHA', 'SUCLA2', 'NNT']
GOBP_CELLULAR_RESPIRATION	1	6.545598427096295e-10	1.0	0.19402985074626866	['OGDH', 'SUCLG2', 'ISCU', 'ETFDH', 'DLST', 'MRPS36', 'SUCLG1', 'SLC25A33', 'NDUFA9', 'CAT', 'PINK1', 'NDUFAB1', 'NDUFS4', 'PDHA1', 'NDUFA12', 'ETFA', 'NDUFAF1', 'UQCRFS1', 'CISD1', 'SDHB', 'DLD', 'NDUFS1', 'MDH1', 'GHITM', 'NDUFB5', 'UQCRFS1P1', 'UQCRC2', 'COQ10A', 'CS', 'FH', 'SUCLA2', 'NNT', 'DLAT', 'SLC25A51', 'IFNLR1', 'SDHD', 'ACO1', 'SDHA', 'OXA1L']
GOBP_AEROBIC_RESPIRATION	1	1.400631571859031e-09	1.0	0.20987654320987653	['OGDH', 'SUCLG2', 'ISCU', 'DLST', 'MRPS36', 'SUCLG1', 'SLC25A33', 'NDUFA9', 'CAT', 'PINK1', 'NDUFAB1', 'NDUFS4', 'PDHA1', 'NDUFA12', 'NDUFAF1', 'UQCRFS1', 'SDHB', 'DLD', 'NDUFS1', 'MDH1', 'GHITM', 'NDUFB5', 'UQCRFS1P1', 'UQCRC2', 'CS', 'FH', 'SUCLA2', 'NNT', 'DLAT', 'SLC25A51', 'SDHD', 'ACO1', 'SDHA', 'OXA1L']
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS	1	2.4109235353403004e-09	1.0	0.16423357664233576	['OGDH', 'SUCLG2', 'ISCU', 'ETFDH', 'DLST', 'MRPS36', 'SUCLG1', 'SLC25A33', 'NDUFA9', 'CAT', 'GBE1', 'PINK1', 'NDUFAB1', 'NDUFS4', 'PDHA1', 'NDUFA12', 'ETFA', 'NDUFAF1', 'UQCRFS1', 'CISD1', 'SDHB', 'DLD', 'NDUFS1', 'MDH1', 'INPP5K', 'GHITM', 'NDUFB5', 'SORBS1', 'UQCRFS1P1', 'UQCRC2', 'COQ10A', 'CS', 'FH', 'SUCLA2', 'NNT', 'UGP2', 'PYGL', 'DLAT', 'SLC25A51', 'IFNLR1', 'SDHD', 'GYS1', 'ACO1', 'SDHA', 'OXA1L']
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	1	4.799233636839249e-08	1.0	0.13114754098360656	['OGDH', 'SUCLG2', 'ISCU', 'ETFDH', 'MRPS36', 'DLST', 'SUCLG1', 'SLC25A33', 'NDUFA9', 'CAT', 'PGM1', 'GBE1', 'PINK1', 'NDUFS4', 'NDUFAB1', 'PFKFB1', 'PDHA1', 'ACOX1', 'NDUFA12', 'ETFA', 'LDHA', 'NDUFAF1', 'SLC4A4', 'OXCT1', 'TYRP1', 'UQCRFS1', 'CISD1', 'NDUFS1', 'DLD', 'SDHB', 'MDH1', 'DMGDH', 'INPP5K', 'GHITM', 'NDUFB5', 'SORBS1', 'UQCRFS1P1', 'UQCRC2', 'COQ10A', 'HMGCL', 'CS', 'FH', 'SUCLA2', 'ACAT1', 'NNT', 'UGP2', 'ACSS2', 'DLAT', 'PYGL', 'SLC25A51', 'IFNLR1', 'SDHD', 'GYS1', 'ACO1', 'SDHA', 'OXA1L']
GOBP_ORGANIC_ACID_METABOLIC_PROCESS	1	1.014767256117044e-06	1.0	0.10217113665389528	['STAT5A', 'DLST', 'SULT2B1', 'NDUFAB1', 'BTD', 'ASPA', 'LDHA', 'HADH', 'TYRP1', 'MSRA', 'TPST2', 'GLUL', 'PYCR1', 'ALDH6A1', 'ACAT1', 'ACADL', 'PEX5', 'MTHFD1', 'HIBADH', 'HARS2', 'ETFDH', 'PECR', 'VNN2', 'ATP2B4', 'PFKFB1', 'ETFA', 'SLC4A4', 'DLD', 'SULT1A4', 'ACSL1', 'PRKAR2B', 'GPAM', 'GPT2', 'SUCLA2', 'ABHD5', 'SHMT1', 'MLYCD', 'ICMT', 'HADHB', 'FAH', 'OGDH', 'MTHFR', 'ADIPOR2', 'APIP', 'ACSM5', 'PDHA1', 'DHFRP1', 'SDHB', 'GATB', 'MDH1', 'TRIB3', 'UROS', 'WDTC1', 'ACSS2', 'ACO1', 'ABHD6', 'SDHA', 'ACAA2', 'LDHB', 'ADIPOR1', 'SULT1A3', 'MRPS36', 'FA2H', 'PDK4', 'MID1IP1', 'UCP3', 'ACACB', 'PGM1', 'ACOX1', 'ADI1', 'HADHA', 'PHYH', 'HMGCL', 'LPIN1', 'CS', 'FH', 'DECR1', 'DLAT', 'PLIN5', 'PLA2G4C']
GOBP_SMALL_MOLECULE_METABOLIC_PROCESS	1	1.0289419127653483e-06	1.0	0.0863013698630137	['STAT5A', 'DLST', 'SULT2B1', 'NDUFAB1', 'TFF3', 'BTD', 'COQ5', 'ASPA', 'LDHA', 'HADH', 'OXCT1', 'TYRP1', 'MSRA', 'TPST2', 'CLN6', 'COQ10A', 'GLYCTK', 'GLUL', 'PYCR1', 'ALDH6A1', 'ACADL', 'ACAT1', 'PEX5', 'LRAT', 'MTHFD1', 'HIBADH', 'SUCLG2', 'HARS2', 'ETFDH', 'SLC52A3', 'PECR', 'APOBEC3F', 'VNN2', 'RHOQ', 'ATP2B4', 'NDUFA9', 'PINK1', 'PFKFB1', 'NUDT10', 'TK2', 'VKORC1L1', 'AK3', 'PFKFB3', 'ETFA', 'COQ3', 'AHCY', 'SLC4A4', 'DLD', 'PGM2', 'SULT1A4', 'SORBS1', 'ACSL1', 'PRKAR2B', 'GPAM', 'CRTC2', 'TXN', 'GPT2', 'SUCLA2', 'GPLD1', 'ABHD5', 'FITM2', 'DHDDS', 'IP6K1', 'SLC52A1', 'SHMT1', 'MLYCD', 'ICMT', 'HADHB', 'FAH', 'OGDH', 'MTHFR', 'ADIPOR2', 'ACSM5', 'APIP', 'CAT', 'PDHA1', 'ADCY2', 'SQLE', 'MAN2A2', 'DHFRP1', 'SDHB', 'GATB', 'MDH1', 'INPP5K', 'GLRX', 'KAT2B', 'TRIB3', 'UROS', 'UGP2', 'DHRS13', 'WDTC1', 'ABHD6', 'ACSS2', 'ACO1', 'SDHA', 'ACAA2', 'LDHB', 'ADIPOR1', 'SULT1A3', 'PDK4', 'MRPS36', 'FA2H', 'SLC25A16', 'ABCA1', 'MID1IP1', 'UCP3', 'PGM1', 'ACACB', 'INPP5A', 'ACOX1', 'ADI1', 'HADHA', 'PHYH', 'HMGCL', 'LPIN1', 'CS', 'FH', 'DECR1', 'DLAT', 'PLIN5', 'APOBEC3D', 'NEIL2', 'PARP16', 'MPP1', 'PLA2G4C', 'OGG1']
GOBP_NUCLEOSIDE_BISPHOSPHATE_METABOLIC_PROCESS	1	6.36705732861406e-05	1.0	0.19090909090909092	['OGDH', 'SUCLG2', 'PDK4', 'DLST', 'SULT1A3', 'SLC25A16', 'SULT2B1', 'ACSM5', 'ACACB', 'PDHA1', 'DLD', 'TPST2', 'SULT1A4', 'ACSL1', 'GPAM', 'SUCLA2', 'ACAT1', 'DLAT', 'FITM2', 'ACSS2', 'MLYCD']
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS	1	6.781339313913715e-05	1.0	0.12751677852348994	['ICMT', 'OGDH', 'SUCLG2', 'STAT5A', 'ISCU', 'SULT1A3', 'DLST', 'PDK4', 'MTHFR', 'SULT2B1', 'NDST1', 'ACSM5', 'SP1', 'APIP', 'ACACB', 'PDHA1', 'CHAC2', 'ARL6IP5', 'BTD', 'MLYCD', 'AHCY', 'MSRA', 'DLD', 'ADI1', 'TPST2', 'ST3GAL3', 'SULT1A4', 'ACSL1', 'GPAM', 'SUCLA2', 'ACAT1', 'DLAT', 'B3GNT3', 'FITM2', 'MTHFD1', 'ACSS2', 'ISCA1', 'NDST2']
GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN	1	0.0008552464846265412	1.0	0.1743119266055046	['ISCU', 'ETFDH', 'NDUFA9', 'PINK1', 'NDUFS4', 'NDUFAB1', 'NDUFA12', 'ETFA', 'NDUFAF1', 'UQCRFS1', 'SDHB', 'DLD', 'NDUFS1', 'GHITM', 'NDUFB5', 'UQCRFS1P1', 'SLC25A51', 'SDHD', 'SDHA']
GOBP_THIOESTER_METABOLIC_PROCESS	1	0.0010759036832365706	1.0	0.1951219512195122	['DLD', 'SUCLG2', 'PDHA1', 'DLAT', 'OGDH', 'SUCLA2', 'PDK4', 'DLST', 'ACSL1', 'FITM2', 'ACAT1', 'GPAM', 'ACSS2', 'ACSM5', 'ACACB', 'MLYCD']
