pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	1	0.24750958028239786	1.47109393483734	0.1	22.13	['UGT1A10', 'UGT1A8', 'ALDH2', 'UGT2B15', 'UGT2B17', 'UGT1A4', 'UGT1A9', 'UGDH']
KEGG_HEDGEHOG_SIGNALING_PATHWAY	3	0.23554430239422494	1.3216672688857873	0.3	33.156666666666666	['PTCH1', 'SMO', 'WNT2B', 'BTRC', 'WNT11', 'CSNK1E', 'GLI2', 'WNT3', 'WNT7B', 'WNT6', 'DHH', 'LRP2', 'WNT9A', 'GLI3', 'ZIC2', 'BMP6', 'BMP8A', 'BMP8B', 'WNT10A', 'CSNK1D', 'PRKX', 'WNT5B', 'STK36', 'PTCH2', 'WNT4', 'PRKACB', 'BMP5', 'CSNK1G2', 'BMP7']
KEGG_GALACTOSE_METABOLISM	3	0.2339364552857669	-1.346176772753599	0.3	62.76333333333333	['PFKL', 'MGAM', 'PGM1', 'GANC', 'GLB1', 'PFKP', 'AKR1B1', 'GALK1', 'GALK2', 'B4GALT2', 'HK1', 'PGM2', 'PFKM', 'GALT', 'HK3', 'GAA', 'UGP2', 'HK2', 'GALE']
KEGG_PURINE_METABOLISM	2	0.22884205380626083	1.3253454182619118	0.2	34.705	['PDE6D', 'ENTPD1', 'PDE9A', 'POLR3K', 'GMPS', 'PRIM1', 'PRUNE1', 'POLE', 'GMPR2', 'HPRT1', 'ITPA', 'FHIT', 'PDE5A', 'GUCY2D', 'NT5C3A', 'ADK', 'NUDT5', 'NME2', 'RRM2', 'POLR1D', 'PPAT', 'ADCY3', 'POLE2', 'DGUOK', 'PDE1C', 'PDE6B', 'APRT', 'ENTPD2', 'POLR2A', 'AK7', 'CANT1', 'POLR2G', 'POLR2J3', 'POLR3C', 'POLR2J2', 'PRIM2', 'POLR1C', 'POLR2L', 'GUK1', 'ENTPD6', 'ATIC', 'POLA2', 'AK4', 'NME1', 'POLR3GL', 'ENTPD5', 'NME3', 'PFAS', 'AMPD2', 'POLR2H', 'POLD1', 'POLR2F', 'NME1-NME2', 'ENTPD8', 'POLR3B', 'IMPDH2', 'POLR2C', 'POLE4', 'PDE4B', 'PAICS', 'DCK', 'NUDT9']
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	4	0.22229490682176825	1.3477312347569341	0.4	24.040000000000003	['ASL', 'ASS1', 'PPAT', 'ASNS', 'CPS1', 'IL4I1', 'GLUD1', 'GLS2', 'CAD', 'ABAT', 'GPT', 'NIT2']
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	3	0.22164884353204392	1.3513197547183922	0.3	20.033333333333335	['VAV3', 'GRB2', 'LCP2', 'JMJD7-PLA2G4B', 'PDPK1', 'MAP2K4', 'LYN', 'AKT1', 'PIK3R2', 'LAT', 'PLA2G12A', 'PIK3CD', 'RAC1', 'PLA2G4B', 'SYK', 'PIK3R3', 'PRKCB', 'MAPK13', 'NRAS', 'INPP5D', 'PLA2G6', 'PLCG2', 'VAV2', 'PRKCE']
KEGG_PHENYLALANINE_METABOLISM	6	0.2214862557705046	1.4215379335007288	0.6	42.083333333333336	['TAT', 'ALDH3B2', 'ALDH1A3', 'ALDH3B1', 'AOC2', 'PAH', 'IL4I1', 'MIF', 'ALDH3A1', 'GOT1', 'AOC3', 'MAOA']
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	4	0.21687544628641592	1.36298936926889	0.4	66.2425	['HLA-DPA1', 'TNFRSF13C', 'ICOS', 'HLA-DQA2', 'IL6', 'HLA-DMB', 'HLA-DRB1', 'TNFRSF17', 'IL15RA', 'CXCL12', 'HLA-DQB1', 'TNFSF13', 'HLA-DQA1', 'HLA-DPB1', 'HLA-DOA', 'CCR10', 'CCL28', 'CD80', 'HLA-DRA', 'TGFB1', 'HLA-DRB5', 'HLA-DMA', 'CD40LG', 'CXCR4', 'CD86', 'TNFSF13B', 'ICOSLG', 'CD40', 'ITGB7', 'LTBR', 'PIGR', 'HLA-DOB']
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	6	0.21637576866086008	1.3928265198507084	0.6	64.65499999999999	['UCK2', 'CES2', 'TK1', 'UMPS', 'GMPS', 'GUSB', 'HPRT1', 'ITPA', 'UPP1', 'IMPDH1', 'UCKL1', 'CES1', 'TYMP', 'UGT1A8', 'UGT2B15', 'UGT2B7', 'UGT2B17', 'CYP2A6', 'TPMT', 'DPYD', 'CDA', 'UCK1', 'CYP2A7', 'UGT2B28', 'UGT1A9', 'UGT1A10', 'UGT2B11', 'UGT1A4', 'IMPDH2', 'NAT1', 'NAT2']
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	3	0.2136408077727192	-1.392189384560712	0.3	60.36333333333334	['BAD', 'MAPK12', 'GRIA2', 'DAXX', 'DERL1', 'CAT', 'SOD1', 'TNFRSF1B', 'MAPK11', 'GRIN2D', 'NEFH', 'TOMM40', 'TNF', 'PPP3CB', 'MAP3K5', 'PPP3CA', 'SLC1A2', 'ALS2', 'TOMM40L', 'CHP1', 'RAB5A', 'CASP3', 'BCL2', 'PPP3CC', 'TNFRSF1A', 'CYCS', 'MAP2K3', 'APAF1', 'MAPK14', 'BCL2L1', 'GPX1', 'PPP3R1', 'MAP2K6', 'BAX', 'CCS', 'PRPH2', 'GRIN1', 'CASP9', 'CASP1']
