pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_NEGATIVE_REGULATION_OF_SINGLE_STRANDED_VIRAL_RNA_REPLICATION_VIA_DOUBLE_STRANDED_DNA_INTERMEDIATE	1	0.24971647424689777	1.3740134725189992	0.1	25.83	['APOBEC3G', 'SETDB1', 'INPP5K', 'APOBEC3F', 'APOBEC3D', 'MPHOSPH8', 'MORC2']
GOBP_NEGATIVE_REGULATION_OF_ENDOCYTOSIS	1	0.24962833038300597	1.3677584690016162	0.1	33.62	['APP', 'SDCBP', 'LRSAM1', 'RABGEF1', 'ATXN2', 'UNC119', 'MCTP1', 'NEU3', 'MTMR2', 'ITGAV', 'ANKRD13D', 'PRKD1', 'ARF6', 'UBQLN2', 'SCAMP5', 'RAC1', 'RIN3', 'RUBCN', 'ANKRD13A', 'DLG4', 'PSEN1', 'ABCA2', 'ABCA7', 'PICALM', 'PACSIN2']
GOBP_DICHOTOMOUS_SUBDIVISION_OF_TERMINAL_UNITS_INVOLVED_IN_SALIVARY_GLAND_BRANCHING	1	0.24953026387384336	1.366405185666262	0.1	51.51	['PLXND1', 'NRP1', 'SEMA3A', 'PLXNA1', 'SEMA3C']
GOBP_NEGATIVE_REGULATION_OF_HISTONE_PHOSPHORYLATION	1	0.24950372869921386	1.3854968951773696	0.1	11.38	['UBE2B', 'PPP4R2', 'PPP4R3B']
GOBP_REGULATION_OF_CELLULAR_PH	1	0.24944841006371757	1.3854247430933742	0.1	19.94	['TM9SF4', 'ATP6AP2', 'SLC9A1', 'TMEM165', 'TMEM106B', 'GPR89B', 'SLC4A7', 'ATP6V0A2', 'GPR89A', 'ATP6V0A1', 'SLC9B1', 'CLN5', 'VPS33A', 'CLN6', 'MAPK1', 'CLCN3', 'UBE3A', 'DMXL2', 'LRRK2', 'SLC9A7', 'DMXL1', 'SLC4A5', 'SLC4A8', 'ATP6V1H']
GOBP_VIRION_ASSEMBLY	1	0.24920048999089914	1.3701032302691782	0.1	33.75	['MVB12B', 'USP6NL', 'MITD1', 'PC', 'LRSAM1', 'CHMP7', 'VTA1', 'DDX6', 'CHMP1B', 'TBC1D20', 'PDCD6IP', 'VPS4B', 'VPS37C', 'SPCS1', 'CHMP2B', 'NEDD4', 'VPS37A', 'TSG101', 'CHMP3']
GOBP_MAINTENANCE_OF_PROTEIN_LOCATION_IN_CELL	1	0.24906407257845362	1.3755179127642752	0.1	15.98	['CCDC88A', 'SP100', 'VPS13C', 'HNRNPU', 'TAPT1', 'SORL1', 'VPS13A', 'TOPORS', 'SUN1', 'CIZ1', 'SYNE1', 'ANK3', 'MORC3', 'VPS13D', 'SKP1', 'TAF8', 'ANKRD13C', 'BBS4']
GOBP_SINGLE_FERTILIZATION	1	0.24902680565045945	1.375374375669381	0.1	59.82	['TUBGCP3', 'SMAD4', 'NLRP5', 'HOXD10', 'GNPDA1', 'DKKL1', 'ROPN1B', 'PLCB1', 'OVGP1', 'SPA17', 'SPATA46', 'LHFPL2', 'MST1R', 'MFGE8', 'CD46', 'PLAT', 'ADCY3', 'TCP1', 'CRKL', 'VDAC2', 'TARBP2', 'HOXA11', 'STXBP1', 'TRIM36', 'SPAG1', 'CCT3', 'PARK7', 'CECR2', 'PITHD1', 'CCT4', 'PCSK4', 'TRPC6', 'SLC9B1', 'B4GALT1', 'KDM5B', 'AKAP3', 'PLB1', 'FOLR1', 'GLRB', 'AP3B1', 'UBAP2L', 'CCT2', 'CCT5', 'MYH9', 'SNU13', 'CCDC136', 'ZP3', 'RIMS1', 'NPM2', 'ADAM32', 'HOXA10', 'ATP8B3', 'CD9', 'PLCD4', 'UBE3A', 'WBP2NL', 'CCT8', 'UNC13B', 'ABHD2', 'WDR48', 'STX2', 'ASH1L', 'SPACA6', 'HEXB', 'CDK1', 'AR']
GOBP_RESPONSE_TO_L_GLUTAMATE	1	0.24847743534104264	1.3763666869218258	0.1	37.88	['BCL11A', 'TAF9', 'FYN', 'TMBIM6', 'AIFM1', 'BAIAP2', 'UFL1', 'IGF1R']
GOBP_PIGMENT_GRANULE_ORGANIZATION	2	0.24782624825136723	1.3694859397979635	0.2	53.205	['HPS1', 'GPR143', 'DTNBP1', 'KIF13A', 'BLOC1S5', 'AP1G1', 'BLOC1S2', 'HPS4', 'ZEB2', 'PMEL', 'LYST', 'AP3D1', 'TYRP1', 'SHROOM2', 'SNAPIN', 'AP3B1', 'BCL2', 'AP1M1', 'BLOC1S6', 'BLOC1S1', 'PIKFYVE']
