pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_FATTY_ACID_METABOLISM	1	0.24957846706785222	1.653007646916828	1.0	51.89	['ECI2', 'HADHB', 'ACAA2', 'ACAT2', 'ADH1C', 'ALDH2', 'ADH1A', 'EHHADH', 'ACSL3', 'CPT1B', 'ACOX1', 'ALDH3A2', 'ACSL4', 'ACADM', 'HADH', 'ACADS', 'ECHS1', 'CPT2', 'HADHA', 'ACAA1', 'ACSL1', 'ALDH9A1', 'ACADL', 'ACAT1', 'ALDH7A1', 'ADH1B', 'ADH5']
KEGG_PYRUVATE_METABOLISM	1	0.16898950939400814	1.7720275670902326	1.0	49.1	['ACAT2', 'LDHB', 'ALDH2', 'PC', 'ACYP2', 'ACACB', 'PDHA1', 'PCK1', 'LDHD', 'ALDH3A2', 'HAGH', 'LDHA', 'ACACA', 'AKR1B1', 'DLD', 'MDH1', 'HAGHL', 'ALDH9A1', 'ME2', 'PDHB', 'ACYP1', 'ME1', 'ACAT1', 'DLAT', 'ALDH7A1', 'ACSS2']
KEGG_JAK_STAT_SIGNALING_PATHWAY	1	0.1597043715152165	1.7685244654842822	1.0	63.12	['STAT5A', 'GRB2', 'SPRY3', 'IL9R', 'IL7R', 'PIK3CB', 'IFNAR2', 'OSMR', 'IL22RA1', 'IL12RB1', 'STAM2', 'IFNG', 'PIK3CA', 'PIK3R3', 'PIK3R5', 'IL3RA', 'AKT3', 'LEPR', 'SPRY2', 'CNTFR', 'PIM1', 'EPOR', 'SOS1', 'CLCF1', 'LIFR', 'SOCS5', 'GHR', 'IL10', 'PIAS3', 'IL2RG', 'IL13RA1', 'IL20', 'LEP', 'CBL', 'CBLC', 'SPRED1', 'EP300', 'IFNLR1', 'IL20RA', 'IL23A', 'STAM', 'SOS2', 'TPO', 'CSF3R', 'IL6', 'SOCS7', 'IL12RB2', 'IL7', 'STAT2', 'STAT5B', 'IL15RA', 'PIK3CD', 'AKT2', 'PRLR', 'STAT6', 'BCL2L1', 'IL10RA', 'IL10RB', 'STAT3', 'STAT1', 'IL4R', 'CBLB', 'PTPN11', 'IL20RB', 'CCND1', 'IFNAR1', 'CSF2RA', 'IL2RA', 'CREBBP', 'IRF9', 'JAK1', 'JAK2', 'IL24', 'SPRED2', 'TYK2', 'EPO', 'IL12A', 'IL15', 'PIAS2', 'IL11RA', 'PIK3CG', 'CNTF', 'PIK3R1', 'IL6ST', 'PIAS1', 'IL21R', 'JAK3', 'IFNGR2']
KEGG_SMALL_CELL_LUNG_CANCER	1	0.14989512480842335	1.766380134557012	1.0	60.79	['ITGA2', 'ITGA3', 'TP53', 'IKBKB', 'FHIT', 'FN1', 'LAMA2', 'MAX', 'ITGA6', 'NFKB1', 'PIK3CB', 'TRAF5', 'PTEN', 'RXRB', 'XIAP', 'ITGAV', 'COL4A6', 'LAMB2', 'LAMB3', 'CDKN2B', 'PTK2', 'CDK2', 'PIK3CD', 'SKP2', 'LAMC1', 'AKT2', 'PIAS3', 'CDK6', 'PIAS2', 'RB1', 'CCNE2', 'ITGB1', 'CYCS', 'COL4A2', 'APAF1', 'COL4A1', 'TRAF3', 'E2F3', 'PIK3CA', 'PIK3CG', 'PIK3R3', 'PIK3R5', 'TRAF1', 'RXRA', 'RARB', 'BCL2L1', 'PIK3R1', 'AKT3', 'BIRC2', 'CDK4', 'CHUK', 'PIAS1', 'E2F2', 'LAMA4', 'TRAF6', 'LAMC2', 'LAMA3', 'RELA', 'TRAF2', 'BIRC3', 'LAMC3', 'CASP9']
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1	0.13146602314592462	1.833160820248305	1.0	65.79	['ITGA2', 'PKP2', 'LEF1', 'CTNNB1', 'ITGA3', 'SGCG', 'ITGB4', 'ITGB6', 'CACNB3', 'ITGA4', 'DES', 'CACNA1D', 'CACNG4', 'LAMA2', 'SLC8A1', 'ITGA6', 'ATP2A2', 'CACNA2D4', 'SGCB', 'DAG1', 'ITGA7', 'ITGAV', 'ITGA9', 'CACNG1', 'ITGB8', 'CTNNA1', 'CACNA2D3', 'TCF7L1', 'ITGA8', 'ITGA11', 'SGCD', 'ITGA10', 'CACNG6', 'DSG2', 'ITGB1', 'ITGA1', 'SGCA', 'CACNA2D2', 'CACNA1F', 'CACNA1C', 'DSP', 'TCF7L2', 'DMD', 'TCF7', 'ITGB3', 'JUP', 'ACTN2', 'GJA1', 'ACTN4', 'ITGB7', 'CACNA2D1', 'DSC2', 'CACNB2']
KEGG_PATHWAYS_IN_CANCER	1	0.10669302823064207	1.8845509138985665	1.0	62.61	['ITGA2', 'SMAD4', 'SMO', 'STAT5A', 'GRB2', 'MAPK9', 'FLT3', 'DAPK2', 'FZD9', 'PPARD', 'TGFB3', 'CCNA1', 'FLT3LG', 'ARAF', 'HDAC1', 'ITGA6', 'DVL2', 'GSK3B', 'FGF16', 'PIK3CB', 'RXRB', 'FZD6', 'MAP2K1', 'COL4A6', 'FGF2', 'PTK2', 'SKP2', 'KIT', 'FZD3', 'EGLN1', 'ERBB2', 'CDK6', 'FZD4', 'RB1', 'BRAF', 'RARA', 'KRAS', 'PIK3CA', 'CASP8', 'PIK3R3', 'PIK3R5', 'TCF7L2', 'ABL1', 'WNT5B', 'BIRC2', 'MAPK8', 'GSTP1', 'ZBTB16', 'TPM3', 'BAX', 'FZD5', 'TRAF2', 'BIRC3', 'AKT3', 'CASP9', 'PTEN', 'LEF1', 'BRCA2', 'CXCL8', 'NKX3-1', 'WNT10B', 'WNT11', 'RUNX1T1', 'RALA', 'MAX', 'APPL1', 'WNT7B', 'CRK', 'TFG', 'CRKL', 'TPR', 'VEGFB', 'BID', 'SOS1', 'RHOA', 'ITGAV', 'TGFBR2', 'LAMB2', 'APC', 'MSH2', 'PIAS3', 'DVL3', 'FADD', 'PLD1', 'RUNX1', 'TGFB1', 'FGF12', 'COL4A2', 'BIRC5', 'COL4A1', 'CCDC6', 'E2F3', 'RASSF1', 'CBL', 'TRAF1', 'SLC2A1', 'RXRA', 'CBLC', 'FGF18', 'STK36', 'JUP', 'CDK4', 'FOS', 'EP300', 'EGLN3', 'E2F2', 'TRAF6', 'FGF13', 'LAMC3', 'VHL', 'MITF', 'SOS2', 'CSF3R', 'HSP90AB1', 'IL6', 'TP53', 'IKBKB', 'RASSF5', 'LAMA2', 'MSH3', 'STAT5B', 'NFKB1', 'EPAS1', 'FGF14', 'TRAF5', 'ARNT', 'LAMB3', 'CDKN2B', 'CTNNA1', 'CDK2', 'PIK3CD', 'CASP3', 'AKT2', 'RAD51', 'TGFBR1', 'FAS', 'RALB', 'MAPK1', 'TRAF3', 'NCOA4', 'BMP2', 'MSH6', 'RARB', 'RALBP1', 'BCL2L1', 'TGFA', 'CDC42', 'TCF7', 'NRAS', 'IGF1R', 'PTCH2', 'ARNT2', 'LAMA4', 'PLCG2', 'LAMA3', 'HIF1A', 'STAT3', 'WNT2B', 'CTNNB1', 'STAT1', 'ITGA3', 'HSP90B1', 'CBLB', 'MDM2', 'MECOM', 'PLCG1', 'FN1', 'ELOC', 'STK4', 'HDAC2', 'CCND1', 'CTBP2', 'RAF1', 'CSF2RA', 'CDH1', 'CREBBP', 'MAPK10', 'JAK1', 'MTOR', 'XIAP', 'CUL2', 'IGF1', 'SMAD2', 'GLI3', 'LAMC1', 'TCF7L1', 'PPARG', 'PIAS2', 'CCNE2', 'ITGB1', 'RAC1', 'CYCS', 'WNT5A', 'CEBPA', 'HGF', 'FH', 'PIK3CG', 'PIK3R1', 'FOXO1', 'RALGDS', 'CHUK', 'PIAS1', 'SUFU', 'KITLG', 'LAMC2', 'CSF1R', 'RELA', 'FZD1', 'MLH1', 'AR']
KEGG_LYSINE_DEGRADATION	1	0.09237831485262853	1.929468735823504	1.0	51.89	['OGDH', 'SETD7', 'ACAT2', 'ALDH2', 'SETMAR', 'DLST', 'KMT5B', 'SETD2', 'AASDHPPT', 'EHHADH', 'SETD1A', 'PLOD2', 'ALDH3A2', 'AASS', 'HADH', 'ECHS1', 'SETDB2', 'HADHA', 'SETDB1', 'NSD3', 'DOT1L', 'BBOX1', 'EHMT2', 'NSD1', 'SUV39H2', 'ALDH9A1', 'ACAT1', 'ALDH7A1', 'TMLHE', 'AASDH', 'SETD1B', 'ASH1L', 'KMT5A']
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1	0.08699721258872718	1.9627669520013526	1.0	20.14	['STX16', 'STX3', 'VAMP2', 'STX8', 'GOSR1', 'SNAP29', 'STX19', 'STX7', 'STX2', 'VAMP8', 'BNIP1', 'YKT6', 'GOSR2', 'VTI1B', 'STX18', 'STX6', 'VAMP3', 'VAMP1']
KEGG_SPLICEOSOME	1	0.06157308157113686	2.042288321365888	1.0	62.39	['CRNKL1', 'HNRNPK', 'SRSF2', 'SF3B3', 'HNRNPM', 'SNRNP200', 'SF3A2', 'PPIH', 'MAGOHB', 'SRSF8', 'LSM6', 'SLU7', 'PRPF8', 'TRA2A', 'RBMX', 'PPIL1', 'DHX16', 'HNRNPA3', 'AQR', 'SNU13', 'PPIE', 'RBM25', 'PRPF4', 'U2SURP', 'PRPF40A', 'HSPA8', 'SF3B4', 'HNRNPA1', 'SNRPD1', 'ACIN1', 'CWC15', 'DDX5', 'BCAS2', 'HNRNPA1L2', 'SNRNP40', 'LSM5', 'SNRPC', 'RBM22', 'TRA2B', 'SNW1', 'SRSF4', 'SRSF9', 'LSM2', 'DHX38', 'RBM8A', 'PRPF40B', 'PQBP1', 'HNRNPU', 'SRSF3', 'DDX42', 'SNRNP70', 'NCBP1', 'CDC40', 'PRPF3', 'SNRNP27', 'TCERG1', 'PRPF38A', 'THOC1', 'SF3A3', 'NCBP2', 'WBP11', 'PRPF18', 'TXNL4A', 'ZMAT2', 'SF3A1', 'U2AF2', 'SRSF6', 'MAGOH', 'EIF4A3', 'SNRPF', 'PRPF31', 'PRPF38B', 'PRPF19', 'SRSF5', 'ISY1', 'RBM17', 'CHERP', 'SRSF7', 'USP39', 'DDX39B', 'SNRPD3', 'DHX8', 'HNRNPC', 'THOC3', 'SYF2', 'PLRG1', 'SRSF10', 'THOC2', 'SNRPB', 'EFTUD2', 'DHX15', 'DDX46', 'SNRPG', 'SF3B1', 'DDX23', 'SRSF1', 'LSM8', 'SNRPD2']
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	1	0.055152209221505565	2.0816541500712553	1.0	39.06	['HADHB', 'ACAA2', 'ACAT2', 'ALDH2', 'HIBCH', 'BCKDHB', 'EHHADH', 'MCCC1', 'ALDH3A2', 'PCCA', 'ACADM', 'BCKDHA', 'HADH', 'ACADS', 'OXCT1', 'AOX1', 'DLD', 'HADHA', 'ACAA1', 'HMGCL', 'ALDH9A1', 'ACAD8', 'ALDH6A1', 'ACAT1', 'DBT', 'ABAT', 'BCAT1', 'HIBADH']
