pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_NEGATIVE_REGULATION_OF_HISTONE_PHOSPHORYLATION	1	0.24950372869921386	1.3854968951773696	1.0	11.38	['UBE2B', 'PPP4R2', 'PPP4R3B']
GOBP_REGULATION_OF_RECEPTOR_INTERNALIZATION	1	0.24947766791206905	1.3852982039620862	1.0	4.95	['FMR1', 'ANKRD13A', 'MTMR2', 'MAGI2', 'ATXN2', 'TBC1D5', 'MKLN1', 'NUMB', 'SCYL2', 'AHI1', 'OPHN1']
GOBP_REGULATION_OF_CELLULAR_PH	1	0.24944841006371757	1.3854247430933742	1.0	19.94	['TM9SF4', 'ATP6AP2', 'SLC9A1', 'TMEM165', 'TMEM106B', 'GPR89B', 'SLC4A7', 'ATP6V0A2', 'GPR89A', 'ATP6V0A1', 'SLC9B1', 'CLN5', 'VPS33A', 'CLN6', 'MAPK1', 'CLCN3', 'UBE3A', 'DMXL2', 'LRRK2', 'SLC9A7', 'DMXL1', 'SLC4A5', 'SLC4A8', 'ATP6V1H']
GOBP_REGULATION_OF_ACTIN_NUCLEATION	1	0.24938250524164254	1.3857175327902078	1.0	67.99	['WASF3', 'PICK1', 'ARFIP2', 'WAS', 'ARPIN', 'WASL', 'WHAMM', 'CYFIP1', 'ABI2', 'CORO1A', 'HIP1R', 'SCIN', 'VIL1', 'CORO1B', 'WASHC5', 'AP1AR', 'TRIM27', 'WASF1', 'BRK1', 'GMFB', 'ARFIP1', 'NCKAP1', 'FMN1', 'WASF2', 'ARF1', 'FCHSD2']
GOBP_MDA_5_SIGNALING_PATHWAY	1	0.24937265738847683	1.385844782991335	1.0	53.61	['RIOK3', 'ANKRD17', 'IRF3', 'OAS3', 'DHX58', 'C1QBP', 'TKFC', 'DDX60', 'IFIH1']
GOBP_C4_DICARBOXYLATE_TRANSPORT	1	0.24894162779262943	1.3863715656505953	1.0	16.66	['SLC25A14', 'SLC12A2', 'SLC25A30', 'SLC13A3', 'LRRC8D', 'SLC1A3', 'SLC25A13', 'SLC25A12', 'ABAT', 'SLC3A1']
GOBP_DICARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS	1	0.24829493791354945	1.3871149638010525	1.0	44.65	['ACMSD', 'GLUD2', 'GLUD1', 'GLS2', 'MTHFD1', 'SLC25A12', 'GLS', 'MTHFD1L', 'KYNU', 'KMO']
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	1	0.2476153099352284	1.3879269599092763	1.0	37.95	['NCBP2', 'NRDE2', 'CPSF6', 'DHX9', 'KHDRBS1']
GOBP_CELLULAR_RESPONSE_TO_BACTERIAL_LIPOPROTEIN	1	0.24608866207674995	1.3896535693333971	1.0	37.49	['TLR2', 'TLR1', 'TLR6', 'TIRAP', 'CD36']
GOBP_TRYPTOPHAN_TRANSPORT	1	0.2460762625257647	1.3895703545773928	1.0	48.36	['ACE2', 'SLC3A2', 'SLC36A4', 'SLC7A8', 'SLC7A5']
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_GLUCOSE_DEPRIVATION	1	0.24535756360170577	1.3904550185874944	1.0	10.52	['TSC1', 'CBL', 'AIFM1']
GOBP_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION	1	0.24529445827037327	1.3906316160428696	1.0	38.94	['KIT', 'DDX21', 'SIRT1', 'DHX36', 'GPRC5B', 'CAMK4', 'TICAM1', 'PLCG2', 'TGFB3', 'WNT5A', 'BCL6', 'MAVS', 'BCL10', 'DDX58', 'TLR4', 'IRAK3', 'CD36', 'DDX1']
GOBP_POSITIVE_REGULATION_OF_MIRNA_METABOLIC_PROCESS	1	0.245206222043617	1.3908466140954472	1.0	21.29	['RELA', 'ZSWIM8', 'NFKB1', 'PNPT1']
GOBP_ESTABLISHMENT_OF_GOLGI_LOCALIZATION	1	0.24519866006924307	1.3909509505873001	1.0	41.83	['SLC9A3R1', 'COPG1', 'PDCD10', 'ARHGAP21', 'YWHAZ', 'CDC42']
GOBP_PROTEIN_HYDROXYLATION	1	0.24506989896734596	1.3911942024479158	1.0	77.73	['VPS33B', 'JMJD6', 'JMJD4', 'ERO1A', 'P3H4', 'FKBP10', 'PRDX4', 'OGFOD1', 'P4HB', 'VIPAS39', 'EGLN2', 'JMJD7', 'PLOD2', 'P4HA1', 'P4HTM', 'P4HA2', 'CRTAP', 'EGLN1', 'HIF1AN', 'ASPH', 'P3H1', 'P3H2', 'PLOD1', 'PLOD3', 'P3H3', 'EGLN3', 'P4HA3']
GOBP_ESTABLISHMENT_OF_ENDOTHELIAL_BARRIER	1	0.24465687850621998	1.391746104423457	1.0	10.07	['AFDN', 'RAPGEF2', 'RDX', 'RAPGEF1', 'PDE4D', 'TJP2', 'ROCK2', 'PLCB1', 'IKBKB', 'TJP1', 'PPP1R12A', 'ROCK1', 'RAPGEF6', 'RAP1B']
GOBP_NEGATIVE_REGULATION_OF_BINDING	1	0.24373496717399998	1.3927513573369592	1.0	16.47	['SENP2', 'FBXW7', 'LEF1', 'SP100', 'MITD1', 'ZNF675', 'SORL1', 'ZFP90', 'BTAF1', 'ITGA4', 'ADNP', 'HDAC2', 'STYX', 'DISC1', 'EPB41L5', 'GSK3B', 'TNKS', 'RSF1', 'ATP2A2', 'USP33', 'TAF1', 'PPP3CA', 'JAK2', 'ROCK1', 'MAP2', 'TDG', 'KDM1A', 'TMBIM6', 'TFIP11', 'TTBK2', 'ITGB1BP1', 'SIN3A', 'ERCC4', 'MAPK8', 'PSEN1', 'LRRK2', 'WAPL', 'PPARA']
GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION	1	0.24330315779654424	1.3932978490768624	1.0	63.55	['RNF216', 'OTUD5', 'TRAF3IP1', 'RNF125', 'LILRB1', 'YY1', 'CACTIN', 'SIRPA', 'NPLOC4', 'NLRC3', 'ITCH', 'REL', 'GPATCH3', 'CYLD', 'IL10', 'MIR21', 'PPM1B', 'PYCARD', 'NLRX1', 'GBP7', 'RELB', 'HAVCR2', 'DHX58', 'NMI']
GOBP_REGULATION_OF_BRANCHING_MORPHOGENESIS_OF_A_NERVE	1	0.24294943658652218	1.393741357853519	1.0	9.45	['LRRK2', 'RTN4', 'MAP3K13']
