pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_POLYSACCHARIDE_METABOLIC_PROCESS	1	0.24979704787652182	-1.5422909011746149	1.0	11.76	['PYGL', 'PHKA1', 'AKT2', 'PPP1CC', 'GYS1', 'HAS2', 'IGF1', 'GYG1', 'GBE1', 'ENPP1', 'UGP2', 'ACADM', 'LEPR', 'PPP1R2', 'AGL', 'PFKM', 'PPP1CB', 'INPP5K', 'MGAM', 'STK40', 'PHKA2', 'SORBS1', 'PRKAG2']
GOBP_NEGATIVE_REGULATION_OF_TOR_SIGNALING	1	0.24968745841299836	-1.5421589313584818	1.0	57.76	['ARNTL', 'SESN2', 'SESN1', 'FNIP1', 'DEPDC5', 'SZT2', 'STK11', 'ATM', 'UBR2', 'ITFG2', 'MAPKAPK5', 'SPAAR', 'DDIT4', 'GSK3A', 'UBR1', 'TSC1', 'PDCD6', 'TSC2', 'AKT1S1', 'MTM1', 'BMT2', 'RNF152', 'ENDOG', 'PRKAA2', 'EPM2A', 'SIRT1', 'TMEM127', 'FLCN', 'NPRL3', 'PRKAA1']
GOBP_CELLULAR_RESPONSE_TO_STEROID_HORMONE_STIMULUS	1	0.24898766125416746	-1.5432015827321117	1.0	35.84	['ARNTL', 'UBR5', 'STRN3', 'LMO3', 'USP8', 'NCOR1', 'YAP1', 'PARK7', 'PTGES3', 'PLPP1', 'ACVR1', 'PPARA', 'TMF1', 'ATP1A1', 'NKX3-1', 'DAB2', 'TADA3', 'KLF9', 'RXRB', 'CNOT2', 'ANXA1', 'NR2C1', 'AKR1C3', 'UFSP2', 'REST', 'SAFB', 'SRD5A1', 'ATP2B1', 'ATP1A2', 'BCL2L11', 'VPS11', 'TFPI', 'PPARGC1B', 'HDAC6', 'CNOT1', 'NCOA4', 'EP300', 'ZNF366', 'UBE3A', 'CFLAR', 'URI1', 'CASP9', 'KDM3A', 'RHOA', 'PMEPA1', 'HDAC1', 'RBFOX2', 'CALCOCO1', 'CNOT9', 'AIFM1', 'SGK1', 'KDM1A', 'PGR', 'ARID1A', 'PRMT2', 'KDM4C', 'LATS1', 'RWDD1', 'RNF14', 'NR4A3', 'PGRMC2', 'NEDD4', 'SKP2', 'UFL1', 'MED1', 'PIAS2', 'FBXO32', 'KANK2', 'DDX17', 'FOXO3', 'CRY1', 'RXRA', 'KMT2D', 'NR3C1', 'HSPA8', 'SIRT1', 'CRY2', 'RNF6', 'JAK2', 'CLOCK']
GOBP_VASCULAR_ENDOTHELIAL_CELL_PROLIFERATION	1	0.24865092760106283	-1.5452505800246255	1.0	58.2	['STAT3', 'MIR193A', 'MIR21', 'APLN', 'MIR492', 'MIR29C', 'MEF2C', 'PDPK1', 'FGF2', 'PPARG', 'ITGA4', 'MIR27A', 'MIR24-1', 'CCL2', 'HMGB1', 'ADAM17', 'PLCG1', 'IGF2', 'SP1', 'AKT3', 'FLT1']
GOBP_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING	1	0.24851736078692208	-1.5451427524715238	1.0	27.73	['CALM1', 'CDH13', 'BST1', 'PLEK', 'HOMER2', 'LMCD1', 'NFAT5', 'IGF1', 'P2RX5', 'HTT', 'CCL3', 'AKAP6', 'TMBIM4', 'DYRK2', 'LRRK2', 'CAMTA1', 'PDK2', 'ATP2B4', 'TMEM100', 'SELENOK', 'CMKLR1', 'CHP1', 'RGN', 'GSK3B', 'MTOR', 'CALM2', 'CD4', 'CD22']
GOBP_MYOTUBE_DIFFERENTIATION	1	0.24837571873060327	-1.5439465623611743	1.0	64.64	['JAM2', 'MYEF2', 'CAV2', 'ADAM12', 'NOTCH1', 'NFATC2', 'TANC1', 'HDAC4', 'NLN', 'BIN3', 'BHLHA15', 'ADAMTS15', 'SIX4', 'STAC3', 'ACTA1', 'BCL9', 'PLD3', 'CD53', 'PLEC', 'PPP3CA', 'DNER', 'HDAC1', 'HDAC9', 'NKX2-5', 'MAML1', 'EHD1', 'IGF1', 'RBM38', 'SHOX2', 'ITGB1', 'PIEZO1', 'P2RX2', 'FBXO22', 'CYP26B1', 'RBM24', 'SIX1', 'MEF2C', 'MAPK14', 'HDAC5', 'ATP11A', 'KLHL41', 'WNT10B', 'CAPN2', 'CD81', 'RYR1', 'TMEM182', 'TBX1', 'SKI', 'MYOF', 'GPX1', 'PLEKHO1', 'EHD2', 'HOMER1', 'KCNH1', 'KEL', 'CEACAM5', 'TMEM119', 'MAMSTR', 'IL4R', 'BHLHE41', 'DMPK', 'CNTNAP1', 'TNFSF14', 'CACNA1H', 'SMYD1', 'SORT1', 'HDAC3', 'DYRK1B', 'SELENON', 'PTGFRN', 'CFLAR', 'MTOR', 'XK']
GOBP_PROTEIN_STABILIZATION	1	0.24827553095729304	-1.5451170273650683	1.0	12.52	['STX12', 'SAV1', 'PTEN', 'TAF1', 'CRTAP', 'RASSF2', 'CREBL2', 'USP19', 'ANK2', 'STXBP1', 'PARK7', 'USP9X', 'MFSD1', 'UBE2B', 'RTN4', 'FBXW7', 'PLPP3', 'IGF1', 'PRKRA', 'ZBED3', 'PPARGC1A', 'PER3', 'MUL1', 'SMAD7', 'PRKCD', 'MORC3', 'BAG2', 'ATP1B3', 'PINK1', 'USP13', 'PEX19', 'PARVA', 'USP2', 'AAK1', 'USP33', 'CCNH', 'CREB1', 'CHP1', 'RABL3']
GOBP_CELLULAR_RESPONSE_TO_TESTOSTERONE_STIMULUS	1	0.24817497936533073	-1.5459322272988827	1.0	16.3	['RWDD1', 'MSN', 'ROCK2', 'SIRT1', 'NCOA4', 'SRD5A1']
GOBP_POSITIVE_REGULATION_OF_CARTILAGE_DEVELOPMENT	1	0.24813041852103165	-1.5462082195727074	1.0	56.55	['ZBTB16', 'SMAD1', 'WNT5A', 'RUNX2', 'LOXL2', 'BMP6', 'POR', 'ZNF219', 'ACVRL1', 'FGF18', 'SMAD7', 'BMP4', 'SOX5', 'BMPR2', 'PKDCC', 'TAPT1', 'SOX6', 'BMP1', 'BMP2', 'HOXA11', 'GDF5', 'SCX']
GOBP_REGULATION_OF_EMBRYONIC_DEVELOPMENT	1	0.24808240517261082	-1.5450546404475025	1.0	19.68	['TRIP12', 'CTNNB1', 'CLASP2', 'DAG1', 'CLASP1', 'DHX36', 'PHLDB1', 'LAMA2', 'ZBED3', 'WDPCP', 'AMOT', 'LAMA4', 'TENM4', 'PHLDB2', 'EHMT1', 'PAFAH1B1', 'TBX18', 'NR2C2', 'NIPBL', 'NPHP3']
GOBP_MACROPHAGE_ACTIVATION	1	0.24798711959827874	-1.5446860915586857	1.0	18.62	['CD84', 'IL1RL1', 'RORA', 'IL10', 'CD93', 'CTSC', 'VSIG4', 'ATM', 'ADGRF5', 'MYO18A', 'ITGAM', 'TLR4', 'TLR3', 'CRTC3', 'SYT11', 'PJA2', 'CCL3', 'SLC11A1', 'IFNGR2', 'LRRK2', 'TLR6', 'FCGR2B', 'MIR142', 'STAP1', 'PLA2G4A', 'C5AR1', 'IFNGR1', 'JAK2', 'HAVCR2', 'SUCNR1']
GOBP_SMOOTH_MUSCLE_CELL_MIGRATION	1	0.24789450218945921	-1.5450013128146467	1.0	17.35	['SLIT2', 'PRKG1', 'RHOA', 'HAS2', 'TLR4', 'TRIB1', 'IGF1', 'ITGB3', 'MEF2C', 'NRP1', 'ADAMTS1', 'GNA12', 'CRK', 'LRP1', 'PARVA', 'MIR214', 'TPM1', 'PDGFRB', 'FOXO4', 'AGT', 'DOCK4', 'DOCK7']
GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_BACTERIUM	1	0.24782133163412115	-1.544610346160988	1.0	25.44	['MAPKBP1', 'ARG2', 'HAVCR2', 'SIRT2']
GOBP_CYCLIC_NUCLEOTIDE_CATABOLIC_PROCESS	1	0.24758136312139975	-1.5468995442650475	1.0	29.71	['PDE8A', 'PDE7B', 'PDE7A', 'PDE2A', 'PDE4D', 'PDE10A', 'PDE8B', 'PDE4A']
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME	1	0.24559378663041387	-1.5495252671705475	1.0	39.29	['TNKS', 'SPDL1', 'TNKS2', 'MAU2', 'MCM8', 'RCC2', 'VCP', 'RPA1', 'XRCC4', 'FAM47E', 'ZWILCH', 'ATRX', 'TPP1', 'GNL3L', 'RB1', 'BRCA2', 'ZW10', 'PPHLN1', 'CCT6A', 'BOD1', 'JARID2', 'IK', 'CCT4', 'PARP3', 'SMC5', 'SETD2', 'CTCF', 'CHAMP1', 'POT1', 'MTBP', 'SLF1', 'MCM9', 'ATR', 'HDAC8', 'GNL3', 'DKC1', 'WAPL', 'SLF2', 'MRNIP', 'XRCC5', 'KNL1', 'IFFO1', 'MSH2', 'RPA2', 'CHMP7', 'NIPBL']
GOBP_POSITIVE_REGULATION_OF_PROTEIN_BINDING	1	0.2455839615688012	-1.5497665558925442	1.0	21.91	['PPP2CB', 'NMD3', 'TAF1', 'CAPRIN2', 'PLCL1', 'IDE', 'MAPRE3', 'CTHRC1', 'BLK', 'PLCL2', 'RALB', 'MFNG', 'FKBP1A', 'NRP1', 'PKD1', 'LRRK2', 'ANXA2', 'ADD1', 'LRP1', 'PPP2CA', 'SPAG8', 'USP33', 'STK4', 'AKTIP', 'RAPGEF2', 'BMP2', 'SPON1', 'GSK3B']
GOBP_POSITIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_NEURON_DEATH	1	0.24555140419722665	-1.5490658203455165	1.0	24.97	['REST', 'MCL1', 'FBXW7', 'TLR4', 'TLR6']
GOBP_REGULATION_OF_VACUOLE_ORGANIZATION	1	0.24553574289686728	-1.548868773635954	1.0	53.5	['SMCR8', 'SNX18', 'PIP4K2B', 'UBQLN2', 'SNX30', 'BECN1', 'ATG2A', 'TMEM106B', 'IFT88', 'CHMP4A', 'RALB', 'RAB1B', 'FEZ2', 'SCFD1', 'SEC22B', 'WDR45', 'FEZ1', 'MTMR3', 'RAB5A', 'RNF5', 'LRRK2', 'SH3GLB1', 'MTM1', 'ADPRH', 'ANXA2', 'RAB3GAP2', 'WIPI1', 'TBC1D14', 'PINK1', 'C9orf72', 'TBC1D12', 'RAB3GAP1', 'TMEM39A', 'PIP4K2A', 'SNX7', 'PIKFYVE']
GOBP_PROTEIN_LOCALIZATION_TO_PHAGOPHORE_ASSEMBLY_SITE	1	0.24548794718457376	-1.551012391943315	1.0	40.02	['WIPI2', 'ATG9B', 'TRAPPC8', 'MFN2', 'ATG9A', 'LRBA', 'PIK3C3', 'ATG16L1', 'WIPI1', 'ATG13', 'PACS2', 'STX17']
GOBP_POLY_A_PLUS_MRNA_EXPORT_FROM_NUCLEUS	1	0.2454783405520896	-1.5507708358144223	1.0	51.13	['ZC3H11A', 'SARNP', 'NUP93', 'POLDIP3', 'PCID2', 'NXF1', 'THOC2', 'ZC3H11B', 'DDX19A', 'DDX19B', 'NUP133', 'IWS1', 'HHEX', 'MCM3AP']
GOBP_ACTIN_FILAMENT_SEVERING	1	0.2454308633992365	-1.5494326314822822	1.0	43.0	['VIL1', 'AVIL', 'GMFG', 'FMNL1', 'SVIL', 'GMFB', 'SRGAP2', 'FLII', 'GSN', 'SCIN', 'VILL', 'CFL2']
GOBP_LONG_TERM_MEMORY	1	0.24542098248179525	1.7386398625645065	1.0	10.6	['LDLR', 'DRD2', 'RELN', 'CAMK2N1', 'KAT2A', 'NFATC4', 'RASGRF1', 'PRKCZ', 'PTCHD1', 'PRNP', 'EHMT2']
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS	1	0.2454137227740658	-1.550598626523183	1.0	18.73	['PTEN', 'RORA', 'USP19', 'NDUFS2', 'CYBB', 'CPEB2', 'ROCK2', 'SLC29A1', 'PDK1', 'CPEB1', 'PTGS2', 'RBPJ', 'CBL', 'BNIP3L', 'SLC8A1', 'TIGAR', 'CPEB4', 'TSC1', 'AIFM1', 'FOXO3', 'FOXO1', 'NOX1', 'VEGFA', 'NKX3-1', 'PINK1', 'HIF1AN', 'EGLN1', 'SIRT4', 'PPARG', 'CD34', 'MIR214', 'PGK1', 'SIRT1', 'NDRG1', 'NDNF', 'CITED2', 'ATF2', 'CFLAR', 'EPAS1', 'MTOR', 'ACAA2', 'ATG7']
GOBP_REGULATION_OF_VESICLE_MEDIATED_TRANSPORT	1	0.24535290865604614	-1.5504282990479623	1.0	33.03	['NR1H3', 'CSPG5', 'RAB8B', 'CHMP3', 'VPS4B', 'UBQLN2', 'NCKAP1L', 'SYNJ1', 'RABGEF1', 'STXBP1', 'ATP9A', 'SPHK2', 'CLASP1', 'ITGAM', 'LGALS3', 'IL15', 'ARHGAP1', 'ITGB3', 'FES', 'RAB5A', 'SFRP4', 'CD36', 'CNR1', 'IL15RA', 'BCR', 'SAR1B', 'RPH3AL', 'RAB10', 'VEGFA', 'ATP2C1', 'PTAFR', 'ABL1', 'LRP1', 'APPL1', 'STX4', 'DAB2', 'ROCK1', 'RAB12', 'CNST', 'GSK3B', 'ADRA2A', 'MCTP1', 'STXBP5', 'PREPL', 'DTNBP1', 'ANXA1', 'CD84', 'FGR', 'NOTCH1', 'CD14', 'FMR1', 'BMP2K', 'GAB2', 'ANKRD13A', 'AXL', 'REST', 'MTMR2', 'PTX3', 'VAMP2', 'VAMP7', 'SMAP1', 'RSC1A1', 'PCLO', 'B2M', 'AHI1', 'WASL', 'EEF2K', 'NDRG4', 'STON1', 'MKLN1', 'BTBD9', 'GAS1', 'P2RY1', 'VPS11', 'SYTL4', 'SLC11A1', 'LRRK2', 'C12orf4', 'ARRB2', 'NUMB', 'ZDHHC2', 'ZFYVE16', 'DYSF', 'CHRNA6', 'DGKD', 'SNAPIN', 'RAP1A', 'SNX17', 'IL13RA2', 'KCNB1', 'RINT1', 'PICALM', 'RAB33B', 'TBC1D20', 'CDH13', 'FER', 'PIK3CB', 'ATP2A2', 'ADGRE2', 'STX1B', 'CASK', 'BLK', 'IL1B', 'STAM', 'STXBP3', 'DNM2', 'ACSL3', 'ARFIP1', 'CD151', 'CAMK1D', 'MIB1', 'ANGPT1', 'RAB21', 'DOCK2', 'NEU3', 'STX18', 'SDCBP', 'ANKFY1', 'MSN', 'RAB27B', 'SELE', 'BVES', 'RAB3C', 'FGB', 'EHD2', 'FCGR2B', 'PPP3CC', 'RAP1B', 'DNAJC13', 'VPS4A', 'RAB3GAP1', 'ATG3', 'GRIPAP1', 'SNX12', 'SNX3', 'CBLL1', 'CD22', 'TBC1D5', 'PDCD6IP', 'SYT11', 'ITGAV', 'LDLRAP1', 'ANO6', 'LILRB1', 'WNT5A', 'FGG', 'CD2AP', 'AKT2', 'SMPD1', 'SAR1A', 'IFNG', 'TGM2', 'GNAI2', 'CLASP2', 'MYO18A', 'BET1L', 'C2CD5', 'ABL2', 'HNRNPK', 'CBL', 'SCYL2', 'MAP2K1', 'C3', 'NRP1', 'YIPF5', 'PPP3CB', 'GOPC', 'ANXA2', 'RUFY1', 'RAB31', 'TBC1D4', 'GPC3', 'EPHA3', 'HIP1', 'AAK1', 'SYT15', 'STAP1', 'RUFY2', 'RDX', 'ACTN2']
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_STRESS	1	0.24516209522754626	-1.5517443471853756	1.0	38.36	['NR1H3', 'SERINC3', 'EIF4G1', 'ARNTL', 'WDR48', 'PTEN', 'UBR5', 'NFE2L2', 'KLHL15', 'PNPLA8', 'RNASEH2B', 'UBQLN2', 'PPP4R3B', 'PTPRS', 'XIAP', 'ATM', 'BRCC3', 'ULK4', 'NCOR1', 'PARG', 'PARK7', 'CRHBP', 'FIGNL1', 'RELL1', 'FBXO7', 'KLHL31', 'DHFRP1', 'DHX9', 'AXIN2', 'DLG1', 'MAP3K3', 'SASH1', 'EPC2', 'MDM2', 'TMEM33', 'CNTF', 'OPA1', 'DIXDC1', 'CD36', 'NDEL1', 'HIPK3', 'NOX1', 'RNF169', 'DDAH1', 'VEGFA', 'NKX3-1', 'DUSP10', 'SOD2', 'ALOX5', 'POLH', 'RAP2A', 'ABL1', 'HAND2', 'STK39', 'ERCC4', 'VASH1', 'SLF2', 'EIF2AK2', 'MMS19', 'MAP4K4', 'CEBPG', 'CXCL12', 'EPC1', 'GSK3B', 'MTOR', 'FBLN5', 'NAIP', 'RIPK1', 'RPA2', 'BABAM1', 'PRKDC', 'ZKSCAN3', 'PDE8A', 'OGG1', 'MTURN', 'TIRAP', 'FMR1', 'DUSP3', 'ITCH', 'TP53BP1', 'TRIP12', 'SEMA3A', 'MSX1', 'CUL4A', 'PTPN2', 'ROCK2', 'SMCHD1', 'REST', 'NACC2', 'ING4', 'MAP3K4', 'TAOK1', 'ZNF622', 'MAPK7', 'USP25', 'MORF4L1', 'EP400', 'B2M', 'DUSP22', 'TAOK2', 'MFHAS1', 'BCL2L11', 'SETD2', 'RBBP8', 'VPS13C', 'FAM168A', 'LRRK2', 'VNN1', 'TLR6', 'PINK1', 'RNF168', 'USP13', 'HDAC6', 'CD34', 'EP300', 'FEM1B', 'DNAJB6', 'DEK', 'MCL1', 'CCAR2', 'AUNIP', 'TRIM32', 'MORF4L2', 'MRNIP', 'HDAC3', 'LANCL1', 'FKTN', 'BMP2', 'SLC38A2', 'MAP3K10', 'PHLPP1', 'USP47', 'XDH', 'EYA1', 'CASP9', 'PIK3CB', 'RNF8', 'THOC1', 'IL10', 'RAD52', 'TNIK', 'MBTD1', 'KLF4', 'USP19', 'BRD8', 'CTNNB1', 'ACTR2', 'DNAJB1', 'USP14', 'IL1B', 'YBX3', 'NME5', 'FBXW7', 'PTGS2', 'TLR3', 'FYN', 'MECOM', 'DYRK1A', 'HLA-G', 'ARG2', 'ZMYND11', 'SDCBP', 'TAF9B', 'TRAP1', 'PARP3', 'TSC1', 'RB1CC1', 'RIF1', 'FOXO1', 'KDM1A', 'ZNF675', 'FXR2', 'TRAF3', 'FXR1', 'SLF1', 'POT1', 'ATXN3', 'TNFRSF19', 'NEK6', 'HERPUD1', 'FCGR2B', 'NEK4', 'ARL6IP5', 'NCK1', 'PAFAH1B1', 'BCLAF1', 'TFIP11', 'PRRX1', 'KMT5B', 'TAOK3', 'RNFT1', 'CREBBP', 'SVIP', 'MAP3K5', 'MBTPS2', 'PIGBOS1', 'AIDA', 'SMG1', 'BCL6', 'FBXO4', 'HELB', 'UIMC1', 'MAPKAP1', 'BAG5', 'CYLD', 'WNT5A', 'SKIL', 'OXR1', 'NR4A3', 'STK25', 'RASSF2', 'SFPQ', 'DHFR', 'DDIT3', 'COPS3', 'ING3', 'PPP4R2', 'LRIG2', 'SLC25A23', 'PLK2', 'PIK3R1', 'USP1', 'PPP1R15A', 'TLR4', 'UFL1', 'ABCA7', 'ERCC8', 'HNRNPK', 'MAPK1', 'HGF', 'PJA2', 'CHORDC1', 'ETAA1', 'MAP2K1', 'NONO', 'ERCC6', 'TIGAR', 'ATAD5', 'AIFM2', 'EYA3', 'ARHGEF2', 'DDX39B', 'FOXO3', 'CRY1', 'PRKCD', 'MAP3K20', 'GADD45A', 'ABCD1', 'CDKN2D', 'DNAJC2', 'ATR', 'SCIMP', 'MDFIC', 'RBL1', 'SPP1', 'TPD52L1', 'VPS72', 'LPCAT3', 'PPP1R15B', 'SIRT1', 'YEATS4', 'ZNF277', 'ZNF365', 'CLEC7A', 'UBQLN1', 'SCARF1', 'TRRAP', 'NUAK1', 'MIR22', 'ARID2', 'AKT3', 'DUSP19']
GOBP_POSITIVE_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE	1	0.24514944939192362	-1.5503649928000012	1.0	18.12	['LPL', 'PLIN5', 'OSBPL11', 'FITM2', 'PLIN2']
