pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1	0.24763250391162345	-1.4571691160125864	1.0	20.55	['ARPC5', 'RAF1', 'AMPH', 'PIP4K2B', 'AKT2', 'GAB2', 'ARPC1A', 'SPHK2', 'CRKL', 'PIK3R1', 'PLPP3', 'ASAP2', 'PLPP1', 'DOCK2', 'MAP2K1', 'DNM1L', 'FCGR2A', 'CRK', 'PRKCD', 'FCGR2B', 'CFL2', 'ASAP1', 'FCGR2C', 'DNM1', 'WASF3', 'PLA2G4A', 'WASF2', 'PIK3R5', 'ARPC2', 'PIK3CA', 'PIKFYVE']
KEGG_P53_SIGNALING_PATHWAY	1	0.24661117717003567	1.9216097158581584	1.0	53.64	['PPM1D', 'SIAH1', 'RPRM', 'CDK4', 'EI24', 'GADD45G', 'SESN3', 'CHEK1', 'THBS1', 'CHEK2', 'MDM4', 'CCNB3', 'CDKN2A', 'TNFRSF10B', 'DDB2', 'ADGRB1', 'CDK1', 'RRM2', 'GTSE1', 'CASP8', 'CDK6', 'TP53', 'CCNG2', 'BID', 'CCNE2', 'TP53AIP1', 'CCND1', 'SHISA5', 'STEAP3', 'ZMAT3', 'SERPINB5', 'FAS', 'SFN', 'BBC3', 'CCNB1', 'CCND3', 'TP53I3', 'BAX', 'CDK2', 'PERP', 'CCNB2', 'PIDD1', 'IGFBP3', 'CD82', 'TP73', 'GADD45B', 'CCND2', 'PMAIP1', 'SERPINE1']
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	1	0.24592445473020938	-1.452961103571554	1.0	16.56	['ACAA1', 'HSD17B12', 'FADS1', 'ELOVL5', 'ELOVL6', 'PECR', 'HACD2', 'ACOX1', 'HADHA']
KEGG_ARACHIDONIC_ACID_METABOLISM	1	0.2458858501783591	1.6242358258492502	1.0	56.03	['PTGIS', 'CYP2J2', 'PLA2G12A', 'GGT5', 'GGT6', 'GPX7', 'PLA2G3', 'GGT1', 'PLA2G10', 'CBR3', 'LTA4H', 'PLA2G2D', 'PLA2G2A', 'PTGES2', 'LTC4S', 'JMJD7-PLA2G4B', 'GPX3', 'PLA2G6', 'GGT7', 'ALOX12', 'CYP2E1', 'PLA2G4B', 'ALOX15B', 'GPX1', 'CYP4F3', 'PTGES', 'PLA2G5', 'CBR1', 'CYP2C8', 'GPX2', 'EPHX2', 'PTGDS', 'ALOX15']
KEGG_CHRONIC_MYELOID_LEUKEMIA	1	0.23060780628434924	-1.4785530365679855	1.0	33.38	['SMAD4', 'KRAS', 'RAF1', 'PIK3CB', 'AKT2', 'GAB2', 'SOS2', 'TGFBR2', 'RUNX1', 'HDAC1', 'SHC3', 'PIK3R1', 'CRKL', 'CHUK', 'RB1', 'SOS1', 'MECOM', 'CBL', 'STAT5B', 'MAP2K1', 'ARAF', 'CRK', 'BCR', 'IKBKG', 'NFKB1', 'STAT5A', 'ABL1', 'CDKN1A', 'CBLB', 'CDKN1B', 'BRAF', 'PIK3R5', 'AKT3', 'PTPN11', 'PIK3CA']
KEGG_LINOLEIC_ACID_METABOLISM	1	0.21797489074540205	1.719649433876683	1.0	55.92	['PLA2G5', 'JMJD7-PLA2G4B', 'PLA2G10', 'PLA2G6', 'PLA2G2D', 'CYP2E1', 'CYP2J2', 'PLA2G12A', 'PLA2G4B', 'CYP2C8', 'AKR1B10', 'PLA2G2A', 'PLA2G3', 'ALOX15']
KEGG_MAPK_SIGNALING_PATHWAY	1	0.2107633788927471	-1.5046576755478007	1.0	18.2	['CD14', 'CACNA2D3', 'RAF1', 'MAPK9', 'MKNK2', 'PPM1A', 'AKT2', 'DUSP3', 'RASGRP4', 'MKNK1', 'FGF13', 'CACNA2D1', 'MRAS', 'SOS2', 'TGFBR2', 'RASA2', 'IL1B', 'MAP3K14', 'MAP3K4', 'TAOK1', 'IL1R2', 'RASGRF2', 'RRAS2', 'SOS1', 'PRKACA', 'PPM1B', 'MAP3K2', 'CHUK', 'MECOM', 'MAP2K5', 'MAP2K1', 'MEF2C', 'TAOK2', 'MAPK14', 'GNA12', 'CRK', 'RASGRP2', 'PPP3CB', 'MAP3K20', 'RASGRP3', 'PPP3R1', 'FGF2', 'NFKB1', 'HSPA8', 'PPP3CC', 'MAPK10', 'RAP1B', 'TNFRSF1A', 'PDGFRB', 'PLA2G4A', 'CHP1', 'MAP3K5', 'MAP4K4', 'RPS6KA2', 'RAPGEF2', 'CACNB1', 'ATF2', 'NF1', 'MAP4K3', 'RAP1A', 'MAPK8']
KEGG_BASAL_TRANSCRIPTION_FACTORS	1	0.2107177238207295	-1.5104797470057865	1.0	24.67	['TAF9B', 'GTF2B', 'TAF1L', 'TBP', 'TAF1', 'GTF2A1', 'GTF2E2', 'GTF2I', 'GTF2H3', 'GTF2H1', 'TAF5', 'GTF2A2', 'TAF13', 'TBPL1', 'STON1']
KEGG_GLUTATHIONE_METABOLISM	1	0.2024321694951897	1.8393793874999134	1.0	62.09	['ODC1', 'GSTO1', 'GSTK1', 'SRM', 'GSTA1', 'GGT5', 'GGT6', 'ANPEP', 'GPX7', 'GCLM', 'SMS', 'RRM2', 'GGT1', 'RRM2B', 'MGST2', 'GSTZ1', 'GSTA2', 'GPX3', 'GSTM1', 'GSTA4', 'GGT7', 'GSR', 'G6PD', 'GPX4', 'OPLAH', 'GPX1', 'IDH2', 'GSTA3', 'GSTM5', 'TXNDC12', 'GSTM3', 'GSTO2', 'MGST1', 'GSTP1', 'GSS', 'GGCT', 'GPX2', 'GSTT2', 'GSTM2']
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	1	0.19557453248297482	1.805762136566429	1.0	18.79	['ABO', 'FUT2', 'B3GALT5', 'B3GNT4', 'FUT6', 'B4GALT3', 'B3GNT3', 'FUT9', 'ST8SIA1', 'FUT5', 'B4GALT1', 'FUT3']
KEGG_REGULATION_OF_AUTOPHAGY	1	0.18756290951178103	-1.5395858215313594	1.0	65.96	['ATG4C', 'GABARAPL2', 'BECN1', 'ATG5', 'IFNG', 'ULK1', 'ATG4D', 'GABARAP', 'ATG4A', 'PIK3C3', 'ATG12', 'PIK3R4', 'PRKAA2', 'GABARAPL1', 'ATG3', 'ATG4B', 'ULK2', 'ATG7', 'PRKAA1']
KEGG_ENDOMETRIAL_CANCER	1	0.17680613181257776	-1.5591842694026932	1.0	7.88	['SOS2', 'PTEN', 'ILK', 'RAF1', 'ARAF', 'CTNNB1', 'SOS1', 'AKT2', 'MLH1', 'APC', 'PIK3R5', 'PIK3CA', 'MAP2K1']
KEGG_COLORECTAL_CANCER	1	0.17609196532075985	-1.56590379124482	1.0	33.12	['SMAD4', 'KRAS', 'RAF1', 'MAPK9', 'CASP9', 'PIK3CB', 'AKT2', 'SMAD2', 'RHOA', 'CTNNB1', 'TGFBR2', 'PIK3R1', 'AXIN2', 'MAP2K1', 'CYCS', 'ARAF', 'CASP3', 'MSH6', 'MLH1', 'APPL1', 'MAPK10', 'BRAF', 'MSH2', 'GSK3B', 'MSH3', 'APC', 'PIK3R5', 'AKT3', 'PIK3CA', 'MAPK8']
KEGG_LYSINE_DEGRADATION	1	0.17143841884455854	-1.5768745154768549	1.0	14.52	['ALDH9A1', 'SETD2', 'EHHADH', 'ACAT1', 'PLOD2', 'NSD1', 'SETD7', 'ALDH3A2', 'DLST', 'AASS', 'HADH', 'AASDH', 'TMLHE', 'HADHA', 'OGDH']
KEGG_AXON_GUIDANCE	1	0.17034194501495334	1.79813632122992	1.0	22.17	['CFL1', 'RAC2', 'SEMA4B', 'UNC5B', 'PLXNB3', 'NTN1', 'SEMA5A', 'CXCR4', 'EFNB2', 'SEMA3D', 'SEMA3C', 'NGEF', 'PAK1', 'NFATC4', 'SEMA4G', 'SEMA4A', 'PAK5', 'LIMK1', 'EFNA3', 'EPHB3', 'PAK6', 'EPHA1', 'PLXNB2', 'SEMA3F', 'EFNA5', 'PLXNA1', 'EFNA1', 'PAK4', 'PLXNC1', 'ROBO3', 'PTK2', 'SEMA7A', 'EPHA7', 'EFNA4', 'EFNB3', 'SRGAP1', 'SEMA4C', 'PLXNA3', 'EPHA4', 'EPHB1', 'NCK2', 'NTN4', 'EPHA2']
