pathway	freq	padj	stability	overlap	genes
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	1	1.2343525738790351e-08	1.0	0.38095238095238093	['ALDH9A1', 'DLD', 'AOX1', 'PCCA', 'ACAT1', 'OXCT1', 'MCCC1', 'HADHB', 'ACADM', 'HADH', 'ALDH6A1', 'ACAA2', 'HADHA', 'HIBADH', 'HMGCL', 'BCKDHB']
KEGG_CITRATE_CYCLE_TCA_CYCLE	1	3.32772518072537e-08	1.0	0.4482758620689655	['DLD', 'SDHA', 'CS', 'SUCLA2', 'SUCLG2', 'PDHA1', 'DLAT', 'DLST', 'IDH3A', 'SDHB', 'MDH1', 'SUCLG1', 'OGDH']
KEGG_PROPANOATE_METABOLISM	1	3.734719648766175e-08	1.0	0.43333333333333335	['ALDH9A1', 'ACACA', 'ACSS2', 'PCCA', 'ACAT1', 'SUCLA2', 'MLYCD', 'SUCLG2', 'ACACB', 'ACADM', 'ALDH6A1', 'HADHA', 'SUCLG1']
KEGG_INSULIN_SIGNALING_PATHWAY	1	1.1162396608129543e-05	1.0	0.176	['RAPGEF1', 'CBLC', 'ACACA', 'CALM1', 'PYGL', 'PRKAR2B', 'AKT2', 'PRKAB2', 'SHC4', 'RHOQ', 'SHC3', 'ACACB', 'SOS1', 'PRKACA', 'FBP1', 'PPARGC1A', 'MAP2K1', 'PDE3A', 'INPP5K', 'PHKA2', 'SORBS1', 'PIK3CA']
KEGG_LONG_TERM_POTENTIATION	1	0.00015854275261935411	1.0	0.22413793103448276	['RAP1B', 'CAMK2G', 'CALM1', 'CHP1', 'PPP3CB', 'PRKACA', 'PLCB4', 'PPP3R1', 'RPS6KA2', 'RAPGEF3', 'RAP1A', 'PPP3CC', 'MAP2K1']
KEGG_FATTY_ACID_METABOLISM	1	0.00021514384475438314	1.0	0.2777777777777778	['ALDH9A1', 'ACAT1', 'HADHB', 'ADH5', 'ACADM', 'HADH', 'ACAA2', 'ACOX1', 'HADHA', 'CPT1B']
KEGG_PYRUVATE_METABOLISM	1	0.0009470142407215085	1.0	0.2571428571428571	['ALDH9A1', 'DLD', 'ACACA', 'ACSS2', 'ACAT1', 'ACACB', 'PDHA1', 'DLAT', 'MDH1']
KEGG_APOPTOSIS	1	0.0009470142407215085	1.0	0.1728395061728395	['BID', 'IRAK2', 'PRKAR2B', 'CAPN2', 'AIFM1', 'CHP1', 'IRAK3', 'PPP3CB', 'AKT2', 'PRKACA', 'PPP3R1', 'CFLAR', 'PIK3CA', 'PPP3CC']
KEGG_BUTANOATE_METABOLISM	1	0.0009470142407215085	1.0	0.2857142857142857	['ALDH9A1', 'L2HGDH', 'ACAT1', 'OXCT1', 'PDHA1', 'HADH', 'HADHA', 'HMGCL']
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1	0.0022047729951421378	1.0	0.13934426229508196	['RAPGEF1', 'RAP1B', 'MAGED1', 'CAMK2G', 'CALM1', 'SHC4', 'IRAK2', 'SHC3', 'IRAK3', 'SORT1', 'RPS6KA2', 'AKT2', 'SOS1', 'RAP1A', 'PTPN11', 'PIK3CA', 'MAP2K1']
