pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_INTRACILIARY_RETROGRADE_TRANSPORT	1	0.24979954317880626	-1.4280431035075694	1.0	5.68	['DYNC2H1', 'WDR35', 'WDR19', 'TTC21B']
GOBP_DNA_STRAND_ELONGATION	1	0.24950996610650622	1.5635097922288734	1.0	19.53	['YY1', 'MCM4', 'LIG1', 'NBN', 'NUCKS1', 'LIG3', 'RUVBL2', 'INO80E', 'POLE', 'MCM3', 'ACTL6A', 'GINS1', 'RUVBL1', 'UCHL5', 'MCM7']
GOBP_HYDROGEN_SULFIDE_BIOSYNTHETIC_PROCESS	1	0.24873256594045634	-1.429890848890889	1.0	52.73	['CTH', 'CBSL', 'SP1', 'MPST', 'CBS', 'MIR21']
GOBP_NEGATIVE_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	1	0.24867713803079633	-1.4296145596541578	1.0	42.0	['CLASP2', 'ACVRL1', 'PTEN', 'DLC1', 'ITGB1BP1', 'APOD', 'RCC2', 'PHLDB2', 'CORO1C', 'DMTN', 'ARHGAP6', 'DUSP22']
GOBP_NEGATIVE_REGULATION_OF_CYTOPLASMIC_TRANSLATION	1	0.24863496638909738	-1.429828660191105	1.0	27.18	['CPEB2', 'CPEB4', 'CPEB1', 'CPEB3', 'FMR1']
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	1	0.24859779221987222	-1.429510619971793	1.0	20.15	['RIPK1', 'FOXO3', 'ABL1', 'HDAC6']
GOBP_REGULATION_OF_MYELINATION	1	0.24848966257538238	-1.4294412564792933	1.0	28.74	['JAM2', 'SIRT2', 'ZPR1', 'PTEN', 'DICER1', 'SLC25A12', 'LPIN1', 'CTSC', 'CTNNB1', 'NCMAP', 'MTMR2', 'DAG1', 'RNF10', 'HGF', 'CYFIP1', 'DLG1', 'TENM4', 'NKX6-2', 'EIF2AK3', 'WASF3', 'MTOR']
GOBP_EMBRYONIC_BRAIN_DEVELOPMENT	1	0.2484003581046324	-1.430361767279673	1.0	7.67	['CDC40', 'TBC1D23', 'CC2D2A', 'MED12', 'TRA2B', 'CTNNB1']
GOBP_SYNAPTIC_VESICLE_DOCKING	1	0.24815439160961442	1.5649246209444931	1.0	30.14	['UNC13B', 'PPFIA3', 'SNPH', 'SNAP25', 'STX1A', 'CTBP2']
GOBP_LENS_DEVELOPMENT_IN_CAMERA_TYPE_EYE	1	0.24800082468403856	1.5661973736986285	1.0	14.89	['WNT2B', 'SMAD3', 'FRS2', 'WNT5B', 'FZR1', 'NHS', 'NECTIN1', 'GATA3', 'TGFBR1', 'KDM5B', 'PYGO2', 'SPRED3', 'SLITRK6', 'SHROOM2', 'MEIS1', 'HSF4', 'BFSP1', 'SPRED2', 'FAT1', 'LCTL']
GOBP_POSITIVE_REGULATION_OF_CHONDROCYTE_PROLIFERATION	1	0.24799552137310013	1.5659201229103277	1.0	51.88	['SIRT6', 'SIX2', 'PBXIP1', 'COMP', 'LEF1', 'LTF', 'SOX9']
