pathway	freq	padj	stability	overlap	genes
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	7	3.932900461478117e-11	0.5	0.23846153846153847	['CUL5', 'HERC4', 'UBR5', 'PIAS1', 'XIAP', 'ITCH', 'CUL4B', 'TRIP12', 'ANAPC1', 'FBXW7', 'NEDD4', 'CUL2', 'ERCC8', 'CDC27', 'UBA2', 'PIAS2', 'BIRC2', 'UBA3', 'ANAPC4', 'HERC1', 'HERC2', 'CBLB', 'UBE3C', 'BIRC6', 'HUWE1', 'UBE4B', 'UBE2D3', 'UBE3A', 'CUL3', 'UBE2D1', 'CDC23']
KEGG_WNT_SIGNALING_PATHWAY	7	8.613325242776764e-05	0.5	0.16219119226638026	['PPP2CB', 'SMAD4', 'CTNNB1', 'ROCK2', 'APC', 'NFAT5', 'CHD8', 'PPP3CB', 'PLCB4', 'PPP3R1', 'TBL1XR1', 'DAAM1', 'MAPK10', 'EP300', 'LRP6', 'ROCK1', 'PPP2R5C', 'CREBBP', 'GSK3B', 'SENP2', 'PPP2R1B', 'MAPK8']
KEGG_PATHWAYS_IN_CANCER	7	8.995640446709686e-05	0.5	0.12042905899561192	['ITGAV', 'SMAD4', 'PTEN', 'RAF1', 'PIK3CB', 'CTNNA1', 'XIAP', 'PIAS1', 'RUNX1T1', 'CTNNB1', 'PLD1', 'ARNT', 'PIK3R1', 'CHUK', 'SOS1', 'CUL2', 'LAMA2', 'ITGB1', 'MECOM', 'PIAS2', 'DAPK2', 'BIRC2', 'MAP2K1', 'TPR', 'NFKB1', 'PTK2', 'APPL1', 'MAPK10', 'EP300', 'CBLB', 'BRAF', 'CREBBP', 'MITF', 'GSK3B', 'MTOR', 'APC', 'PIK3CA', 'MAPK8']
KEGG_ENDOMETRIAL_CANCER	7	0.00011987084165013608	0.5	0.2448979591836735	['PTEN', 'RAF1', 'PIK3R1', 'BRAF', 'PIK3CB', 'CTNNB1', 'SOS1', 'CTNNA1', 'GSK3B', 'APC', 'PIK3CA', 'MAP2K1']
KEGG_SPLICEOSOME	7	0.0001212991679297712	0.5	0.15873015873015875	['TCERG1', 'AQR', 'SLU7', 'THOC1', 'TRA2B', 'HNRNPU', 'THOC2', 'SRSF10', 'DDX46', 'SNRNP200', 'HNRNPK', 'SF3B1', 'PLRG1', 'RBM25', 'SF3A3', 'PRPF38B', 'CDC40', 'PRPF40A', 'DHX15', 'U2SURP']
KEGG_PROSTATE_CANCER	7	0.00014383642867921202	0.5	0.1870748299319728	['EP300', 'PDGFC', 'CREB1', 'PTEN', 'RAF1', 'BRAF', 'PIK3R1', 'CREBBP', 'CHUK', 'PIK3CB', 'SOS1', 'CTNNB1', 'GSK3B', 'MTOR', 'NFKB1', 'PIK3CA', 'MAP2K1']
KEGG_COLORECTAL_CANCER	7	0.0001465357498290739	0.5	0.21666666666666673	['MAPK10', 'SMAD4', 'RAF1', 'PIK3R1', 'BRAF', 'PIK3CB', 'CTNNB1', 'GSK3B', 'APC', 'PIK3CA', 'APPL1', 'MAP2K1', 'MAPK8']
KEGG_SMALL_CELL_LUNG_CANCER	7	0.00016462887886578773	0.5	0.1875	['ITGAV', 'APAF1', 'PIK3CA', 'PTEN', 'PIK3R1', 'CHUK', 'PIK3CB', 'LAMA2', 'XIAP', 'PIAS1', 'ITGB1', 'NFKB1', 'PIAS2', 'PTK2', 'BIRC2']
KEGG_PROPANOATE_METABOLISM	7	0.00017083718000290526	0.5	0.3	['ACACA', 'PCCA', 'ACAT1', 'HIBCH', 'SUCLA2', 'MLYCD', 'ACACB', 'ACADM', 'SUCLG1']
KEGG_CELL_CYCLE	7	0.000171050097191314	0.5	0.1604215456674473	['PRKDC', 'ORC4', 'SMAD4', 'ATM', 'TFDP2', 'ANAPC1', 'RAD21', 'CDC27', 'ANAPC4', 'SMC3', 'STAG1', 'STAG2', 'ORC2', 'ATR', 'EP300', 'CCNH', 'CREBBP', 'RBL2', 'GSK3B', 'CDC23']
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	7	0.00043000864227356377	0.5	0.1288056206088993	['ITGAV', 'RAF1', 'ABI2', 'PIK3CB', 'ARHGEF12', 'PDGFC', 'ROCK2', 'PIK3R1', 'SOS1', 'ITGB1', 'CYFIP1', 'TIAM2', 'IQGAP1', 'ARHGEF7', 'MAP2K1', 'PTK2', 'NCKAP1', 'SSH2', 'ROCK1', 'BRAF', 'ENAH', 'PPP1R12A', 'APC', 'PIK3CA']
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	7	0.00050230144886313	0.5	0.15686274509803924	['NCK1', 'CBLB', 'RAF1', 'PIK3R1', 'MALT1', 'NFAT5', 'CHUK', 'PIK3CB', 'SOS1', 'PPP3CB', 'GSK3B', 'PPP3R1', 'NFKB1', 'PIK3CA', 'DLG1', 'MAP2K1']
KEGG_TIGHT_JUNCTION	7	0.0005077236554160304	0.5	0.1547619047619048	['TJP1', 'EXOC4', 'ASH1L', 'PRKCH', 'PPP2CB', 'AFDN', 'PTEN', 'TJP2', 'PPP2R1B', 'EPB41L2', 'PPP2R2A', 'CTNNA1', 'MPDZ', 'CASK', 'PRKCI', 'MAGI2', 'CTNNB1']
KEGG_ERBB_SIGNALING_PATHWAY	7	0.0005705964235419752	0.5	0.1683673469387755	['NCK1', 'MAPK10', 'PIK3CA', 'CBLB', 'RAF1', 'PIK3R1', 'BRAF', 'GAB1', 'PIK3CB', 'SOS1', 'GSK3B', 'MTOR', 'PTK2', 'MAP2K1', 'MAPK8']
KEGG_RENAL_CELL_CARCINOMA	7	0.0005922518630177225	0.5	0.1836734693877551	['ARNT', 'EP300', 'RAF1', 'PIK3R1', 'BRAF', 'CREBBP', 'GAB1', 'PIK3CB', 'SOS1', 'CUL2', 'PTPN11', 'PIK3CA', 'MAP2K1']
KEGG_ADHERENS_JUNCTION	7	0.0005922518630177225	0.5	0.1836734693877551	['TJP1', 'EP300', 'FARP2', 'SMAD4', 'PTPRM', 'AFDN', 'CTNND1', 'FER', 'CREBBP', 'CTNNA1', 'SORBS1', 'IQGAP1', 'CTNNB1']
