pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_POSITIVE_REGULATION_OF_RRNA_PROCESSING	1	0.24994759336409486	1.6945717735589512	1.0	32.88	['DIMT1', 'HEATR1', 'WDR75', 'WDR43', 'RIOK2', 'UTP15', 'RIOK1']
GOBP_ESTABLISHMENT_OF_EPITHELIAL_CELL_POLARITY	1	0.24991253342790065	1.6956492283040048	1.0	71.65	['SYNE4', 'WNT5A', 'SLC9A3R1', 'CYTH1', 'ARF6', 'MYO9A', 'PTK7', 'TCF15', 'RHOA', 'MYO18A', 'CLASP1', 'LAMA1', 'TTC8', 'FRMD4B', 'EZR', 'FRMD4A', 'MSN', 'OPHN1', 'SIPA1L3', 'PARD3', 'RAP2A', 'IFT20', 'CAMSAP3', 'FBF1', 'SH3BP1', 'GOLPH3', 'HES1', 'FERMT1', 'FAT1', 'CDC42']
GOBP_THIOESTER_BIOSYNTHETIC_PROCESS	1	0.24956812021835006	1.6968990135061233	1.0	18.79	['DLD', 'PDHX', 'ACSS2', 'ACSBG1', 'ACAT1', 'MLYCD', 'ACSL1', 'ACACB', 'PDHA1', 'PDHB', 'DIP2A', 'PDK2', 'ELOVL6', 'PDK4', 'ELOVL3', 'HACD2', 'DLAT']
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_KINASE_B_SIGNALING	1	0.2494475349593853	1.6954948752952508	1.0	46.01	['PTPRJ', 'PTEN', 'OTUD3', 'SLC9A3R1', 'PIK3CB', 'BTN2A2', 'MAGI2', 'DAG1', 'MIR29C', 'HLA-G', 'DLG1', 'GPER1', 'DRD2', 'MUL1', 'PPARA', 'PDCD6', 'MTM1', 'ARRB2', 'PHLDA3', 'SIRT1', 'INPP5K', 'PLEKHA1', 'BANK1', 'RACK1', 'FLCN']
GOBP_POSITIVE_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS	1	0.24879278423909273	1.698083483720106	1.0	59.25	['EIF4G1', 'DHX29', 'METTL3', 'NFE2L2', 'YTHDF2', 'PLD1', 'SPHK2', 'GSAP', 'EIF3D', 'CSDE1', 'RBM3', 'TARBP2', 'GSK3A', 'DHX9', 'YBX1', 'CCL5', 'PTAFR', 'POLR2G', 'UPF3A', 'EPHA4', 'UQCC2', 'IL6', 'MTOR', 'EIF2S3', 'PRR16', 'PRKDC', 'NAT10', 'FMR1', 'EIF2B5', 'CDK5RAP1', 'ROCK2', 'POLDIP3', 'DHX36', 'RPS9', 'LARP1B', 'HABP4', 'LARP6', 'TRUB2', 'RPS4X', 'PINK1', 'CDC123', 'RCC1L', 'ITGA2', 'METTL14', 'NCK2', 'EIF6', 'RPL5', 'EIF2AK4', 'PICALM', 'PAIP1', 'TRMT10C', 'SIRT3', 'EIF4A3', 'HNRNPU', 'KHDRBS1', 'SYNCRIP', 'RPS6KB1', 'RHOA', 'EIF3E', 'KRT17', 'YBX3', 'CPEB3', 'MPV17L2', 'METTL5', 'RPUSD3', 'FXR2', 'FXR1', 'MRPS27', 'LARP4B', 'NCK1', 'C1QBP', 'FASTKD3', 'FASTKD2', 'SP1', 'CASP3', 'POLR2D', 'ZCCHC4', 'UHMK1', 'SOX4', 'SAMD4A', 'DDX3X', 'LARP4', 'CTIF', 'PTK2B', 'IFNG', 'TOB1', 'RPUSD4', 'BACE1-AS', 'IMPACT', 'AGO2', 'EIF4G2', 'NOD2', 'UPF3B', 'PRKCD', 'EFNA1', 'JMJD4', 'ELAVL1', 'RELA', 'USP16', 'CD28', 'PABPC1', 'PASK']
GOBP_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS	1	0.24819929438566246	1.6990124746613593	1.0	46.64	['SLC37A4', 'NLN', 'KAT2A', 'PGAM2', 'SESN2', 'PPP4R3B', 'CHST15', 'GPT', 'ARPP19', 'ADIPOQ', 'PTPN2', 'PGM1', 'AKR1A1', 'SIK1', 'SORD', 'SLC39A14', 'GPI', 'FBP1', 'PFKFB1', 'PPARGC1A', 'ENO2', 'PCK1', 'LEP', 'OGT', 'ZNF692', 'PPARA', 'KAT2B', 'CRY1', 'GPD1', 'FOXO1', 'PC', 'ACADM', 'PDK2', 'LEPR', 'SOGA1', 'AKR1B1', 'PER2', 'RBP4', 'CRTC2', 'PGK1', 'SIRT1', 'FAM3C', 'GNMT', 'RANBP2', 'RGN', 'PGD', 'CLK2', 'SLC25A13']
GOBP_PLANAR_CELL_POLARITY_PATHWAY_INVOLVED_IN_NEURAL_TUBE_CLOSURE	1	0.24734750052895654	1.7001049281994725	1.0	29.92	['DVL3', 'DVL2', 'WNT5A', 'NPHP3', 'PTK7', 'GRHL3', 'FZD1', 'SFRP1']
GOBP_REGULATION_OF_DEPHOSPHORYLATION	1	0.2455393522720441	1.7019890785835736	1.0	49.41	['CALM1', 'CD33', 'GPLD1', 'HSP90AB1', 'LPIN1', 'SMPD1', 'VRK3', 'MAGI2', 'ARPP19', 'PLEK', 'IFNG', 'MTMR4', 'PPP1R8', 'MTMR1', 'PPP2R5A', 'MTMR2', 'ROCK2', 'PPP1R7', 'DLC1', 'PPIA', 'MASTL', 'YWHAE', 'SRC', 'RIPK3', 'PTBP1', 'AMBRA1', 'BOD1L1', 'HSP90B1', 'BOD1', 'IQGAP1', 'MEF2C', 'PPP1R16B', 'DRD2', 'IGBP1', 'MTMR3', 'FKBP1A', 'GBA', 'MTMR9', 'MGAT5', 'GNA12', 'PPP6R2', 'SMG7', 'YWHAB', 'SPPL3', 'PPP2R3C', 'CDCA2', 'CDH5', 'PPP1R36', 'PINK1', 'PPP2R5D', 'SMG6', 'ANKLE2', 'SYMPK', 'PPP1R26', 'PPP6R3', 'PPP1R15B', 'ROCK1', 'INPP5K', 'SWAP70', 'IKBKB', 'CHP1', 'ITGA2', 'RGN', 'CRY2', 'TGFB1', 'BMP2', 'PPP1R12A', 'MTOR', 'PTPRC', 'NUAK1', 'URI1', 'SMG5', 'JAK2', 'GSK3B', 'SLC39A10']
GOBP_C_TERMINAL_PROTEIN_AMINO_ACID_MODIFICATION	1	0.24148458361231537	1.7058449396040873	1.0	60.92	['TTL', 'WIPI2', 'FOLH1B', 'GPLD1', 'ATG16L1', 'ATG12', 'AGBL5', 'FOLH1', 'ICMT', 'AGTPBP1', 'ATG5', 'ATG7', 'LCMT1']
GOBP_SPINDLE_ORGANIZATION	1	0.24017392865169984	1.7074241170187476	1.0	44.91	['HAUS8', 'VPS4B', 'ANKRD53', 'CHMP4C', 'NEK7', 'MAPRE3', 'AAAS', 'MAPK15', 'GPSM2', 'KIF3B', 'CLASP1', 'MAP9', 'ATRX', 'KIFC1', 'CEP63', 'GNAI1', 'DLG1', 'ESPL1', 'SPAST', 'DCTN2', 'STAG1', 'EML1', 'NUMA1', 'CEP97', 'SMC1A', 'GOLGA8B', 'CCNB2', 'GOLGA8A', 'MAPRE1', 'NUP62', 'TUBGCP6', 'HAUS6', 'CEP120', 'TOGARAM1', 'VCP', 'TUBGCP3', 'GOLGA2', 'INTS13', 'RCC1', 'CHD3', 'RAE1', 'RMDN1', 'KIF11', 'CEP72', 'CHMP2B', 'PIBF1', 'AUNIP', 'DCTN6', 'HDAC3', 'CCSAP', 'CCDC69', 'CENPH', 'MISP', 'CHMP7', 'RAB11A', 'HAUS1', 'CKAP5', 'CSNK1D', 'HAUS5', 'HNRNPU', 'RHOA', 'TUBGCP5', 'UVRAG', 'GOLGA2P5', 'EZR', 'SENP6', 'MLH1', 'TUBG2', 'STAG2', 'BCCIP', 'NEK6', 'TPR', 'SPICE1', 'CCNB1', 'CHMP1B', 'AURKB', 'PCNT', 'PDCD6IP', 'TNKS', 'MAP4', 'TUBB8', 'MYBL2', 'WRAP73', 'CENPJ', 'INO80', 'CLASP2', 'RPS3', 'PLK2', 'SBDS', 'LIMK2', 'CEP192', 'HAUS3', 'SMC3', 'WASHC5', 'ZNF207', 'EFHC2', 'MECP2', 'LSM14A', 'FBXO5', 'KIF2A', 'OFD1', 'HAUS2', 'DRG1', 'RNF4']
