pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.24629030698314117	1.4873040664223576	1.0	27.87	['AKT2', 'NRAS', 'VAV2', 'BLNK', 'SOS2', 'NFKBIE', 'VAV1', 'CARD11', 'SOS1', 'MAPK1', 'MAP2K1', 'RAC1', 'GRB2', 'PPP3CB', 'PPP3R1', 'DAPP1', 'SYK', 'FCGR2B', 'PPP3CC', 'BCL10', 'NFATC1', 'RELA', 'IKBKB', 'CHP1', 'INPP5D', 'MALT1', 'PIK3CD', 'PIK3R5', 'CD19', 'PIK3CA', 'PIK3R3']
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.2323575293263797	1.5070538681078542	1.0	43.14	['CBLC', 'KRAS', 'RASGRP1', 'MAPK9', 'PIK3CB', 'IL10', 'AKT2', 'NRAS', 'VAV2', 'CD3G', 'IFNG', 'RHOA', 'PPP3CA', 'MAP3K14', 'SOS2', 'VAV1', 'NFKBIE', 'NFAT5', 'CHUK', 'CARD11', 'SOS1', 'MAPK1', 'FYN', 'FOS', 'PAK2', 'CBL', 'DLG1', 'MAP2K1', 'LCK', 'MAPK14', 'PDPK1', 'GRB2', 'PPP3CB', 'TEC', 'CD8A', 'NFATC3', 'PPP3R1', 'MAPK13', 'PAK4', 'NFKB1', 'PPP3CC', 'BCL10', 'NCK1', 'NFATC1', 'RELA', 'CBLB', 'PLCG1', 'CD28', 'IKBKB', 'CHP1', 'MALT1', 'NCK2', 'PRKCQ', 'PIK3CD', 'PIK3R5', 'PIK3CA', 'PIK3R3']
KEGG_ONE_CARBON_POOL_BY_FOLATE	1	0.2317171365790237	1.5149512845581756	1.0	18.38	['ALDH1L1', 'SHMT1', 'MTHFD1', 'MTFMT', 'TYMS', 'AMT', 'DHFR', 'MTHFR']
KEGG_PATHWAYS_IN_CANCER	1	0.19537017556203873	1.5610229786511307	1.0	59.03	['CBLC', 'FADD', 'PTEN', 'JUP', 'CEBPA', 'RAD51', 'CSF2RA', 'CTNNA1', 'RARB', 'XIAP', 'RUNX1T1', 'BIRC3', 'CCDC6', 'PLD1', 'RUNX1', 'DVL2', 'CASP8', 'CHUK', 'RB1', 'CDK6', 'FOS', 'PPARD', 'COL4A6', 'FZD4', 'MDM2', 'SMO', 'BIRC2', 'RASSF1', 'BID', 'RAC1', 'CYCS', 'CCNE2', 'CRK', 'TPM3', 'NKX3-1', 'HIF1A', 'ABL1', 'APPL1', 'SUFU', 'STK36', 'RARA', 'TRAF6', 'LAMC2', 'IKBKB', 'GSTP1', 'GSK3B', 'IL6', 'RXRB', 'MTOR', 'APC', 'LAMC1', 'LAMC3', 'GLI3', 'PIK3R3', 'TRAF2', 'SMAD4', 'RAF1', 'HSP90AB1', 'WNT5B', 'CSF3R', 'BIRC5', 'ARNT', 'FZD9', 'CDH1', 'CRKL', 'KIT', 'FZD3', 'FLT3LG', 'LEF1', 'LAMA2', 'AR', 'RALGDS', 'RASSF5', 'LAMA4', 'PIK3CG', 'GRB2', 'FGF18', 'MSH6', 'WNT10B', 'MAX', 'CSF1R', 'EGLN1', 'PPARG', 'FAS', 'MAPK10', 'NCOA4', 'COL4A2', 'EP300', 'BAX', 'VHL', 'PLCG1', 'ITGA2', 'MITF', 'TGFB1', 'BMP2', 'EPAS1', 'FGF16', 'LAMA3', 'LAMB2', 'FLT3', 'PIK3CA', 'MAPK8', 'TRAF5', 'ZBTB16', 'VEGFB', 'STAT3', 'KRAS', 'CDK4', 'CASP9', 'MAPK9', 'PIK3CB', 'COL4A1', 'PIAS1', 'SMAD2', 'PDGFA', 'RHOA', 'CTNNB1', 'DVL3', 'CCNA1', 'HDAC1', 'TP53', 'BRCA2', 'CUL2', 'MECOM', 'DAPK2', 'CXCL8', 'PTCH2', 'FZD6', 'ELOC', 'TRAF1', 'RALBP1', 'FOXO1', 'MLH1', 'TRAF3', 'FGF2', 'TPR', 'NFKB1', 'PTK2', 'JAK1', 'CBLB', 'STK4', 'TGFB3', 'BRAF', 'CREBBP', 'TGFA', 'MSH2', 'E2F3', 'ITGA6', 'SLC2A1', 'CASP3', 'ITGAV', 'WNT2B', 'RALA', 'PIAS3', 'FN1', 'WNT5A', 'AKT2', 'NRAS', 'FZD5', 'LAMB3', 'FGF12', 'SOS2', 'ITGA3', 'RALB', 'PIK3R1', 'SKP2', 'SOS1', 'MAPK1', 'FZD7', 'TCF7L1', 'ITGB1', 'HSP90B1', 'HGF', 'CBL', 'PIAS2', 'STAT5B', 'MAP2K1', 'CTBP2', 'ARAF', 'HDAC2', 'RXRA', 'ARNT2', 'CCND1', 'FH', 'STAT5A', 'KITLG', 'CDKN2B', 'RELA', 'CDK2', 'TCF7', 'WNT11', 'WNT7B', 'MSH3', 'PIK3CD', 'PIK3R5', 'FZD1']
KEGG_BETA_ALANINE_METABOLISM	1	0.19528296818421137	1.5684243905947743	1.0	50.77	['ALDH9A1', 'ECHS1', 'EHHADH', 'HIBCH', 'MLYCD', 'ALDH2', 'ABAT', 'AOC2', 'AOC3', 'ACADM', 'ALDH3A2', 'ALDH1B1', 'HADHA', 'ALDH7A1']
KEGG_JAK_STAT_SIGNALING_PATHWAY	1	0.18844488379339616	1.5841651205994731	1.0	62.76	['CBLC', 'CSF2RA', 'IL9R', 'EPO', 'IL15', 'IL11RA', 'SPRY3', 'CNTF', 'IL15RA', 'STAT1', 'SPRED1', 'PRLR', 'IL4R', 'IL22RA1', 'IL6', 'CLCF1', 'STAM2', 'PIK3R3', 'IL2RG', 'SOCS7', 'IL6ST', 'CSF3R', 'LIFR', 'IL10RB', 'IL12A', 'IL7', 'IL10RA', 'IFNAR1', 'LEP', 'IFNLR1', 'PIK3CG', 'GRB2', 'STAT2', 'IFNGR2', 'LEPR', 'EP300', 'EPOR', 'IFNAR2', 'IL7R', 'PTPN11', 'PIK3CA', 'STAT3', 'PIK3CB', 'IL10', 'IL21R', 'PIAS1', 'IL3RA', 'IL2RA', 'STAM', 'BCL2L1', 'OSMR', 'IL23A', 'IRF9', 'JAK3', 'JAK1', 'IL20RB', 'CBLB', 'IL13RA1', 'CREBBP', 'IL24', 'PIAS3', 'AKT2', 'TPO', 'IFNG', 'SOS2', 'STAT6', 'TYK2', 'CNTFR', 'PIK3R1', 'SOS1', 'IL12RB1', 'IL12RB2', 'CBL', 'PIAS2', 'STAT5B', 'CCND1', 'PIM1', 'SOCS5', 'STAT5A', 'AKT3', 'SPRED2', 'IL20RA', 'PIK3CD', 'PIK3R5', 'JAK2', 'GHR']
KEGG_INOSITOL_PHOSPHATE_METABOLISM	1	0.17592164784510086	1.6074167016568892	1.0	60.06	['PTEN', 'PI4KB', 'OCRL', 'MINPP1', 'PIP4K2B', 'PIK3CB', 'PLCB1', 'SYNJ1', 'ALDH6A1', 'PIK3C2G', 'INPP5A', 'PIP5K1A', 'INPP4B', 'PIP4K2A', 'IPPK', 'IMPA2', 'IPMK', 'PIP5K1B', 'PLCB2', 'PLCE1', 'PIK3CG', 'ITPK1', 'PIK3C3', 'PLCB4', 'PLCG2', 'INPP5B', 'INPP5E', 'PI4KA', 'IMPA1', 'INPP5K', 'ITPKB', 'PLCG1', 'INPP4A', 'PIK3C2A', 'SYNJ2', 'PIK3CD', 'INPP1', 'PIK3CA', 'PIP4K2C', 'PLCD4', 'PIKFYVE']
KEGG_RNA_DEGRADATION	1	0.17461852452772972	1.6171067827440686	1.0	65.43	['PNPT1', 'XRN1', 'PAPOLG', 'PATL1', 'CNOT3', 'EXOSC2', 'EXOSC9', 'DIS3', 'ENO3', 'LSM2', 'C1D', 'XRN2', 'HSPD1', 'EXOSC6', 'PAPOLA', 'CNOT6L', 'MPHOSPH6', 'ZCCHC7', 'DDX6', 'WDR61', 'TTC37', 'SKIV2L', 'EXOSC3', 'EXOSC7', 'CNOT8', 'CNOT9', 'CNOT4', 'EDC3', 'ENO2', 'HSPA9', 'LSM6', 'EXOSC10', 'EXOSC8', 'LSM5', 'CNOT6', 'CNOT1', 'CNOT7', 'ENO1', 'LSM8', 'CNOT10', 'PARN', 'EXOSC1', 'DCP1B', 'DCP2', 'DCP1A', 'CNOT2']
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	1	0.1625268313729315	1.6403869378731164	1.0	13.03	['GLYCTK', 'ACO1', 'CS', 'MTHFD1', 'AFMID', 'ACO2', 'MDH1']
KEGG_ACUTE_MYELOID_LEUKEMIA	1	0.15676706028989867	1.6558973532731327	1.0	58.32	['ZBTB16', 'FLT3', 'STAT3', 'CEBPA', 'JUP', 'KRAS', 'RAF1', 'PIK3CB', 'AKT2', 'NRAS', 'RUNX1T1', 'RPS6KB1', 'SOS2', 'CCNA1', 'RUNX1', 'KIT', 'PIK3R1', 'CHUK', 'SOS1', 'MAPK1', 'EIF4EBP1', 'LEF1', 'TCF7L1', 'PPARD', 'STAT5B', 'MAP2K1', 'PIK3CG', 'ARAF', 'GRB2', 'CCND1', 'PIM1', 'NFKB1', 'STAT5A', 'PIM2', 'RARA', 'RELA', 'TCF7', 'BRAF', 'IKBKB', 'MTOR', 'PIK3CD', 'PIK3R5', 'PIK3CA', 'PIK3R3']
