pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_RIBOFLAVIN_METABOLISM	1	0.24090354683418602	1.2503733381263538	1.0	63.91	['ACP2', 'MTMR6', 'MTMR1', 'MTMR2', 'ENPP1', 'PHPT1', 'ACP6', 'ACP1', 'ENPP3', 'RFK', 'ACP5', 'MTMR7']
KEGG_PEROXISOME	1	0.22596867061658277	1.2695286270051231	1.0	52.27	['HSD17B4', 'XDH', 'PXMP2', 'GNPAT', 'ACSL1', 'PEX1', 'ABCD2', 'AGPS', 'PECR', 'CROT', 'PIPOX', 'EHHADH', 'PEX5', 'SLC25A17', 'ACSL3', 'FAR2', 'ACOX2', 'CAT', 'DDO', 'ACAA1', 'ACSL5', 'PEX13', 'ABCD3', 'PXMP4', 'ACOT8', 'SCP2', 'ABCD4', 'MLYCD', 'FAR1', 'PEX2', 'MPV17', 'PEX26', 'ECH1', 'EPHX2', 'PEX19', 'PEX11B', 'PHYH', 'HMGCL', 'AMACR', 'ACSL4', 'PEX3', 'NUDT12', 'HACL1', 'PEX7', 'ACOX3', 'ACOX1']
KEGG_MELANOGENESIS	1	0.2228216839998387	1.275637224265437	1.0	39.5	['WNT2B', 'CALM1', 'FZD1', 'KRAS', 'RAF1', 'WNT5A', 'PLCB1', 'CREB3L4', 'NRAS', 'WNT5B', 'ADCY9', 'CTNNB1', 'TCF7L2', 'DVL3', 'DVL2', 'MC1R', 'KIT', 'ADCY3', 'FZD3', 'PRKACA', 'MAPK1', 'LEF1', 'GNAI1', 'MAP2K1', 'ADCY6', 'TYRP1', 'CAMK2G', 'PLCB2', 'FZD6', 'ADCY7', 'PRKX', 'CREB3L2', 'PLCB4', 'ADCY2', 'KITLG', 'EP300', 'CREB1', 'PRKACB', 'TCF7', 'CREBBP', 'MITF', 'GSK3B', 'CALM2', 'PRKCB']
KEGG_PYRUVATE_METABOLISM	1	0.21865719281689747	1.283020689409214	1.0	53.28	['ACACA', 'ACSS2', 'DLAT', 'ACYP1', 'ALDH7A1', 'ALDH9A1', 'PKM', 'ME2', 'ACAT1', 'ACACB', 'PCK1', 'HAGHL', 'ALDH2', 'PC', 'ALDH3A2', 'MDH1', 'DLD', 'HAGH', 'LDHA', 'LDHB', 'PDHA1', 'PDHB', 'ME1', 'GLO1', 'ACYP2']
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	1	0.19755720285154907	1.31254345748398	1.0	35.18	['HEXA', 'ST6GALNAC6', 'ST3GAL5', 'ST6GALNAC3', 'GLB1', 'SLC33A1', 'ST6GALNAC5', 'ST8SIA1', 'HEXB']
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	1	0.18923267583529663	1.3266835300855806	1.0	55.07	['PPAT', 'ABAT', 'GPT2', 'ASS1', 'ASNS', 'GPT', 'GLS', 'ASL', 'CPS1', 'IL4I1', 'DDO', 'GLUL', 'GLS2', 'ALDH5A1', 'ASPA', 'NIT2', 'CAD', 'GLUD2', 'ADSL', 'GLUD1']
KEGG_CALCIUM_SIGNALING_PATHWAY	1	0.18739648396547445	1.3341487918406187	1.0	78.23	['PLCB1', 'VDAC3', 'HTR7', 'CACNA1F', 'CHRM3', 'SPHK2', 'ADCY3', 'ITPR3', 'GNAL', 'ATP2A3', 'PTGFR', 'TRPC1', 'CAMK2G', 'ADRB1', 'ADCY7', 'ADORA2A', 'CD38', 'PHKB', 'RYR1', 'PTAFR', 'ADRA1B', 'ITPKB', 'PPID', 'GNAS', 'HTR2B', 'PLN', 'EDNRA', 'OXTR', 'ATP2A1', 'EDNRB', 'ADCY9', 'ADCY4', 'PLCD1', 'CACNA1C', 'PRKCA', 'ATP2B1', 'SLC8A1', 'GNAQ', 'PLCB2', 'P2RX4', 'PLCB4', 'AVPR1A', 'ADCY2', 'PRKACB', 'PLCG1', 'CACNA1H', 'SPHK1', 'PHKA2', 'TNNC2', 'PDGFRA', 'PRKCB', 'ADRB2', 'PHKA1', 'PLCB3', 'ATP2A2', 'PDE1A', 'PDE1C', 'ERBB4', 'P2RX5', 'CAMK2B', 'CAMK4', 'CALML3', 'PRKX', 'SLC25A5', 'PDE1B', 'CACNA1D', 'PPP3R1', 'PLCG2', 'CACNA1I', 'CAMK2D', 'PHKG1', 'PPP3CC', 'AGTR1', 'EGFR', 'VDAC1', 'PLCD3', 'TNNC1', 'CALM2', 'GNA11', 'PLCD4', 'ITPR1', 'CALM1', 'ERBB2', 'VDAC2', 'CYSLTR1', 'PTK2B', 'ERBB3', 'CALM3', 'PTGER3', 'BST1', 'GNA15', 'PPP3CA', 'CALML6', 'PHKG2', 'PRKACA', 'HRH2', 'ADORA2B', 'GNA14', 'MYLK', 'F2R', 'LTB4R2', 'GRIN1', 'PLCE1', 'PPP3CB', 'CYSLTR2', 'ATP2B4', 'P2RX7', 'TACR2', 'HRH1', 'CHP1', 'ITPR2', 'SLC25A4']
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	1	0.18733071235099832	1.3320485606279207	1.0	45.13	['LARS2', 'VARS2', 'PDHA1', 'PDHB', 'BCAT1', 'IARS2']
KEGG_O_GLYCAN_BIOSYNTHESIS	1	0.17261392608335346	1.3632580939073735	1.0	54.48	['GALNT7', 'GALNT3', 'GALNT1', 'GCNT4', 'GCNT1', 'GALNT10', 'GALNT4', 'GALNT14', 'ST3GAL2', 'GALNT2', 'GALNT15', 'GALNT11', 'B4GALT5', 'GALNT13', 'ST3GAL1', 'GALNT5', 'GALNT6', 'C1GALT1']
KEGG_P53_SIGNALING_PATHWAY	1	0.1721656039705389	1.3611747455069068	1.0	42.56	['APAF1', 'PPM1D', 'SIAH1', 'PTEN', 'CDK4', 'CASP9', 'EI24', 'SESN3', 'THBS1', 'CHEK1', 'MDM4', 'CHEK2', 'SESN1', 'CCNB3', 'TNFRSF10B', 'DDB2', 'ATM', 'RRM2B', 'CASP8', 'TP53', 'CDK6', 'IGF1', 'MDM2', 'BID', 'CCNE2', 'TSC2', 'RCHY1', 'ZMAT3', 'ATR', 'FAS', 'SERPINB5', 'CCNG1', 'CCNB1', 'CCND3', 'CDK2', 'BAX', 'CCNB2', 'CD82']
KEGG_DORSO_VENTRAL_AXIS_FORMATION	1	0.17121624247134254	1.3601946182710993	1.0	55.02	['SOS2', 'ETS1', 'NOTCH1', 'EGFR', 'SPIRE1', 'SPIRE2', 'KRAS', 'GRB2', 'CPEB1', 'ETV6', 'SOS1', 'MAPK1', 'PIWIL4', 'NOTCH3', 'NOTCH2', 'MAP2K1']
KEGG_BASE_EXCISION_REPAIR	1	0.17059281855710162	1.368542522918204	1.0	39.01	['POLD1', 'OGG1', 'PARP4', 'POLD3', 'NEIL2', 'POLE2', 'SMUG1', 'POLE3', 'PARP2', 'POLL', 'LIG1', 'LIG3', 'POLB', 'MBD4', 'POLE', 'PARP1', 'HMGB1', 'TDG', 'NEIL1', 'XRCC1']
KEGG_OTHER_GLYCAN_DEGRADATION	1	0.16382419370507093	1.3799957422367934	1.0	63.37	['HEXA', 'MANBA', 'GBA', 'FUCA1', 'MAN2C1', 'NEU1', 'ENGASE', 'MAN2B1', 'AGA', 'NEU4', 'MAN2B2', 'NEU3', 'GLB1', 'HEXB']
KEGG_CIRCADIAN_RHYTHM_MAMMAL	1	0.16077837882056997	1.387027677862904	1.0	37.78	['PER2', 'ARNTL', 'CSNK1E', 'CRY1', 'NPAS2', 'CRY2', 'CSNK1D', 'CLOCK', 'PER3']
KEGG_ETHER_LIPID_METABOLISM	1	0.15610208797523034	1.396451789524031	1.0	54.41	['PAFAH1B3', 'PLA2G12A', 'PAFAH1B2', 'AGPS', 'ENPP2', 'LPCAT4', 'PAFAH2', 'PLD1', 'PLPP3', 'PLD2', 'LPCAT2', 'PLPP1', 'LPCAT1', 'JMJD7-PLA2G4B', 'PLA2G6', 'CHPT1', 'PLA2G4B', 'PAFAH1B1', 'PLA2G4A', 'PLPP2']
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	1	0.14337182487054512	1.4231342284235233	1.0	42.38	['KRAS', 'SCNN1A', 'PIK3CB', 'IRS1', 'PIK3R1', 'NR3C2', 'MAPK1', 'IGF1', 'PDPK1', 'ATP1A2', 'PIK3CG', 'SCNN1G', 'ATP1A1', 'SGK1', 'PIK3R2', 'NEDD4L', 'INSR', 'PIK3CD', 'PIK3R5', 'PIK3CA', 'PRKCB', 'PIK3R3']
KEGG_ALZHEIMERS_DISEASE	1	0.1430993312734634	1.4210580282889518	1.0	66.35	['SDHD', 'FADD', 'COX7A1', 'NDUFS1', 'PLCB1', 'ERN1', 'CACNA1F', 'MT-ATP8', 'LPL', 'UQCRH', 'NDUFV2', 'CASP8', 'ITPR3', 'ATP2A3', 'SDHC', 'BID', 'SDHA', 'CYCS', 'LRP1', 'CYC1', 'GSK3B', 'APBB1', 'APAF1', 'COX5A', 'NAE1', 'ATP2A1', 'NDUFA1', 'NDUFS2', 'PSEN1', 'CACNA1C', 'UQCRQ', 'MT-CYB', 'CAPN1', 'COX7C', 'GNAQ', 'NDUFA5', 'PLCB2', 'SNCA', 'CAPN2', 'NDUFA3', 'PLCB4', 'FAS', 'PSEN2', 'NDUFA2', 'COX6B1', 'CASP7', 'NDUFAB1', 'UQCR10', 'NCSTN', 'MT-CO2', 'NDUFS4', 'CASP9', 'MAPT', 'BACE1', 'PLCB3', 'ATP2A2', 'IDE', 'MT-CO3', 'IL1B', 'NDUFB3', 'NDUFA4L2', 'COX6A2', 'ATF6', 'NDUFS7', 'CACNA1D', 'MT-ATP6', 'PPP3R1', 'NDUFA10', 'NDUFB9', 'PPP3CC', 'ADAM17', 'UQCRC2', 'EIF2AK3', 'TNFRSF1A', 'APH1A', 'CALM2', 'NDUFS8', 'CASP3', 'UQCR11', 'ITPR1', 'CALM1', 'UQCRC1', 'CALM3', 'COX7A2', 'APP', 'MME', 'COX8A', 'PPP3CA', 'CALML6', 'COX4I2', 'NDUFB1', 'MAPK1', 'UQCRFS1', 'GRIN1', 'PPP3CB', 'NDUFB5', 'SDHB', 'BACE2', 'NDUFB2', 'COX5B', 'ADAM10', 'COX7B', 'UQCRB', 'NDUFA9', 'CHP1', 'NDUFA4', 'ITPR2', 'MT-CO1']
KEGG_HUNTINGTONS_DISEASE	1	0.13762951639384513	1.4353675634934546	1.0	14.51	['APAF1', 'NDUFS4', 'CASP9', 'NDUFS1', 'PLCB1', 'RCOR1', 'AP2A2', 'DCTN4', 'REST', 'CLTC', 'CASP8', 'TP53', 'PPARGC1A', 'TBPL1', 'SDHA', 'POLR2B', 'HTT', 'TBP', 'HDAC2', 'NDUFB5', 'PLCB4', 'DCTN2', 'NRF1', 'AP2B1', 'SDHB', 'SIN3A', 'EP300', 'HIP1', 'UQCRC2', 'CREB1', 'DNAL1', 'NDUFA9', 'CREBBP', 'PPID', 'POLR2A', 'SP1', 'POLR2D', 'ITPR1']
KEGG_SELENOAMINO_ACID_METABOLISM	1	0.12185496405673206	1.470939146371553	1.0	41.65	['AHCYL2', 'GGT1', 'METTL2B', 'MAT2A', 'HEMK1', 'GGT7', 'SEPHS1', 'MAT2B', 'PAPSS1', 'MARS2', 'METTL6', 'TRMT11', 'AHCY', 'AHCYL1', 'SCLY', 'LCMT1']
KEGG_BETA_ALANINE_METABOLISM	1	0.12173758176283919	1.4668682781826081	1.0	29.42	['ALDH9A1', 'HIBCH', 'EHHADH', 'MLYCD', 'ABAT', 'ACADM', 'ALDH3A2', 'HADHA', 'DPYD', 'ALDH7A1']
KEGG_NITROGEN_METABOLISM	1	0.12117345546549425	1.4697813478633686	1.0	37.28	['GLS', 'GLUL', 'CA12', 'GLUD2', 'CA13', 'GLS2', 'CPS1', 'CA8', 'CA5B', 'AMT', 'ASNS', 'GLUD1']
KEGG_TGF_BETA_SIGNALING_PATHWAY	1	0.11987678530279547	1.48078091376206	1.0	53.67	['PPP2CB', 'SMAD3', 'SMAD4', 'BMPR1B', 'SMAD1', 'ID2', 'PPP2R1A', 'E2F4', 'ACVR2B', 'THBS1', 'DCN', 'SMAD2', 'E2F5', 'RPS6KB1', 'RHOA', 'ZFYVE9', 'ID4', 'SMAD6', 'TGFBR2', 'ROCK2', 'SMAD9', 'ACVR2A', 'LEFTY2', 'SKP1', 'MAPK1', 'TGFBR1', 'TGFB2', 'TFDP1', 'ACVR1', 'SMAD7', 'SMURF2', 'INHBA', 'BMPR2', 'THBS3', 'LTBP1', 'PPP2CA', 'ZFYVE16', 'EP300', 'RBL1', 'CDKN2B', 'SMAD5', 'ROCK1', 'SMURF1', 'TGFB3', 'THBS4', 'CREBBP', 'RBL2', 'CUL1', 'BMPR1A', 'TGFB1', 'SP1', 'PPP2R1B']
KEGG_PROTEIN_EXPORT	1	0.11856588705841367	1.4805852823580328	1.0	45.86	['IMMP1L', 'SEC61A1', 'IMMP2L', 'SRP54', 'SEC63', 'SRP19', 'SEC62', 'SEC11A', 'OXA1L', 'SRP68', 'SEC61A2', 'SRPRB', 'SPCS3', 'SPCS1', 'SRP9P1', 'SRP72', 'SRPRA']
KEGG_ECM_RECEPTOR_INTERACTION	1	0.08706956650933154	1.554476089114671	1.0	59.03	['ITGAV', 'FN1', 'THBS1', 'SV2B', 'LAMB3', 'COL4A1', 'CD44', 'ITGA1', 'ITGA9', 'ITGA11', 'ITGA3', 'DAG1', 'LAMA1', 'ITGA10', 'COL11A1', 'SDC2', 'ITGB1', 'LAMA2', 'COL1A2', 'COL4A6', 'HSPG2', 'LAMB1', 'ITGB8', 'GP1BA', 'LAMA4', 'THBS2', 'CD36', 'ITGB4', 'ITGB6', 'TNC', 'THBS3', 'ITGB7', 'LAMB2', 'AGRN', 'ITGA7', 'COL4A4', 'ITGA4', 'SPP1', 'RELN', 'CHAD', 'COL4A2', 'COL2A1', 'CD47', 'SDC1', 'VWF', 'LAMC2', 'THBS4', 'ITGA2', 'COL6A3', 'SV2A', 'ITGA8', 'LAMA3', 'LAMC1', 'ITGA6', 'LAMC3', 'COL3A1', 'LAMA5']
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	1	0.08451525160287547	1.563235340731359	1.0	37.32	['GLYCTK', 'ACO1', 'MTHFD1L', 'MTHFD2L', 'CS', 'MTHFD2', 'MTHFD1', 'AFMID', 'ACO2', 'MDH1']
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1	0.08370766922362073	1.5682299061669027	1.0	49.98	['VAV3', 'CLDN4', 'JAM2', 'MYL5', 'PIK3CB', 'CTNNA1', 'VAV2', 'VCL', 'MYL12A', 'PECAM1', 'PTK2B', 'CTNNB1', 'RHOA', 'CLDN7', 'GNAI2', 'VAV1', 'ROCK2', 'CLDN11', 'AFDN', 'VASP', 'ITGAM', 'PIK3R1', 'CLDN1', 'ARHGAP5', 'ITK', 'ITGB1', 'NCF2', 'GNAI1', 'ARHGAP35', 'EZR', 'F11R', 'MAPK14', 'OCLN', 'RAC1', 'RASSF5', 'PIK3CG', 'SIPA1', 'CTNND1', 'BCAR1', 'PLCG2', 'CDH5', 'ACTN1', 'PIK3R2', 'MAPK13', 'ITGA4', 'PTK2', 'RAPGEF4', 'RAP1B', 'JAM3', 'RHOH', 'ROCK1', 'PLCG1', 'ACTN4', 'ITGAL', 'PXN', 'RAPGEF3', 'RAP1A', 'PIK3CD', 'PIK3R5', 'CDC42', 'PTPN11', 'PIK3CA', 'PRKCB', 'PIK3R3']
KEGG_MELANOMA	1	0.07801134451989555	1.586118072526432	1.0	31.62	['PTEN', 'KRAS', 'RAF1', 'IGF1R', 'PIK3CB', 'AKT2', 'NRAS', 'FGF12', 'PDGFC', 'CDH1', 'PIK3R1', 'EGF', 'RB1', 'TP53', 'CDK6', 'MAPK1', 'HGF', 'MDM2', 'MAP2K1', 'PIK3CG', 'FGF14', 'ARAF', 'BRAF', 'MET', 'MITF', 'E2F3', 'PIK3CD', 'AKT3', 'PIK3CA']
KEGG_LONG_TERM_DEPRESSION	1	0.07691588808031224	1.5975986626842218	1.0	23.51	['PPP2CB', 'KRAS', 'RAF1', 'IGF1R', 'PLCB1', 'NRAS', 'GNA13', 'PRKG1', 'ITPR3', 'MAPK1', 'GNAI1', 'MAP2K1', 'PLCB2', 'GNA12', 'ARAF', 'PLCB4', 'PLA2G4B', 'PPP2CA', 'BRAF', 'ITPR2', 'PPP2R1B', 'ITPR1']
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.0762276568875073	1.5968177847468463	1.0	18.94	['MAP2K4', 'TAB2', 'MAPK9', 'PIK3CB', 'AKT2', 'TBK1', 'PIK3R1', 'CASP8', 'CHUK', 'MAPK1', 'IFNAR1', 'IRAK4', 'MAP2K1', 'MAPK14', 'STAT1', 'TRAF3', 'TLR6', 'NFKB1', 'MAP3K7', 'MAPK10', 'TRAF6', 'RELA', 'TLR1', 'IKBKB', 'PIK3CD', 'RIPK1', 'AKT3', 'PIK3CA', 'MAPK8']
KEGG_ABC_TRANSPORTERS	1	0.0755024501867323	1.596099010598528	1.0	55.56	['ABCC4', 'ABCB10', 'ABCA5', 'ABCB1', 'ABCA8', 'ABCD2', 'ABCG2', 'ABCC10', 'ABCC3', 'ABCC9', 'ABCC1', 'TAP2', 'ABCA2', 'ABCA7', 'ABCB7', 'ABCC8', 'ABCC11', 'ABCG1', 'ABCD3', 'ABCC5', 'ABCD4', 'ABCC2', 'ABCA9', 'ABCA10', 'ABCA6', 'ABCA4', 'ABCA1', 'ABCA3']
KEGG_NOTCH_SIGNALING_PATHWAY	1	0.07226016648981484	1.6135858180403202	1.0	29.36	['MAML2', 'KAT2A', 'DVL3', 'DVL2', 'PSEN1', 'HDAC1', 'MAML1', 'RBPJ', 'CTBP2', 'KAT2B', 'HDAC2', 'SNW1', 'NUMB', 'EP300', 'ADAM17', 'CREBBP', 'MAML3', 'NCOR2', 'NCSTN', 'NOTCH2', 'CIR1', 'JAG1']
